RECEIPT_ID,PO_NUMBER,SUPPLIER_ID,RECEIPT_DATE,RECEIVED_BY,PACKING_SLIP_NUMBE,CARRIER,CONDITION,INSPECTION_REQUIRE
RCV-40132,5464,RFS-V006,11/06/25,E014 ,PS363830,LTL - Estes,OK,N
RCV-40133,6215,RFS-V009,02/28/2026,E013,PS519783,Will Call,Damaged carton - contents OK,N
RCV-40134,6338,RFS-V009,2025-06-19,E014,PS757032,UPS Ground,OK,N
RCV-40135,5688,RFS-V002,2026-01-13,E018,PS945208,Will Call,OK ,N
RCV-40136,8326,RFS-V012,2026-03-24,E018,PS989776,UPS Ground,OK,N
RCV-40137,6421,RFS-V008,12-Oct-2025,E019,PS274298,Will Call,Damaged carton - contents OK,N
RCV-40138,6997,,2025-11-08,E013,PS975612,Will Call ,Damaged carton - contents OK,N
RCV-40139,6678,RFS-V004,10/19/2025,E015,,FedEx Ground,OK,N
RCV-40140,7215,RFS-V016,2025-08-02,E012,PS458506,FedEx Ground,Damaged carton - contents OK,N
RCV-40141,6682,RFS-V017,02/08/26,E018,PS193248,FedEx Ground,OK,N
RCV-40151,5483,RFS-V004,2025-11-23,E013,PS749126,FedEx Ground,OK,N
RCV-40142,7943,RFS-V017,2026-01-07,E013,PS133285,Supplier Truck,Short vs packing slip,N
RCV-40143,7976,RFS-V013,12/16/2025,E021,PS702505,UPS Ground,Short vs packing slip,N
RCV-40144,6576,RFS-V002,2026-01-05,E017,PS245316,LTL - Estes,SHORT VS PACKING SLIP,N
RCV-40145,7686,RFS-V003,10/06/2025,E021,PS854398,FedEx Ground,OK,N
RCV-40165,8815,RFS-V005,2026-01-29,E019,PS789805,LTL - Estes,OK,N
RCV-40146,6364,RFS-V012,2025-05-16,E017,PS302973,LTL - Estes,Damaged carton - contents OK,N
RCV-40147,8474,RFS-V009,2025-10-06,E014,PS926802,Supplier Truck,Short vs packing slip,N
RCV-40148,7590,RFS-V009,03/12/26,E019,PS383007,Supplier Truck,OK,N
RCV-40149,6709,RFS-V011,03/07/2026,E015,PS404641 ,UPS GROUND,OK,N
RCV-40150,7079,RFS-V014,08/26/25,E018,,UPS Ground,OK,N
RCV-40151,5483,RFS-V004,2025-11-23,E013,PS749126,FedEx Ground,OK,N
RCV-40152,7251,RFS-V013,2025-11-13,E021,PS271510,LTL - Estes,Damaged carton - contents OK,N
RCV-40153,5990 ,RFS-V009,2025-08-30,E015,PS595531,Will Call,Short vs packing slip,N
RCV-40154,7572,RFS-V016,04-Jul-2025,E019 ,PS497604,Will Call,DAMAGED CARTON - CONTENTS OK,N
RCV-40155,6159,RFS-V003,2025-11-02,E021,PS560009,Will Call ,,N
RCV-40156,5581,RFS-V008,12/12/2025,E018,PS258285,Supplier Truck,OK,N
RCV-40157,7488,RFS-V015,2025-10-02,,PS544995,UPS Ground,Damaged carton - contents OK,N
RCV-40158,6149,RFS-V016,2025-10-17,E016,PS756205,LTL - Estes,OK,N
RCV-40159,5151,RFS-V014,02/27/2026,E020,PS902728,Will Call,Damaged carton - contents OK,N
RCV-40160,7547,RFS-V008,21-Dec-2025 ,E017,PS472029,Will Call,OK,N
RCV-40161,6846,RFS-V005,08/21/25,E021,PS363776,LTL - Estes,OK,N
RCV-40162,7285,RFS-V009,2025-08-29,E014,PS959305,Supplier Truck,Damaged carton - contents OK,N
RCV-40163,6409,RFS-V013,"Aug 04, 2025",E020,PS749019,FedEx Ground,OK,N
RCV-40164,8442,RFS-V013,05/04/2025,E013,PS226719,LTL - Estes ,Short vs packing slip,N
RCV-40165,8815,RFS-V005,2026-01-29,E019,PS789805,LTL - Estes,OK,N
RCV-40166,5130,RFS-V004,2025-12-25,E016,PS713101,UPS Ground ,Damaged carton - contents OK,N
RCV-40167,6757,RFS-V014,2025-08-05,E017,PS339408,Will Call,OK,N
RCV-40168,7359,RFS-V008 ,"Jul 26, 2025",E014,PS297244,LTL - Estes,OK,N
,5462,RFS-V008,2025-06-19,E015,PS914259,FedEx Ground,Damaged carton - contents OK,N
RCV-40170,8667,RFS-V016 ,2026-03-25,E013,PS805648,LTL - Estes,Damaged carton - contents OK,N 
RCV-40171,8836,RFS-V015,2025-11-07,E021,PS314177,Supplier Truck,OK,N
RCV-40172,7459,RFS-V014,2025-07-19,E016,PS164661,FedEx Ground,Damaged carton - contents OK,N
RCV-40173,6739,RFS-V006,2025-10-04,E017,PS541072,Supplier Truck,OK,N
RCV-40174,6785,RFS-V009,2026-01-11,E019,PS456852,LTL - Estes,SHORT VS PACKING SLIP,N
RCV-40175,5923,RFS-V005,2025-09-20,E018,PS901334,FedEx Ground,Short vs packing slip,N
RCV-40176,6620,RFS-V011,"Jan 30, 2026",E021,PS486211 ,Supplier Truck,OK,N
RCV-40177,7144,RFS-V006,2025-12-15,E019,PS703819,UPS Ground,OK,N
RCV-40178,5239,RFS-V017,2026-03-11,E017,PS836563,FedEx Ground,OK,N
RCV-40179,5230,RFS-V017,2025-08-08,E012,PS412870,LTL - Estes,OK,N
RCV-40180,7388,RFS-V012,2025-12-08,E015,PS742254,Will Call,OK,N
RCV-40181,6743,RFS-V004,2026-01-29 ,E014,PS271262,Will Call,Short vs packing slip,N
RCV-40182,6871,,2025-12-11,E013,PS434424,UPS Ground,OK,N
RCV-40183,7121,RFS-V012,2025-06-26,E017,PS206619,,Damaged carton - contents OK,N
RCV-40184,8773,RFS-V018,2025-05-15,E012,PS618501,FedEx Ground,OK,N
RCV-40185,7148 ,RFS-V003,11/04/25,E020,PS960030,Supplier Truck ,OK,N 
RCV-40186,7793,RFS-V003,02/16/26,E012,PS347363,Supplier Truck,Damaged carton - contents OK,N
RCV-40187,7418,RFS-V016,02-Sep-2025,E018,PS545648,FedEx Ground ,OK,N 
RCV-40188,8093,RFS-V003,2026-02-01,E021,PS160145,FedEx Ground,OK,N
RCV-40189,5534,RFS-V007,2025-08-17,E015,PS758929,Will Call,OK,N
RCV-40190,5222,RFS-V017,2026-03-31,E012,PS710254 ,LTL - Estes,Short vs packing slip,N
RCV-40191,8669,RFS-V008,2026-01-04,E021,PS718606,UPS Ground,OK,
RCV-40052,8203,RFS-V014,"Nov 13, 2025",E019,PS890814,FedEx Ground,Short vs packing slip,N
,8830,RFS-V014,2026-01-18,E019,PS755632,LTL - Estes,OK,N
RCV-40193,7537,RFS-V003,24-Oct-2025,E021,PS153048,Supplier Truck,OK,N
,5394,RFS-V014,"Jul 05, 2025",E020,PS911237,LTL - Estes,OK,N
RCV-40195,8199,RFS-V010,2026-01-26,E018,PS980677,Will Call,OK,N
,8794,RFS-V012,2025-08-10,E012,PS262140,LTL - Estes,Damaged carton - contents OK ,N
RCV-40197,6950,RFS-V015,2025-10-15,E013,PS751711,FedEx Ground,Short vs packing slip,N
RCV-40198,7442,RFS-V002,2026-01-10,E021,PS325718,Will Call,OK,N
RCV-40113,7904,RFS-V014,"Dec 01, 2025 ",E020,PS249930,Will Call,OK,N
RCV-40199,5292,RFS-V005,2026-02-02,E012,PS179644,UPS Ground,OK,N
RCV-40200,5626,RFS-V013,2025-09-18,E018,PS196642,Supplier Truck,OK,N
RCV-40201,7062,RFS-V012,22-DEC-2025,E021,PS562179,FedEx Ground,Short vs packing slip,N
