PAYMENT_ID,SUPPLIER_ID,SUPPLIER_INVOICE_N,PAYMENT_DATE,AMOUNT,METHOD,CHECK_NUMBER,BANK_ACCOUNT
RFS-APP00067,RFS-V013,2767457,2026-01-26,$527.25,Card,15603 ,1000
RFS-APP00068,RFS-V014,SI667367,2025-10-21,,ACH ,,1000
RFS-APP00069,RFS-V007,8065341,2025-07-18,5430.26,ACH,11833,1000
RFS-APP00070,RFS-V001,SI1772760,27-Oct-2025,"$10,747.99",ACH,,1000
RFS-APP00071,RFS-V007,95540420,2026-01-26,"$12,007.00",Check,,1000
,RFS-V015,INV898884,02/10/26,"$4,049.79",Card,,1000
RFS-APP00073,RFS-V011,SI6327965,2025-06-07,3305.85,Check,,1000
RFS-APP00074,RFS-V009,91674562,2025-07-24,"$3,339.23",Card,24182,1000
RFS-APP00075,RFS-V002,SI6674887,16-Oct-2025,1990.0,ACH,,1000 
RFS-APP00076,RFS-V004,93392903,"Dec 21, 2025",5570.49,ACH,,1000
RFS-APP00077,RFS-V007,7073861 ,2025-10-23,"$8,233.74",ACH,13609,1000
RFS-APP00078,RFS-V011,SI6855328,"MAR 09, 2026","$2,045.04",Check,17218,1000
RFS-APP00079,RFS-V006,INV940457,2026-03-16,15850.17,ACH,23273,1000
RFS-APP00080,RFS-V007,INV3168506,2025-08-27,"$3,000.05",ACH,,1000
RFS-APP00081,RFS-V010,INV1917213,"Aug 31, 2025","$2,906.86",ACH,,1000
RFS-APP00082,RFS-V006,93711503,"Mar 08, 2026",11540.0,ACH,14436,1000
RFS-APP00083,RFS-V003,98543462,09/12/2025,"$11,940.25",ACH,10128,1000
RFS-APP00084,RFS-V017,SI3106858,07/25/25,7808.96,,,1000
RFS-APP00085,RFS-V014,9278286,"Jan 24, 2026",5368.16,Card,,1000
RFS-APP00086,RFS-V010,INV3223270,2026-02-18,3507.93,Check,,1000
RFS-APP00087,RFS-V008,92858215,2025-05-11,"$2,457.06",ACH,,
RFS-APP00088,RFS-V009,INV7159739,12-Sep-2025,26608.75,ACH,27254,1000
RFS-APP00089,RFS-V014,91914047,08/14/2025,9329.46,Check,,1000
RFS-APP00090,RFS-V008,99730534,"Oct 30, 2025","$26,449.90",ACH,,1000
RFS-APP00091,RFS-V012,8137698,"Nov 10, 2025",942.24,ACH,,1000
RFS-APP00092,RFS-V015,SI5822506,2026-03-27,11261.25,Check,,
RFS-APP00093,RFS-V004,95240079,2026-02-28 ,1522.13,Check,12142,1000
RFS-APP00094,RFS-V018,INV7643697,01/23/2026,15272.21,CARD,20683,1000
RFS-APP00095,RFS-V015,8127896,2025-07-16,10293.5,ACH,12339,1000
RFS-APP00096,RFS-V001,INV4969692,12/18/2025,11763.8,CARD,,1000
RFS-APP00097,RFS-V012,SI4531884,2025-09-29,7990.8,Check,,1000
RFS-APP00043,RFS-V001,9010774,2026-03-08,1660.56,Check,17627,1000
RFS-APP00098,RFS-V006,99271154,12/07/25,,ACH,25273,1000
RFS-APP00099,RFS-V009,6583241,2025-07-21,27214.56,ACH,,1000
RFS-APP00100,RFS-V002,SI3614478,2026-02-10,4831.77,ACH,28083,1000
RFS-APP00101,RFS-V008,6527902,2025-11-17,11254.8,Card,,1000
RFS-APP00102,RFS-V004,SI361120,2026-01-02,4721.58,ACH,17534,1000
RFS-APP00103 ,RFS-V004,INV7263563,12/14/2025,"$11,600.55",Card,19753,1000
RFS-APP00104,RFS-V016,SI6966643,09/25/2025,"$20,082.44",ACH,,1000
RFS-APP00105,RFS-V017,8349939 ,"Feb 06, 2026",16422.0,ACH,,1000
RFS-APP00106,RFS-V013,INV1969848,2026-01-24,3997.57,ACH,,1000
RFS-APP00107,RFS-V002,INV8111736,02/11/2026,"$3,920.43",Check,,1000
RFS-APP00108,RFS-V003,SI4932234,15-Nov-2025,"$58,391.30",Card,,1000
RFS-APP00109,RFS-V012,SI3065694,06/29/2025,2618.5,Check,,1000
RFS-APP00110,RFS-V009,INV9928782,10/31/2025,"$24,740.78",Card,,1000
RFS-APP00111,RFS-V014,905847,10/07/2025,43236.68,ACH,,1000
RFS-APP00112,RFS-V004,4366560,2026-01-09,825.08,ACH,,1000
RFS-APP00113,RFS-V013,6642166,12/23/25,"$6,242.33",ACH,,1000
RFS-APP00114,RFS-V009,SI9724894,2025-10-06,2606.5,ACH,,1000
RFS-APP00115 ,RFS-V016,INV9114155,08/26/25,4343.55,Card,,1000
RFS-APP00116,RFS-V003,SI7114153,12/07/25,1562.64,Check,,1000
RFS-APP00117,RFS-V008,8733865,2026-01-21,29777.2,Card,22313,1000
RFS-APP00118 ,RFS-V015,7766515,2025-11-23,16124.34,ACH,11942,1000 
,RFS-V016,4727030 ,2025-12-10,3580.17,ACH,18528,1000
RFS-APP00120,RFS-V008,INV7549877,26-Jan-2026,10186.89,Check,17144,1000
RFS-APP00121,RFS-V005,INV1395232,2025-10-03,"$5,573.84",Check,,1000
RFS-APP00122,RFS-V009,INV4494623,2025-09-25,54483.7,Card,,1000
RFS-APP00123,RFS-V013,4219855,09/18/2025,1120.24,Check,,1000
RFS-APP00124,RFS-V013,92589750,07-Jun-2025,$357.70,Check,,1000
RFS-APP00125,RFS-V005,2573009,"Mar 03, 2026","$3,664.18",ACH,,1000
RFS-APP00126,RFS-V004,92869674,02/17/26,"$4,907.57",Check,29649,1000
RFS-APP00127,RFS-V014,INV5388648,09/27/2025,5818.81,Check,,
RFS-APP00128,RFS-V008,INV6718753,2025-09-03,4596.55,Check,,1000
RFS-APP00129,RFS-V008,INV2387268,"Jul 29, 2025","$14,997.90",ACH,23655,1000
RFS-APP00130,RFS-V015,INV4999237,2025-12-31,$387.53,Check,11589,1000
RFS-APP00131,RFS-V014,6033557,2025-09-13,3967.79,ACH,,1000
RFS-APP00132,RFS-V006,94782221,11/16/25,11527.48,ACH,28683,1000
,RFS-V009,INV1508842,02/16/26,"$2,497.28",Check,,1000
RFS-APP00134,,INV2990171,,14332.18,ACH,18748,1000
RFS-APP00135,RFS-V011,9304554,2026-03-06,"$5,329.54",Check,,1000
RFS-APP00136,RFS-V006 ,INV2969526,2026-01-10,7645.9,ACH,,1000
RFS-APP00137,RFS-V017,9907139,2025-09-14,"$33,928.96",Check,18193,1000
RFS-APP00138,RFS-V012,1959054,08-Jan-2026,"$1,444.25 ",ACH,,1000
RFS-APP00139,RFS-V004,SI3024583,2026-03-31,"$5,659.50",Card,,1000
RFS-APP00140,RFS-V007,1099245 ,2026-01-28,2519.59,Check,,1000
RFS-APP00141,RFS-V012,8975253,2025-08-10,8058.55,Card,14991,1000
RFS-APP00142,RFS-V018,765401,2025-06-28,,Card,,1000
RFS-APP00143,RFS-V003,SI2809490,12/12/2025,"$10,393.20",ACH,18859,1000
RFS-APP00052,RFS-V007,INV9168545,2025-12-03,1185.0,Card,,1000
,RFS-V016,INV1052369,2025-10-28,9982.48,Card,21309,1000
RFS-APP00145,RFS-V003,9410775,14-Mar-2026,9009.0,ACH,,1000
RFS-APP00146,RFS-V007,8711855,09/29/2025,212.73,Check,,1000
RFS-APP00147,RFS-V008,SI3396347,"Feb 11, 2026",40426.54,ACH,28166,1000
RFS-APP00148,RFS-V014,97057297,08-Mar-2026,4418.5,Card,22140,1000
RFS-APP00149,RFS-V003,INV3861314,11/25/25,10340.77,Card,13455,1000
RFS-APP00150,RFS-V014,SI2303084,2025-08-22,"$3,867.94",ACH,,1000
RFS-APP00151,RFS-V010,INV8609506,"Mar 02, 2026",15110.33,Card,12478 ,1000
RFS-APP00152,RFS-V012,INV4314050,2025-09-23,,ACH,,1000
RFS-APP00153,RFS-V015,INV8636891,2025-12-07,"$12,123.26",ACH,,1000
RFS-APP00154,RFS-V002,92101711,2026-02-23,349.34,Check,21288,1000
RFS-APP00155,RFS-V005,4148110,2026-03-14,"$11,417.31",Check,21914,1000
RFS-APP00156,RFS-V013,INV2722890,18-Oct-2025,6211.4,ACH,10622,1000
RFS-APP00157,RFS-V012,SI5476916,2026-01-20,"$4,428.82",Card,,1000
