SUPPLIER_INVOICE_N,PO_NUMBER,PO_LINE,ITEM_ID,INVOICED_QTY,UNIT_PRICE,EXTENDED
SI3490239,8380,2,DRI2000-048,,$43.46,3867.94
SI3490239,8380,3,FLAM12-013,175,5.5,962.5
SI4238755,7009,1,CABsize4-075,158,$5.32,840.56
SI4238755,7009,2,NITM12-036,,$12.01,468.39
1153266,5862,1,,500,$82.77,41385.0
8623235,5441,2,HOS1000-086,94,8.04,755.76
95397211,8302,1,DRIsize6-110,127,45.25,5746.75
95397211,8302,2,FLAM6-031,25,7.36,184.0
95397211,8302,3,SOC1375-113,60,22.29,1337.4
98315852,8847,1,NIT1250-117,100,$8.74,874.0
98315852,8847,,CABsize8-111,109,13.25,1444.25
98315852,8847,3,NIT1250-117,250,8.74,2185.0
98315852,8847,4,SOC1500-097,10,$77.74,777.4
SI8754820,8980,1,ABRM8-051,10,28.330000000000002,283.3
SI8754820,8980,2,CAB1250-008,65,27.86,1810.9
SI8754820,8980,3,DRI3816-044,500,$51.33,25665.0
SI8754820,8980 ,4,DRI3816-044 ,26,,1334.58
INV8069055,8057,1,FLA1213-026,71,13.43,953.53
INV8069055,8057,2,FLA1213-026,10,$13.17,131.7
INV8069055,8057,3,FLA1213-026,71,13.17,935.07
5751840,,1,FLAM12-013,175,$5.50,962.5
5751840,8203,2,DRI2000-048,25,43.46,1086.5
5751840,8203,3,FLAM12-013,175,$5.50,962.5
5751840,8203,4,FLAM12-013,175,$5.50,962.5
INV1052369,7418,1,LOC60-069,156,22.58,3522.48
92977627,6571,1,ABR1500-059,,$44.44,11110.0
92977627,6571,2,LOC60-060,141,3.31,466.71
92977627,6571,3,LOC60-060,141,3.08,434.28
INV1805748,6309,1,LOC1420-087,18,$22.41,403.38
INV1805748,6309,2,FLAsize8-029,135,11.17,1507.95
INV1805748,6309,3,CUT3410-037,75,21.6,1620.0
99245821,7248,1,HEX2000-093,97,15.71,1523.87
99245821,7248,2,CUT5811-066,99,38.77,3838.23
99245821,7248,3,FLA60-122,50,$18.44,922.0
99245821,7248,4,,25,7.96,199.0
SI4118379,7352,1,CAB1250-008,500,$28.14,14070.0
SI4118379,7352,2,ABRM8-051,25,28.330000000000002,708.25
SI4118379,7352,3,DRI1500-016,100,22.87,2287.0
SI4118379,7352,4,CAB1250-008,65,$27.02,1756.3
SI9072890,8186,1,DRIsize4-077,117,20.09,2350.53
SI9072890,8186,2,LOCsize8-120,138,27.23,3757.74
99675931,6164,2,SF18-434,304,27.37,8320.48
99675931,6164,3,CUT1213-024,50,32.87,1643.5
9010774,8269,1,ABR1250-018,51,$32.56,1660.56
2109781,5465,1,FLASIZE6-118,175,$6.00,1050.0
2109781,5465,,HOSsize8-128,99,$23.89,2365.11
2109781,5465,3,FLA1420-090,25,2.17,54.25
98132883,,1,SOC1250-123,89,69.72,6205.08
SI2562554 ,5861,1,,9,24.1,216.9
SI2562554,5861,2,ABRM12-046,,57.07,5535.79
SI2562554,5861,3,SF18-434,304,$27.64,8402.56
5485300,5046,1,CUTM6-061,500,32.44,16220.0
5485300,5046,3,ANCM10-050,10,19.38,193.8
5485300,5046,4,HEXsize8-000,13,25.3,328.9
7965283,5017,1,HEX80-033,5,46.76,233.8
INV1911993,6429,1,HOSsize6-084,189,$11.21,2118.69
SI6613379,5194,1,LOC3410-096,127,27.93,3547.11
92723185,8109,1,HEX1250-124,36,7.96,286.56
92723185,8109,2,CUT80-015,25,43.1,1077.5
SI9522233,6130,1,ANCM6-073,50,$82.40,4120.0
SI9720591,6111,1,ANC51618-020,188,111.15,20896.2
SI9720591,6111,2,ANC51618-020,188,,20896.2
SI9720591,6111,3,DRI3816-044,100,53.9,5390.0
INV9168545,7676,1,DRISIZE6-105,50,10.34,517.0
,7676,3,LOC5811-099,50,$13.36,668.0
8739331,7689,1,CUT1420-049,10,26.61,266.1
8739331,7689,2,LOC3410-092,60,29.560000000000002,1773.6
8739331,7689,3,CUT1420-049,25,26.61,665.25
8739331,7689,4,LOC3410-092,250,$29.26,7315.0
INV5529694,8223,1,DRIsize6-110,127,$45.25,5746.75
SI7307931,7051,1,HEX60-055,180,$19.12 ,3441.6
SI7307931,7051,2,ANCM8-040,50,29.41,1470.5
SI7307931,7051,3,HEXM10-116,50,$38.02,1901.0
INV3618509,8826,1,FLA60-122,27,$18.44,497.88
INV3618509,8826,2,CUTM6-041,10,$51.28,512.8
INV3618509,8826,3,CUTM6-041,160,51.28,8204.8
INV2340546,8206,1,ANCM6-073,159,81.58,12971.22
INV2340546,8206,2,HOS1213-006,500,$37.01,18505.0
95830598,5906,1,CUT3816-058,171,34.73,5938.83
93702484,5506,1,NIT80-132,10,13.63,136.3
93702484,5506,2,LOCM6-130,78,16.43,1281.54
92375263,7280,1,CAB80-139,124,7.26,900.24
92375263,7280,2,NIT80-132,113,$13.49,1524.37
94707722,7148,1,FLA1375-009,132,6.7,884.4
8353170,8712,1,ANCM10-050,100,$18.82,1882.0
94707722,7148,2,CAB50-127,100,12.31,1231.0
94707722,7148 ,3,FLA1375-009,,$6.70 ,884.4
94707722,7148,4,NIT1000-088,500,12.59,6295.0
INV9119803,6582,1,FLA3410-112,88,$10.47,921.36
INV9119803,6582,2,FLA50-065,500,$12.14,6070.0
INV9119803,6582,3,HEX1420-030,10,18.92,189.2
INV9119803,6582,4,ABRsize6-012,150,$57.08,8562.0
4368808,5105,1,HEXM10-131,165,$54.60,9009.0
4368808,5105,2,ANCsize6-005,52,$115.33,5997.16
4368808,5105,3,ANCsize6-005,52,$115.33,5997.16
4368808,5105,4,CUT60-119,50,25.84,1292.0
7840321,7873,1,HOS1213-006,500,$37.01,18505.0
7840321,7873,2,ABRsize8-003 ,100,$40.96,4096.0
7840321,7873,3,HOS1213-006 ,500,37.01,18505.0
7840321,7873,4,ANCM6-073,10,$82.40,824.0
SI3065694,6364,4,NIT1250-117,48,8.74,419.52
97545610,5406,1,ANCM6-043,26,$66.43,1727.18
97545610,5406,2,ABR1500-059,39,$44.44,1733.16
97545610,5406,3,LOC60-060,141,$3.18,448.38
4391312,6250,2,NIT1250-117,25,$8.74,218.5
4391312,6250,3,ANCM10-050,10,18.82,188.2
4391312,6250,4,CABsize8-111,250,13.25,3312.5
96701562 ,7681,,ANCM6-073,159,$84.05,13363.95
94654214,7988,1,LOCSIZE4-081,44,9.5,418.0
94654214,7988,2,HHCS-254,124,29.1,3608.4
94654214,7988,3,NIT1375-106,35,11.97,418.95
94654214,7988,4,ABRsize8-003,10,40.96,409.6
INV7425418,6084,1,HN-789,100,14.6,1460.0
INV9549357,,2,CUT5811-066,250,38.77,9692.5
INV9549357,6633,3,FLA60-122,27,18.44,497.88
INV1429495,8909,1,FLA1213-026,250,13.17,3292.5
3957741,8324,1,CAB1420-107,22,$28.41,625.02
2767457,8172,1,DRIsize4-077,25,21.09,527.25
SI667367,6286,1,SOC51618-129,103,86.08,8866.24
SI667367,6286,2,SOC51618-129,103,$81.11,8354.33
SI667367,6286,3,FLAM12-013,10,5.5,55.0
SI667367,6286,4,DRI2000-048,89,43.46,3867.94
91460202,6775,1,FLAM10-028,163,9.75,1589.25
8065341,5580,1,DRIsize6-105,21,10.34,217.14
8065341,5580,2,LOC60-135,176,$29.62,5213.12
SI1772760,6422,1,SOC2000-071,170,$15.49,2633.3
SI1772760,6422,2,DRI2000-004,127,46.47,5901.69
INV5388648,6757,1,FLA1213-026,71,$13.17,935.07
SI1772760,6422,3,HEX1420-014,100,$22.13,2213.0
95540420,6910,1,HEXM8-094,137,53.99,7396.63
95540420,6910,2,HEX80-033,70,47.230000000000004,3306.1
95540420,6910,3,DRIsize6-105,21,10.34,217.14
INV898884,7373,1,HEX60-055,10,19.51,195.1
INV898884,7373,2,,,19.51,3511.8
SI6327965,8014,1,ABRM8-051,60,$28.61,1716.6
SI6327965,8014,2,FLAM10-028,163,9.75,1589.25
91674562,7855,1,ABR1500-059,25,$44.44,1111.0
91674562,7855,2,SOC2000-025,112,$15.54,1740.48
91674562,7855,3,FLA1420-002,25,19.51,487.75
SI6674887,8355,1,HOS1000-086,250,$7.96,1990.0
93392903,5267,1,HOSsize6-084,189,$11.21,2118.69
93392903,5267,2,ABRM12-095,132,$26.15,3451.8
7073861,6715,1,,137,51.42,7044.54
7073861,6715,2,ANC3410-074,10,$118.92 ,1189.2
92926299,5960,2,HOSsize6-084,25,,280.25
92926299,5960,4,LOC3410-092,250,29.560000000000002,7390.0
94832188,5640,1,ABR50-010,14,$26.37,369.18
SI6855328,5504,1,CAB1250-008,65,$28.70,1865.5
INV940457,5900,1,HEX60-055,180,$19.51,3511.8
INV940457,5900,2,DRIsize4-017,,63.95,12278.4
5469748,6132,1,HOSM12-104,155,$29.00,4495.0
INV3168506,7668,1,HEX80-033,25,48.65,1216.25
INV3168506,7668,2,ANC3410-074,15,118.92,1783.8
INV1917213,6878,1,LOCM6-130,78,16.43,1281.54
INV1917213,6878,2,FLAsize8-029,135,$11.28,1522.8
SI9520977,6639,1,ABRsize8-003,49,$40.96,2007.04
SI9520977,6639,2,ABRsize8-032,129,28.88,3725.52
SI9520977,6639,3,ANCM6-073,159,$82.40,13101.6
93711503,7377,1,DRIsize6-110,250,46.16,11540.0
4368808,5105,4,CUT60-119,50,25.84,1292.0
98543462,5488,1,CUT60-119,100,$25.84,2584.0
98543462,5488,2,FLAsize8-045,25,13.89,347.25
98543462,5488,3,HEXM10-131,165,54.6,9009.0
SI3106858,7472 ,1,HOSM10-070,50,$11.82,591.0
SI3106858,7472,2,CUTM12-054,148,48.77,7217.96
INV1296430,8218,1,CUTM6-047,25,41.800000000000004,
INV1296430,8218,2,SOC1250-011,,59.42,2971.0
9278286,7904,1,FLAM12-013,50,5.72,286.0
9278286,7904,2,DRI2000-048,89,$46.07,4100.23
9278286,7904,3,FLA1213-026,71,$13.83,981.93
INV3223270,8369,1,CUT3410-037,75,,1620.0
INV3223270,,2,,250,$7.26,1815.0
92858215,8626,1,G10-708,186,$13.21,2457.06
98515599,5458,1,ABRM12-095,100,27.72,2772.0
INV7159739,8197,1,LOC60-060,50,3.18,159.0
INV7159739,8197,2,SOC2000-025,25,15.39,384.75
INV7159739,8197,3,HEXsize8-101,500,$52.13,26065.0
99392754,5444,1,SF401AF-239,500,$4.60,2300.0
99392754,5444,2,DRIsize8-138,500,53.24,26620.0
6419297,8617,1,LOC60-060,141,3.18,448.38
,8617,2,SOC2000-025,112,$15.39,1723.68
6419297,8617,3,ABR1500-059,39,44.44,1733.16
6419297,8617,4,ABR1500-059,39,$44.44,1733.16
91914047,8286,1,FLA1213-026,500,$13.17,6585.0
91914047,8286,2,FLAM12-013 ,175,5.61,981.75
91914047,8286,3,FLA1213-026,71,$13.30,944.3
99730534,6377,1,49012-174,500,29.95,14975.0
99730534,6377,2,G10-708,250,12.56,
99730534,6377,3,B62-454,332,17.85,5926.2
99730534,6377,4,G10-708,186,$12.95,2408.7
8137698,7132,1,,12,$78.52,942.24
4965834,7838,1,LOC2000-115,50,8.31,415.5
SI5822506,6242,1,ANCM8-040,170,$30.00,5100.0
SI5822506,6242,2,ANCM8-040,170,$29.41,4999.7
SI5822506,6242,3,LOC60-076,25,$17.87,446.75
SI5822506,6242,4,LOC60-076,40,$17.87,714.8
95240079,8134,1,HOSsize6-084,94,11.21,1053.74
95240079,8134,2,NITM12-036,39,12.01,468.39
INV5529694,8223,1,DRIsize6-110,127,$45.25,5746.75
INV5529694 ,8223,2,6308-882,98,14.9,1460.2
INV5529694,8223,4,6308-882,98,$15.50,1519.0
INV7643697,7405,1,SF18-434,10,$27.10,271.0
INV7643697,7405 ,2,SF18-434,500,27.1,13550.0
8127896,7122,1,ANCM8-040,170,$29.41,4999.7
8127896,7122,2,ANCM8-040,170,$29.41 ,4999.7
8127896,7122,3,ANCM8-040,10,29.41,294.1
INV4969692,5884,1,SOC2000-071 ,170,15.49,2633.3
INV4969692,5884,2,ABR1250-018,51,32.56,1660.56
INV4969692,5884,3,DRI2000-004,127,45.12,5730.24
INV4969692,5884,4,ABR1250-018,51,33.21,1693.71
SI7630166,7157,1,HEXM10-116,250,38.02,9505.0
INV8055923,8603,1,LOC5811-099,97,$13.36,1295.92
INV8055923,8603,2,DRISIZE6-105,21,$10.13,212.73
INV8055923,8603,3,HEXM8-094,100,,5142.0
SI4531884,7454,1,SOC1500-097,100,78.52,7852.0
,5464,1,243-180,100,24.95,2495.0
99271154,5464,2,LOC3410-096,500,$27.93,13965.0
SI7825951,6215 ,1,FLA1420-002,250,18.92,4730.0
SI7825951 ,6215,2,FLA1420-002,128,$19.51,2497.28
SI7825951,6215,3,FLA1420-002,128,$19.51,2497.28
6583241,6338,1,ABR1500-059,500,$44.44,22220.0
6583241,,2,FLA1420-002,128,$19.51,2497.28
6583241,6338,3,FLA1420-002,128,,2497.28
SI3614478,5688,1,LOCM8-108,100,7.98,798.0
SI3614478,5688,2,LOCM8-108,250,7.98,1995.0
SI3614478,5688,3,HEX2000-093,97,$15.71,1523.87
,6081 ,3,SOC1500-097,50,$77.74,3887.0
SI3614478,5688,4,ANCM12-027,10,51.49,514.9
INV5210769,8326,1,NIT1250-117,48,8.74,419.52
INV5210769,8326,3,CUTM6-061,101,$32.44,3276.44
INV5210769,8326,4,ANCM10-050,10,18.82,188.2
6527902,6421,1,7447-552,339,33.2,11254.8
SI361120,6997 ,1,LOC3410-092,60,$29.56,1773.6
SI361120,6997,2,CABsize4-075,158,$5.12,808.96
SI361120,6997,3,HOSsize6-103,198,10.450000000000001,2069.1
INV7263563,6678,1,HOSsize6-084,250,11.21,2802.5
INV7263563,6678 ,2,ABRM12-095,132,26.150000000000002,3451.8
INV7263563,6678,3,CUT2000-023,91,58.75,5346.25
8733865,5581,2,G10-708,500,$13.34 ,6670.0
SI6966643,7215,1,ABR50-010,25,26.37,659.25
SI6966643,7215,2,CUT1500-089,125,51.91,6488.75
SI6966643 ,7215,3,SOCsize6-098,186,69.54,12934.44
SI6557223,7729,1,CUT1213-024,500,32.87,16435.0
4741956,6682,1,HOSM10-070,50,11.82,591.0
4741956,6682,2,CUTM12-054,25,$48.77,1219.25
8349939,7943,1,CUTM12-054,148,48.77,7217.96
8349939,7943,2,SOCsize6-063,84,$46.81,3932.04
8349939,7943,3,HOSM10-070,50,11.82,591.0
8349939,7943,4,SOCsize6-063,100,46.81,4681.0
INV1969848,7976,1,FLA50-065,105,12.14,1274.7
INV1969848,7976,2,ANC51618-019 ,51,$53.06,2706.06
INV8111736,6576,1,CUT5811-066,99,$38.77,3838.23
INV8111736,6576,2,LOCM8-108,10,8.22,82.2
SI4932234,7686,1,CAB1420-107,22,28.41,625.02
SI4932234,7686,2,ANCsize6-005,,$115.33,57665.0
SI3065694,6364,1,HEXsize8-000,13,$25.30,328.9
SI3065694,6364,2,SOC1500-097,12,77.74,932.88
SI3065694,6364,3,CABsize8-111,54,$13.25,715.5
SI3065694,6364,4,NIT1250-117,48,8.74,419.52
INV9928782,8474,1,ABR1500-059,500,$44.44,22220.0
INV9928782,8474,2,LOC60-060,25,$3.18,79.5
INV9928782,8474,3,FLA1420-002,100,19.51,1951.0
95240079,8134,2,NITM12-036,39,12.01,468.39
INV9928782,8474,4,LOC60-060,141,$3.18,448.38
95367878,7590,1,FLA1420-002,250,$19.51,4877.5
95367878,7590,3,SOC2000-025,112,$15.39,1723.68
97843315,6709,1,DRI1500-016,500,$22.87,11435.0
905847,7079,1,FLA1213-026,71,$13.17,935.07
905847,7079,2,SOC51618-129,500,$82.77,41385.0
905847,7079,3,FLA1213-026,71,12.91,916.61
4366560 ,5483,1,ABRM12-095,25,26.150000000000002,653.75
6642166,7251,1,FLA50-065,25,12.14,303.5
6642166,7251,2,CUT3816-058,171,34.730000000000004,5938.83
SI9724894,5990,1,HEXsize8-101,50,52.13,2606.5
INV9114155,7572,1,HOSsize8-128,99,23.89,2365.11
INV9114155,7572,2,LOC60-069,78,$21.28,1659.84
INV9114155,7572,3,FLA1420-090,123,$2.17,266.91
SI7114153,6159,1,CAB5811-137,102,$15.32,1562.64
8733865,5581,1,B62-454,332,17.85,5926.2
8733865,5581,2,G10-708,500,$13.34 ,6670.0
8733865,5581,3,7447-552,339,$33.20,11254.8
8733865,5581,4,B62-454,332,17.85,5926.2
7766515 ,7488,1,HEXM10-116,147,38.02,5588.94
7766515,7488,2,HEX60-055,180,19.51,3511.8
7766515,7488,3,HEX60-055,180,19.51,3511.8
7766515,7488,4,HEX60-055,180,$19.51,3511.8
4727030,6149,1,HOSsize8-128,99,23.89,2365.11
4727030,6149,2,ABR50-010,14,26.37,369.18
4727030,6149,3,LOC60-069 ,25,$21.71,542.75
5977377,5151,1,FLA1213-026,71,13.3,944.3
5977377,5151,2,ANC3410-034,30,$115.20,3456.0
5977377,5151,3,SOC51618-129,103,82.77,8525.31
5977377,5151,4,FLA1213-026,,$13.17,3292.5
INV7549877,7547,1,B62-454,25,$17.85,446.25
INV7549877,,2,B62-454,,17.85,8925.0
INV7549877,7547,3,G10-708 ,50,12.95,647.5
INV1395232,6846,1,ABRsize8-032,129,$28.88,3725.52
INV1395232,6846,2,ABRsize8-032,64,28.88,1848.32
INV4494623,7285,1,FLA1420-002,250,$20.29,5072.5
INV4494623,7285,2,ANCM6-043,26,$66.43,1727.18
INV4494623,7285,3,ANCM6-043,500,$66.43,33215.0
INV4494623,7285,4,FLA1420-002,500,19.51,9755.0
4219855,6409,1,FLA3410-112,88,$10.58,931.04
4219855,6409,2,HEX1420-030,10,18.92,189.2
92589750,8442,1,CUT3816-058,10,35.77,357.7
2573009,8815,1,CABsize4-007 ,47,$27.94,1313.18
2573009,8815,2,ANCM6-073,25,$82.40,2060.0
2573009,8815,3,HHCS-254,10,29.1,291.0
92869674,5130,2,HOSsize6-084,189,$11.21,2118.69
92869674,5130,3,HOSsize6-103,198,$10.45,2069.1
92869674,5130 ,4,CUT1420-049,25,26.08,652.0
INV5388648,6757,1,FLA1213-026,71,$13.17,935.07
INV5388648 ,6757,2,ANC3410-034,30,$115.20,3456.0
INV5388648,6757,3,FLA1213-026,71,13.17,935.07
INV6718753,7359,1,B62-454,250,17.85,4462.5
INV2387268,5462,1,7447-552,100,$35.57,3557.0
INV2387268,5462,2,49012-174,382,29.95,11440.9
SI9695394,8667,1,HEX3410-042,147,$44.58,6553.26
INV4999237,8836,1,HEXM10-116,10,38.02,380.2
6033557,,1,FLA1213-026,71,13.57,963.47
6033557,7459,2,SOC51618-129,25,82.77,2069.25
6033557,7459,3,FLA1213-026,71,$13.17,935.07
94782221,6739,1,SOC1250-011,194,59.42,11527.48
INV1508842,6785,1,FLA1420-002,128,19.51,2497.28
INV2990171,5923,1,HOS1213-006,184,37.01,6809.84
INV2990171,5923,2,CABsize4-007,25,28.5,712.5
INV2990171,5923,3,HOS1213-006,184,37.01,6809.84
9304554,6620,,FLAM10-028,163,9.75,1589.25
9304554,6620,2,ABRM8-051,60,$28.33,1699.8
9304554,6620,3,FLAM10-028,163,$9.75,1589.25
INV2969526,7144,1,SF401AF-239,176,$4.60,809.6
INV2969526,7144,2,243-180,100,$24.95,2495.0
INV2969526,7144,3,243-180,174,$24.95,4341.3
INV7531824,5239,1,SOCsize6-063,25,46.81,1170.25
INV7531824,5239,2,HOSM10-070,500,11.82,5910.0
INV7531824,5239,3,HOSM10-070,50,12.29,614.5
INV7531824,5239,4,HOSM10-070,50,11.82,591.0
9907139,5230,1,CUTM12-054,148,48.77,7217.96
9907139,5230,2,HOSM10-070,50,11.82,591.0
9907139,5230,3,CUTM12-054,500,$52.24,26120.0
1959054,7388,1,CABsize8-111,109,13.25,1444.25
SI3024583,6743,1,HOSsize6-103,198,10.450000000000001,2069.1
SI3024583 ,6743,3,ABRM12-095,132,27.2,3590.4
1099245,6871,1,DRIsize6-105,10,$10.34,103.4
1099245,6871,2,LOC5811-099,97,$13.36,1295.92
1099245,6871,3,DRIsize6-105,100,$10.34,1034.0
8975253,7121,2,HEXsize8-000,13,25.3,328.9
8975253,7121,3,CUT50-067,25,42.5,1062.5
8975253,7121,4,CABsize8-111,500,$13.25,6625.0
765401,8773,1,ABRM12-046,97,$57.07,5535.79
765401,8773,2,S-291,213,$31.00,6603.0
SI2809490,7148,1,FLA1375-009,132,6.7,884.4
SI2809490,7148,2,CAB50-127,100,$12.31,1231.0
,7148,3,FLA1375-009,132,6.7,884.4
SI2809490,7148,4,NIT1000-088 ,500,$12.59,6295.0
SI2809490,7148,1,CUT60-119,23,$27.13,623.99
SI2809490,7148,2,FLAsize8-045,25,$13.89,347.25
3002192,7793,1,CAB1420-107,22,28.98,637.56
INV1052369,7418,1,LOC60-069,156,22.58,3522.48
INV1052369,7418,2,ABR50-010,250,$25.84,6460.0
9410775,8093,1,HEXM10-131,165,54.6,9009.0
8711855,5534,1,DRIsize6-105,21,10.13,212.73
4659387 ,5222,2,CUTM12-054,74,$48.77,3608.98
SI3396347,8669,1,G10-708,186,$12.95,2408.7
SI3396347,8669,2,49012-174,382,29.95,11440.9
SI3396347,8669,3,49012-174,382,$31.15,11899.3
SI3396347,8669,4,7447-552,339,,11254.8
97057297,8830,1,ANC3410-034,30,$115.20,3456.0
97057297,8830,2,FLAM12-013,175,5.5,962.5
INV3861314,7537,1,CAB5811-137,500,$15.32,7660.0
INV3861314,7537,2,FLAsize8-045,193,$13.89,2680.77
SI2303084,5394,1,DRI2000-048,89,43.46,3867.94
INV8609506,8199 ,1,,69,72.03,4970.07
INV8609506,8199,2,NIT80-132,113,$13.63,1540.19
INV8609506,8199,3,CAB80-139 ,500,7.26,3630.0
INV8609506,8199,4,ABRM12-109,69,72.03,4970.07
INV4314050,8794,1,SOC1500-097,100,77.74,7774.0
INV4314050,8794,3,CUTM6-061,101,$32.44,3276.44
INV2722890,5626,2,ABRsize6-012,100,57.08,5708.0
INV8636891,6950,1,HEX60-055,180,$19.51,3511.8
INV8636891,6950,2,ANCM8-040,170,$29.41,4999.7
INV8636891,6950,3,HEX60-055,180,$19.51,3511.8
92101711,7442,1,HOS1000-086,25,$7.96,199.0
4148110,5292,1,ABRsize8-032,129,28.88,3725.52
SI3944515,5300,4,SOC2000-071,170,$15.49,2633.3
4148110,5292,2,HOS1213-006,184,37.01,6809.84
