Policy Id,Client Id,Client Name,Policy Number,Line Of Business,Line Description,Carrier Code,Carrier Name,Effective Date,Expiration Date,Term Months,Annual Premium,Commission Pct,Expected Commission,Billing Type,Policy Status,Producer Id,Account Manager Id,Surplus Lines,New Or Renewal,Policy Checked,Experience Mod,Umbrella Limit
HAR-P00030,HAR-C0010,Summit Software Co.,CNA-CYB-7096491,CYB,Cyber Liability,CNA,CNA Insurance,2025-11-26,2026-11-26,12,24462,12.5,3057.75,Direct Bill,In Force,E003,E006,N,Renewal,N,,
HAR-P00031,HAR-C0010,Summit Software Co.,MKL-PL-6537633,PL,Professional Liability / E&O,MKL,Markel Specialty (Evanston Insurance Co.),2025-05-10,2026-05-10,12,5088,12.0,610.56,Direct Bill,In Force,E003,E006,Y,Renewal,N,,
HAR-P00032,HAR-C0010,Summit Software Co. ,HIG-GL-1566960,GL,General Liability,HIG,The Hartford Fire Insurance Company,2025-08-01,2026-08-01,12,17202,14.0,2408.28,Agency Bill,In Force,E003 ,E006,N,New,N,,
HAR-P00033,HAR-C0011,Lakeshore Electric Inc.,LIB-GL-1970641,GL,General Liability,LIB,Liberty Mutual Insurance,2026-02-27,2027-02-27,12,33716,12.0,4045.92,Direct Bill,In Force,E003,E013,N,New,Y,,
HAR-P00034,HAR-C0011,Lakeshore Electric Inc.,GRD-WC-3894019,WC,Workers Compensation,GRD,Guard Insurance (Berkshire Hathaway GUARD),2026-01-28,2027-01-28,12,111222,11.0,12234.42,Direct Bill ,In Force,E003,E013,N,Renewal,Y,0.72,
HAR-P00035,HAR-C0011,Lakeshore Electric Inc.,TRV-AUTO-6605955,AUTO,Commercial Auto,TRV,Travelers Indemnity Company,2026-02-01,02/01/2027,12,46565,13.0,6053.45,Direct Bill,In Force,E003,E013,N,Renewal,N,,
HAR-P00036,HAR-C0011,Lakeshore Electric Inc.,TRV-UMB-9225974,UMB,Umbrella / Excess Liability,TRV,Travelers Indemnity Company,2025-11-03,2026-11-03,12,22256,13.0,2893.28,Agency Bill,In Force,E003,E013,N,Renewal,Y,,3000000
HAR-P00037,HAR-C0012,Pioneer Community Services Inc.,LIB-GL-1980984,GL,General Liability,LIB,Liberty Mutual Insurance,2026-01-26,2027-01-26,12,63339,12.0,7600.68,Agency Bill,In Force,E002,E010,N,Renewal,N,,
HAR-P00038,HAR-C0012,Pioneer Community Services Inc.,MKL-PL-1721204,PL,Professional Liability / E&O,MKL,Markel Specialty (Evanston Insurance Co.),2025-10-09,2026-10-09,12,22025,12.0,2643.0,Agency Bill,In Force,E002,E010,Y,New,Y,,
HAR-P00039,HAR-C0012,Pioneer Community Services Inc.,LIB-WC-8791492,WC,Workers Compensation,LIB,Liberty Mutual Insurance,2025-09-04,2026-09-04,12,38458,12.0,4614.96,Direct Bill,In Force,E002,E010,N,Renewal,N,0.83,
HAR-P00040,HAR-C0013,Granite Properties Inc.,HIG-PROP-1100326,PROP,Commercial Property,HIG,The Hartford Fire Insurance Company,2025-04-10,04/10/2026,12,75578,14.0,10580.92,Agency Bill,In Force ,E004,E013,N,Renewal,N,,
HAR-P00041,HAR-C0013,Granite Properties Inc.,CNA-GL-8534073,GL,General Liability,CNA,CNA Insurance,2025-07-08,2026-07-08,12,11983,12.5,1497.88,Agency Bill,In Force,E004,E013,N,Renewal,Y,,
HAR-P00042,HAR-C0013,Granite Properties Inc.,TRV-UMB-9363685 ,UMB,Umbrella / Excess Liability,TRV,Travelers Indemnity Company,2025-06-19,2026-06-19,12,17709,13.0,2302.17,Agency Bill,In Force,E004,E013,N,Renewal,N,,2000000
HAR-P00043,HAR-C0014,Highland Manufacturing Corp.,CNA-PROP-2797302,PROP,Commercial Property,CNA,CNA Insurance,2025-09-28,2026-09-28,12,11043,12.5,1380.38,Agency Bill,In Force,E005,E011,N,Renewal,N,,
HAR-P00044,HAR-C0014,Highland Manufacturing Corp.,LIB-WC-6993923,WC ,Workers Compensation,LIB,Liberty Mutual Insurance,03/19/26,2027-03-19,12,48584,12.0,5830.08,Direct Bill,In Force,E005,E011,N,Renewal,Y,0.72,
HAR-P00045,HAR-C0015,Heritage Manufacturing Inc.,HIG-GL-1962926,GL,General Liability,HIG,The Hartford Fire Insurance Company,2025-11-10,2026-11-10,12,60627,14.0,8487.78,Direct Bill,In Force,E005,E010,N,Renewal,N,,
HAR-P00046,HAR-C0015,Heritage Manufacturing Inc.,AMT-WC-7809356,WC,Workers Compensation,AMT,AmTrust Financial,2025-11-27,2026-11-27,12,143576,10.0,14357.6,Direct Bill,In Force,E005,E010,N,Renewal,N,1.24,
HAR-P00047,HAR-C0015,Heritage Manufacturing Inc.,PRG-AUTO-1007658,AUTO,Commercial Auto,PRG,Progressive Commercial,2025-07-12,2026-07-12,12,54691,10.0,5469.1,Direct Bill,In Force,E005,E010,N,Renewal,Y,,
HAR-P00048,HAR-C0015,Heritage Manufacturing Inc.,MKL-UMB-2801668,UMB,Umbrella / Excess Liability,MKL,Markel Specialty (Evanston Insurance Co.),2025-06-18 ,06/18/2026,12,26973,12.0,3236.76,Agency Bill,In Force,E005,E010,Y,New,Y,,10000000
HAR-P00049,HAR-C0016,Summit Electric Inc.,LIB-GL-8989340,GL,General Liability,LIB,Liberty Mutual Insurance,2025-07-13,"Jul 13, 2026",12,8083,12.0,969.96,Agency Bill,In Force,E003,E007,N,Renewal,N,,
HAR-P00050,HAR-C0016,Summit Electric Inc.,LIB-WC-2782069,WC,Workers Compensation,LIB,Liberty Mutual Insurance,2026-02-28,"Feb 28, 2027",12,78206,12.0,9384.72,Direct Bill,In Force,E003,E007,N,New,Y,1.06,
HAR-P00051,HAR-C0016,Summit Electric Inc.,LIB-AUTO-3567307,AUTO,Commercial Auto,LIB,Liberty Mutual Insurance,2026-01-19,2027-01-19,12,14061,12.0,1687.32,Direct Bill,In Force,E003,E007,N,Renewal,N,,
HAR-P00052,HAR-C0016,Summit Electric Inc.,TRV-UMB-8785458,UMB,Umbrella / Excess Liability,TRV,Travelers Indemnity Company,2026-03-28,03/28/2027,12,16637,13.0,2162.81,Direct Bill,In Force,E003,E007,N,Renewal,Y,,3000000
HAR-P00053,HAR-C0016,Summit Electric Inc.,HIG-PROP-6932424,PROP,Commercial Property,HIG,The Hartford Fire Insurance Company,2025-07-21,2026-07-21,12,83134,14.0,11638.76,Direct Bill,In Force,E003,E007,N,Renewal,Y,,
HAR-P00054,HAR-C0017,Summit Hotels LP,TRV-PROP-8848052,PROP,Commercial Property,TRV,Travelers Indemnity Company,2025-04-12,2026-04-12,12,45015,13.0,5851.95,Agency Bill,In Force,E004,E010,N,New,N,,
HAR-P00055,HAR-C0017,Summit Hotels LP,MKL-GL-1641431,GL,General Liability,MKL,Markel Specialty (Evanston Insurance Co.),2025-12-28,2026-12-28,12,6784,12.0,814.08,Agency Bill,In Force,E004,E010,Y,New,Y,,
HAR-P00056,HAR-C0017,Summit Hotels LP,GRD-WC-8470777,WC,Workers Compensation,GRD,Guard Insurance (Berkshire Hathaway GUARD),2026-01-07,2027-01-07,12,179345,11.0,19727.95,Direct Bill,In Force,E004,E010,N,Renewal,N,0.99,
HAR-P00057,HAR-C0018,Northgate Automotive Co.,NAT-GL-8426434,GL,General Liability,NAT,Nationwide Mutual Insurance,2026-03-02,2027-03-02,12,52156,13.5,7041.06,Agency Bill,In Force,E004,E009,N,Renewal,Y,,
HAR-P00058,HAR-C0018,Northgate Automotive Co.,LIB-PROP-1741338,PROP,Commercial Property,LIB,Liberty Mutual Insurance,2025-07-01,2026-07-01,12,62352,12.0,7482.24,Direct Bill,In Force,E004,E009,N,Renewal,Y,,
HAR-P00059,HAR-C0018,Northgate Automotive Co.,HIG-WC-9031274,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2025-11-13,2026-11-13,12,79744,14.0,11164.16,Direct Bill,In Force,E004,E009,N,Renewal,Y,1.19,
HAR-P00060,HAR-C0019,Beacon Associates LLC,MKL-PL-1964407,PL,Professional Liability / E&O,MKL,Markel Specialty (Evanston Insurance Co.),2026-01-07,2027-01-07,12,31605,12.0,3792.6,Agency Bill,In Force,E005,E006,Y,Renewal,N,,
HAR-P00061,HAR-C0019,Beacon Associates LLC,CNA-CYB-8523472,CYB,Cyber Liability,CNA,CNA Insurance,2026-02-25,2027-02-25,12,5295,12.5,661.88,Agency Bill,In Force,E005,E006,N,Renewal,Y,,
HAR-P00062,HAR-C0019,Beacon Associates LLC,NAT-BOP-8210262,BOP,Business Owners Policy,NAT,Nationwide Mutual Insurance,2025-06-04,2026-06-04,12,5879,13.5,793.66,Direct Bill,In Force,E005,E006,N,Renewal,Y,,
HAR-P00063,HAR-C0020,Beacon Medical Group Inc.,MKL-PL-3683973,PL,Professional Liability / E&O ,MKL,Markel Specialty (Evanston Insurance Co.),"Mar 28, 2026",2027-03-28,12,35874,12.0,4304.88,Agency Bill,In Force,E003,E012,Y,Renewal,N,,
HAR-P00064 ,HAR-C0020,Beacon Medical Group Inc.,LIB-GL-6486028,GL,General Liability,LIB,Liberty Mutual Insurance,2026-02-01,2027-02-01,12,24732,12.0,2967.84,Agency Bill,In Force,E003,E012,N,Renewal,N,,
HAR-P00065,HAR-C0020,Beacon Medical Group Inc.,LIB-PROP-2637048,PROP,Commercial Property,LIB,Liberty Mutual Insurance,2025-06-09,2026-06-09,12,49131,12.0,5895.72,Agency Bill,In Force,E003,E012,N,Renewal,N,,
HAR-P00066,HAR-C0020,Beacon Medical Group Inc.,GRD-WC-2598958,WC,Workers Compensation,GRD,Guard Insurance (Berkshire Hathaway GUARD),2025-04-04 ,2026-04-04,12,42272,11.0,4649.92,Direct Bill,In Force,E003,E012,N,Renewal,N,0.92,
HAR-P00067,HAR-C0021,Beacon Marine LLC,LIB-GL-2053776,GL,General Liability,LIB,Liberty Mutual Insurance,2025-09-10,2026-09-10,12,63846,12.0,7661.52,Agency Bill,In Force,E001,E010,N,Renewal,Y,,
HAR-P00068,HAR-C0021,Beacon Marine LLC,NAT-PROP-8965121,PROP,Commercial Property,NAT,Nationwide Mutual Insurance,2025-08-05,2026-08-05,12,27604,13.5,3726.54,Direct Bill,In Force,E001,E010,N,New,Y,,
HAR-P00069,HAR-C0021,Beacon Marine LLC,HIG-WC-6629466,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2025-12-10,2026-12-10,12,90042,14.0,12605.88,Direct Bill,In Force,E001,E010,N,Renewal,N,1.05,
HAR-P00070,HAR-C0021,Beacon Marine LLC,TRV-AUTO-1986341,AUTO,Commercial Auto,TRV,Travelers Indemnity Company,2025-09-01,2026-09-01,12,101405,13.0,13182.65,Direct Bill,In Force,E001,E010,N ,Renewal,N,,
HAR-P00071,HAR-C0022,Blue Ridge Medical Group LLC,CNA-PL-1865311,PL,Professional Liability / E&O,CNA,CNA Insurance,2025-10-04,2026-10-04,12,39840,12.5,4980.0,Direct Bill,In Force,E004,E007,N,New,N,,
HAR-P00072,HAR-C0022,Blue Ridge Medical Group LLC,CNA-GL-3469536,GL,General Liability,CNA,CNA Insurance,2026-01-12,2027-01-12,12,16250,12.5,2031.25,Agency Bill,In Force,E004,E007,N,Renewal,N,,
HAR-P00073,HAR-C0022,Blue Ridge Medical Group LLC,HIG-PROP-1441396,PROP,Commercial Property,HIG,The Hartford Fire Insurance Company,2025-10-18,2026-10-18 ,12,18996,14.0,2659.44,Agency Bill,In Force,E004,E007,N ,Renewal,N,,
HAR-P00074,HAR-C0022,Blue Ridge Medical Group LLC,CNA-CYB-9113312,CYB,Cyber Liability,CNA,CNA Insurance,2025-08-08,2026-08-08,12,14124,12.5,1765.5,Agency Bill,In Force,E004,E007,N,New,N,,
HAR-P00075,HAR-C0022,Blue Ridge Medical Group LLC,LIB-WC-8316458 ,WC,Workers Compensation,LIB,Liberty Mutual Insurance,2025-06-15,2026-06-15,12,119539,12.0,14344.68,Direct Bill,In Force,E004,E007,N,Renewal,N,0.98,
HAR-P00076,HAR-C0023,Coastal Community Services LP,TRV-GL-1622321,GL,General Liability,TRV,Travelers Indemnity Company,08/13/25,2026-08-13,12,17177,13.0,2233.01,Agency Bill,In Force,E005,E009,N,Renewal,Y,,
HAR-P00077,HAR-C0023,Coastal Community Services LP,MKL-PL-5526497,PL,Professional Liability / E&O,MKL,Markel Specialty (Evanston Insurance Co.),"Nov 02, 2025",02-Nov-2026,12,20661,12.0,2479.32,Direct Bill,In Force,E005,E009,Y,Renewal,N,,
HAR-P00078,HAR-C0023,Coastal Community Services LP,HIG-WC-2929496,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2025-08-21,2026-08-21,12,67885,14.0,9503.9,Direct Bill,In Force,E005,E009,N,Renewal,Y,0.91,
HAR-P00079,HAR-C0024,Beacon Electric LLC,CNA-GL-9432213,GL,General Liability,CNA,CNA Insurance,2025-04-12,2026-04-12,12,60607,12.5,7575.88,Direct Bill,In Force,E005,E008,N,Renewal,N,,
HAR-P00080,HAR-C0024,Beacon Electric LLC,GRD-WC-9264864,WC,Workers Compensation,GRD,Guard Insurance (Berkshire Hathaway GUARD),2026-01-27,2027-01-27,12,43300,11.0,4763.0,Direct Bill,In Force,E005,E008,N,New,N,0.99,
HAR-P00081,HAR-C0024,Beacon Electric LLC,NAT-AUTO-6674099,AUTO,Commercial Auto,NAT,Nationwide Mutual Insurance,2025-06-23,2026-06-23 ,12,11753,13.5,1586.65,Direct Bill,In Force,E005,E008,N,Renewal,N,,
HAR-P00082,HAR-C0024,Beacon Electric LLC,MKL-UMB-4802811,UMB,Umbrella / Excess Liability,MKL,Markel Specialty (Evanston Insurance Co.),2026-03-05,2027-03-05,12,14426,12.0,1731.12,Agency Bill,In Force,E005,E008,Y,New,N,,10000000
HAR-P00083,HAR-C0025,Heritage Automotive LP,CNA-GL-9959621,GL,General Liability,CNA,CNA Insurance,2025-04-23,2026-04-23,12,10975,12.5,1371.88,Agency Bill,In Force,E004,E009,N,New,Y ,,
HAR-P00084,HAR-C0025,Heritage Automotive LP,HIG-PROP-3512372,PROP,Commercial Property,HIG,The Hartford Fire Insurance Company,2026-02-25,2027-02-25,12,47707,14.0,6678.98,Agency Bill,In Force,E004,E009,N,Renewal,Y,,
HAR-P00085,HAR-C0025,Heritage Automotive LP,LIB-WC-7551335,WC,Workers Compensation,LIB,Liberty Mutual Insurance,2026-01-29,2027-01-29 ,12,44298,12.0,5315.76,Direct Bill,In Force,E004,E009,N,Renewal,N,1.19,
HAR-P00086,HAR-C0026,Valley Hardware Inc.,HIG-BOP-5356761,BOP,Business Owners Policy,HIG,The Hartford Fire Insurance Company,10/03/25,10/03/2026,12,5903,14.0,826.42,Direct Bill,In Force,E001,E008,N,New,N,,
HAR-P00087,HAR-C0026,Valley Hardware Inc.,NAT-WC-8917179,WC,Workers Compensation,NAT,Nationwide Mutual Insurance,2026-03-16,2027-03-16,12,171248,13.5,23118.48,Direct Bill,In Force,E001,E008,N,Renewal,Y,0.84,
HAR-P00088,HAR-C0027,Lakeshore Software Corp.,CNA-CYB-3262819,CYB,Cyber Liability,CNA,CNA Insurance,2026-02-17,2027-02-17,12,14809,12.5,1851.12,Agency Bill,In Force,E004,E011,N,New,N,,
HAR-P00089,HAR-C0027,Lakeshore Software Corp.,MKL-PL-9312741,PL,Professional Liability / E&O,MKL,Markel Specialty (Evanston Insurance Co.),2025-11-27,2026-11-27,12,32033,12.0,3843.96,Direct Bill,In Force,E004 ,E011,Y,Renewal,Y,,
HAR-P00090,HAR-C0027,Lakeshore Software Corp.,LIB-GL-4461213,GL,General Liability,LIB,Liberty Mutual Insurance,2025-11-07,2026-11-07,12,11343,12.0,1361.16,Agency Bill,In Force,E004,E011,N,New,Y,,
HAR-P00091,HAR-C0028 ,Sterling Transport LLC,HIG-GL-9831639,GL,General Liability,HIG,The Hartford Fire Insurance Company,2025-06-06,2026-06-06,12,26396,14.0,3695.44,Agency Bill,In Force,E004,E010,N,New,N,,
HAR-P00092,HAR-C0028,Sterling Transport LLC,LIB-UMB-1606521,UMB,Umbrella / Excess Liability,LIB,Liberty Mutual Insurance,2025-06-15,2026-06-15,12,25596,12.0,3071.52,Direct Bill,In Force,E004,E010,N,Renewal,N,,5000000
HAR-P00093,HAR-C0029,Tri-State Supply Inc.,CNA-PROP-8951034,PROP,Commercial Property ,CNA,CNA Insurance,2026-01-17,17-Jan-2027,12,75572,12.5,9446.5,Agency Bill,In Force,E005,E007,N,Renewal,Y,,
HAR-P00094,HAR-C0029,Tri-State Supply Inc. ,PRG-AUTO-4207370,AUTO,Commercial Auto ,PRG,Progressive Commercial,2025-10-16,16-Oct-2026,12,87816,10.0,8781.6,Direct Bill,In Force,E005,E007,N,Renewal,Y,,
HAR-P00095,HAR-C0029,Tri-State Supply Inc.,TRV-WC-3266785,WC,Workers Compensation,TRV,Travelers Indemnity Company,06/08/25,2026-06-08,12,80856,13.0,10511.28,Direct Bill,In Force,E005,E007,N,Renewal,N,1.34,
HAR-P00096,HAR-C0030 ,Anchor Electric Co.,TRV-GL-5363924,GL,General Liability,TRV,Travelers Indemnity Company,2026-03-28,2027-03-28,12,23608,13.0,3069.04,Agency Bill,In Force,E004,E009,N,Renewal,Y,,
HAR-P00097,HAR-C0030,Anchor Electric Co.,HIG-WC-9046805,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2025-10-20,2026-10-20,12,129438,14.0,18121.32,Direct Bill,In Force,E004,E009,N ,Renewal,N,1.32,
HAR-P00098,HAR-C0030,Anchor Electric Co.,LIB-AUTO-9319868,AUTO,Commercial Auto,LIB,Liberty Mutual Insurance,2026-03-28,2027-03-28,12,113666,12.0,13639.92,Direct Bill,In Force ,E004,E009,N,Renewal,Y,,
HAR-P00099,HAR-C0030,Anchor Electric Co.,MKL-UMB-8194789,UMB ,Umbrella / Excess Liability,MKL,Markel Specialty (Evanston Insurance Co.),2025-11-23,2026-11-23,12,24790,12.0,2974.8,Agency Bill,In Force,E004,E009,Y,Renewal,N,,3000000
