Policy Id,Coverage,Limit,Deductible,Form,Retro Date
HAR-P00067,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00067,Personal & Advertising Injury,1000000,0,,
HAR-P00067,Damage to Rented Premises,100000,0,,
HAR-P00067,Medical Expense,5000,0,,
HAR-P00068,Building - Loc 1,5750000,5000,Special (Replacement Cost),
HAR-P00068,Business Personal Property - Loc 1,350000,5000,Special,
HAR-P00068,Building - Loc 2,5400000,5000,Special (Replacement Cost),
HAR-P00068 ,Business Personal Property - Loc 2,800000,5000,Special,
HAR-P00068,Building - Loc 3,3950000,5000,Special (Replacement Cost),
HAR-P00068,Business Personal Property - Loc 3,775000,5000,Special,
HAR-P00069,Employers Liability Each Accident,1000000,0,,
HAR-P00069,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00070,Combined Single Limit,1000000,0,"Symbols 7,8,9",
HAR-P00070,Comprehensive,ACV,500,,
HAR-P00070,Collision,ACV,2500,,
HAR-P00071,Professional Liability / E&O Each Claim,3000000,50000,Claims-Made,2014-01-03
HAR-P00071,Professional Liability / E&O Aggregate,3000000,0,,
HAR-P00072,Each Occurrence,1000000,1000,Occurrence,
HAR-P00072,General Aggregate,2000000,0,,
HAR-P00072,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00072,Personal & Advertising Injury,1000000,0,,
HAR-P00072,Damage to Rented Premises,100000,0,,
HAR-P00072,Medical Expense,5000,0,,
HAR-P00073,Building - Loc 1,4850000,2500,Special (Replacement Cost),
HAR-P00073,Business Personal Property - Loc 1,450000,5000,Special ,
HAR-P00073,Building - Loc 2,4600000,25000,Special (Replacement Cost),
HAR-P00073,Business Personal Property - Loc 2,675000,5000,Special,
HAR-P00074,Cyber Liability Each Claim,5000000,5000,Claims-Made,2021-06-23
HAR-P00074,Cyber Liability Aggregate,5000000,0,,
HAR-P00075,Employers Liability Each Accident,1000000,0,,
HAR-P00075,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00076,Each Occurrence,1000000,1000,Occurrence,
HAR-P00076,General Aggregate,2000000,0,,
HAR-P00076,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00076,Personal & Advertising Injury,1000000,0,,
HAR-P00076,Damage to Rented Premises,100000,0,,
HAR-P00076,Medical Expense,5000,0,,
HAR-P00077,Professional Liability / E&O Each Claim,3000000,50000,Claims-Made,2014-10-28
HAR-P00077,Professional Liability / E&O Aggregate,3000000,0,,
HAR-P00078,Employers Liability Each Accident,1000000,0,,
HAR-P00078,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00079,Each Occurrence,1000000,2500,Occurrence,
HAR-P00079,General Aggregate,2000000,0,,
HAR-P00079,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00079,Personal & Advertising Injury,1000000,0,,
HAR-P00079,Damage to Rented Premises,100000,0,,
HAR-P00079,Medical Expense,5000,0,,
HAR-P00080,Employers Liability Each Accident,1000000,0,,
HAR-P00080,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00081,Combined Single Limit ,1000000,0,Symbol 1 (Any Auto),
HAR-P00081,Comprehensive,ACV,2500,,
HAR-P00081,Collision,ACV,2500,,
HAR-P00082,Umbrella Each Occurrence,10000000,10000,Follow Form,
HAR-P00082,Umbrella Aggregate,10000000,0,,
HAR-P00083,Each Occurrence,1000000,0,Occurrence,
HAR-P00083,General Aggregate,2000000,0,,
HAR-P00083,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00083,Personal & Advertising Injury ,1000000,0,,
HAR-P00083,Damage to Rented Premises,100000,0,,
HAR-P00083,Medical Expense,5000,0,,
HAR-P00084,Building - Loc 1,1750000,25000,Special (Replacement Cost),
HAR-P00084,Business Personal Property - Loc 1,1000000,5000,Special,
HAR-P00085,Employers Liability Each Accident,1000000,0,,
HAR-P00085,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00086,Liability Each Occurrence,1000000,0,Occurrence,
HAR-P00086,Business Personal Property,450000,1000,Special,
HAR-P00087,Employers Liability Each Accident,1000000,0,,
HAR-P00087,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00088,Cyber Liability Each Claim,3000000,10000,Claims-Made,2015-07-01
HAR-P00088,Cyber Liability Aggregate,3000000,0,,
HAR-P00089,Professional Liability / E&O Each Claim,3000000,25000,Claims-Made,2016-12-11
HAR-P00089,Professional Liability / E&O Aggregate,3000000,0,,
HAR-P00090,Each Occurrence,1000000,1000,Occurrence,
HAR-P00090,General Aggregate,2000000,0,,
HAR-P00090,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00090,Personal & Advertising Injury,1000000,0,,
HAR-P00090,Damage to Rented Premises,100000,0,,
HAR-P00090,Medical Expense,5000,0,,
HAR-P00091,Each Occurrence,1000000,0,Occurrence,
HAR-P00091,General Aggregate,2000000,0,,
HAR-P00091,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00091,Personal & Advertising Injury,1000000,0,,
HAR-P00091,Damage to Rented Premises,100000,0,,
HAR-P00091,Medical Expense,5000,0,,
HAR-P00092,Umbrella Each Occurrence,5000000,10000,Follow Form,
HAR-P00092,Umbrella Aggregate,5000000,0,,
HAR-P00093,Building - Loc 1,3300000,25000,Special (Replacement Cost),
HAR-P00093,Business Personal Property - Loc 1,150000,2500,Special,
HAR-P00093,Building - Loc 2,2450000,10000,Special (Replacement Cost),
HAR-P00093,Business Personal Property - Loc 2,350000,5000,Special,
HAR-P00093,Building - Loc 3,1150000,2500,Special (Replacement Cost),
HAR-P00093,Business Personal Property - Loc 3,900000,5000,Special,
HAR-P00094,Combined Single Limit,1000000,0,Symbol 1 (Any Auto),
HAR-P00094,Comprehensive,ACV,2500,,
HAR-P00094,Collision,ACV,1000,,
HAR-P00095,Employers Liability Each Accident,1000000,0,,
HAR-P00095,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00096,Each Occurrence,1000000,2500,Occurrence,
HAR-P00096,General Aggregate,2000000,0,,
HAR-P00096,Products-Completed Ops Aggregate,2000000,0,,
HAR-P00096,Personal & Advertising Injury,1000000,0,,
HAR-P00096,Damage to Rented Premises,100000,0,,
HAR-P00096,Medical Expense,5000,0,,
HAR-P00097,Employers Liability Each Accident,1000000,0,,
HAR-P00097,Employers Liability Disease - Policy Limit,1000000,0,,
HAR-P00098,Combined Single Limit,1000000,0,"Symbols 7,8,9",
HAR-P00098,Comprehensive,ACV,2500,,
HAR-P00098,Collision,ACV,2500,,
HAR-P00099 ,Umbrella Each Occurrence,3000000,10000,Follow Form,
HAR-P00099,Umbrella Aggregate,3000000,0,,
