Vehicle Id,Policy Id,Client Id,Unit Number,Year,Make,Model,Vin,Vehicle Type,Gvw,Garaging City,Garaging State,Stated Value,Radius,Comp Ded,Coll Ded
HAR-P00051-V07,HAR-P00051,HAR-C0016,7,2024,Freightliner,Cascadia,XGAEHKFXR0C910XRY,Heavy Truck,80000,Tampa,FL,106000,Local (<50mi),2500,2500
HAR-P00051-V08,HAR-P00051,HAR-C0016,8,2024,International,LT625,HLZUTY4NT895UHJLJ,Heavy Truck,80000,Tampa,FL,157000,Local (<50mi),1000,1000
HAR-P00051-V09,HAR-P00051,HAR-C0016,9,2023,International,LT625,LZDV9X6C6PTSZG58M,Heavy Truck,80000,Tampa,FL,28000,Local (<50mi),1000,1000
HAR-P00070-V01,HAR-P00070,HAR-C0021,1,2012,Peterbilt,579,V95NBNJU1R521LJZ4,Heavy Truck,80000,Orlando,FL,41000,Local (<50mi),500,1000
HAR-P00070-V02,HAR-P00070,HAR-C0021,2,2025,Peterbilt,579,NZ9M7LLCDJ8ANC5NR,Heavy Truck,80000,Orlando,FL,108000,Intermediate (50-200mi),500,5000
HAR-P00070-V03,HAR-P00070,HAR-C0021,3,2016,International,LT625,NRMSAATXX77XKSGTY,Heavy Truck,80000,Orlando,FL,63000,Local (<50mi),1000,2500
HAR-P00070-V04,HAR-P00070,HAR-C0021,4,2017,Ford,Transit 250,DGXJW2C87V504DRUZ,Light Truck/Van,14000,Orlando,FL,159000,Local (<50mi),500,1000
HAR-P00070-V05,HAR-P00070,HAR-C0021,5,2021,International,LT625,JGHK1EHURDFAR3CST,Heavy Truck,80000,Orlando,FL,51000,Long Haul (>200mi),1000,5000
HAR-P00070-V06,HAR-P00070,HAR-C0021,6,2017,Isuzu,NPR-HD,H1L4CPW05WHA0FLFN,Light Truck/Van,10000,Orlando,FL,64000,Intermediate (50-200mi),500,2500
HAR-P00070-V07,HAR-P00070,HAR-C0021,7,2022,Ford,F-250,ZNPNE0F47RZP1EUC2,Light Truck/Van,10000,Orlando,FL,74000,Local (<50mi),2500,5000
HAR-P00070-V08,HAR-P00070 ,HAR-C0021,8,2012,Ford,F-250,RJYPW9AL5NLTJ4ZVF,Light Truck/Van,10000,Orlando,FL,81000,Local (<50mi),1000,5000
HAR-P00070-V09,HAR-P00070,HAR-C0021,9,2015,International,LT625,L0GP0UU5CJYL4B8B3,Heavy Truck,80000,Orlando,FL,102000,Long Haul (>200mi),500,5000
HAR-P00070-V10,HAR-P00070,HAR-C0021,10,2021,Ford,Transit 250,9ENXCANWD9EL70J6F,Light Truck/Van,14000,Orlando,FL ,153000,Long Haul (>200mi),2500,2500
HAR-P00070-V11,HAR-P00070,HAR-C0021,11,2019,RAM,ProMaster 2500,43179PJ3WGTRUUWTR,Light Truck/Van,14000,Orlando,FL,159000,Intermediate (50-200mi),500,1000
HAR-P00070-V12 ,HAR-P00070,HAR-C0021,12,2019,Freightliner,Cascadia,CK4R9K3SPC6JSXT5L,Heavy Truck,80000,Orlando ,FL,163000,Local (<50mi),2500,2500
HAR-P00070-V13,HAR-P00070,HAR-C0021,13,2024,Peterbilt,579,GZLR5VSXHM1LAN9N6,Heavy Truck,80000,Orlando,FL,159000,Local (<50mi),500,1000
HAR-P00081-V01,HAR-P00081,HAR-C0024,1,2012,International,LT625,803YZW55ZVXPVKMA7,Heavy Truck,80000,Tampa,FL,31000,Long Haul (>200mi),2500,1000
HAR-P00081-V02,HAR-P00081,HAR-C0024,2,2017,Chevrolet,Silverado 2500,BB89W0UGFUVRVHJ13,Light Truck/Van,10000,Tampa,FL,124000,Intermediate (50-200mi),2500,2500
HAR-P00081-V03,HAR-P00081,HAR-C0024,3,2014,Ford,Transit 250,CZ57MTXLHXFS4CZWZ,Light Truck/Van,14000,Tampa,FL,143000,Intermediate (50-200mi),1000,2500
HAR-P00081-V04,HAR-P00081,HAR-C0024,4,2013,Isuzu,NPR-HD,BT0ZW94YRP3FULUDR,Light Truck/Van,14000,Tampa,FL,53000,Intermediate (50-200mi),1000,2500
HAR-P00081-V05,HAR-P00081,HAR-C0024,5,2024,International,LT625,H9DZXZJLYX1C65ZM0,Heavy Truck,80000,Tampa,FL,34000,Long Haul (>200mi),2500,1000
HAR-P00081-V06,HAR-P00081,HAR-C0024,6,2016,Chevrolet,Silverado 2500,S4ZAHHW42CWUJYVDR,Light Truck/Van,14000,Tampa,FL,165000,Intermediate (50-200mi),1000,2500
HAR-P00081-V07,HAR-P00081,HAR-C0024,7,2022,Isuzu,NPR-HD,REE8TAR30HEASPW82,Light Truck/Van,14000,Tampa,FL,33000,Local (<50mi),2500,1000
HAR-P00081-V08,HAR-P00081,HAR-C0024,8,2012,Peterbilt,579,RLG64LSZN2YUJJNP3,Heavy Truck,80000,Tampa,FL,22000,Local (<50mi),1000,2500
HAR-P00081-V09,HAR-P00081,HAR-C0024,9,2017,RAM,ProMaster 2500,G45V29KBZM1K5H263,Light Truck/Van,14000,Tampa,FL,143000,Intermediate (50-200mi),500,5000
HAR-P00081-V10,HAR-P00081,HAR-C0024,10,2024,RAM,ProMaster 2500,VEMMSM8W52YA82H6R,Light Truck/Van,14000,Tampa,FL,115000,Intermediate (50-200mi),1000,2500
HAR-P00081-V11,HAR-P00081,HAR-C0024,11,2013,Ford,F-250,5KZHAKVCNDJXRVYTJ,Light Truck/Van,8500,Tampa,FL,158000,Long Haul (>200mi),1000,1000
HAR-P00081-V12,HAR-P00081,HAR-C0024,12,2018,Ford,Transit 250,0ZXZ7LALMRFP2LYDG,Light Truck/Van,8500,Tampa,FL,148000,Local (<50mi),2500,2500
HAR-P00081-V13,HAR-P00081,HAR-C0024,13,2019,Peterbilt,579,KBAP19DP37TAK8SRM,Heavy Truck,80000,Tampa,FL,56000,Local (<50mi),2500,5000
HAR-P00081-V14,HAR-P00081,HAR-C0024,14,2013,Ford,Transit 250,KVESP8C3ZC6GZL2TA,Light Truck/Van,10000,Tampa,FL,133000,Local (<50mi),500,1000
HAR-P00094-V01,HAR-P00094,HAR-C0029,1,2015,RAM,ProMaster 2500,DKWGA83EJPXJD9ZYM,Light Truck/Van,8500,Jacksonville,FL,51000,Intermediate (50-200mi),2500,1000
HAR-P00094-V02,HAR-P00094,HAR-C0029,2,2024,Peterbilt,579,D5SVFTUAZ6PVWWPKH,Heavy Truck,80000,Jacksonville,FL,89000,Local (<50mi),2500,5000
HAR-P00094-V03,HAR-P00094,HAR-C0029,3,2017,RAM,ProMaster 2500,8XW3TEL1PPRX7MM53,Light Truck/Van,14000,Jacksonville,FL,30000,Local (<50mi),1000,2500
HAR-P00094-V04,HAR-P00094,HAR-C0029,4,2020,Freightliner,Cascadia,3HNR1C95X7K6U0P1C,Heavy Truck,80000,Jacksonville,FL,87000,Local (<50mi),500,5000
HAR-P00094-V05,HAR-P00094,HAR-C0029,5,2018,Ford,Transit 250,XHX73GW4GBSPYS50S,Light Truck/Van,8500,Jacksonville,FL,82000,Local (<50mi),1000,1000
HAR-P00094-V06,HAR-P00094,HAR-C0029,6,2015,Chevrolet,Silverado 2500,NBJ37ECF9Y33EHCCH,Light Truck/Van,14000,Jacksonville,FL,25000,Intermediate (50-200mi),1000,1000
HAR-P00098-V01,HAR-P00098,HAR-C0030,1,2012,Chevrolet,Silverado 2500,WSBEK95HCECHF83NA,Light Truck/Van,10000,Jacksonville,FL,41000,Intermediate (50-200mi),1000,2500
HAR-P00098-V02,HAR-P00098,HAR-C0030,2,2013,Peterbilt,579,YMRF095BHWD28LH9G,Heavy Truck,80000,Jacksonville,FL,22000,Long Haul (>200mi),500,2500
HAR-P00098-V03,HAR-P00098,HAR-C0030 ,3,2012,Isuzu,NPR-HD,A98ABK8Z0BF8UG141,Light Truck/Van,10000,Jacksonville,FL,131000,Intermediate (50-200mi),1000,5000
HAR-P00098-V04,HAR-P00098,HAR-C0030,4,2020,International,LT625,RYKXP2BENSKHTN8EY,Heavy Truck,80000,Jacksonville,FL,79000,Long Haul (>200mi),2500,1000
HAR-P00098-V05,HAR-P00098,HAR-C0030,5,2017,Isuzu,NPR-HD ,UDXDMKBZGYCYU8VBX,Light Truck/Van,10000,Jacksonville,FL,29000,Long Haul (>200mi),1000,5000
