date,description,debit,credit,balance
2025-06-24,Card DEPOSIT 695108,,14226.39,1107037.7
2025-06-24,Wire DEPOSIT 972138,,3955.41,1110993.11
2025-06-25,Check DEPOSIT 112763,,2311.22,1113304.33
2025-06-26,Card DEPOSIT 159851,,7315.09,1120619.42
2025-06-27,Wire DEPOSIT 447939,,5952.28,1126571.7
2025-06-27,ACH DEPOSIT 794038,,5963.66,1132535.36
2025-06-27,Card DEPOSIT 598698,,25213.49,1157748.85
2025-06-28,ACH DEPOSIT 895573,,9524.69,1167273.54
2025-06-28,Card 12256 HAAS AUTOMATION,10910.35,,3965573.96
2025-06-30,ADP PAYROLL,447169.09,,440166.83
2025-07-03,Card DEPOSIT 716754,,10421.7,1177695.24
2025-07-04,Wire DEPOSIT 757888,,623.49,1178318.73
2025-07-04,Check DEPOSIT 211695,,1187.69,1179506.42
2025-07-04,ACH EFT APPLIED INDUSTRIAL TEC,2999.68,,3962574.28
2025-07-04,Card EFT GARLOCK SEALING TECHNO,8877.0,,3953697.28
2025-07-06,ACH EFT GARLOCK SEALING TECHNO,8333.64,,3945363.64
2025-07-07,ACH DEPOSIT 890536,,3826.97,1183333.39
2025-07-07,ACH 15419 APEX FASTENER CORP,6768.4,,3938595.24
2025-07-08,ACH DEPOSIT 474922,,15261.79,1198595.18
2025-07-08,Wire DEPOSIT 903929,,725.03,1199320.21
2025-07-08,ACH EFT FASTENAL,1497.96,,3937097.28
2025-07-09,Wire DEPOSIT 644372,,16214.62,1215534.83
2025-07-10,Wire DEPOSIT 862437,,2246.78,1217781.61
2025-07-10,ACH DEPOSIT 391573,,241.68,1218023.29
2025-07-10,ACH DEPOSIT 842323,,29828.55,1247851.84
2025-07-10,Check DEPOSIT 929828,,9922.35,1257774.19
2025-07-10,ACH DEPOSIT 741793,,10635.26,1268409.45
2025-07-10,Card 29482 BALDOR-RELIANCE (ABB),303.6,,3936793.68
2025-07-14,Check EFT REGAL REXNORD,3154.43,,3933639.25
2025-07-15,Wire DEPOSIT 661259,,3177.41,1271586.86
2025-07-15,ACH DEPOSIT 606578,,3700.75,1275287.61
2025-07-15,ACH EFT SANDVIK COROMANT,96.98,,3933542.27
2025-07-16,Check 28149 MSC INDUSTRIAL SUPPLY,3514.5,,3930027.77
2025-07-18,ACH DEPOSIT 200824,,7884.58,1283172.19
2025-07-19,ACH DEPOSIT 347604,,8633.95,1291806.14
2025-07-20,Wire DEPOSIT 630048,,22017.3,1313823.44
2025-07-20,ACH EFT REGAL REXNORD,887.5,,3929140.27
2025-07-21,ACH DEPOSIT 488025,,6388.9,1320212.34
2025-07-23,ACH DEPOSIT 460131,,3161.4,1323373.74
2025-07-23,ACH DEPOSIT 770192,,6870.37,1330244.11
2025-07-23,ACH DEPOSIT 832884,,18044.48,1348288.59
2025-07-23,Check 22226 ALRO STEEL,1479.82,,3927660.45
2025-07-23,Check EFT BALDOR-RELIANCE (ABB),5385.34,,3922275.11
2025-07-23,ACH EFT BRIGHTON-BEST INTERNAT,105.43,,3922169.68
2025-07-23,"Check EFT W.W. GRAINGER, INC.",16767.2,,3905402.48
2025-07-24,Check DEPOSIT 185298,,5532.05,1353820.64
2025-07-24,Card 15134 MSC INDUSTRIAL SUPPLY,7623.21,,3897779.27
2025-07-24,ACH 16702 ULINE,8929.8,,3888849.47
2025-07-27,Check DEPOSIT 413162,,29850.45,1383671.09
2025-07-27,Card DEPOSIT 641134,,7809.12,1391480.21
2025-07-27,ACH DEPOSIT 392180,,9015.87,1400496.08
2025-07-27,Check EFT FASTENAL,124.16,,3888725.31
2025-07-27,ACH EFT RYERSON,270.32,,3888454.99
2025-07-28,Wire DEPOSIT 294321,,1334.83,1401830.91
2025-07-28,ACH EFT CINTAS CORPORATION,3770.6,,3884684.39
2025-07-29,Wire DEPOSIT 354498,,1418.22,1403249.13
2025-07-29,ACH EFT CINTAS CORPORATION,3233.45,,3881450.94
2025-07-29,ACH 10703 FASTENAL,103.8,,3881347.14
2025-07-30,Wire DEPOSIT 701004,,9263.47,1412512.6
2025-07-30,ACH EFT APPLIED INDUSTRIAL TEC,32875.42,,3848471.72
2025-07-31,Check DEPOSIT 238362,,5271.51,1417784.11
2025-07-31,ACH DEPOSIT 637490,,5637.69,1423421.8
2025-07-31,ACH EFT APPLIED INDUSTRIAL TEC,17521.88,,3830949.84
2025-07-31,ADP PAYROLL,444378.48,,-4211.65
2025-08-01,ACH 11046 CINTAS CORPORATION,2687.0,,3828262.84
2025-08-02,ACH DEPOSIT 985766,,4386.81,1427808.61
2025-08-03,Card DEPOSIT 683364,,15045.11,1442853.72
2025-08-04,ACH DEPOSIT 906762,,3510.36,1446364.08
2025-08-04,Check 16074 PARKER HANNIFIN,3210.0,,3825052.84
2025-08-08,ACH DEPOSIT 906036,,9139.46,1455503.54
2025-08-08,ACH DEPOSIT 112555,,15756.07,1471259.61
2025-08-08,"Card EFT W.W. GRAINGER, INC.",12079.75,,3812973.09
2025-08-08,ACH 18716 REGAL REXNORD,250.0,,3812723.09
2025-08-09,Check DEPOSIT 232910,,20391.19,1491650.8
2025-08-09,Card DEPOSIT 878970,,16343.81,1507994.61
2025-08-09,ACH DEPOSIT 132933,,6257.85,1514252.46
2025-08-10,ACH 16365 APEX FASTENER CORP,5018.55,,3807704.54
2025-08-11,Check EFT MSC INDUSTRIAL SUPPLY,2722.94,,3804981.6
2025-08-12,Card DEPOSIT 786742,,588.52,1514840.98
2025-08-12,Card 20518 ULINE,7547.63,,3797433.97
2025-08-13,Card DEPOSIT 838456,,28137.77,1542978.75
2025-08-13,Wire DEPOSIT 477068,,207.29,1543186.04
2025-08-14,ACH DEPOSIT 961343,,6939.94,1550125.98
2025-08-15,Check DEPOSIT 396399,,10918.33,1561044.31
2025-08-15,"Check 27449 W.W. GRAINGER, INC.",9640.2,,3787793.77
2025-08-16,Card DEPOSIT 957585,,10714.9,1571759.21
2025-08-16,ACH DEPOSIT 246643,,25388.45,1597147.66
2025-08-17,ACH DEPOSIT 487333,,5672.47,1602820.13
2025-08-17,ACH 19157 CINTAS CORPORATION,3976.53,,3783817.24
2025-08-17,ACH EFT ULINE,246.0,,3783571.24
2025-08-18,Check EFT CINTAS CORPORATION,2273.05,,3781298.19
2025-08-19,Check DEPOSIT 815546,,4958.36,1607778.49
2025-08-19,ACH EFT BALDOR-RELIANCE (ABB),31974.47,,3749323.72
2025-08-21,ACH 22247 REGAL REXNORD,2400.0,,3746923.72
2025-08-22,"ACH EFT W.W. GRAINGER, INC.",5200.2,,3741723.52
2025-08-22,ACH 19819 SANDVIK COROMANT,3319.31,,3738404.21
2025-08-24,ACH DEPOSIT 182768,,7151.82,1614930.31
2025-08-24,ACH DEPOSIT 390974,,29056.75,1643987.06
2025-08-25,Card DEPOSIT 361217,,22524.57,1666511.63
2025-08-26,ACH DEPOSIT 837576,,4554.56,1671066.19
2025-08-26,ACH DEPOSIT 976459,,13948.89,1685015.08
2025-08-26,ACH DEPOSIT 387739,,12231.47,1697246.55
2025-08-26,ACH DEPOSIT 440372,,2187.56,1699434.11
2025-08-26,ACH EFT GARLOCK SEALING TECHNO,12431.07,,3725973.14
2025-08-27,Wire DEPOSIT 778140,,28942.66,1728376.77
2025-08-27,Check DEPOSIT 635627,,25877.01,1754253.78
2025-08-28,Wire DEPOSIT 762394,,13975.69,1768229.47
2025-08-28,ACH EFT MCMASTER-CARR,21738.12,,3704235.02
2025-08-29,ACH DEPOSIT 472318,,28324.58,1796554.05
2025-08-30,Card DEPOSIT 722735,,20481.73,1817035.78
2025-08-30,Wire DEPOSIT 991907,,10605.02,1827640.8
2025-08-30,ACH DEPOSIT 216988,,12310.91,1839951.71
2025-08-31,ACH EFT PARKER HANNIFIN,9486.39,,3694748.63
2025-08-31,ADP PAYROLL,437561.96,,-441773.61
2025-09-01,ACH DEPOSIT 829508,,975.13,1840926.84
2025-09-02,ACH DEPOSIT 193664,,33118.45,1874045.29
2025-09-03,Card DEPOSIT 973996,,2917.22,1876962.51
2025-09-03,Card DEPOSIT 198845,,8031.96,1884994.47
2025-09-04,ACH DEPOSIT 135073,,7034.43,1892028.9
2025-09-04,"Card EFT W.W. GRAINGER, INC.",17980.23,,3676768.4
2025-09-05,Check DEPOSIT 953288,,5968.78,1897997.68
2025-09-05,Check 25671 BRIGHTON-BEST INTERNAT,4381.81,,3672386.59
2025-09-06,Card DEPOSIT 663378,,12359.49,1910357.17
2025-09-06,Check EFT GARLOCK SEALING TECHNO,5041.56,,3667345.03
2025-09-07,Card DEPOSIT 345654,,1254.99,1911612.16
2025-09-07,Check DEPOSIT 289588,,23963.43,1935575.59
2025-09-07,Check DEPOSIT 561142,,28430.01,1964005.6
2025-09-08,ACH DEPOSIT 839790,,14876.03,1978881.63
2025-09-08,Check 22556 BALDOR-RELIANCE (ABB),2710.0,,3664635.03
2025-09-08,Card EFT BRIGHTON-BEST INTERNAT,2994.46,,3661640.57
2025-09-09,Card DEPOSIT 727708,,10211.64,1989093.27
2025-09-09,Wire DEPOSIT 860307,,3536.1,1992629.37
2025-09-09,Wire DEPOSIT 225600,,9053.91,2001683.28
2025-09-11,ACH DEPOSIT 432546,,12339.43,2014022.71
2025-09-11,ACH DEPOSIT 748461,,6913.46,2020936.17
2025-09-12,Check DEPOSIT 446323,,530.02,2021466.19
2025-09-12,Card DEPOSIT 247982,,4044.08,2025510.27
2025-09-12,Card 20482 MSC INDUSTRIAL SUPPLY,2394.0,,3659246.57
2025-09-13,Check 21681 BALDOR-RELIANCE (ABB),866.5,,3658380.07
2025-09-14,Card DEPOSIT 984357,,27208.46,2052718.73
2025-09-14,Check EFT FASTENAL,6197.48,,3652182.59
2025-09-16,Card EFT APPLIED INDUSTRIAL TEC,2328.06,,3649854.53
2025-09-17,ACH 16692 CINTAS CORPORATION,325.0,,3649529.53
2025-09-18,ACH EFT SANDVIK COROMANT,64.28,,3649465.25
2025-09-19,Check DEPOSIT 238554,,2736.16,2055454.89
2025-09-19,Check EFT MCMASTER-CARR,5545.79,,3643919.46
2025-09-19,ACH EFT ULINE,207.13,,3643712.33
2025-09-20,ACH DEPOSIT 358749,,6119.87,2061574.76
2025-09-20,ACH DEPOSIT 814406,,6398.84,2067973.6
2025-09-21,ACH DEPOSIT 852127,,3915.68,2071889.28
2025-09-21,ACH DEPOSIT 716194,,7426.66,2079315.94
2025-09-21,Check DEPOSIT 431276,,10461.72,2089777.66
2025-09-22,ACH DEPOSIT 630240,,9489.12,2099266.78
2025-09-23,ACH DEPOSIT 659045,,4698.17,2103964.95
2025-09-23,Card DEPOSIT 275167,,511.67,2104476.62
2025-09-23,ACH DEPOSIT 273561,,13167.63,2117644.25
2025-09-24,Card EFT RYERSON,170.0,,3643542.33
2025-09-25,ACH DEPOSIT 940152,,30088.16,2147732.41
2025-09-25,Wire DEPOSIT 500251,,3228.52,2150960.93
2025-09-25,ACH DEPOSIT 407400,,2174.04,2153134.97
2025-09-25,Wire DEPOSIT 397170,,5042.55,2158177.52
2025-09-28,Card 13148 ALRO STEEL,2332.81,,3641209.52
2025-09-29,ACH EFT HAAS AUTOMATION,6337.46,,3634872.06
2025-09-30,Check EFT APPLIED INDUSTRIAL TEC,7712.22,,3627159.84
2025-09-30,ADP PAYROLL,447261.74,,-889035.35
2025-10-01,ACH DEPOSIT 833658,,20133.86,2178311.38
2025-10-01,Card EFT BRIGHTON-BEST INTERNAT,3134.07,,3624025.77
2025-10-02,Wire DEPOSIT 460486,,14729.69,2193041.07
2025-10-02,Check EFT MOTION INDUSTRIES,894411.72,,2729614.05
2025-10-03,ACH DEPOSIT 689502,,3290.42,2196331.49
2025-10-03,Wire DEPOSIT 959598,,1542.04,2197873.53
2025-10-03,Check EFT APPLIED INDUSTRIAL TEC,4741.76,,2724872.29
2025-10-04,ACH DEPOSIT 510146,,5834.13,2203707.66
2025-10-05,Wire DEPOSIT 457528,,2120.77,2205828.43
2025-10-05,Check DEPOSIT 448857,,9403.69,2215232.12
2025-10-05,Check EFT MOTION INDUSTRIES,1049.16,,2723823.13
2025-10-06,ACH DEPOSIT 269413,,588.91,2215821.03
2025-10-06,ACH EFT FASTENAL,5884.2,,2717938.93
2025-10-07,ACH DEPOSIT 855372,,25249.08,2241070.11
2025-10-07,Check DEPOSIT 740169,,6549.14,2247619.25
2025-10-09,ACH EFT APPLIED INDUSTRIAL TEC,2669.4,,2715269.53
2025-10-10,Wire DEPOSIT 990307,,12432.3,2260051.55
2025-10-11,Check DEPOSIT 211213,,8000.66,2268052.21
2025-10-11,ACH EFT SANDVIK COROMANT,1042.56,,2714226.97
2025-10-12,Check 28121 BALDOR-RELIANCE (ABB),15992.57,,2698234.4
2025-10-13,Card DEPOSIT 674193,,950.0,2269002.21
2025-10-13,ACH EFT BRIGHTON-BEST INTERNAT,942.83,,2697291.57
2025-10-13,"ACH 11090 W.W. GRAINGER, INC.",5524.65,,2691766.92
2025-10-14,Check DEPOSIT 764744,,15523.36,2284525.57
2025-10-14,Check DEPOSIT 602587,,5641.8,2290167.37
2025-10-15,Wire DEPOSIT 395789,,52998.5,2343165.87
2025-10-15,Card DEPOSIT 667782,,3009.6,2346175.47
2025-10-16,ACH EFT MCMASTER-CARR,13196.6,,2678570.32
2025-10-16,ACH EFT ALRO STEEL,666.02,,2677904.3
2025-10-17,ACH 14102 HAAS AUTOMATION,2072.6,,2675831.7
2025-10-17,ACH EFT APEX FASTENER CORP,602.0,,2675229.7
2025-10-17,ACH EFT FASTENAL,44.16,,2675185.54
2025-10-18,Card 16318 MCMASTER-CARR,576.2,,2674609.34
2025-10-19,Wire DEPOSIT 125083,,14763.34,2360938.81
2025-10-19,ACH DEPOSIT 803339,,11314.74,2372253.55
2025-10-20,Wire DEPOSIT 785418,,25433.44,2397686.99
2025-10-20,Check 28845 APPLIED INDUSTRIAL TEC,27996.25,,2646613.09
2025-10-20,Card EFT ULINE,8069.25,,2638543.84
2025-10-21,Card DEPOSIT 839933,,2368.43,2400055.42
2025-10-21,Check DEPOSIT 508476,,18393.51,2418448.93
2025-10-21,"ACH 20838 W.W. GRAINGER, INC.",11942.0,,2626601.84
2025-10-22,Check EFT BALDOR-RELIANCE (ABB),4506.5,,2622095.34
2025-10-22,ACH EFT BALDOR-RELIANCE (ABB),2029.17,,2620066.17
2025-10-23,ACH DEPOSIT 292863,,3189.53,2421638.46
2025-10-23,Card DEPOSIT 541726,,15539.92,2437178.38
2025-10-23,Check DEPOSIT 261077,,28381.44,2465559.82
2025-10-23,Check EFT RYERSON,130.0,,2619936.17
2025-10-23,ACH 20457 HAAS AUTOMATION,1203.4,,2618732.77
2025-10-23,Card EFT REGAL REXNORD,1942.57,,2616790.2
2025-10-24,ACH DEPOSIT 707585,,167.16,2465726.98
2025-10-24,Card 14925 BALDOR-RELIANCE (ABB),1318.41,,2615471.79
2025-10-25,ACH DEPOSIT 156239,,2434.23,2468161.21
2025-10-25,Check DEPOSIT 903100,,22957.13,2491118.34
2025-10-26,Check DEPOSIT 131296,,10433.1,2501551.44
2025-10-26,Check DEPOSIT 286462,,3043.06,2504594.5
2025-10-26,Card DEPOSIT 531496,,6072.78,2510667.28
2025-10-26,Check 18154 SANDVIK COROMANT,99.94,,2615371.85
2025-10-26,ACH EFT BALDOR-RELIANCE (ABB),8952.2,,2606419.65
2025-10-27,Check DEPOSIT 949603,,2283.43,2512950.71
2025-10-27,Card EFT MOTION INDUSTRIES,2928.0,,2603491.65
2025-10-28,Wire DEPOSIT 501228,,25311.85,2538262.56
2025-10-28,Card DEPOSIT 988080,,3387.29,2541649.85
2025-10-28,Check DEPOSIT 925701,,1729.9,2543379.75
2025-10-30,ACH DEPOSIT 692268,,3651.63,2547031.38
2025-10-30,ACH DEPOSIT 371360,,3122.18,2550153.56
2025-10-31,ADP PAYROLL,448847.53,,-1337882.88
2025-11-01,Card DEPOSIT 591587,,5919.58,2556073.14
2025-11-01,ACH 25775 FASTENAL,3969.0,,2599522.65
2025-11-02,Card DEPOSIT 325321,,4471.32,2560544.46
2025-11-02,Check EFT APPLIED INDUSTRIAL TEC,14555.38,,2584967.27
2025-11-02,Check 21627 MOTION INDUSTRIES,6704.98,,2578262.29
2025-11-04,ACH DEPOSIT 112963,,9134.6,2569679.06
2025-11-04,ACH EFT REGAL REXNORD,575.0,,2577687.29
2025-11-05,ACH DEPOSIT 695321,,12855.31,2582534.37
2025-11-06,ACH EFT BRIGHTON-BEST INTERNAT,1032.51,,2576654.78
2025-11-07,Wire DEPOSIT 818560,,16458.48,2598992.85
2025-11-07,Wire DEPOSIT 833560,,9847.13,2608839.98
2025-11-07,Check DEPOSIT 517953,,27015.55,2635855.53
2025-11-09,Wire DEPOSIT 407706,,11590.34,2647445.87
2025-11-09,Card EFT REGAL REXNORD,1884.15,,2574770.63
2025-11-09,ACH 13097 ULINE,131.06,,2574639.57
2025-11-09,"Check EFT W.W. GRAINGER, INC.",4130.2,,2570509.37
2025-11-10,Check 21956 APEX FASTENER CORP,3109.58,,2567399.79
2025-11-12,Card DEPOSIT 200419,,11421.92,2658867.79
2025-11-13,Check EFT SANDVIK COROMANT,1067.64,,2566332.15
2025-11-14,ACH DEPOSIT 605951,,5463.99,2664331.78
2025-11-14,ACH DEPOSIT 613341,,2851.22,2667183.0
2025-11-14,ACH EFT GARLOCK SEALING TECHNO,15035.41,,2551296.74
2025-11-15,ACH DEPOSIT 127605,,7691.87,2674874.87
2025-11-15,ACH DEPOSIT 731131,,20355.31,2695230.18
2025-11-15,ACH DEPOSIT 467925,,10036.19,2705266.37
2025-11-15,ACH 10299 MCMASTER-CARR,25559.72,,2525737.02
2025-11-15,Card 11723 RYERSON,143.05,,2525593.97
2025-11-16,ACH DEPOSIT 809465,,4147.86,2709414.23
2025-11-16,Card 29430 MOTION INDUSTRIES,137.0,,2525456.97
2025-11-17,Check 15947 MSC INDUSTRIAL SUPPLY,12550.0,,2512906.97
2025-11-18,ACH DEPOSIT 597107,,5122.54,2714536.77
2025-11-18,Check 24008 GARLOCK SEALING TECHNO,4018.77,,2508888.2
2025-11-19,Card DEPOSIT 211556,,10074.02,2724610.79
2025-11-20,Wire DEPOSIT 927255,,17363.55,2741974.34
2025-11-21,Wire DEPOSIT 333671,,3877.8,2745852.14
2025-11-22,Wire DEPOSIT 720143,,11447.17,2757299.31
2025-11-22,ACH DEPOSIT 168397,,793.6,2758092.91
2025-11-22,ACH DEPOSIT 328620,,4202.05,2762294.96
2025-11-23,Card DEPOSIT 189090,,438.65,2762733.61
2025-11-24,Wire DEPOSIT 790139,,8757.0,2771490.61
2025-11-24,Card DEPOSIT 738724,,2279.51,2773770.12
2025-11-24,ACH DEPOSIT 740856,,1627.73,2775397.85
2025-11-24,ACH 10360 APEX FASTENER CORP,6616.1,,2502272.1
2025-11-24,Check EFT MOTION INDUSTRIES,359.62,,2501912.48
2025-11-25,Check DEPOSIT 766845,,23817.57,2799215.42
2025-11-25,Card EFT BRIGHTON-BEST INTERNAT,6011.92,,2495900.56
2025-11-26,Check 19223 MSC INDUSTRIAL SUPPLY,634.24,,2495266.32
2025-11-26,"Check 27882 W.W. GRAINGER, INC.",21285.51,,2473980.81
2025-11-26,"Check 21293 W.W. GRAINGER, INC.",11942.0,,2462038.81
2025-11-27,Check DEPOSIT 173405,,1089.51,2800304.93
2025-11-27,ACH DEPOSIT 680615,,1483.22,2801788.15
2025-11-28,ACH DEPOSIT 296091,,8796.32,2810584.47
2025-11-28,ACH DEPOSIT 483795,,1784.51,2812368.98
2025-11-29,ACH DEPOSIT 459448,,8441.63,2820810.61
2025-11-29,Card DEPOSIT 694407,,575.76,2821386.37
2025-11-29,ACH DEPOSIT 822217,,4034.65,2825421.02
2025-11-29,Check 23450 APPLIED INDUSTRIAL TEC,4500.55,,2457538.26
2025-11-29,ACH 27434 APEX FASTENER CORP,2576.75,,2454961.51
2025-11-30,Check 14777 RYERSON,351.88,,2454609.63
2025-11-30,ADP PAYROLL,447831.09,,-1785713.97
2025-12-01,Card 13409 APPLIED INDUSTRIAL TEC,4686.5,,2449923.13
2025-12-02,Card DEPOSIT 803977,,1294.38,2826715.4
2025-12-03,Card EFT REGAL REXNORD,4325.0,,2445598.13
2025-12-05,Card DEPOSIT 243770,,35907.38,2862622.78
2025-12-06,ACH EFT HAAS AUTOMATION,1471.67,,2444126.46
2025-12-07,Check DEPOSIT 880024,,238.54,2862861.32
2025-12-07,Check DEPOSIT 206628,,18769.32,2881630.64
2025-12-08,Wire DEPOSIT 742387,,2655.51,2884286.15
2025-12-08,ACH EFT CINTAS CORPORATION,3403.71,,2440722.75
2025-12-09,Check DEPOSIT 736185,,3835.57,2888121.72
2025-12-10,Check DEPOSIT 656880,,193.34,2888315.06
2025-12-11,ACH 14272 BALDOR-RELIANCE (ABB),7877.15,,2432845.6
2025-12-11,Card EFT ULINE,3352.27,,2429493.33
2025-12-12,Wire DEPOSIT 688068,,1808.38,2890123.44
2025-12-13,Check DEPOSIT 955138,,11189.43,2901312.87
2025-12-14,Check DEPOSIT 575903,,12713.78,2914026.65
2025-12-14,ACH DEPOSIT 509618,,9499.1,2923525.75
2025-12-14,Wire DEPOSIT 322251,,758.62,2924284.37
2025-12-14,ACH EFT MSC INDUSTRIAL SUPPLY,2394.0,,2427099.33
2025-12-15,Wire DEPOSIT 222721,,6448.45,2930732.82
2025-12-15,ACH DEPOSIT 104124,,2787.57,2933520.39
2025-12-15,Check DEPOSIT 291345,,15149.82,2948670.21
2025-12-15,ACH DEPOSIT 779545,,6206.61,2954876.82
2025-12-16,ACH DEPOSIT 874876,,2463.43,2957340.25
2025-12-16,ACH 22648 MSC INDUSTRIAL SUPPLY,2135.87,,2424963.46
2025-12-17,Check DEPOSIT 732246,,2197.16,2959537.41
2025-12-17,ACH DEPOSIT 593768,,17562.77,2977100.18
2025-12-17,ACH DEPOSIT 788978,,13290.1,2990390.28
2025-12-17,Wire DEPOSIT 508466,,2586.3,2992976.58
2025-12-18,Wire DEPOSIT 805800,,22613.08,3015589.66
2025-12-18,Card DEPOSIT 649791,,4366.71,3019956.37
2025-12-18,ACH EFT PARKER HANNIFIN,8992.68,,2415970.78
2025-12-19,Check DEPOSIT 614209,,20581.25,3040537.62
2025-12-19,ACH DEPOSIT 886745,,8434.17,3048971.79
2025-12-19,Check 29441 CINTAS CORPORATION,3484.14,,2412486.64
2025-12-20,Wire DEPOSIT 579964,,402.62,3049374.41
2025-12-21,Wire DEPOSIT 550756,,18971.05,3068345.46
2025-12-21,ACH DEPOSIT 505030,,3322.02,3071667.48
2025-12-21,ACH DEPOSIT 581775,,5921.3,3077588.78
2025-12-22,Wire DEPOSIT 573798,,5503.13,3083091.91
2025-12-22,ACH 29291 BRIGHTON-BEST INTERNAT,927.08,,2411559.56
2025-12-23,Check DEPOSIT 129700,,20529.81,3103621.72
2025-12-23,ACH EFT SANDVIK COROMANT,18036.43,,2393523.13
2025-12-23,ACH EFT MOTION INDUSTRIES,320611.02,,2072912.11
2025-12-26,ACH DEPOSIT 567044,,11913.68,3115535.4
2025-12-26,ACH DEPOSIT 348155,,3364.23,3118899.63
2025-12-26,ACH 27579 FASTENAL,2807.0,,2070105.11
2025-12-27,Wire DEPOSIT 831906,,508.87,3119408.5
2025-12-28,ACH DEPOSIT 537003,,1366.15,3120774.65
2025-12-28,ACH DEPOSIT 464353,,11271.46,3132046.11
2025-12-30,Card DEPOSIT 178810,,3381.61,3135427.72
2025-12-31,ACH DEPOSIT 446802,,447.35,3135875.07
2025-12-31,ADP PAYROLL,444874.02,,-2230587.99
2026-01-01,ACH DEPOSIT 146921,,7055.35,3142930.42
2026-01-02,ACH DEPOSIT 290793,,652.54,3143582.96
2026-01-02,ACH DEPOSIT 292295,,1445.55,3145028.51
2026-01-02,ACH EFT ULINE,15654.19,,2054450.92
2026-01-03,Card EFT MSC INDUSTRIAL SUPPLY,1193.48,,2053257.44
2026-01-03,ACH 10116 FASTENAL,116.46,,2053140.98
2026-01-04,Card 12667 HAAS AUTOMATION,6734.2,,2046406.78
2026-01-04,ACH EFT CINTAS CORPORATION,2561.0,,2043845.78
2026-01-05,ACH DEPOSIT 414756,,5449.84,3150478.35
2026-01-05,Card EFT REGAL REXNORD,1150.0,,2042695.78
2026-01-05,ACH EFT APPLIED INDUSTRIAL TEC,4939.84,,2037755.94
2026-01-06,Wire DEPOSIT 412406,,31872.17,3182350.52
2026-01-07,"Check EFT W.W. GRAINGER, INC.",4130.2,,2033625.74
2026-01-08,Check DEPOSIT 542139,,29333.59,3211684.11
2026-01-08,ACH EFT REGAL REXNORD,603.52,,2033022.22
2026-01-09,Wire DEPOSIT 843680,,1448.2,3213132.31
