journal_id,posting_date,period,account_number,account_name,debit,credit,memo,source_module,reference
JE-003031,2025-04-22,2025-04,2000,Accounts Payable,0,18357.12,Supplier inv SI2597314,AP,SI2597314
JE-002717,2025-04-23,2025-04,2050,GR/IR Clearing (Received Not Invoiced),6941.19,0,Supplier inv 555849,AP,555849
JE-002718,2025-04-23,2025-04,2000,Accounts Payable,0,6941.19,Supplier inv 555849,AP,555849
JE-003320,2025-04-23,2025-04,1200,Inventory - Raw Materials,109.2,0,PO receipt PO-31141,INV,RCV-40133
JE-003321,2025-04-23,2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,109.2,PO receipt PO-31141,INV,RCV-40133
JE-002799,2025-04-24,2025-04,2050,GR/IR Clearing (Received Not Invoiced),109.2,0,Supplier inv 4280659,AP,4280659
JE-002800,2025-04-24,2025-04,2000,Accounts Payable,0,109.2,Supplier inv 4280659,AP,4280659
JE-003278,2025-04-24,2025-04,1200,Inventory - Raw Materials,18892.0,0,PO receipt PO-31120,INV,RCV-40112
JE-003279,2025-04-24,2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,18892.0,PO receipt PO-31120,INV,RCV-40112
JE-001112,2025-04-25,2025-04,1100,Accounts Receivable,12713.72,0,Invoice INV-60239,AR,INV-60239
JE-001113,2025-04-25,2025-04,4000,Product Sales - Manufactured,0,12503.75,Invoice INV-60239,AR,INV-60239
JE-001114,2025-04-25,2025-04,4100,Freight Revenue,0,209.97,Freight billed,AR,INV-60239
JE-001115,2025-04-25,2025-04,5000,COGS - Materials,9741.1,0,COGS,AR,INV-60239
JE-001116,2025-04-25,2025-04,1220,Inventory - Finished Goods,0,9741.1,Inventory relief,AR,INV-60239
JE-000786,2025-04-26,2025-04,1100,Accounts Receivable,2311.22,0,Invoice INV-60169,AR,INV-60169
JE-000787,2025-04-26,2025-04,4000,Product Sales - Manufactured,0,2154.98,Invoice INV-60169,AR,INV-60169
JE-000788,2025-04-26,2025-04,2100,Accrued Expenses,0,156.24,Sales tax payable,AR,INV-60169
JE-000789,2025-04-26,2025-04,5000,COGS - Materials,1742.34,0,COGS,AR,INV-60169
JE-000790,2025-04-26,2025-04,1220,Inventory - Finished Goods,0,1742.34,Inventory relief,AR,INV-60169
JE-003276,2025-04-26,2025-04,1200,Inventory - Raw Materials,4964.4,0,PO receipt PO-31119,INV,RCV-40111
JE-003277,2025-04-26,2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,4964.4,PO receipt PO-31119,INV,RCV-40111
JE-000467,2025-04-27,2025-04,1100,Accounts Receivable,19334.73,0,Invoice INV-60101,AR,INV-60101
JE-000468,2025-04-27,2025-04,4000,Product Sales - Manufactured,0,18977.24,Invoice INV-60101,AR,INV-60101
JE-000469,2025-04-27,2025-04,4100,Freight Revenue,0,357.49,Freight billed,AR,INV-60101
JE-000470,2025-04-27,2025-04,5000,COGS - Materials,16036.51,0,COGS,AR,INV-60101
JE-000471,2025-04-27,2025-04,1220,Inventory - Finished Goods,0,16036.51,Inventory relief,AR,INV-60101
JE-003206,2025-04-27,2025-04,1200,Inventory - Raw Materials,562.06,0,PO receipt PO-31079,INV,RCV-40076
JE-003207,2025-04-27,2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,562.06,PO receipt PO-31079,INV,RCV-40076
JE-000267,2025-04-28,2025-04,1100,Accounts Receivable,22017.3,0,Invoice INV-60058,AR,INV-60058
JE-000268,2025-04-28,2025-04,4000,Product Sales - Manufactured,0,22017.3,Invoice INV-60058,AR,INV-60058
JE-000269,2025-04-28,2025-04,5000,COGS - Materials,16672.17,0,COGS,AR,INV-60058
JE-000270,2025-04-28,2025-04,1220,Inventory - Finished Goods,0,16672.17,Inventory relief,AR,INV-60058
JE-002751,2025-04-28,2025-04,2050,GR/IR Clearing (Received Not Invoiced),4964.4,0,Supplier inv SI198626,AP,SI198626
JE-002752,2025-04-28,2025-04,2000,Accounts Payable,0,4964.4,Supplier inv SI198626,AP,SI198626
JE-001288,2025-04-29,2025-04,1100,Accounts Receivable,3740.33,0,Invoice INV-60275,AR,INV-60275
JE-001289,2025-04-29,2025-04,4000,Product Sales - Manufactured,0,3740.33,Invoice INV-60275,AR,INV-60275
JE-001290,2025-04-29,2025-04,5000,COGS - Materials,2580.66,0,COGS,AR,INV-60275
JE-001291,2025-04-29,2025-04,1220,Inventory - Finished Goods,0,2580.66,Inventory relief,AR,INV-60275
JE-002753,2025-04-29,2025-04,2050,GR/IR Clearing (Received Not Invoiced),18892.0,0,Supplier inv 91704147,AP,91704147
JE-002754,2025-04-29,2025-04,5300,Freight In,53.62,0,Freight in,AP,91704147
JE-002755,2025-04-29,2025-04,2000,Accounts Payable,0,18945.62,Supplier inv 91704147,AP,91704147
JE-000320,2025-04-30,2025-04,1100,Accounts Receivable,15342.32,0,Invoice INV-60070,AR,INV-60070
JE-000321,2025-04-30,2025-04,4000,Product Sales - Manufactured,0,15342.32,Invoice INV-60070,AR,INV-60070
JE-000322,2025-04-30,2025-04,5000,COGS - Materials,10143.05,0,COGS,AR,INV-60070
JE-000323,2025-04-30,2025-04,1220,Inventory - Finished Goods,0,10143.05,Inventory relief,AR,INV-60070
JE-003316,2025-04-30,2025-04,1200,Inventory - Raw Materials,2592.46,0,PO receipt PO-31139,INV,RCV-40131
JE-003317,2025-04-30,2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,2592.46,PO receipt PO-31139,INV,RCV-40131
JE-003550,2025-04-30,2025-04,6700,Office & Supplies,4185.71,0,Iron Mountain Inc.,AP,NIC-AP00001
JE-003551,2025-04-30,2025-04,2000,Accounts Payable,0,4185.71,Iron Mountain Inc.,AP,NIC-AP00001
JE-003590,2025-04-30,2025-04,6700,Office & Supplies,249.52,0,Cintas Corporation,AP,NIC-AP00021
JE-003591,2025-04-30,2025-04,2000,Accounts Payable,0,249.52,Cintas Corporation,AP,NIC-AP00021
JE-003662,2025-04-30,2025-04,6700,Office & Supplies,3749.48,0,Sunbelt Rentals,AP,NIC-AP00057
JE-003663,2025-04-30,2025-04,2000,Accounts Payable,0,3749.48,Sunbelt Rentals,AP,NIC-AP00057
JE-003682,2025-04-30,2025-04,6300,Rent,38500,0,Rockford Industrial Park LLC,AP,NIC-AP00067
JE-003683,2025-04-30,2025-04,2000,Accounts Payable,0,38500,Rockford Industrial Park LLC,AP,NIC-AP00067
JE-003706,2025-04-30,2025-04,6400,Software Subscriptions,15750.0,0,Epicor Kinetic,AP,SW-EPICOR
JE-003707,2025-04-30,2025-04,2000,Accounts Payable,0,15750.0,Epicor Kinetic,AP,SW-EPICOR
JE-003730,2025-04-30,2025-04,6400,Software Subscriptions,1079.17,0,SolidWorks Standard,AP,SW-SOLIDW
JE-003731,2025-04-30,2025-04,2000,Accounts Payable,0,1079.17,SolidWorks Standard,AP,SW-SOLIDW
JE-003754,2025-04-30,2025-04,6400,Software Subscriptions,1000.0,0,MasterControl,AP,SW-MASTER
JE-003755,2025-04-30,2025-04,2000,Accounts Payable,0,1000.0,MasterControl,AP,SW-MASTER
JE-003778,2025-04-30,2025-04,6400,Software Subscriptions,1775.0,0,Microsoft 365 Business Standard,AP,SW-MICROS
JE-003779,2025-04-30,2025-04,2000,Accounts Payable,0,1775.0,Microsoft 365 Business Standard,AP,SW-MICROS
JE-003802,2025-04-30,2025-04,6400,Software Subscriptions,4920.0,0,ADP Workforce Now,AP,SW-ADPWO
JE-003803,2025-04-30,2025-04,2000,Accounts Payable,0,4920.0,ADP Workforce Now,AP,SW-ADPWO
JE-003826,2025-04-30,2025-04,6400,Software Subscriptions,900.0,0,Salesforce Sales Cloud,AP,SW-SALESF
JE-003827,2025-04-30,2025-04,2000,Accounts Payable,0,900.0,Salesforce Sales Cloud,AP,SW-SALESF
JE-003850,2025-04-30,2025-04,6400,Software Subscriptions,700.0,0,Bill.com,AP,SW-BILL.C
JE-003851,2025-04-30,2025-04,2000,Accounts Payable,0,700.0,Bill.com,AP,SW-BILL.C
JE-003874,2025-04-30,2025-04,6400,Software Subscriptions,3150.0,0,Box Business,AP,SW-BOXBU
JE-003875,2025-04-30,2025-04,2000,Accounts Payable,0,3150.0,Box Business,AP,SW-BOXBU
JE-003898,2025-04-30,2025-04,6400,Software Subscriptions,1440.0,0,Zoom Workplace,AP,SW-ZOOMW
JE-003899,2025-04-30,2025-04,2000,Accounts Payable,0,1440.0,Zoom Workplace,AP,SW-ZOOMW
JE-003922,2025-04-30,2025-04,6400,Software Subscriptions,1020.0,0,RingCentral MVP,AP,SW-RINGCE
JE-003923,2025-04-30,2025-04,2000,Accounts Payable,0,1020.0,RingCentral MVP,AP,SW-RINGCE
JE-003946,2025-04-30,2025-04,6400,Software Subscriptions,355.0,0,KnowBe4,AP,SW-KNOWBE
JE-003947,2025-04-30,2025-04,2000,Accounts Payable,0,355.0,KnowBe4,AP,SW-KNOWBE
JE-003970,2025-04-30,2025-04,6000,Salaries & Wages,648205.57,0,Monthly payroll,PR,PR-202504
JE-003971,2025-04-30,2025-04,2300,Payroll Liabilities,0,648205.57,Monthly payroll,PR,PR-202504
JE-001181,2025-05-01,2025-05,1100,Accounts Receivable,6916.18,0,Invoice INV-60254,AR,INV-60254
JE-001182,2025-05-01,2025-05,4000,Product Sales - Manufactured,0,6916.18,Invoice INV-60254,AR,INV-60254
JE-001183,2025-05-01,2025-05,5000,COGS - Materials,5527.8,0,COGS,AR,INV-60254
JE-001184,2025-05-01,2025-05,1220,Inventory - Finished Goods,0,5527.8,Inventory relief,AR,INV-60254
JE-001548,2025-05-01,2025-05,1100,Accounts Receivable,2613.55,0,Invoice INV-60331,AR,INV-60331
JE-001549,2025-05-01,2025-05,4000,Product Sales - Manufactured,0,2613.55,Invoice INV-60331,AR,INV-60331
JE-001550,2025-05-01,2025-05,5000,COGS - Materials,2005.44,0,COGS,AR,INV-60331
JE-001551,2025-05-01,2025-05,1220,Inventory - Finished Goods,0,2005.44,Inventory relief,AR,INV-60331
JE-002675,2025-05-01,2025-05,2050,GR/IR Clearing (Received Not Invoiced),562.06,0,Supplier inv SI8662411,AP,SI8662411
JE-002676,2025-05-01,2025-05,2000,Accounts Payable,0,562.06,Supplier inv SI8662411,AP,SI8662411
JE-003088,2025-05-01,2025-05,1200,Inventory - Raw Materials,502.5,0,PO receipt PO-31017,INV,RCV-40017
JE-003089,2025-05-01,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,502.5,PO receipt PO-31017,INV,RCV-40017
JE-003104,2025-05-01,2025-05,1200,Inventory - Raw Materials,3080.75,0,PO receipt PO-31025,INV,RCV-40025
JE-003105,2025-05-01,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,3080.75,PO receipt PO-31025,INV,RCV-40025
JE-001400,2025-05-02,2025-05,1100,Accounts Receivable,18044.48,0,Invoice INV-60299,AR,INV-60299
JE-001401,2025-05-02,2025-05,4000,Product Sales - Manufactured,0,18044.48,Invoice INV-60299,AR,INV-60299
JE-001402,2025-05-02,2025-05,5000,COGS - Materials,12911.96,0,COGS,AR,INV-60299
JE-001403,2025-05-02,2025-05,1220,Inventory - Finished Goods,0,12911.96,Inventory relief,AR,INV-60299
JE-003180,2025-05-02,2025-05,1200,Inventory - Raw Materials,17740.6,0,PO receipt PO-31065,INV,RCV-40063
JE-003181,2025-05-02,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,17740.6,PO receipt PO-31065,INV,RCV-40063
JE-000245,2025-05-03,2025-05,1100,Accounts Receivable,1227.79,0,Invoice INV-60053,AR,INV-60053
JE-000246,2025-05-03,2025-05,4000,Product Sales - Manufactured,0,1126.2,Invoice INV-60053,AR,INV-60053
JE-000247,2025-05-03,2025-05,4100,Freight Revenue,0,101.59,Freight billed,AR,INV-60053
JE-000248,2025-05-03,2025-05,5000,COGS - Materials,740.43,0,COGS,AR,INV-60053
JE-000249,2025-05-03,2025-05,1220,Inventory - Finished Goods,0,740.43,Inventory relief,AR,INV-60053
JE-001117,2025-05-04,2025-05,1100,Accounts Receivable,15215.3,0,Invoice INV-60240,AR,INV-60240
JE-001118,2025-05-04,2025-05,4000,Product Sales - Manufactured,0,15215.3,Invoice INV-60240,AR,INV-60240
JE-001119,2025-05-04,2025-05,5000,COGS - Materials,13159.75,0,COGS,AR,INV-60240
JE-001120,2025-05-04,2025-05,1220,Inventory - Finished Goods,0,13159.75,Inventory relief,AR,INV-60240
JE-003534,2025-05-04,2025-05,1200,Inventory - Raw Materials,2896.52,0,PO receipt PO-31253,INV,RCV-40240
JE-003535,2025-05-04,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,2896.52,PO receipt PO-31253,INV,RCV-40240
JE-001262,2025-05-05,2025-05,1100,Accounts Receivable,10421.7,0,Invoice INV-60270,AR,INV-60270
JE-001263,2025-05-05,2025-05,4000,Product Sales - Manufactured,0,10238.21,Invoice INV-60270,AR,INV-60270
JE-001264,2025-05-05,2025-05,4100,Freight Revenue,0,183.49,Freight billed,AR,INV-60270
JE-001265,2025-05-05,2025-05,5000,COGS - Materials,6530.72,0,COGS,AR,INV-60270
JE-001266,2025-05-05,2025-05,1220,Inventory - Finished Goods,0,6530.72,Inventory relief,AR,INV-60270
JE-002317,2025-05-05,2025-05,1000,Operating Cash,3740.33,0,Customer payment,AR,NIC-CR00241
JE-002318,2025-05-05,2025-05,1100,Accounts Receivable,0,3740.33,Customer payment,AR,NIC-CR00241
JE-002555,2025-05-05,2025-05,2050,GR/IR Clearing (Received Not Invoiced),3080.75,0,Supplier inv INV6802647,AP,INV6802647
JE-002556,2025-05-05,2025-05,5300,Freight In,76.08,0,Freight in,AP,INV6802647
JE-002557,2025-05-05,2025-05,2000,Accounts Payable,0,3156.83,Supplier inv INV6802647,AP,INV6802647
JE-003212,2025-05-05,2025-05,1200,Inventory - Raw Materials,616.55,0,PO receipt PO-31083,INV,RCV-40079
JE-003213,2025-05-05,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,616.55,PO receipt PO-31083,INV,RCV-40079
JE-001580,2025-05-06,2025-05,1100,Accounts Receivable,41761.48,0,Invoice INV-60338,AR,INV-60338
JE-001581,2025-05-06,2025-05,4000,Product Sales - Manufactured,0,41761.48,Invoice INV-60338,AR,INV-60338
JE-001582,2025-05-06,2025-05,5000,COGS - Materials,32613.95,0,COGS,AR,INV-60338
JE-001583,2025-05-06,2025-05,1220,Inventory - Finished Goods,0,32613.95,Inventory relief,AR,INV-60338
JE-001786,2025-05-06,2025-05,1100,Accounts Receivable,25213.49,0,Invoice INV-60381,AR,INV-60381
JE-001787,2025-05-06,2025-05,4000,Product Sales - Manufactured,0,25213.49,Invoice INV-60381,AR,INV-60381
JE-001788,2025-05-06,2025-05,5000,COGS - Materials,19195.45,0,COGS,AR,INV-60381
JE-001789,2025-05-06,2025-05,1220,Inventory - Finished Goods,0,19195.45,Inventory relief,AR,INV-60381
JE-002139,2025-05-06,2025-05,1000,Operating Cash,14728.12,0,Customer payment,AR,NIC-CR00152
JE-002140,2025-05-06,2025-05,1100,Accounts Receivable,0,14728.12,Customer payment,AR,NIC-CR00152
JE-002534,2025-05-06,2025-05,2050,GR/IR Clearing (Received Not Invoiced),502.5,0,Supplier inv 306348,AP,306348
JE-002535,2025-05-06,2025-05,5300,Freight In,178.41,0,Freight in,AP,306348
JE-002536,2025-05-06,2025-05,2000,Accounts Payable,0,680.91,Supplier inv 306348,AP,306348
JE-003039,2025-05-06,2025-05,2050,GR/IR Clearing (Received Not Invoiced),2989.11,0,Supplier inv INV8674354,AP,INV8674354
JE-003040,2025-05-06,2025-05,2000,Accounts Payable,0,2989.11,Supplier inv INV8674354,AP,INV8674354
JE-003194,2025-05-06,2025-05,1200,Inventory - Raw Materials,4321.17,0,PO receipt PO-31072,INV,RCV-40070
JE-003195,2025-05-06,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,4321.17,PO receipt PO-31072,INV,RCV-40070
JE-002795,2025-05-07,2025-05,2050,GR/IR Clearing (Received Not Invoiced),2592.46,0,Supplier inv 91932295,AP,91932295
JE-002796,2025-05-07,2025-05,2000,Accounts Payable,0,2592.46,Supplier inv 91932295,AP,91932295
JE-000433,2025-05-08,2025-05,1100,Accounts Receivable,1070.66,0,Invoice INV-60094,AR,INV-60094
JE-000434,2025-05-08,2025-05,4000,Product Sales - Manufactured,0,1070.66,Invoice INV-60094,AR,INV-60094
JE-000435,2025-05-08,2025-05,5000,COGS - Materials,748.93,0,COGS,AR,INV-60094
JE-000436,2025-05-08,2025-05,1220,Inventory - Finished Goods,0,748.93,Inventory relief,AR,INV-60094
JE-000437,2025-05-08,2025-05,1100,Accounts Receivable,21056.32,0,Invoice INV-60095,AR,INV-60095
JE-000438,2025-05-08,2025-05,4000,Product Sales - Manufactured,0,19632.93,Invoice INV-60095,AR,INV-60095
JE-000439,2025-05-08,2025-05,2100,Accrued Expenses,0,1423.39,Sales tax payable,AR,INV-60095
JE-000440,2025-05-08,2025-05,5000,COGS - Materials,14347.29,0,COGS,AR,INV-60095
JE-000441,2025-05-08,2025-05,1220,Inventory - Finished Goods,0,14347.29,Inventory relief,AR,INV-60095
JE-002643,2025-05-08,2025-05,2050,GR/IR Clearing (Received Not Invoiced),17740.6,0,Supplier inv INV5944082,AP,INV5944082
JE-002644,2025-05-08,2025-05,2000,Accounts Payable,0,17740.6,Supplier inv INV5944082,AP,INV5944082
JE-002681,2025-05-08,2025-05,2050,GR/IR Clearing (Received Not Invoiced),627.35,0,Supplier inv INV1066654,AP,INV1066654
JE-002682,2025-05-08,2025-05,2000,Accounts Payable,0,627.35,Supplier inv INV1066654,AP,INV1066654
JE-003198,2025-05-09,2025-05,1200,Inventory - Raw Materials,1030.64,0,PO receipt PO-31074,INV,RCV-40072
JE-003199,2025-05-09,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,1030.64,PO receipt PO-31074,INV,RCV-40072
JE-000364,2025-05-10,2025-05,1100,Accounts Receivable,8478.29,0,Invoice INV-60080,AR,INV-60080
JE-000365,2025-05-10,2025-05,4000,Product Sales - Manufactured,0,7787.23,Invoice INV-60080,AR,INV-60080
JE-000366,2025-05-10,2025-05,4100,Freight Revenue,0,126.49,Freight billed,AR,INV-60080
JE-000367,2025-05-10,2025-05,2100,Accrued Expenses,0,564.57,Sales tax payable,AR,INV-60080
JE-000368,2025-05-10,2025-05,5000,COGS - Materials,5711.67,0,COGS,AR,INV-60080
JE-000369,2025-05-10,2025-05,1220,Inventory - Finished Goods,0,5711.67,Inventory relief,AR,INV-60080
JE-002941,2025-05-10,2025-05,2050,GR/IR Clearing (Received Not Invoiced),5014.9,0,Supplier inv 8799739,AP,8799739
JE-002942,2025-05-10,2025-05,2000,Accounts Payable,0,5014.9,Supplier inv 8799739,AP,8799739
JE-003444,2025-05-10,2025-05,1200,Inventory - Raw Materials,4985.1,0,PO receipt PO-31205,INV,RCV-40195
JE-003445,2025-05-10,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,4985.1,PO receipt PO-31205,INV,RCV-40195
JE-002661,2025-05-11,2025-05,2050,GR/IR Clearing (Received Not Invoiced),4321.17,0,Supplier inv INV1561691,AP,INV1561691
JE-002662,2025-05-11,2025-05,2000,Accounts Payable,0,4321.17,Supplier inv INV1561691,AP,INV1561691
JE-000222,2025-05-12,2025-05,1100,Accounts Receivable,5517.08,0,Invoice INV-60048,AR,INV-60048
JE-000223,2025-05-12,2025-05,4000,Product Sales - Manufactured,0,5262.47,Invoice INV-60048,AR,INV-60048
JE-000224,2025-05-12,2025-05,4100,Freight Revenue,0,254.61,Freight billed,AR,INV-60048
JE-000225,2025-05-12,2025-05,5000,COGS - Materials,3768.7,0,COGS,AR,INV-60048
JE-000226,2025-05-12,2025-05,1220,Inventory - Finished Goods,0,3768.7,Inventory relief,AR,INV-60048
JE-000677,2025-05-12,2025-05,1100,Accounts Receivable,7884.58,0,Invoice INV-60145,AR,INV-60145
JE-000678,2025-05-12,2025-05,4000,Product Sales - Manufactured,0,7192.51,Invoice INV-60145,AR,INV-60145
JE-000679,2025-05-12,2025-05,4100,Freight Revenue,0,170.61,Freight billed,AR,INV-60145
JE-000680,2025-05-12,2025-05,2100,Accrued Expenses,0,521.46,Sales tax payable,AR,INV-60145
JE-000681,2025-05-12,2025-05,5000,COGS - Materials,5327.35,0,COGS,AR,INV-60145
JE-000682,2025-05-12,2025-05,1220,Inventory - Finished Goods,0,5327.35,Inventory relief,AR,INV-60145
JE-002666,2025-05-12,2025-05,2050,GR/IR Clearing (Received Not Invoiced),1030.64,0,Supplier inv INV6064633,AP,INV6064633
JE-002667,2025-05-12,2025-05,2000,Accounts Payable,0,1030.64,Supplier inv INV6064633,AP,INV6064633
JE-000151,2025-05-13,2025-05,1100,Accounts Receivable,3826.97,0,Invoice INV-60033,AR,INV-60033
JE-000152,2025-05-13,2025-05,4000,Product Sales - Manufactured,0,3826.97,Invoice INV-60033,AR,INV-60033
JE-000153,2025-05-13,2025-05,5000,COGS - Materials,2593.98,0,COGS,AR,INV-60033
JE-000154,2025-05-13,2025-05,1220,Inventory - Finished Goods,0,2593.98,Inventory relief,AR,INV-60033
JE-000644,2025-05-13,2025-05,1100,Accounts Receivable,2979.97,0,Invoice INV-60138,AR,INV-60138
JE-000645,2025-05-13,2025-05,4000,Product Sales - Manufactured,0,2979.97,Invoice INV-60138,AR,INV-60138
JE-000646,2025-05-13,2025-05,5000,COGS - Materials,1997.97,0,COGS,AR,INV-60138
JE-000647,2025-05-13,2025-05,1220,Inventory - Finished Goods,0,1997.97,Inventory relief,AR,INV-60138
JE-001451,2025-05-13,2025-05,1100,Accounts Receivable,2258.93,0,Invoice INV-60311,AR,INV-60311
JE-001452,2025-05-13,2025-05,4000,Product Sales - Manufactured,0,2085.55,Invoice INV-60311,AR,INV-60311
JE-001453,2025-05-13,2025-05,4100,Freight Revenue,0,173.38,Freight billed,AR,INV-60311
JE-001454,2025-05-13,2025-05,5000,COGS - Materials,1234.05,0,COGS,AR,INV-60311
JE-001455,2025-05-13,2025-05,1220,Inventory - Finished Goods,0,1234.05,Inventory relief,AR,INV-60311
JE-000875,2025-05-14,2025-05,1100,Accounts Receivable,9524.69,0,Invoice INV-60188,AR,INV-60188
JE-000876,2025-05-14,2025-05,4000,Product Sales - Manufactured,0,9524.69,Invoice INV-60188,AR,INV-60188
JE-000877,2025-05-14,2025-05,5000,COGS - Materials,7658.73,0,COGS,AR,INV-60188
JE-000878,2025-05-14,2025-05,1220,Inventory - Finished Goods,0,7658.73,Inventory relief,AR,INV-60188
JE-001761,2025-05-15,2025-05,1100,Accounts Receivable,1187.69,0,Invoice INV-60376,AR,INV-60376
JE-001762,2025-05-15,2025-05,4000,Product Sales - Manufactured,0,966.7,Invoice INV-60376,AR,INV-60376
JE-001763,2025-05-15,2025-05,4100,Freight Revenue,0,220.99,Freight billed,AR,INV-60376
JE-001764,2025-05-15,2025-05,5000,COGS - Materials,644.2,0,COGS,AR,INV-60376
JE-001765,2025-05-15,2025-05,1220,Inventory - Finished Goods,0,644.2,Inventory relief,AR,INV-60376
JE-003518,2025-05-15,2025-05,1200,Inventory - Raw Materials,8428.0,0,PO receipt PO-31245,INV,RCV-40232
JE-003519,2025-05-15,2025-05,2050,GR/IR Clearing (Received Not Invoiced),0,8428.0,PO receipt PO-31245,INV,RCV-40232
JE-000442,2025-05-16,2025-05,1100,Accounts Receivable,18611.28,0,Invoice INV-60096,AR,INV-60096
JE-000443,2025-05-16,2025-05,4000,Product Sales - Manufactured,0,18611.28,Invoice INV-60096,AR,INV-60096
JE-000444,2025-05-16,2025-05,5000,COGS - Materials,12045.57,0,COGS,AR,INV-60096
JE-000445,2025-05-16,2025-05,1220,Inventory - Finished Goods,0,12045.57,Inventory relief,AR,INV-60096
JE-002411,2025-05-16,2025-05,1000,Operating Cash,9524.52,0,Customer payment,AR,NIC-CR00288
JE-002412,2025-05-16,2025-05,1100,Accounts Receivable,0,9524.52,Customer payment,AR,NIC-CR00288
