ap_invoice_id,vendor_id,vendor_name,invoice_number,invoice_date,due_date,amount,gl_account,category,status,approved_by
NIC-AP00043,NIC-CV005,UPS,5879294,2025-08-20,2025-09-26,115.42,5300,Parcel Freight,Paid,E002
NIC-AP00044,NIC-CV005,UPS,4633475,2025-09-13,2025-10-11,54.17,5300,Parcel Freight,Paid,E002
NIC-AP00045,NIC-CV005,UPS,9316124,2025-10-30,2025-11-26,101.95,5300,Parcel Freight,Paid,E002
NIC-AP00046,NIC-CV005,UPS,7071278,2025-11-12,2025-12-10,79.73,5300,Parcel Freight,Paid,E002
NIC-AP00047,NIC-CV005,UPS,109863,2025-12-26,2026-01-27,95.61,5300,Parcel Freight,Paid,E002
NIC-AP00048,NIC-CV005,UPS,2655203,2026-01-21,2026-02-18,15.61,5300,Parcel Freight,Paid,E002
NIC-AP00049,NIC-CV005,UPS,6544921,2026-02-11,2026-03-23,119.04,5300,Parcel Freight,Paid,E002
NIC-AP00050,NIC-CV005,UPS,3004659,2026-03-26,2026-04-25,141.82,5300,Parcel Freight,Open,E002
NIC-AP00051,NIC-CV006,FedEx,514041,2025-05-16,2025-06-26,96.35,5300,Parcel Freight,Paid,E002
NIC-AP00052,NIC-CV006,FedEx,3233344,2025-06-30,2025-07-29,52.15,5300,Parcel Freight,Paid,E002
NIC-AP00053,NIC-CV006,FedEx,9074778,2025-08-28,2025-09-27,21.2,5300,Parcel Freight,Paid,E002
NIC-AP00054,NIC-CV006,FedEx,8942059,2026-01-22,2026-02-17,48.41,5300,Parcel Freight,Paid,E002
NIC-AP00055,NIC-CV006,FedEx,2859172,2026-02-28,2026-03-16,17.38,5300,Parcel Freight,Paid,E002
NIC-AP00056,NIC-CV006,FedEx,270046,2026-03-17,2026-04-16,103.72,5300,Parcel Freight,Open,E002
NIC-AP00057,NIC-CV007,Sunbelt Rentals,6418249,2025-04-30,2025-05-11,3749.48,6700,Equipment Rental,Paid,E002
NIC-AP00058,NIC-CV007,Sunbelt Rentals,5391153,2025-05-29,2025-06-24,696.86,6700,Equipment Rental,Paid,E002
NIC-AP00059,NIC-CV007,Sunbelt Rentals,4748104,2025-06-15,2025-07-16,1963.63,6700,Equipment Rental,Paid,E002
NIC-AP00060,NIC-CV007,Sunbelt Rentals,631149,2025-08-19,2025-09-12,1259.28,6700,Equipment Rental,Paid,E002
NIC-AP00061,NIC-CV007,Sunbelt Rentals,7546402,2025-09-16,2025-10-12,2589.72,6700,Equipment Rental,Paid,E002
NIC-AP00062,NIC-CV007,Sunbelt Rentals,3970415,2025-10-30,2025-11-24,3948.97,6700,Equipment Rental,Paid,E002
NIC-AP00063,NIC-CV007,Sunbelt Rentals,242867,2025-11-18,2025-12-28,3129.27,6700,Equipment Rental,Paid,E002
NIC-AP00064,NIC-CV007,Sunbelt Rentals,4218898,2026-01-27,2026-02-26,278.9,6700,Equipment Rental,Paid,E002
NIC-AP00065,NIC-CV007,Sunbelt Rentals,4516955,2026-02-15,2026-03-11,640.6,6700,Equipment Rental,Paid,E002
NIC-AP00066,NIC-CV007,Sunbelt Rentals,8827749,2026-03-20,2026-04-18,2850.68,6700,Equipment Rental,Open,E002
NIC-AP00067,NIC-CV008,Rockford Industrial Park LLC,7787184,2025-04-14,2025-05-11,38500,6300,Rent,Paid,E002
NIC-AP00068,NIC-CV008,Rockford Industrial Park LLC,3646470,2025-05-28,2025-06-12,38500,6300,Rent,Paid,E002
NIC-AP00069,NIC-CV008,Rockford Industrial Park LLC,1980213,2025-06-17,2025-07-30,38500,6300,Rent,Paid,E002
NIC-AP00070,NIC-CV008,Rockford Industrial Park LLC,7424125,2025-07-17,2025-08-10,38500,6300,Rent,Paid,E002
NIC-AP00071,NIC-CV008,Rockford Industrial Park LLC,272231,2025-08-26,2025-09-12,38500,6300,Rent,Paid,E002
NIC-AP00072,NIC-CV008,Rockford Industrial Park LLC,7011617,2025-09-22,2025-10-25,38500,6300,Rent,Paid,E002
NIC-AP00073,NIC-CV008,Rockford Industrial Park LLC,8938305,2025-10-25,2025-11-27,38500,6300,Rent,Paid,E002
NIC-AP00074,NIC-CV008,Rockford Industrial Park LLC,4945537,2025-11-20,2025-12-18,38500,6300,Rent,Paid,E002
NIC-AP00075,NIC-CV008,Rockford Industrial Park LLC,9908886,2025-12-12,2026-01-17,38500,6300,Rent,Paid,E002
NIC-AP00076,NIC-CV008,Rockford Industrial Park LLC,4836582,2026-01-24,2026-02-25,38500,6300,Rent,Paid,E002
NIC-AP00077,NIC-CV008,Rockford Industrial Park LLC,9909862,2026-02-22,2026-03-19,38500,6300,Rent,Paid,E002
NIC-AP00078,NIC-CV008,Rockford Industrial Park LLC,4045734,2026-03-12,2026-04-29,38500,6300,Rent,Open,E002
