event_id,company_id,workflow_type,object_type,object_id,timestamp,actor,action,previous_state,new_state,source_document,confidence,requires_review
EV-002600,northfield_industrial_components,manufacturing,work_order,WO-70060,2025-04-19T07:22:00,E049,wo_released,planned,released,MRP,1.0,N
EV-000284,northfield_industrial_components,quote_to_order,sales_order,SO-26087,2025-04-19T09:21:00,E075,order_entered,,open,customer_po_P883910,0.9,N
EV-002772,northfield_industrial_components,manufacturing,work_order,WO-70153,2025-04-19T11:02:00,E044,wo_released,planned,released,MRP,1.0,N
EV-001983,northfield_industrial_components,procure_to_pay,purchase_order,PO-31245,2025-04-19T13:03:00,E061,po_issued,draft,open,PO-31245.pdf,1.0,N
EV-001837,northfield_industrial_components,procure_to_pay,purchase_order,PO-31099,2025-04-19T13:44:00,E062,po_issued,draft,open,PO-31099.pdf,1.0,N
EV-002093,northfield_industrial_components,procure_to_pay,receipt,RCV-40095,2025-04-20T07:01:00,E100,goods_received,open,received,PS897076,1.0,N
EV-001299,northfield_industrial_components,order_to_cash,customer_invoice,INV-60283,2025-04-20T07:39:00,E002,invoice_issued,,open,INV-60283.pdf,1.0,N
EV-001877,northfield_industrial_components,procure_to_pay,purchase_order,PO-31139,2025-04-20T09:52:00,E061,po_issued,draft,open,PO-31139.pdf,1.0,N
EV-000078,northfield_industrial_components,quote_to_order,quote,Q-26078,2025-04-20T11:36:00,E064,quote_sent,draft,sent,Q-26078.pdf,1.0,N
EV-000908,northfield_industrial_components,fulfillment,shipment,SH-50283,2025-04-20T16:46:00,E101,shipment_confirmed,picked,shipped,PS-SH-50283.pdf,1.0,N
EV-001764,northfield_industrial_components,procure_to_pay,purchase_order,PO-31026,2025-04-20T17:34:00,E060,po_issued,draft,open,PO-31026.pdf,1.0,N
EV-002514,northfield_industrial_components,manufacturing,work_order,WO-70012,2025-04-21T07:22:00,E096,wo_released,planned,released,MRP,1.0,N
EV-001351,northfield_industrial_components,order_to_cash,customer_invoice,INV-60335,2025-04-21T07:40:00,E002,invoice_issued,,open,INV-60335.pdf,1.0,N
EV-000960,northfield_industrial_components,fulfillment,shipment,SH-50335,2025-04-21T08:45:00,E103,shipment_confirmed,picked,shipped,PS-SH-50335.pdf,1.0,N
EV-002900,northfield_industrial_components,quality,ncr,NCR-0001,2025-04-21T14:16:00,E059,ncr_opened,,open,RCV-40095,1.0,Y
EV-000075,northfield_industrial_components,quote_to_order,quote,Q-26075,2025-04-21T14:45:00,E072,quote_sent,draft,sent,Q-26075.pdf,1.0,N
EV-002743,northfield_industrial_components,manufacturing,work_order,WO-70138,2025-04-21T14:52:00,E093,wo_released,planned,released,MRP,1.0,N
EV-000447,northfield_industrial_components,quote_to_order,sales_order,SO-26250,2025-04-21T15:57:00,E066,order_entered,,open,customer_po_P326779,0.9,N
EV-001821,northfield_industrial_components,procure_to_pay,purchase_order,PO-31083,2025-04-21T16:40:00,E061,po_issued,draft,open,PO-31083.pdf,1.0,N
EV-002683,northfield_industrial_components,manufacturing,work_order,WO-70105,2025-04-21T17:07:00,E043,wo_released,planned,released,MRP,1.0,N
EV-000453,northfield_industrial_components,quote_to_order,sales_order,SO-26255,2025-04-21T17:13:00,E074,order_entered,,open,customer_po_4500230993,0.9,N
EV-001143,northfield_industrial_components,order_to_cash,customer_invoice,INV-60127,2025-04-22T07:59:00,E002,invoice_issued,,open,INV-60127.pdf,1.0,N
EV-000101,northfield_industrial_components,quote_to_order,quote,Q-26101,2025-04-22T08:20:00,E064,quote_sent,draft,sent,Q-26101.pdf,1.0,N
EV-000752,northfield_industrial_components,fulfillment,shipment,SH-50127,2025-04-22T11:23:00,E079,shipment_confirmed,picked,shipped,PS-SH-50127.pdf,1.0,N
EV-000036,northfield_industrial_components,quote_to_order,quote,Q-26036,2025-04-22T12:10:00,E069,quote_sent,draft,sent,Q-26036.pdf,1.0,N
EV-001376,northfield_industrial_components,order_to_cash,customer_invoice,INV-60360,2025-04-22T14:14:00,E002,invoice_issued,,open,INV-60360.pdf,1.0,N
EV-000985,northfield_industrial_components,fulfillment,shipment,SH-50360,2025-04-22T14:33:00,E103,shipment_confirmed,picked,shipped,PS-SH-50360.pdf,1.0,N
EV-002131,northfield_industrial_components,procure_to_pay,receipt,RCV-40133,2025-04-23T07:30:00,E079,goods_received,open,received,PS245003,1.0,N
EV-001803,northfield_industrial_components,procure_to_pay,purchase_order,PO-31065,2025-04-23T09:33:00,E063,po_issued,draft,open,PO-31065.pdf,1.0,N
EV-001968,northfield_industrial_components,procure_to_pay,purchase_order,PO-31230,2025-04-23T10:08:00,E062,po_issued,draft,open,PO-31230.pdf,1.0,N
EV-002654,northfield_industrial_components,manufacturing,work_order,WO-70089,2025-04-23T14:20:00,E055,wo_closed,in_process,closed,COC-WO-70089.pdf,1.0,N
EV-002378,northfield_industrial_components,procure_to_pay,supplier_invoice,4280659,2025-04-24T10:19:00,E002,invoice_matched,received,paid,4280659,1.0,N
EV-002110,northfield_industrial_components,procure_to_pay,receipt,RCV-40112,2025-04-24T15:55:00,E082,goods_received,open,received,PS441976,1.0,N
EV-002481,northfield_industrial_components,procure_to_pay,supplier_invoice,SI2597314,2025-04-24T17:47:00,E002,invoice_matched,received,paid,SI2597314,1.0,N
EV-001255,northfield_industrial_components,order_to_cash,customer_invoice,INV-60239,2025-04-25T07:18:00,E002,invoice_issued,,open,INV-60239.pdf,1.0,N
EV-001943,northfield_industrial_components,procure_to_pay,purchase_order,PO-31205,2025-04-25T09:03:00,E060,po_issued,draft,open,PO-31205.pdf,1.0,N
EV-000864,northfield_industrial_components,fulfillment,shipment,SH-50239,2025-04-25T09:34:00,E083,shipment_confirmed,picked,shipped,PS-SH-50239.pdf,1.0,N
EV-002521,northfield_industrial_components,manufacturing,work_order,WO-70015,2025-04-25T10:11:00,E055,wo_closed,in_process,closed,COC-WO-70015.pdf,1.0,N
EV-000399,northfield_industrial_components,quote_to_order,sales_order,SO-26202,2025-04-25T10:27:00,E065,order_entered,,open,customer_po_P680870,0.9,N
EV-001857,northfield_industrial_components,procure_to_pay,purchase_order,PO-31119,2025-04-25T12:16:00,E062,po_issued,draft,open,PO-31119.pdf,1.0,N
EV-000043,northfield_industrial_components,quote_to_order,quote,Q-26043,2025-04-25T15:28:00,E069,quote_sent,draft,sent,Q-26043.pdf,1.0,N
EV-000004,northfield_industrial_components,quote_to_order,quote,Q-26004,2025-04-25T17:06:00,E072,quote_sent,draft,sent,Q-26004.pdf,1.0,N
EV-000794,northfield_industrial_components,fulfillment,shipment,SH-50169,2025-04-26T10:34:00,E105,shipment_confirmed,picked,shipped,PS-SH-50169.pdf,1.0,N
EV-000172,northfield_industrial_components,quote_to_order,quote,Q-26172,2025-04-26T11:10:00,E072,quote_sent,draft,sent,Q-26172.pdf,1.0,N
EV-002109,northfield_industrial_components,procure_to_pay,receipt,RCV-40111,2025-04-26T13:19:00,E105,goods_received,open,received,PS748671,1.0,N
EV-001185,northfield_industrial_components,order_to_cash,customer_invoice,INV-60169,2025-04-26T13:20:00,E002,invoice_issued,,open,INV-60169.pdf,1.0,N
EV-002340,northfield_industrial_components,procure_to_pay,supplier_invoice,555849,2025-04-27T09:18:00,E002,match_exception,received,paid,555849,0.7,Y
EV-002074,northfield_industrial_components,procure_to_pay,receipt,RCV-40076,2025-04-27T12:07:00,E106,goods_received,open,received,PS108626,1.0,N
EV-000726,northfield_industrial_components,fulfillment,shipment,SH-50101,2025-04-27T16:03:00,E079,shipment_confirmed,picked,shipped,PS-SH-50101.pdf,1.0,N
EV-001117,northfield_industrial_components,order_to_cash,customer_invoice,INV-60101,2025-04-27T17:07:00,E002,invoice_issued,,open,INV-60101.pdf,1.0,N
EV-000276,northfield_industrial_components,quote_to_order,sales_order,SO-26079,2025-04-27T17:47:00,E066,order_entered,,open,customer_po_PO245064,0.9,N
EV-002869,northfield_industrial_components,manufacturing,work_order,WO-70203,2025-04-28T09:42:00,E055,wo_closed,in_process,closed,COC-WO-70203.pdf,1.0,N
EV-000382,northfield_industrial_components,quote_to_order,sales_order,SO-26185,2025-04-28T10:08:00,E067,order_entered,,open,customer_po_PO156653,0.9,N
EV-000163,northfield_industrial_components,quote_to_order,quote,Q-26163,2025-04-28T10:38:00,E067,quote_sent,draft,sent,Q-26163.pdf,1.0,N
EV-001074,northfield_industrial_components,order_to_cash,customer_invoice,INV-60058,2025-04-28T10:51:00,E002,invoice_issued,,open,INV-60058.pdf,1.0,N
EV-002356,northfield_industrial_components,procure_to_pay,supplier_invoice,SI198626,2025-04-28T12:14:00,E002,invoice_matched,received,paid,SI198626,1.0,N
EV-001861,northfield_industrial_components,procure_to_pay,purchase_order,PO-31123,2025-04-28T14:16:00,E063,po_issued,draft,open,PO-31123.pdf,1.0,N
EV-000683,northfield_industrial_components,fulfillment,shipment,SH-50058,2025-04-28T16:17:00,E076,shipment_confirmed,picked,shipped,PS-SH-50058.pdf,1.0,N
EV-002529,northfield_industrial_components,manufacturing,work_order,WO-70020,2025-04-29T07:01:00,E010,wo_released,planned,released,MRP,1.0,N
EV-000024,northfield_industrial_components,quote_to_order,quote,Q-26024,2025-04-29T07:24:00,E068,quote_sent,draft,sent,Q-26024.pdf,1.0,N
EV-001291,northfield_industrial_components,order_to_cash,customer_invoice,INV-60275,2025-04-29T08:40:00,E002,invoice_issued,,open,INV-60275.pdf,1.0,N
EV-000288,northfield_industrial_components,quote_to_order,sales_order,SO-26091,2025-04-29T12:39:00,E066,order_entered,,open,customer_po_PO366401,0.9,N
EV-000900,northfield_industrial_components,fulfillment,shipment,SH-50275,2025-04-29T13:41:00,E101,shipment_confirmed,picked,shipped,PS-SH-50275.pdf,1.0,N
EV-001763,northfield_industrial_components,procure_to_pay,purchase_order,PO-31025,2025-04-29T16:48:00,E063,po_issued,draft,open,PO-31025.pdf,1.0,N
EV-002129,northfield_industrial_components,procure_to_pay,receipt,RCV-40131,2025-04-30T07:57:00,E099,goods_received,open,received,PS662102,1.0,N
EV-001086,northfield_industrial_components,order_to_cash,customer_invoice,INV-60070,2025-04-30T09:38:00,E002,invoice_issued,,open,INV-60070.pdf,1.0,N
EV-000609,northfield_industrial_components,quote_to_order,sales_order,SO-26405,2025-04-30T11:13:00,E067,order_entered,,open,customer_po_4500792549,1.0,Y
EV-000610,northfield_industrial_components,credit_control,sales_order,SO-26405,2025-04-30T11:18:00,E002,credit_hold_applied,open,credit_hold,credit_checks,1.0,N
EV-000695,northfield_industrial_components,fulfillment,shipment,SH-50070,2025-04-30T11:28:00,E103,shipment_confirmed,picked,shipped,PS-SH-50070.pdf,1.0,N
EV-000448,northfield_industrial_components,quote_to_order,sales_order,SO-26251,2025-04-30T15:28:00,E067,order_entered,,open,customer_po_4500223064,1.0,N
EV-000572,northfield_industrial_components,quote_to_order,sales_order,SO-26368,2025-04-30T16:14:00,E068,order_entered,,open,customer_po_PUR-772111,0.9,N
EV-000211,northfield_industrial_components,quote_to_order,sales_order,SO-26014,2025-04-30T17:27:00,E066,order_entered,,open,customer_po_PO217589,0.9,N
EV-002015,northfield_industrial_components,procure_to_pay,receipt,RCV-40017,2025-05-01T08:29:00,E078,goods_received,open,received,PS861360,1.0,N
EV-001347,northfield_industrial_components,order_to_cash,customer_invoice,INV-60331,2025-05-01T08:36:00,E002,invoice_issued,,open,INV-60331.pdf,1.0,N
EV-000956,northfield_industrial_components,fulfillment,shipment,SH-50331,2025-05-01T08:58:00,E076,shipment_confirmed,picked,shipped,PS-SH-50331.pdf,1.0,N
EV-002023,northfield_industrial_components,procure_to_pay,receipt,RCV-40025,2025-05-01T10:37:00,E076,goods_received,open,received,PS178900,1.0,N
EV-000879,northfield_industrial_components,fulfillment,shipment,SH-50254,2025-05-01T10:52:00,E081,shipment_confirmed,picked,shipped,PS-SH-50254.pdf,1.0,N
EV-001270,northfield_industrial_components,order_to_cash,customer_invoice,INV-60254,2025-05-01T16:05:00,E002,invoice_issued,,open,INV-60254.pdf,1.0,N
EV-001824,northfield_industrial_components,procure_to_pay,purchase_order,PO-31086,2025-05-01T16:46:00,E061,po_issued,draft,open,PO-31086.pdf,1.0,N
EV-002791,northfield_industrial_components,manufacturing,work_order,WO-70163,2025-05-01T17:35:00,E033,wo_released,planned,released,MRP,1.0,N
EV-002357,northfield_industrial_components,procure_to_pay,supplier_invoice,91704147,2025-05-02T09:46:00,E002,invoice_matched,received,paid,91704147,1.0,N
EV-001315,northfield_industrial_components,order_to_cash,customer_invoice,INV-60299,2025-05-02T10:01:00,E002,invoice_issued,,open,INV-60299.pdf,1.0,N
EV-000346,northfield_industrial_components,quote_to_order,sales_order,SO-26149,2025-05-02T10:17:00,E073,order_entered,,open,customer_po_PO986382,1.0,N
EV-002061,northfield_industrial_components,procure_to_pay,receipt,RCV-40063,2025-05-02T10:20:00,E106,goods_received,open,received,PS749607,0.85,Y
EV-002796,northfield_industrial_components,manufacturing,work_order,WO-70165,2025-05-02T12:11:00,E055,wo_closed,in_process,closed,COC-WO-70165.pdf,1.0,N
EV-002321,northfield_industrial_components,procure_to_pay,supplier_invoice,SI8662411,2025-05-02T15:29:00,E002,invoice_matched,received,paid,SI8662411,1.0,N
EV-000924,northfield_industrial_components,fulfillment,shipment,SH-50299,2025-05-02T17:09:00,E082,shipment_confirmed,picked,shipped,PS-SH-50299.pdf,1.0,N
EV-000581,northfield_industrial_components,quote_to_order,sales_order,SO-26377,2025-05-03T09:02:00,E075,order_entered,,open,customer_po_P985443,1.0,N
EV-000678,northfield_industrial_components,fulfillment,shipment,SH-50053,2025-05-03T09:35:00,E105,shipment_confirmed,picked,shipped,PS-SH-50053.pdf,1.0,N
EV-002812,northfield_industrial_components,manufacturing,work_order,WO-70174,2025-05-03T09:44:00,E009,wo_released,planned,released,MRP,1.0,N
EV-002684,northfield_industrial_components,manufacturing,work_order,WO-70105,2025-05-03T09:56:00,E055,wo_closed,in_process,closed,COC-WO-70105.pdf,1.0,N
EV-000248,northfield_industrial_components,quote_to_order,sales_order,SO-26051,2025-05-03T13:07:00,E064,order_entered,,open,customer_po_PUR-309771,1.0,N
EV-000106,northfield_industrial_components,quote_to_order,quote,Q-26106,2025-05-03T14:54:00,E066,quote_sent,draft,sent,Q-26106.pdf,1.0,N
EV-001069,northfield_industrial_components,order_to_cash,customer_invoice,INV-60053,2025-05-03T15:12:00,E002,invoice_issued,,open,INV-60053.pdf,1.0,N
EV-002238,northfield_industrial_components,procure_to_pay,receipt,RCV-40240,2025-05-04T09:43:00,E079,goods_received,open,received,PS373290,1.0,N
EV-002773,northfield_industrial_components,manufacturing,work_order,WO-70153,2025-05-04T10:04:00,E055,wo_closed,in_process,closed,COC-WO-70153.pdf,1.0,N
EV-000865,northfield_industrial_components,fulfillment,shipment,SH-50240,2025-05-04T10:57:00,E080,shipment_confirmed,picked,shipped,PS-SH-50240.pdf,1.0,N
EV-000136,northfield_industrial_components,quote_to_order,quote,Q-26136,2025-05-04T11:11:00,E072,quote_sent,draft,sent,Q-26136.pdf,1.0,N
EV-001256,northfield_industrial_components,order_to_cash,customer_invoice,INV-60240,2025-05-04T16:01:00,E002,invoice_issued,,open,INV-60240.pdf,1.0,N
EV-002662,northfield_industrial_components,manufacturing,work_order,WO-70094,2025-05-05T09:18:00,E082,wo_released,planned,released,MRP,1.0,N
EV-000291,northfield_industrial_components,quote_to_order,sales_order,SO-26094,2025-05-05T09:52:00,E066,order_entered,,open,customer_po_P778911,0.9,N
EV-002077,northfield_industrial_components,procure_to_pay,receipt,RCV-40079,2025-05-05T11:17:00,E078,goods_received,open,received,PS930966,1.0,N
EV-000895,northfield_industrial_components,fulfillment,shipment,SH-50270,2025-05-05T12:18:00,E082,shipment_confirmed,picked,shipped,PS-SH-50270.pdf,1.0,N
EV-000498,northfield_industrial_components,quote_to_order,sales_order,SO-26299,2025-05-05T12:35:00,E074,order_entered,,open,customer_po_PO460387,1.0,N
EV-001286,northfield_industrial_components,order_to_cash,customer_invoice,INV-60270,2025-05-05T15:04:00,E002,invoice_issued,,open,INV-60270.pdf,1.0,N
EV-001648,northfield_industrial_components,order_to_cash,customer_invoice,INV-60275,2025-05-05T15:10:00,system,payment_applied,open,paid,Email remittance,0.95,N
EV-001855,northfield_industrial_components,procure_to_pay,purchase_order,PO-31117,2025-05-05T15:11:00,E061,po_issued,draft,open,PO-31117.pdf,1.0,N
EV-002638,northfield_industrial_components,manufacturing,work_order,WO-70081,2025-05-05T15:43:00,E101,wo_released,planned,released,MRP,1.0,N
EV-002744,northfield_industrial_components,manufacturing,work_order,WO-70138,2025-05-06T07:42:00,E055,wo_closed,in_process,closed,COC-WO-70138.pdf,1.0,N
EV-001397,northfield_industrial_components,order_to_cash,customer_invoice,INV-60381,2025-05-06T09:17:00,E002,invoice_issued,,open,INV-60381.pdf,1.0,N
EV-002068,northfield_industrial_components,procure_to_pay,receipt,RCV-40070,2025-05-06T10:41:00,E102,goods_received,open,received,PS656159,1.0,N
EV-000963,northfield_industrial_components,fulfillment,shipment,SH-50338,2025-05-06T10:52:00,E100,shipment_confirmed,picked,shipped,PS-SH-50338.pdf,1.0,N
