Price List Id,Price Level,Item Id,Unit Price,Currency,Effective Date,Expiration Date
PL-A,A,SHEA-1035,207.93,USD,2025-01-01,2026-12-31
PL-B,B,SHEA-1035,197.53,USD,2025-01-01,2026-12-31
PL-C,C,SHEA-1035,187.14,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1035,170.5,USD,2025-01-01,2026-12-31
PL-A,A,SHEA-1037,171.37,USD,01/01/25,2026-12-31
PL-B,B,SHEA-1037,162.8,USD,2025-01-01,12/31/26
PL-C,C,SHEA-1037,154.23,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1037,140.52,USD,2025-01-01,12/31/2026
PL-A,A,SHEA-1038,507.88,USD,01/01/2025,2026-12-31
PL-B,B,SHEA-1038,482.49,USD,"Jan 01, 2025",2026-12-31
PL-C,C ,SHEA-1038,457.09,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1038,416.46,USD,"Jan 01, 2025 ",2026-12-31
PL-A,A,CONV-1039,9654.01,USD,2025-01-01,2026-12-31
PL-B,B,CONV-1039,9171.31,USD,2025-01-01,2026-12-31
PL-C,C,CONV-1039,8688.61,USD,2025-01-01,12/31/2026
PL-D,D,CONV-1039,7916.29,USD,2025-01-01,2026-12-31
PL-A,A,AC-1040,889.78,USD,01/01/25 ,2026-12-31
PL-B,B,AC-1040,845.29,USD,2025-01-01,2026-12-31
PL-C,C,AC-1040,800.8,USD,2025-01-01,2026-12-31
PL-D,D,AC-1040,729.62,USD,2025-01-01,2026-12-31
PL-A,A,SPRO-1041,64.34,USD,2025-01-01,12/31/26
PL-B,B,SPRO-1041,61.12,USD,"Jan 01, 2025",2026-12-31
PL-C,C,SPRO-1041,57.91,USD,01/01/2025,2026-12-31 
PL-D,D,SPRO-1041,52.76,USD,2025-01-01,2026-12-31
PL-A,A,CONV-1042,7636.18,USD,2025-01-01,2026-12-31
PL-B,B,CONV-1042,7254.37,USD,2025-01-01,2026-12-31
PL-C,C,CONV-1042,6872.56,USD,2025-01-01,2026-12-31
PL-D,D,CONV-1042,6261.67,USD,01-Jan-2025,2026-12-31
PL-A,A,CONV-1043,2760.14,USD,2025-01-01,2026-12-31
PL-B,B,CONV-1043,2622.13,USD,"Jan 01, 2025",2026-12-31
PL-C,C,CONV-1043,2484.13,USD,"Jan 01, 2025",2026-12-31
PL-D,D,CONV-1043,2263.31,USD,2025-01-01,2026-12-31
PL-A,A,ROLL-1044,254.63,USD,2025-01-01,2026-12-31
PL-B,B,ROLL-1044,241.9,USD,01/01/25,12/31/2026
PL-C,C,ROLL-1044,229.17,USD,2025-01-01,"Dec 31, 2026"
PL-D ,D ,ROLL-1044,208.8,USD,2025-01-01,2026-12-31
PL-A,A,SHEA-1045,71.52,USD,"Jan 01, 2025",2026-12-31
PL-B,B,SHEA-1045,67.94,USD,2025-01-01,2026-12-31
PL-C,C,SHEA-1045,64.37,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1045,58.65,USD ,2025-01-01,2026-12-31
PL-A,A,CONV-1046,10309.76,USD,2025-01-01,2026-12-31
PL-B,B,CONV-1046,9794.27,USD,2025-01-01,2026-12-31
PL-C,C,CONV-1046 ,9278.78,USD,2025-01-01 ,2026-12-31
PL-D,D,CONV-1046,8454.0,USD,2025-01-01,2026-12-31
PL-A,A,SPRO-1047,23.55,USD,2025-01-01,2026-12-31
PL-B,B,SPRO-1047,22.37,USD,2025-01-01,2026-12-31 
PL-C,C,SPRO-1047,21.2,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1047,19.31,USD,2025-01-01,2026-12-31
PL-A,A,AC-1048,2530.93,USD,2025-01-01,2026-12-31
PL-B,B,AC-1048,2404.38,USD,01/01/2025,2026-12-31
PL-C,C,AC-1048,2277.84,USD,2025-01-01,"Dec 31, 2026"
PL-D,D,AC-1048,2075.36,USD,2025-01-01,2026-12-31
PL-A,A,SHEA-1049,277.65,USD ,2025-01-01,12/31/26
PL-B,B,SHEA-1049,263.77,USD,2025-01-01,2026-12-31
PL-C,C,SHEA-1049,249.88,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1049,227.67,USD,2025-01-01,2026-12-31
PL-A,A,SPRO-1050,17.99,USD,2025-01-01,12/31/26
PL-B,B,SPRO-1050,17.09,USD,2025-01-01,2026-12-31
PL-C,C,SPRO-1050,16.19,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1050,14.75,USD,2025-01-01,2026-12-31
PL-A,A,CONV-1051,6138.42,USD,2025-01-01,2026-12-31
PL-B,B,CONV-1051,5831.5,USD,2025-01-01,2026-12-31
PL-C,C,CONV-1051,5524.58,USD,2025-01-01,2026-12-31
PL-D,D,CONV-1051,5033.5,USD ,2025-01-01,"Dec 31, 2026"
PL-A,A,CONV-1052,4045.3,USD,2025-01-01,"Dec 31, 2026"
PL-B,B,CONV-1052,3843.03,USD,2025-01-01,2026-12-31
PL-C,C,CONV-1052,3640.77,USD,2025-01-01,2026-12-31
PL-D,D,CONV-1052,3317.15,USD,2025-01-01,2026-12-31
PL-A,A,ROLL-1053,136.04,USD,2025-01-01,12/31/26
PL-B,B,ROLL-1053,129.24,USD,2025-01-01,2026-12-31
PL-C,C,ROLL-1053,122.44,USD,2025-01-01,2026-12-31
PL-D,D,ROLL-1053,111.55,USD,2025-01-01,2026-12-31
PL-A,A,AC-1054,2688.01,USD,2025-01-01,2026-12-31
PL-B,B,AC-1054,2553.61,USD,2025-01-01,2026-12-31
PL-C,C,AC-1054,2419.21,USD,2025-01-01,12/31/2026
PL-D,D,AC-1054,2204.17,USD,2025-01-01,2026-12-31
PL-A,A,SPRO-1055,39.06,USD,2025-01-01,2026-12-31
PL-B,B,SPRO-1055,37.11,USD,2025-01-01,12/31/26
PL-C,C,SPRO-1055,35.15,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1055,32.03,USD,2025-01-01,2026-12-31
PL-A,A,TIMI-1056,27.88,USD,2025-01-01,2026-12-31 
PL-B,B,TIMI-1056,26.49,USD ,01-Jan-2025,2026-12-31
PL-C,C,TIMI-1056,25.09,USD,2025-01-01,2026-12-31
PL-D,D,TIMI-1056,22.86,USD,2025-01-01,2026-12-31
PL-A,A,AC-1057,1174.91,USD,2025-01-01,12/31/2026
PL-B,B,AC-1057,1116.16,USD,2025-01-01,2026-12-31
PL-C,C,AC-1057,1057.42,USD,2025-01-01,2026-12-31
PL-D,D,AC-1057,963.43,USD,2025-01-01,31-Dec-2026
PL-A,A,TIMI-1058,134.28,USD,2025-01-01,2026-12-31
PL-B,B,TIMI-1058,127.57,USD,2025-01-01,2026-12-31
PL-C,C,TIMI-1058,120.85,USD,2025-01-01,2026-12-31
PL-D,D,TIMI-1058,110.11,USD,2025-01-01,12/31/26
PL-A,A,CONV-1059,5540.44,USD,01/01/25,2026-12-31
PL-B,B,CONV-1059,5263.42,USD,2025-01-01,2026-12-31
PL-C,C,CONV-1059,4986.4,USD,2025-01-01,2026-12-31
PL-D,D,CONV-1059,4543.16,USD,2025-01-01,2026-12-31
PL-A,A,GEAR-1060,4932.86,USD,2025-01-01,12/31/26
PL-B,B,GEAR-1060,4686.22,USD,2025-01-01,2026-12-31
PL-C,C,GEAR-1060,4439.57,USD,2025-01-01,2026-12-31
PL-D,D,GEAR-1060,4044.95,USD,2025-01-01,"Dec 31, 2026"
PL-A,A,SPRO-1061,121.32,USD,2025-01-01,2026-12-31
PL-B,B,SPRO-1061,115.25,USD,01/01/2025,2026-12-31
PL-C,C,SPRO-1061,109.19,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1061,99.48,USD,2025-01-01,2026-12-31
PL-A,A,MOUN-1062,221.27,USD,2025-01-01,2026-12-31
PL-B,B,MOUN-1062,210.21,USD,2025-01-01,2026-12-31
PL-C,C,MOUN-1062,199.14,USD,2025-01-01,2026-12-31
PL-D,D,MOUN-1062,181.44,USD,2025-01-01,2026-12-31
PL-A ,A,AC-1063,2247.5,USD,2025-01-01,2026-12-31
PL-B,B,AC-1063,2135.12,USD,01/01/25,2026-12-31
PL-C,C,AC-1063,2022.75,USD,2025-01-01,2026-12-31
PL-D,D,AC-1063,1842.95,USD,2025-01-01,2026-12-31
PL-A,A,SHEA-1064,228.0,USD,2025-01-01,2026-12-31
PL-B,B,SHEA-1064,216.6,USD,2025-01-01,2026-12-31
PL-C,C,SHEA-1064,205.2,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1064,186.96,USD,2025-01-01,2026-12-31
PL-A,A,CONV-1065,4790.87,USD,2025-01-01,31-Dec-2026
PL-B,B,CONV-1065,4551.33,USD,2025-01-01,2026-12-31
PL-C,C,CONV-1065,4311.78,USD,2025-01-01,2026-12-31
PL-D,D,CONV-1065,3928.51,USD,2025-01-01,2026-12-31
PL-A,A,GEAR-1066,1765.33,USD,2025-01-01,12/31/26
PL-B,B,GEAR-1066,1677.06,USD,2025-01-01,2026-12-31
PL-C,C,GEAR-1066,1588.8,USD,2025-01-01,2026-12-31
PL-D,D,GEAR-1066,1447.57,USD,2025-01-01,2026-12-31
PL-A,A,GEAR-1067,702.31,USD,2025-01-01,31-Dec-2026
PL-B,B,GEAR-1067,667.19,USD ,2025-01-01,2026-12-31
PL-C,C,GEAR-1067,632.08,USD,2025-01-01,12/31/26
PL-D,D,GEAR-1067,575.89,USD,2025-01-01,2026-12-31
PL-A,A,SHEA-1068,305.52,USD,2025-01-01,2026-12-31
PL-B,B,SHEA-1068,290.24,USD,01/01/25,2026-12-31
PL-C,C,SHEA-1068,274.97,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1068,250.53,USD,2025-01-01,2026-12-31
PL-A,A,SPRO-1069,202.59,USD,2025-01-01,2026-12-31
PL-B,B,SPRO-1069,192.46,USD,2025-01-01,2026-12-31
PL-C,C,SPRO-1069,182.33,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1069,166.12,USD,2025-01-01,2026-12-31
PL-A,A,SPRO-1070,40.18,USD,2025-01-01,2026-12-31
PL-B,B,SPRO-1070,38.17,USD,2025-01-01,12/31/26
PL-C,C,SPRO-1070,36.16,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1070,32.95,USD,2025-01-01,2026-12-31
PL-A,A,TIMI-1071,119.01,USD,2025-01-01,2026-12-31
PL-B,B,TIMI-1071,113.06,USD,01/01/25,2026-12-31
PL-C,C,TIMI-1071,107.11,USD,2025-01-01,2026-12-31
PL-D,D,TIMI-1071,97.59,USD,"Jan 01, 2025",2026-12-31
PL-A,A,SHEA-1072,148.86,USD,2025-01-01,2026-12-31
PL-B,B,SHEA-1072,141.42,USD,2025-01-01,2026-12-31
PL-C,C,SHEA-1072,133.97,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1072,122.07,USD,2025-01-01,2026-12-31
PL-A,A,GEAR-1073,2927.51,USD,2025-01-01,2026-12-31
PL-B,B,GEAR-1073,2781.13,USD,2025-01-01,2026-12-31 
PL-C,C,GEAR-1073,2634.76,USD,2025-01-01,2026-12-31
PL-D,D,GEAR-1073,2400.56,USD,2025-01-01,2026-12-31
PL-A,A,AC-1074,2760.81,USD,2025-01-01,2026-12-31
PL-B,B,AC-1074,2622.77,USD,01/01/2025,2026-12-31
PL-C,C,AC-1074,2484.73,USD,2025-01-01,2026-12-31
PL-D,D,AC-1074,2263.86,USD,2025-01-01,2026-12-31
PL-A,A,TIMI-1075,106.96,USD,2025-01-01,2026-12-31
PL-B,B,TIMI-1075,101.61,USD,01/01/25,2026-12-31
PL-C,C,TIMI-1075,96.26,USD,2025-01-01,12/31/26
PL-D,D,TIMI-1075,87.71,USD,2025-01-01,"Dec 31, 2026"
PL-A,A,SPRO-1076,19.07,USD,2025-01-01,2026-12-31
PL-B,B,SPRO-1076 ,18.12,USD,2025-01-01,2026-12-31
PL-C,C,SPRO-1076,17.16,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1076,15.64,USD,"Jan 01, 2025",2026-12-31
PL-A,A,SHEA-1077,120.32,USD,2025-01-01,2026-12-31
PL-B,B,SHEA-1077,114.3,USD,2025-01-01,2026-12-31
PL-C,C,SHEA-1077,108.29,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1077,98.66,USD,2025-01-01,2026-12-31
PL-A,A,SPRO-1078,123.96,USD,01/01/2025,12/31/2026
PL-B,B,SPRO-1078,117.76,USD,2025-01-01,2026-12-31
PL-C,C,SPRO-1078,111.56,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1078,101.65,USD,2025-01-01,2026-12-31
PL-A,A,ROLL-1079,169.37,USD,01-Jan-2025,2026-12-31
PL-B,B,ROLL-1079,160.9,USD,2025-01-01,2026-12-31
PL-C,C ,ROLL-1079,152.43,USD,2025-01-01,12/31/26
PL-D,D,ROLL-1079,138.88,USD,2025-01-01,12/31/26
PL-A,A,GEAR-1080,2553.05,USD,2025-01-01,2026-12-31
PL-B,B,GEAR-1080,2425.4,USD,2025-01-01,2026-12-31
PL-C,C,GEAR-1080,2297.75,USD,2025-01-01,2026-12-31
PL-D,D,GEAR-1080,2093.5,USD,2025-01-01,2026-12-31
PL-A,A,MOUN-1081,83.29,USD,2025-01-01,2026-12-31
PL-B,B,MOUN-1081,79.13,USD,2025-01-01,2026-12-31
PL-C,C,MOUN-1081,74.96,USD,2025-01-01,2026-12-31
PL-D,D,MOUN-1081,68.3,USD,2025-01-01,2026-12-31
PL-A,A,SHEA-1082,317.24,USD,01-Jan-2025,2026-12-31
PL-B,B,SHEA-1082,301.38,USD,2025-01-01,2026-12-31
PL-C,C ,SHEA-1082,285.52,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1082,260.14,USD,2025-01-01,2026-12-31
PL-A,A,MOUN-1083,138.68,USD,2025-01-01,12/31/2026
PL-B,B,MOUN-1083,131.75,USD,2025-01-01,2026-12-31
PL-C,C,MOUN-1083,124.81,USD,01/01/2025,2026-12-31
PL-D,D,MOUN-1083,113.72,USD,2025-01-01,2026-12-31
PL-A,A,GEAR-1084,5909.76,USD ,01-Jan-2025,2026-12-31
PL-B,B,GEAR-1084,5614.27,USD,2025-01-01,2026-12-31
PL-C,C,GEAR-1084,5318.78,USD,2025-01-01,2026-12-31
PL-D,D,GEAR-1084,4846.0,USD,2025-01-01,2026-12-31
PL-A,A,AC-1085,534.01,USD,2025-01-01,2026-12-31
PL-B,B,AC-1085,507.31,USD,"Jan 01, 2025",2026-12-31
PL-C,C,AC-1085,480.61,USD,2025-01-01,2026-12-31
PL-D,D,AC-1085,437.89,USD,2025-01-01,2026-12-31
PL-A,A,AC-1086,3992.74,USD,01/01/25,2026-12-31
PL-B,B,AC-1086,3793.1,USD ,2025-01-01,2026-12-31
PL-C,C,AC-1086,3593.47,USD,2025-01-01,2026-12-31
PL-D,D,AC-1086,3274.05,USD,2025-01-01,12/31/2026
PL-A,A,SPRO-1087,65.04,USD,2025-01-01,2026-12-31
PL-B,B,SPRO-1087,61.79,USD,2025-01-01,2026-12-31
PL-C,C,SPRO-1087,58.54,USD,2025-01-01,2026-12-31
PL-D,D,SPRO-1087,53.33,USD,2025-01-01,31-Dec-2026
PL-A,A,SHEA-1088,301.77,USD,2025-01-01,2026-12-31
PL-B,B,SHEA-1088,286.68,USD,2025-01-01,2026-12-31
PL-C,C,SHEA-1088,271.59,USD,2025-01-01,2026-12-31
PL-D,D,SHEA-1088,247.45,USD,2025-01-01,2026-12-31
PL-A,A,CONV-1089,7799.9,USD,2025-01-01,2026-12-31
PL-B,B,CONV-1089,7409.9,USD,2025-01-01,2026-12-31
PL-C,C,CONV-1089,7019.91,USD,2025-01-01,2026-12-31
PL-D,D,CONV-1089,6395.92,USD,2025-01-01,2026-12-31
