work_order_id,operation,work_center_id,planned_setup_hours,planned_run_hours,actual_setup_hours,actual_run_hours,status
WO-70014,10,WC-DEBUR,0.5,11.3,0.62,10.96,Complete
WO-70014,20,WC-SAW,1.75,3.8,1.54,3.69,Complete
WO-70014,30,WC-CNC2,1.25,9.7,1.05,10.28,Complete
WO-70014,40,WC-ASSY,1.75,10.9,2.1,14.17,Complete
WO-70014,50,WC-INSP,1.75,0.7,2.01,0.61,Complete
WO-70014,60,WC-PACK,1.25,5.6,1.36,5.77,Complete
WO-70015,10,WC-DEBUR,1.0,50.5,1.28,61.61,Complete
WO-70015,20,WC-CNC2,1.75,27.0,2.1,33.48,Complete
WO-70015,30,WC-INSP,0.5,41.0,0.63,49.61,Complete
WO-70015,40,WC-PACK,0.5,59.5,0.53,66.64,Complete
WO-70016,10,WC-CNC2,1.75,2.25,1.87,2.59,Complete
WO-70016,20,WC-ASSY,0.75,3.0,0.75,2.97,Complete
WO-70016,30,WC-SAW,0.5,6.5,,,Open
WO-70016,40,WC-DEBUR,1.5,12.25,,,Open
WO-70016,50,WC-INSP,0.25,4.75,,,Open
WO-70016,60,WC-PACK,1.75,8.75,1.57,7.61,Complete
WO-70017,10,WC-DEBUR,0.5,51.5,0.55,46.87,Complete
WO-70017,20,WC-CNC1,1.75,19.0,2.26,25.08,Complete
WO-70017,30,WC-ASSY,1.0,38.0,1.06,34.96,Complete
WO-70017,40,WC-SAW,0.75,16.5,0.78,14.52,Complete
WO-70017,50,WC-INSP,1.0,34.5,1.15,38.99,Complete
WO-70017,60,WC-PACK,0.5,8.5,0.47,8.67,Complete
WO-70018,10,WC-SAW,1.0,4.6,1.08,6.21,Complete
WO-70018,20,WC-CNC2,1.5,0.7,1.32,0.64,Complete
WO-70018,30,WC-INSP,0.5,2.8,0.52,2.44,Complete
WO-70018,40,WC-PACK,0.75,10.7,0.81,9.52,Complete
WO-70019,10,WC-DEBUR,1.75,82.0,1.5,95.94,Complete
WO-70019,20,WC-SAW,1.0,13.0,0.82,14.69,Complete
WO-70019,30,WC-INSP,2.0,31.0,2.58,38.44,Complete
WO-70019,40,WC-PACK,1.75,111.0,1.89,136.53,Complete
WO-70020,10,WC-CNC1,1.25,1.0,1.31,0.94,Complete
WO-70020,20,WC-ASSY,1.0,0.65,0.97,0.7,Complete
WO-70020,30,WC-INSP,2.0,5.65,1.98,5.14,Complete
WO-70020,40,WC-PACK,0.75,1.4,0.93,1.75,Complete
WO-70021,10,WC-DEBUR,1.0,21.4,1.34,21.83,Complete
WO-70021,20,WC-ASSY,0.75,20.4,,,Open
WO-70021,30,WC-SAW,0.75,14.4,,,Open
WO-70021,40,WC-CNC1,0.25,13.2,0.32,13.46,Complete
WO-70021,50,WC-INSP,1.25,4.2,1.31,5.42,Complete
WO-70021,60,WC-PACK,0.75,1.6,0.78,2.03,Complete
WO-70022,10,WC-ASSY,0.5,9.1,0.44,10.01,Complete
WO-70022,20,WC-SAW,0.5,11.6,0.48,11.48,Complete
WO-70022,30,WC-DEBUR,2.0,1.8,1.72,1.87,Complete
WO-70022,40,WC-INSP,0.75,8.5,0.93,11.3,Complete
WO-70022,50,WC-PACK,1.75,8.0,1.56,10.8,Complete
WO-70023,10,WC-ASSY,2.0,2.5,1.88,3.08,Complete
WO-70023,20,WC-CNC1,0.25,3.1,0.27,3.04,Complete
WO-70023,30,WC-INSP,0.75,2.45,0.83,2.38,Complete
WO-70023,40,WC-PACK,0.75,6.0,0.8,6.78,Complete
WO-70024,10,WC-SAW,1.25,47.0,1.73,50.29,Complete
WO-70024,20,WC-CNC2,1.75,50.0,1.73,63.0,Complete
WO-70024,30,WC-CNC1,1.5,53.0,1.95,58.3,Complete
WO-70024,40,WC-ASSY,2.0,75.0,1.64,90.0,Complete
WO-70024,50,WC-INSP,1.0,116.0,1.28,109.04,Complete
WO-70024,60,WC-PACK,2.0,54.0,2.38,68.58,Complete
WO-70025,10,WC-SAW,0.5,7.2,0.55,8.21,Complete
WO-70025,20,WC-CNC1,1.75,6.4,1.56,7.17,Complete
WO-70025,30,WC-DEBUR,0.5,17.4,0.54,14.96,Complete
WO-70025,40,WC-CNC2,1.5,14.2,1.83,12.64,Complete
WO-70025,50,WC-INSP,0.5,9.2,0.68,10.03,Complete
WO-70025,60,WC-PACK,1.25,2.6,1.24,3.28,Complete
WO-70026,10,WC-ASSY,1.75,17.5,2.36,18.73,Complete
WO-70026,20,WC-SAW,1.0,34.5,0.87,32.43,Complete
WO-70026,30,WC-CNC2,0.25,45.5,0.28,59.61,Complete
WO-70026,40,WC-DEBUR,0.5,40.0,0.42,51.2,Complete
WO-70026,50,WC-INSP,0.5,18.5,0.66,17.58,Complete
WO-70026,60,WC-PACK,0.25,59.0,0.29,55.46,Complete
WO-70027,10,WC-ASSY,1.75,17.6,,,Open
WO-70027,20,WC-SAW,1.75,2.2,1.77,2.42,Complete
WO-70027,30,WC-INSP,1.0,15.8,,,Open
WO-70027,40,WC-PACK,0.25,8.0,0.23,10.56,Complete
WO-70028,10,WC-SAW,2.0,3.25,2.44,3.28,Complete
WO-70028,20,WC-CNC1,0.5,10.0,0.47,11.0,Complete
WO-70028,30,WC-ASSY,1.75,12.0,1.85,11.64,Complete
WO-70028,40,WC-DEBUR,1.5,16.75,1.65,16.75,Complete
WO-70028,50,WC-INSP,0.75,14.75,0.98,15.64,Complete
WO-70028,60,WC-PACK,0.5,7.5,0.61,7.13,Complete
WO-70029,10,WC-DEBUR,0.5,71.0,0.6,68.87,Complete
WO-70029,20,WC-SAW,1.25,84.0,1.24,96.6,Complete
WO-70029,30,WC-INSP,1.0,66.0,0.96,83.16,Complete
WO-70029,40,WC-PACK,1.5,49.0,2.0,64.19,Complete
WO-70030,10,WC-CNC2,1.75,12.75,1.98,14.03,Complete
WO-70030,20,WC-ASSY,0.75,6.5,0.83,8.0,Complete
WO-70030,30,WC-DEBUR,0.5,2.75,0.54,3.55,Complete
WO-70030,40,WC-INSP,1.0,3.75,1.23,3.75,Complete
WO-70030,50,WC-PACK,0.25,22.25,0.24,23.36,Complete
WO-70031,10,WC-SAW,2.0,1.3,2.1,1.14,Complete
WO-70031,20,WC-CNC1,0.5,4.0,0.46,3.8,Complete
WO-70031,30,WC-ASSY,1.75,4.8,1.49,4.75,Complete
WO-70031,40,WC-DEBUR,1.5,6.7,1.53,6.5,Complete
WO-70031,50,WC-INSP,0.75,5.9,0.73,7.37,Complete
WO-70031,60,WC-PACK,0.5,3.0,0.59,3.81,Complete
WO-70032,10,WC-CNC1,0.75,24.0,0.85,23.04,Complete
WO-70032,20,WC-ASSY,0.75,58.0,0.93,58.0,Complete
WO-70032,30,WC-INSP,2.0,36.0,2.58,42.48,Complete
WO-70032,40,WC-PACK,1.5,71.0,2.01,95.14,Complete
WO-70033,10,WC-CNC2,0.25,10.9,0.31,11.99,Complete
WO-70033,20,WC-ASSY,1.0,11.6,1.4,12.53,Complete
WO-70033,30,WC-DEBUR,1.5,10.5,1.92,9.55,Complete
WO-70033,40,WC-CNC1,1.25,4.5,1.12,4.54,Complete
WO-70033,50,WC-INSP,1.25,10.2,1.06,9.89,Complete
WO-70033,60,WC-PACK,0.25,10.9,0.22,10.68,Complete
WO-70034,10,WC-SAW,0.5,7.2,,,Open
WO-70034,20,WC-CNC1,1.75,6.4,,,Open
WO-70034,30,WC-DEBUR,0.5,17.4,0.5,22.45,Complete
WO-70034,40,WC-CNC2,1.5,14.2,1.94,19.17,Complete
WO-70034,50,WC-INSP,0.5,9.2,,,Open
WO-70034,60,WC-PACK,1.25,2.6,1.25,3.3,Complete
WO-70035,10,WC-SAW,1.0,17.0,,,Open
WO-70035,20,WC-CNC1,0.75,20.5,0.91,20.29,Complete
WO-70035,30,WC-CNC2,1.25,39.5,1.18,51.75,Complete
WO-70035,40,WC-ASSY,0.75,38.5,0.93,36.96,Complete
WO-70035,50,WC-INSP,1.75,8.0,2.19,8.0,Complete
WO-70035,60,WC-PACK,1.25,21.5,,,Open
WO-70036,10,WC-ASSY,0.5,11.5,,,Open
WO-70036,20,WC-DEBUR,0.5,26.75,0.42,33.97,Complete
WO-70036,30,WC-INSP,1.0,8.5,1.22,9.95,Complete
WO-70036,40,WC-PACK,1.5,18.75,,,Open
WO-70037,10,WC-SAW,1.25,11.75,1.69,14.45,Complete
WO-70037,20,WC-CNC2,1.75,12.5,2.06,16.88,Complete
WO-70037,30,WC-CNC1,1.5,13.25,1.65,15.5,Complete
WO-70037,40,WC-ASSY,2.0,18.75,1.7,21.75,Complete
WO-70037,50,WC-INSP,1.0,29.0,1.12,32.77,Complete
WO-70037,60,WC-PACK,2.0,13.5,2.08,17.14,Complete
WO-70038,10,WC-DEBUR,1.0,53.5,0.93,67.41,Complete
WO-70038,20,WC-ASSY,0.75,51.0,0.73,49.47,Complete
WO-70038,30,WC-SAW,0.75,36.0,0.94,46.08,Complete
WO-70038,40,WC-CNC1,0.25,33.0,0.2,32.67,Complete
WO-70038,50,WC-INSP,1.25,10.5,1.66,11.97,Complete
WO-70038,60,WC-PACK,0.75,4.0,0.73,4.52,Complete
WO-70039,10,WC-DEBUR,1.0,101.0,1.17,90.9,Complete
WO-70039,20,WC-CNC2,1.75,54.0,2.4,49.14,Complete
WO-70039,30,WC-INSP,0.5,82.0,0.58,93.48,Complete
WO-70039,40,WC-PACK,0.5,119.0,0.68,157.08,Complete
WO-70040,10,WC-ASSY,1.75,7.0,1.42,9.03,Complete
WO-70040,20,WC-SAW,1.0,13.8,1.39,15.46,Complete
WO-70040,30,WC-CNC2,0.25,18.2,0.21,16.02,Complete
WO-70040,40,WC-DEBUR,0.5,16.0,0.61,15.68,Complete
WO-70040,50,WC-INSP,0.5,7.4,0.65,6.88,Complete
WO-70040,60,WC-PACK,0.25,23.6,0.27,27.38,Complete
WO-70041,10,WC-SAW,1.5,17.5,1.4,20.3,Complete
WO-70041,20,WC-CNC2,1.25,38.5,1.01,44.28,Complete
WO-70041,30,WC-INSP,2.0,17.5,1.74,18.2,Complete
WO-70041,40,WC-PACK,0.5,58.0,0.45,72.5,Complete
WO-70042,10,WC-CNC1,0.75,24.0,0.77,29.76,Complete
WO-70042,20,WC-ASSY,0.75,58.0,0.72,57.42,Complete
WO-70042,30,WC-INSP,2.0,36.0,2.52,38.88,Complete
WO-70042,40,WC-PACK,1.5,71.0,2.03,61.77,Complete
WO-70043,10,WC-CNC1,1.5,100.0,,,Open
WO-70043,20,WC-DEBUR,0.25,40.0,,,Open
WO-70043,30,WC-ASSY,0.75,38.0,0.76,49.02,Complete
WO-70043,40,WC-SAW,1.5,31.0,1.32,31.0,Complete
WO-70043,50,WC-INSP,0.25,118.0,,,Open
WO-70043,60,WC-PACK,1.0,88.0,1.07,112.64,Complete
WO-70044,10,WC-ASSY,1.75,4.4,1.44,4.8,Complete
WO-70044,20,WC-SAW,1.75,0.55,1.89,0.74,Complete
WO-70044,30,WC-INSP,1.0,3.95,1.14,4.35,Complete
WO-70044,40,WC-PACK,0.25,2.0,0.29,2.24,Complete
WO-70045,10,WC-SAW,0.5,45.5,0.42,41.41,Complete
WO-70045,20,WC-CNC1,1.25,18.5,1.36,21.64,Complete
WO-70045,30,WC-INSP,0.5,51.5,0.49,45.84,Complete
WO-70045,40,WC-PACK,1.5,52.0,1.6,58.76,Complete
WO-70046,10,WC-CNC1,1.5,100.0,,,Open
WO-70046,20,WC-DEBUR,0.25,40.0,0.25,49.6,Complete
WO-70046,30,WC-ASSY,0.75,38.0,,,Open
WO-70046,40,WC-SAW,1.5,31.0,1.94,31.62,Complete
WO-70046,50,WC-INSP,0.25,118.0,0.26,133.34,Complete
WO-70046,60,WC-PACK,1.0,88.0,,,Open
WO-70047,10,WC-CNC1,1.25,4.0,1.73,4.04,Complete
WO-70047,20,WC-ASSY,1.0,2.6,1.25,3.02,Complete
WO-70047,30,WC-INSP,2.0,22.6,2.02,26.44,Complete
WO-70047,40,WC-PACK,0.75,5.6,0.63,4.98,Complete
WO-70048,10,WC-SAW,0.5,19.5,0.6,22.23,Complete
WO-70048,20,WC-CNC2,0.5,28.5,0.57,28.5,Complete
WO-70048,30,WC-CNC1,0.75,7.75,0.94,8.76,Complete
WO-70048,40,WC-ASSY,0.75,9.5,0.96,12.06,Complete
WO-70048,50,WC-INSP,2.0,25.5,2.34,30.09,Complete
WO-70048,60,WC-PACK,0.5,18.25,0.52,23.73,Complete
WO-70049,10,WC-CNC1,2.0,19.0,,,Open
WO-70049,20,WC-SAW,1.5,9.0,,,Open
WO-70049,30,WC-INSP,1.75,92.0,,,Open
WO-70049,40,WC-PACK,1.75,106.0,1.73,98.58,Complete
WO-70050,10,WC-ASSY,0.5,4.55,0.42,5.87,Complete
WO-70050,20,WC-SAW,0.5,5.8,0.62,5.34,Complete
WO-70050,30,WC-DEBUR,2.0,0.9,2.18,1.0,Complete
WO-70050,40,WC-INSP,0.75,4.25,0.63,4.08,Complete
WO-70050,50,WC-PACK,1.75,4.0,2.06,3.64,Complete
WO-70051,10,WC-DEBUR,0.75,5.0,0.92,5.8,Complete
WO-70051,20,WC-ASSY,1.5,4.9,1.53,6.08,Complete
WO-70051,30,WC-SAW,0.75,2.0,1.01,2.4,Complete
WO-70051,40,WC-CNC2,1.5,9.7,1.77,8.44,Complete
WO-70051,50,WC-INSP,1.5,11.8,2.08,12.51,Complete
WO-70051,60,WC-PACK,1.75,7.1,1.52,7.31,Complete
WO-70052,10,WC-SAW,1.5,7.2,1.6,9.0,Complete
WO-70052,20,WC-DEBUR,0.75,9.7,0.99,9.6,Complete
WO-70052,30,WC-ASSY,2.0,9.3,2.22,8.46,Complete
WO-70052,40,WC-INSP,0.75,4.7,0.97,5.55,Complete
WO-70052,50,WC-PACK,1.75,10.8,1.71,10.91,Complete
WO-70053,10,WC-SAW,1.25,7.5,1.7,9.07,Complete
WO-70053,20,WC-CNC2,1.0,28.0,0.9,23.8,Complete
WO-70053,30,WC-CNC1,1.0,21.25,0.89,24.86,Complete
WO-70053,40,WC-ASSY,1.0,26.75,0.87,28.89,Complete
WO-70053,50,WC-INSP,2.0,29.25,2.2,36.85,Complete
WO-70053,60,WC-PACK,1.75,8.0,2.36,8.48,Complete
WO-70054,10,WC-CNC2,0.5,63.0,0.51,72.45,Complete
WO-70054,20,WC-CNC1,1.0,14.0,0.89,18.9,Complete
WO-70054,30,WC-ASSY,1.75,14.0,1.96,14.98,Complete
WO-70054,40,WC-INSP,1.5,14.0,1.25,16.52,Complete
WO-70054,50,WC-PACK,0.5,57.0,0.67,68.4,Complete
WO-70055,10,WC-ASSY,1.75,8.8,2.42,11.79,Complete
WO-70055,20,WC-SAW,1.75,1.1,1.49,1.07,Complete
WO-70055,30,WC-INSP,1.0,7.9,1.37,9.32,Complete
WO-70055,40,WC-PACK,0.25,4.0,0.32,5.12,Complete
WO-70056,10,WC-ASSY,1.75,17.5,1.84,19.08,Complete
WO-70056,20,WC-SAW,1.0,34.5,1.31,42.78,Complete
WO-70056,30,WC-CNC2,0.25,45.5,0.24,49.6,Complete
WO-70056,40,WC-DEBUR,0.5,40.0,0.4,52.8,Complete
WO-70056,50,WC-INSP,0.5,18.5,0.7,20.17,Complete
WO-70056,60,WC-PACK,0.25,59.0,0.24,70.8,Complete
WO-70057,10,WC-ASSY,2.0,25.0,1.82,27.25,Complete
WO-70057,20,WC-CNC1,0.25,31.0,0.34,32.86,Complete
WO-70057,30,WC-INSP,0.75,24.5,0.83,28.18,Complete
WO-70057,40,WC-PACK,0.75,60.0,0.99,59.4,Complete
WO-70058,10,WC-SAW,1.0,18.5,0.81,18.68,Complete
WO-70058,20,WC-CNC1,2.0,51.5,2.08,53.56,Complete
WO-70058,30,WC-INSP,1.75,14.0,2.0,16.24,Complete
WO-70058,40,WC-PACK,1.0,30.5,1.05,38.43,Complete
WO-70059,10,WC-CNC2,1.5,20.75,1.43,18.68,Complete
WO-70059,20,WC-DEBUR,0.25,17.5,0.33,21.0,Complete
WO-70059,30,WC-INSP,1.25,2.5,1.61,3.23,Complete
WO-70059,40,WC-PACK,1.25,10.25,1.34,9.53,Complete
WO-70060,10,WC-SAW,1.25,23.5,,,Open
WO-70060,20,WC-CNC2,1.75,25.0,,,Open
WO-70060,30,WC-CNC1,1.5,26.5,,,Open
WO-70060,40,WC-ASSY,2.0,37.5,,,Open
WO-70060,50,WC-INSP,1.0,58.0,,,Open
WO-70060,60,WC-PACK,2.0,27.0,2.08,34.83,Complete
WO-70061,10,WC-ASSY,1.75,35.0,2.19,45.85,Complete
WO-70061,20,WC-SAW,1.0,69.0,0.83,87.63,Complete
WO-70061,30,WC-CNC2,0.25,91.0,0.27,116.48,Complete
WO-70061,40,WC-DEBUR,0.5,80.0,0.66,96.0,Complete
WO-70061,50,WC-INSP,0.5,37.0,0.64,49.21,Complete
WO-70061,60,WC-PACK,0.25,118.0,0.24,118.0,Complete
WO-70062,10,WC-ASSY,2.0,10.0,,,Open
WO-70062,20,WC-CNC1,0.25,12.4,,,Open
WO-70062,30,WC-INSP,0.75,9.8,1.02,11.07,Complete
WO-70062,40,WC-PACK,0.75,24.0,0.79,27.6,Complete
WO-70063,10,WC-DEBUR,0.5,71.0,0.69,61.06,Complete
WO-70063,20,WC-SAW,1.25,84.0,1.35,80.64,Complete
WO-70063,30,WC-INSP,1.0,66.0,0.95,76.56,Complete
WO-70063,40,WC-PACK,1.5,49.0,1.33,53.41,Complete
WO-70064,10,WC-CNC2,0.5,15.75,0.44,20.0,Complete
WO-70064,20,WC-CNC1,1.0,3.5,1.3,3.89,Complete
WO-70064,30,WC-ASSY,1.75,3.5,2.12,3.29,Complete
WO-70064,40,WC-INSP,1.5,3.5,1.54,3.96,Complete
WO-70064,50,WC-PACK,0.5,14.25,0.63,13.54,Complete
WO-70065,10,WC-CNC2,0.75,2.0,0.99,2.08,Complete
WO-70065,20,WC-DEBUR,0.5,16.5,0.41,22.11,Complete
WO-70065,30,WC-INSP,1.75,8.25,2.26,9.49,Complete
WO-70065,40,WC-PACK,0.25,1.75,0.2,1.59,Complete
WO-70066,10,WC-CNC1,0.5,51.0,0.45,54.57,Complete
WO-70066,20,WC-CNC2,1.75,7.0,2.03,9.38,Complete
WO-70066,30,WC-ASSY,0.5,9.0,0.55,7.92,Complete
WO-70066,40,WC-SAW,0.25,106.0,0.3,106.0,Complete
WO-70066,50,WC-INSP,2.0,40.0,2.02,45.6,Complete
WO-70066,60,WC-PACK,1.0,56.0,0.82,69.44,Complete
WO-70067,10,WC-SAW,1.5,3.6,1.41,4.5,Complete
WO-70067,20,WC-DEBUR,0.75,4.85,0.9,6.3,Complete
WO-70067,30,WC-ASSY,2.0,4.65,2.58,5.91,Complete
WO-70067,40,WC-INSP,0.75,2.35,0.64,2.89,Complete
WO-70067,50,WC-PACK,1.75,5.4,2.38,5.29,Complete
WO-70068,10,WC-CNC2,0.5,34.5,,,Open
WO-70068,20,WC-ASSY,1.5,54.0,,,Open
WO-70068,30,WC-DEBUR,0.75,29.0,0.75,37.99,Complete
WO-70068,40,WC-CNC1,1.0,20.5,,,Open
WO-70068,50,WC-INSP,0.5,57.5,,,Open
WO-70068,60,WC-PACK,1.75,3.5,1.42,4.24,Complete
WO-70069,10,WC-DEBUR,1.0,50.5,1.3,54.54,Complete
WO-70069,20,WC-CNC2,1.75,27.0,1.96,31.32,Complete
WO-70069,30,WC-INSP,0.5,41.0,0.41,53.3,Complete
WO-70069,40,WC-PACK,0.5,59.5,0.51,63.07,Complete
WO-70070,10,WC-CNC1,0.5,25.5,0.54,24.48,Complete
WO-70070,20,WC-CNC2,1.75,3.5,1.52,4.48,Complete
WO-70070,30,WC-ASSY,0.5,4.5,0.46,5.4,Complete
WO-70070,40,WC-SAW,0.25,53.0,0.24,48.23,Complete
WO-70070,50,WC-INSP,2.0,20.0,1.64,26.6,Complete
WO-70070,60,WC-PACK,1.0,28.0,1.38,29.4,Complete
WO-70071,10,WC-CNC1,0.75,6.0,0.76,5.94,Complete
WO-70071,20,WC-ASSY,0.75,14.5,0.85,13.63,Complete
WO-70071,30,WC-INSP,2.0,9.0,2.3,10.17,Complete
WO-70071,40,WC-PACK,1.5,17.75,1.38,16.51,Complete
WO-70072,10,WC-SAW,0.5,39.0,0.59,50.31,Complete
WO-70072,20,WC-CNC2,0.5,57.0,0.5,68.97,Complete
WO-70072,30,WC-CNC1,0.75,15.5,1.02,16.43,Complete
WO-70072,40,WC-ASSY,0.75,19.0,0.88,22.61,Complete
WO-70072,50,WC-INSP,2.0,51.0,2.5,66.81,Complete
WO-70072,60,WC-PACK,0.5,36.5,0.68,36.5,Complete
WO-70073,10,WC-SAW,1.0,9.2,,,Open
WO-70073,20,WC-CNC2,1.5,1.4,,,Open
WO-70073,30,WC-INSP,0.5,5.6,0.43,6.44,Complete
WO-70073,40,WC-PACK,0.75,21.4,,,Open
WO-70074,10,WC-CNC2,1.5,4.15,1.26,5.23,Complete
WO-70074,20,WC-DEBUR,0.25,3.5,0.26,4.03,Complete
WO-70074,30,WC-INSP,1.25,0.5,1.2,0.47,Complete
WO-70074,40,WC-PACK,1.25,2.05,1.18,1.76,Complete
WO-70075,10,WC-SAW,1.0,46.0,1.04,58.88,Complete
WO-70075,20,WC-CNC2,1.5,7.0,2.01,8.96,Complete
WO-70075,30,WC-INSP,0.5,28.0,0.53,33.88,Complete
WO-70075,40,WC-PACK,0.75,107.0,0.64,127.33,Complete
WO-70076,10,WC-SAW,1.0,23.0,1.21,28.98,Complete
WO-70076,20,WC-CNC2,1.5,3.5,1.71,4.31,Complete
WO-70076,30,WC-INSP,0.5,14.0,0.5,16.24,Complete
WO-70076,40,WC-PACK,0.75,53.5,0.8,66.88,Complete
WO-70077,10,WC-CNC1,0.75,1.2,0.86,1.45,Complete
WO-70077,20,WC-ASSY,0.75,2.9,0.95,3.68,Complete
WO-70077,30,WC-INSP,2.0,1.8,2.4,1.69,Complete
WO-70077,40,WC-PACK,1.5,3.55,1.59,4.47,Complete
WO-70078,10,WC-DEBUR,1.0,5.05,1.37,6.01,Complete
WO-70078,20,WC-CNC2,1.75,2.7,1.52,2.75,Complete
WO-70078,30,WC-INSP,0.5,4.1,0.46,4.51,Complete
WO-70078,40,WC-PACK,0.5,5.95,0.69,6.72,Complete
WO-70079,10,WC-SAW,1.25,1.5,1.6,1.47,Complete
WO-70079,20,WC-CNC2,1.0,5.6,1.22,7.56,Complete
WO-70079,30,WC-CNC1,1.0,4.25,1.16,5.06,Complete
WO-70079,40,WC-ASSY,1.0,5.35,1.08,5.83,Complete
WO-70079,50,WC-INSP,2.0,5.85,2.1,4.97,Complete
WO-70079,60,WC-PACK,1.75,1.6,1.84,2.11,Complete
WO-70080,10,WC-DEBUR,1.5,19.0,1.89,16.53,Complete
WO-70080,20,WC-CNC1,0.75,37.0,0.96,35.89,Complete
WO-70080,30,WC-SAW,0.75,48.0,0.65,46.08,Complete
WO-70080,40,WC-ASSY,1.75,75.0,1.44,91.5,Complete
WO-70080,50,WC-INSP,1.25,104.0,1.73,89.44,Complete
WO-70080,60,WC-PACK,0.5,46.0,0.58,61.18,Complete
