work_order_id,issue_date,component_item_id,required_qty,issued_qty,uom,lot_number,issued_by
WO-70046,2026-03-07,P-20085,250.0,260.0,EA,L260305-651,E076
WO-70046,2026-03-07,P-20095,75.0,78.0,EA,L260305-804,E079
WO-70046,2026-03-07,P-20001,100,103.0,EA,L260305-337,E077
WO-70047,2025-09-13,P-20027,80,83.2,EA,L250912-507,E077
WO-70047,2025-09-14,P-10028,50.0,50.5,EA,L250912-811,E102
WO-70047,2025-09-12,P-20006,40,41.2,EA,L250912-488,E076
WO-70047,2025-09-14,P-20117,20,19.8,EA,L250912-933,E078
WO-70047,2025-09-14,P-20032,20,21.0,EA,L250912-179,E079
WO-70048,2025-12-26,P-20118,100,100.0,EA,L251224-445,E105
WO-70048,2025-12-26,P-20008,18.75,19.5,EA,L251224-427,E079
WO-70048,2025-12-26,P-20023,50,50.0,EA,L251224-452,E105
WO-70049,2026-03-05,P-20024,75.0,76.5,EA,L260304-913,E081
WO-70049,2026-03-05,P-20079,250.0,252.5,EA,L260304-643,E079
WO-70049,2026-03-05,P-20060,100,101.0,EA,L260304-275,E106
WO-70049,2026-03-04,P-20032,75.0,74.25,EA,L260304-350,E104
WO-70050,2025-11-28,P-20105,10,10.2,EA,L251127-290,E102
WO-70050,2025-11-29,P-20050,12.5,12.88,EA,L251127-835,E080
WO-70050,2025-11-29,P-10000,20,20.0,EA,L251127-865,E105
WO-70050,2025-11-29,P-20086,10,10.3,EA,L251127-238,E080
WO-70050,2025-11-28,P-20095,10,10.0,EA,L251127-819,E101
WO-70050,2025-11-27,P-20048,3.75,3.83,EA,L251127-688,E077
WO-70051,2025-11-18,P-20081,20,20.2,EA,L251116-977,E076
WO-70051,2025-11-18,P-20024,20,20.2,EA,L251116-185,E083
WO-70051,2025-11-16,P-20085,7.5,7.88,EA,L251116-606,E100
WO-70051,2025-11-17,P-20009,7.5,7.65,EA,L251116-428,E105
WO-70051,2025-11-16,P-20098,10,9.9,EA,L251116-723,E081
WO-70052,2025-06-04,P-20062,40,39.2,EA,L250602-982,E081
WO-70052,2025-06-02,P-20109,40,41.6,EA,L250602-129,E105
WO-70052,2025-06-02,P-10021,10,9.9,EA,L250602-790,E079
WO-70053,2025-08-28,P-20048,18.75,19.5,EA,L250828-902,E101
WO-70053,2025-08-29,P-20109,25,24.5,EA,L250828-796,E077
WO-70053,2025-08-30,P-20104,25,24.75,EA,L250828-555,E083
WO-70053,2025-08-29,P-20044,50,49.5,EA,L250828-457,E104
WO-70053,2025-08-30,P-20009,18.75,19.12,EA,L250828-266,E101
WO-70053,2025-08-28,P-20008,18.75,18.75,EA,L250828-552,E082
WO-70054,2026-03-14,P-20028,75.0,75.0,EA,L260312-948,E082
WO-70054,2026-03-14,P-20095,200,204.0,EA,L260312-390,E079
WO-70054,2026-03-14,P-20050,100,101.0,EA,L260312-843,E077
WO-70054,2026-03-12,P-20006,400,400.0,EA,L260312-818,E101
WO-70054,2026-03-12,P-20044,100,104.0,EA,L260312-221,E099
WO-70054,2026-03-14,P-10000,250.0,250.0,EA,L260312-942,E079
WO-70055,2026-01-01,P-20083,10,10.2,EA,L251231-852,E078
WO-70055,2026-01-02,P-20035,20,19.6,EA,L251231-309,E099
WO-70055,2026-01-01,P-20081,10,10.1,EA,L251231-258,E078
WO-70055,2025-12-31,P-20050,20,20.2,EA,L251231-294,E078
WO-70056,2025-10-20,P-20054,37.5,36.75,EA,L251020-287,E078
WO-70056,2025-10-22,P-20059,100,103.0,EA,L251020-693,E103
WO-70056,2025-10-21,P-20099,37.5,39.0,EA,L251020-322,E104
WO-70057,2026-02-03,P-20118,125.0,128.75,EA,L260203-471,E083
WO-70057,2026-02-05,P-20011,50,50.0,EA,L260203-170,E103
WO-70057,2026-02-04,P-20045,37.5,37.88,EA,L260203-386,E100
WO-70057,2026-02-03,P-20106,37.5,38.62,EA,L260203-461,E082
WO-70058,2025-09-03,P-20099,200,200.0,EA,L250901-247,E106
WO-70058,2025-09-03,P-20080,200,204.0,EA,L250901-776,E106
WO-70058,2025-09-01,P-20117,200,202.0,EA,L250901-685,E102
WO-70058,2025-09-01,P-20050,50,49.5,EA,L250901-221,E077
WO-70058,2025-09-01,P-10098,285.0,296.4,LB,L250901-543,E099
WO-70059,2025-05-10,P-10028,18.75,18.94,EA,L250509-887,E079
WO-70059,2025-05-09,P-20059,100,100.0,EA,L250509-287,E100
WO-70059,2025-05-11,P-20012,25,26.0,EA,L250509-105,E077
WO-70059,2025-05-09,P-20046,25,26.0,EA,L250509-793,E080
WO-70060,2025-04-21,P-20099,50,51.0,EA,L250419-140,E105
WO-70060,2025-04-20,P-20049,200,204.0,EA,L250419-683,E102
WO-70060,2025-04-21,P-20011,50,50.0,EA,L250419-793,E080
WO-70060,2025-04-20,P-20085,50,51.5,EA,L250419-290,E100
WO-70061,2025-04-02,P-20054,75.0,75.0,EA,L250401-302,E105
WO-70061,2025-04-02,P-20059,200,206.0,EA,L250401-633,E101
WO-70061,2025-04-02,P-20099,75.0,74.25,EA,L250401-593,E083
WO-70062,2026-03-07,P-20118,50.0,50.0,EA,L260307-197,E099
WO-70062,2026-03-07,P-20011,20,20.8,EA,L260307-266,E077
WO-70062,2026-03-08,P-20045,15.0,15.75,EA,L260307-908,E099
WO-70062,2026-03-07,P-20106,15.0,14.7,EA,L260307-864,E103
WO-70063,2025-07-17,P-20109,100,102.0,EA,L250715-861,E077
WO-70063,2025-07-16,P-20104,75.0,75.75,EA,L250715-236,E103
WO-70063,2025-07-17,P-20049,400,412.0,EA,L250715-377,E082
WO-70063,2025-07-17,P-20069,250.0,252.5,EA,L250715-190,E105
WO-70064,2025-11-29,P-20028,18.75,18.94,EA,L251128-806,E078
WO-70064,2025-11-30,P-20095,50,50.0,EA,L251128-964,E082
WO-70064,2025-11-30,P-20050,25,24.75,EA,L251128-935,E102
WO-70064,2025-11-29,P-20006,100,105.0,EA,L251128-798,E101
WO-70064,2025-11-29,P-20044,25,26.0,EA,L251128-727,E101
WO-70064,2025-11-30,P-10000,62.5,61.88,EA,L251128-576,E083
WO-70065,2026-01-29,P-20112,18.75,19.12,EA,L260128-191,E102
WO-70065,2026-01-29,P-20011,50,51.0,EA,L260128-174,E083
WO-70065,2026-01-30,P-20106,25,25.0,EA,L260128-489,E076
WO-70066,2025-12-20,P-20049,100,104.0,EA,L251218-385,E102
WO-70066,2025-12-18,P-20008,400,412.0,EA,L251218-600,E082
WO-70066,2025-12-19,P-20054,200,202.0,EA,L251218-454,E106
WO-70067,2025-08-29,P-20062,20,20.2,EA,L250829-622,E104
WO-70067,2025-08-31,P-20109,20,20.8,EA,L250829-666,E104
WO-70067,2025-08-30,P-10021,5,5.0,EA,L250829-939,E103
WO-70068,2026-03-26,P-20108,200,204.0,EA,L260326-253,E105
WO-70068,2026-03-27,P-20050,100,98.0,EA,L260326-720,E079
WO-70068,2026-03-27,P-20028,37.5,37.5,EA,L260326-353,E083
WO-70068,2026-03-27,P-20081,100,104.0,EA,L260326-608,E102
WO-70068,2026-03-28,P-20007,125.0,127.5,EA,L260326-992,E103
WO-70068,2026-03-27,P-10014,50,50.0,EA,L260326-578,E104
WO-70069,2025-07-17,P-20012,100,98.0,EA,L250717-483,E106
WO-70069,2025-07-19,P-20104,200,204.0,EA,L250717-810,E105
WO-70069,2025-07-18,P-20106,200,202.0,EA,L250717-790,E102
WO-70069,2025-07-18,P-20088,37.5,37.88,EA,L250717-919,E102
WO-70070,2026-03-15,P-20049,50,52.5,EA,L260313-271,E080
WO-70070,2026-03-15,P-20008,200,202.0,EA,L260313-132,E099
WO-70070,2026-03-13,P-20054,100,104.0,EA,L260313-633,E081
WO-70071,2025-12-18,P-20064,18.75,18.75,EA,L251218-490,E105
WO-70071,2025-12-18,P-20028,100,101.0,EA,L251218-469,E099
WO-70071,2025-12-18,P-20016,50,49.0,EA,L251218-609,E104
WO-70071,2025-12-19,P-20085,62.5,63.75,EA,L251218-533,E102
WO-70071,2025-12-19,P-20000,100,101.0,EA,L251218-299,E077
WO-70071,2025-12-20,P-20069,25,24.75,EA,L251218-101,E079
WO-70072,2025-07-10,P-20118,200,210.0,EA,L250708-619,E100
WO-70072,2025-07-08,P-20008,37.5,37.88,EA,L250708-999,E099
WO-70072,2025-07-09,P-20023,100,104.0,EA,L250708-144,E101
WO-70073,2026-03-25,P-20081,50.0,52.0,EA,L260323-962,E080
WO-70073,2026-03-23,P-20055,80,83.2,EA,L260323-209,E099
WO-70073,2026-03-25,P-20035,20,21.0,EA,L260323-897,E106
WO-70073,2026-03-24,P-10091,20,20.0,BX,L260323-626,E105
WO-70073,2026-03-25,P-20069,20,20.6,EA,L260323-678,E082
WO-70073,2026-03-25,P-20109,15.0,15.0,EA,L260323-253,E077
WO-70074,2025-05-25,P-10028,3.75,3.9,EA,L250523-289,E077
WO-70074,2025-05-23,P-20059,20,19.6,EA,L250523-501,E101
WO-70074,2025-05-25,P-20012,5,5.15,EA,L250523-780,E079
WO-70074,2025-05-25,P-20046,5,5.1,EA,L250523-865,E099
WO-70075,2025-08-24,P-20081,250.0,257.5,EA,L250824-787,E104
WO-70075,2025-08-24,P-20055,400,396.0,EA,L250824-209,E102
WO-70075,2025-08-25,P-20035,100,101.0,EA,L250824-762,E076
WO-70075,2025-08-26,P-10091,100,102.0,BX,L250824-851,E104
WO-70075,2025-08-26,P-20069,100,100.0,EA,L250824-416,E105
WO-70075,2025-08-24,P-20109,75.0,74.25,EA,L250824-416,E105
WO-70076,2025-07-30,P-20081,125.0,123.75,EA,L250728-610,E082
WO-70076,2025-07-28,P-20055,200,200.0,EA,L250728-278,E078
WO-70076,2025-07-28,P-20035,50,49.5,EA,L250728-193,E083
WO-70076,2025-07-30,P-10091,50,51.5,BX,L250728-670,E082
WO-70076,2025-07-30,P-20069,50,51.0,EA,L250728-110,E100
WO-70076,2025-07-29,P-20109,37.5,37.88,EA,L250728-199,E077
WO-70077,2025-05-14,P-20064,3.75,3.83,EA,L250512-919,E076
WO-70077,2025-05-13,P-20028,20,20.0,EA,L250512-150,E100
WO-70077,2025-05-14,P-20016,10,10.4,EA,L250512-465,E105
WO-70077,2025-05-12,P-20085,12.5,12.75,EA,L250512-107,E106
WO-70077,2025-05-12,P-20000,20,20.6,EA,L250512-720,E103
WO-70077,2025-05-14,P-20069,5,5.05,EA,L250512-903,E079
WO-70078,2025-09-15,P-20012,10,10.1,EA,L250914-450,E103
WO-70078,2025-09-15,P-20104,20,20.2,EA,L250914-584,E104
WO-70078,2025-09-14,P-20106,20,19.6,EA,L250914-650,E083
WO-70078,2025-09-15,P-20088,3.75,3.86,EA,L250914-877,E103
WO-70079,2025-12-09,P-20048,3.75,3.75,EA,L251209-896,E104
WO-70079,2025-12-11,P-20109,5,5.05,EA,L251209-238,E105
WO-70079,2025-12-11,P-20104,5,5.05,EA,L251209-235,E101
WO-70079,2025-12-09,P-20044,10,10.0,EA,L251209-897,E081
WO-70079,2025-12-11,P-20009,3.75,3.75,EA,L251209-778,E079
WO-70079,2025-12-09,P-20008,3.75,3.83,EA,L251209-840,E104
WO-70080,2026-02-22,P-20086,100,104.0,EA,L260221-594,E078
WO-70080,2026-02-23,P-20018,75.0,75.75,EA,L260221-123,E081
WO-70080,2026-02-21,P-20049,75.0,75.75,EA,L260221-138,E076
WO-70080,2026-02-21,P-10105,1350.0,1390.5,LB,L260221-475,E106
WO-70081,2025-05-06,P-20086,25,25.0,EA,L250505-609,E099
WO-70081,2025-05-07,P-20018,18.75,18.94,EA,L250505-809,E106
WO-70081,2025-05-06,P-20049,18.75,18.75,EA,L250505-134,E102
WO-70081,2025-05-07,P-10105,337.5,351.0,LB,L250505-519,E100
WO-70082,2025-09-17,P-20099,20,20.2,EA,L250917-288,E100
WO-70082,2025-09-19,P-20080,20,20.4,EA,L250917-309,E080
WO-70082,2025-09-17,P-20117,20,20.0,EA,L250917-889,E079
WO-70082,2025-09-18,P-20050,5,5.15,EA,L250917-263,E106
WO-70082,2025-09-17,P-10098,28.5,29.36,LB,L250917-864,E083
WO-70083,2025-06-22,P-20024,7.5,7.8,EA,L250621-515,E101
WO-70083,2025-06-21,P-20079,25.0,24.5,EA,L250621-236,E079
WO-70083,2025-06-22,P-20060,10,10.2,EA,L250621-809,E099
WO-70083,2025-06-23,P-20032,7.5,7.88,EA,L250621-687,E102
WO-70084,2025-11-07,P-20099,100,104.0,EA,L251107-717,E106
WO-70084,2025-11-08,P-20080,100,105.0,EA,L251107-431,E078
WO-70084,2025-11-09,P-20117,100,105.0,EA,L251107-888,E099
WO-70084,2025-11-07,P-20050,25,26.0,EA,L251107-155,E105
WO-70084,2025-11-09,P-10098,142.5,143.93,LB,L251107-287,E099
WO-70085,2026-03-03,P-20109,20,20.4,EA,L260303-860,E076
WO-70085,2026-03-04,P-20104,15.0,15.0,EA,L260303-258,E105
WO-70085,2026-03-03,P-20049,80,82.4,EA,L260303-539,E102
WO-70085,2026-03-04,P-20069,50.0,49.5,EA,L260303-147,E079
WO-70086,2025-07-31,P-10028,15.0,15.6,EA,L250729-500,E077
WO-70086,2025-07-31,P-20059,80,80.8,EA,L250729-543,E083
WO-70086,2025-07-29,P-20012,20,20.6,EA,L250729-344,E105
WO-70086,2025-07-29,P-20046,20,21.0,EA,L250729-741,E104
WO-70087,2026-02-19,P-20112,7.5,7.5,EA,L260219-860,E103
WO-70087,2026-02-20,P-20011,20,20.2,EA,L260219-619,E105
WO-70087,2026-02-20,P-20106,10,9.9,EA,L260219-273,E080
WO-70088,2025-09-13,P-20109,10,10.3,EA,L250913-126,E099
WO-70088,2025-09-15,P-20104,7.5,7.73,EA,L250913-988,E078
