work_order_id,item_id,item_revision,order_qty,release_date,due_date,demand_source,planner_id,status,completed_qty,scrap_qty,std_cost_per_unit,actual_cost
WO-70053,A-20022,B,25,2025-08-28,2025-09-04,Stock,E024,Closed,25,2,155.41,13290.01
WO-70054,A-20093,C,100,2026-03-12,2026-03-21,Stock,E106,Closed,100,9,2017.22,27101.47
WO-70055,A-20043,C,10,2025-12-31,2026-01-21,Stock,E009,Closed,10,0,1336.88,2455.05
WO-70056,A-20070,A,50,2025-10-20,2025-11-05,SO-26401,E086,Closed,50,0,1739.22,15697.78
WO-70057,A-20025,C,50,2026-02-03,2026-02-14,SO-26111,E071,Closed,50,0,703.54,13289.6
WO-70058,A-20031,A,50,2025-09-01,2025-09-17,SO-26324,E074,Closed,50,5,128.84,17586.33
WO-70059,A-20097,A,25,2025-05-09,2025-05-31,SO-26069,E027,Closed,25,0,246.81,29741.97
WO-70060,A-20040,C,50,2025-04-19,2025-04-26,Stock,E049,In Process,2,2,210.93,
WO-70061,A-20070,A,100,2025-04-01,2025-04-16,SO-26322,E057,Closed,100,0,1739.22,32713.99
WO-70062,A-20025,C,20,2026-03-07,2026-03-29,SO-26387,E103,Released,0,0,703.54,
WO-70063,A-20078,B,100,2025-07-15,2025-08-14,Stock,E058,Closed,100,3,704.75,20149.53
WO-70064,A-20093,C,25,2025-11-28,2025-12-28,SO-26209,E017,Closed,25,0,2017.22,7014.69
WO-70065,A-20063,A,25,2026-01-28,2026-02-12,SO-26058,E050,Closed,25,0,1372.91,4401.19
WO-70066,A-20082,B,100,2025-12-18,2025-12-25,SO-26104,E008,Closed,100,0,841.44,18947.21
WO-70067,A-20033,C,5,2025-08-29,2025-09-05,SO-26065,E100,Closed,5,0,328.62,2210.2
WO-70068,A-20053,A,50,2026-03-26,2026-04-08,SO-26367,E023,In Process,37,0,695.65,
WO-70069,A-20114,C,50,2025-07-17,2025-08-08,Stock,E101,Closed,50,2,244.69,33657.48
WO-70070,A-20082,B,50,2026-03-13,2026-03-21,SO-26117,E079,Closed,50,0,841.44,9230.94
WO-70071,A-20107,A,25,2025-12-18,2025-12-27,SO-26211,E006,Closed,25,0,2631.9500000000003,13273.53
WO-70072,A-20087,A,50,2025-07-08,2025-07-31,SO-26332,E048,Closed,50,0,333.06,24162.67
WO-70073,A-20061,C,20,2026-03-23,2026-04-13,Stock,E068,In Process,17,0,175.52,
WO-70074,A-20097,A,5,2025-05-23,2025-06-13,SO-26015,E032,Closed,5,1,246.81,6414.48
WO-70075,A-20061,C,100,2025-08-24,2025-09-20,Stock,E093,Closed,100,0,175.52,34253.97
WO-70076,A-20061,C,50,2025-07-28,2025-08-05,SO-26278,E081,Closed,50,0,175.52,17290.25
WO-70077,A-20107,A,5,2025-05-12,2025-05-30,Stock,E059,Closed,5,0,2631.9500000000003,3054.44
WO-70078,A-20114,C,5,2025-09-14,2025-09-26,SO-26234,E062,Closed,5,0,244.69,3522.54
WO-70079,A-20022,B,5,2025-12-09,2026-01-07,SO-26043,E095,Closed,5,1,155.41,3281.26
WO-70080,A-20039,B,100,2026-02-21,2026-03-22,Stock,E028,Closed,100,0,415.87,23221.17
WO-70081,A-20039,B,25,2025-05-05,2025-06-01,Stock,E101,Closed,25,0,415.87,6556.24
WO-70082,A-20031,A,5,2025-09-17,2025-10-07,Stock,E057,Closed,5,0,128.84,2190.07
WO-70083,A-20110,A,10,2025-06-21,2025-07-15,SO-26032,E102,Closed,10,0,2979.18,2467.73
WO-70084,A-20031,A,25,2025-11-07,2025-11-18,SO-26335,E018,Closed,25,0,128.84,8876.86
WO-70085,A-20078,B,20,2026-03-03,2026-04-01,SO-26145,E040,Released,0,0,704.75,
WO-70086,A-20097,A,20,2025-07-29,2025-08-22,SO-26127,E098,Closed,20,0,246.81,24976.97
WO-70087,A-20063,A,10,2026-02-19,2026-03-09,Stock,E063,Closed,10,0,1372.91,1883.16
WO-70088,A-20078,B,10,2025-09-13,2025-10-13,Stock,E100,Closed,10,0,704.75,2249.72
WO-70089,A-20053,A,25,2025-04-09,2025-04-23,SO-26037,E005,Closed,25,0,695.65,19871.61
WO-70090,A-20053,A,5,2026-01-21,2026-02-13,Stock,E093,Closed,5,0,695.65,4127.5
WO-70091,A-20002,C,10,2025-09-01,2025-09-27,Stock,E012,Closed,10,0,1931.15,3673.08
WO-70092,A-20090,C,5,2026-03-10,2026-04-04,SO-26280,E050,Released,0,1,821.3000000000001,
WO-70093,A-20094,C,25,2026-02-22,2026-03-18,SO-26019,E100,Closed,25,0,501.40000000000003,13236.24
WO-70094,A-20092,A,5,2025-05-05,2025-05-24,SO-26168,E082,Closed,5,0,1915.78,2363.25
WO-70095,A-20078,B,25,2025-11-26,2025-12-09,SO-26341,E019,Released,0,0,704.75,
WO-70096,A-20076,B,25,2025-09-09,2025-10-04,Stock,E027,Closed,25,0,721.1800000000001,4479.9
WO-70097,A-20022,B,100,2025-08-30,2025-09-21,SO-26369,E081,Closed,100,0,155.41,51680.83
WO-70098,A-20070,A,25,2025-07-03,2025-07-15,SO-26354,E050,Closed,25,0,1739.22,7590.25
WO-70099,A-20110,A,50,2025-10-25,2025-11-09,Stock,E016,Closed,50,0,2979.18,10543.75
WO-70100,A-20097,A,50,2025-10-11,2025-11-05,Stock,E103,Closed,50,5,246.81,60870.53
WO-70101,A-20073,B,20,2025-06-26,2025-07-06,Stock,E031,Closed,20,0,496.53000000000003,8706.17
WO-70102,A-20070,A,5,2025-11-01,2025-11-23,SO-26074,E095,Closed,5,1,1739.22,1869.54
WO-70103,A-20078,B,50,2025-12-16,2026-01-04,SO-26233,E044,Closed,50,3,704.75,10501.3
WO-70104,A-20110,A,20,2025-05-22,2025-05-31,SO-26213,E093,Closed,20,0,2979.18,4229.78
WO-70105,A-20004,A,50,2025-04-21,2025-05-03,SO-26420,E043,Closed,50,0,796.34,20030.19
WO-70106,A-20092,A,25,2026-03-30,2026-04-28,Stock,E007,In Process,18,0,1915.78,
WO-70107,A-20101,A,10,2025-06-25,2025-07-04,Stock,E097,Closed,10,0,2382.4,5539.47
WO-70108,A-20094,C,5,2025-05-21,2025-06-19,SO-26302,E046,Closed,5,1,501.40000000000003,2859.94
WO-70109,A-20031,A,100,2025-09-13,2025-10-02,Stock,E007,Closed,100,0,128.84,32130.96
WO-70110,A-20043,C,100,2025-12-06,2026-01-03,SO-26316,E094,Closed,100,0,1336.88,21315.94
WO-70111,A-20030,A,10,2025-07-04,2025-07-16,SO-26098,E044,Released,0,0,176.98,
WO-70112,A-20022,B,100,2025-11-30,2025-12-23,Stock,E101,Closed,100,0,155.41,54041.38
WO-70113,A-20063,A,100,2025-12-08,2025-12-21,Stock,E025,Closed,100,6,1372.91,16077.09
WO-70114,A-20078,B,20,2026-03-04,2026-03-14,SO-26194,E056,Closed,20,1,704.75,4340.69
WO-70115,A-20033,C,10,2025-11-09,2025-11-17,Stock,E090,Closed,10,0,328.62,3603.73
WO-70116,A-20036,A,5,2026-01-04,2026-01-15,SO-26261,E100,Closed,5,0,2945.65,2179.15
WO-70117,A-20040,C,25,2025-06-17,2025-07-12,SO-26327,E091,Closed,25,0,210.93,8633.19
WO-70118,A-20078,B,100,2026-02-27,2026-03-25,SO-26095,E085,Closed,100,7,704.75,21173.67
WO-70119,A-20031,A,10,2025-10-26,2025-11-18,SO-26311,E051,Closed,10,0,128.84,4051.77
WO-70120,A-20072,A,25,2025-06-21,2025-07-14,Stock,E098,Closed,25,0,402.48,5791.36
WO-70121,A-20022,B,10,2025-09-11,2025-10-09,SO-26187,E088,In Process,2,0,155.41,
WO-70122,A-20053,A,20,2025-06-23,2025-07-21,Stock,E040,Closed,20,0,695.65,15467.56
WO-70123,A-20036,A,5,2025-09-24,2025-10-17,Stock,E079,Closed,5,0,2945.65,2143.15
WO-70124,A-20072,A,10,2025-10-13,2025-11-04,SO-26014,E056,Closed,10,0,402.48,2562.83
WO-70125,A-20038,C,50,2026-02-21,2026-03-23,Stock,E008,Closed,50,0,1997.97,13197.18
WO-70126,A-20039,B,5,2026-02-12,2026-02-26,Stock,E070,Closed,5,1,415.87,1650.24
WO-70127,A-20004,A,5,2025-12-15,2025-12-29,SO-26237,E057,Closed,5,0,796.34,2146.63
WO-70128,A-20077,A,5,2025-04-11,2025-04-27,SO-26237,E100,In Process,5,0,869.98,
WO-70129,A-20082,B,50,2025-10-20,2025-11-12,SO-26235,E099,Closed,50,0,841.44,8623.17
WO-70130,A-20061,C,25,2026-01-01,2026-01-22,SO-26235,E046,Released,0,2,175.52,
WO-70131,A-20092,A,100,2025-06-09,2025-07-04,SO-26080,E014,Closed,100,0,1915.78,38170.99
WO-70132,A-20036,A,5,2026-01-14,2026-01-28,SO-26380,E086,Closed,5,0,2945.65,2152.29
WO-70133,A-20107,A,10,2026-03-26,2026-04-11,Stock,E105,In Process,4,0,2631.9500000000003,
WO-70134,A-20038,C,100,2025-08-19,2025-09-14,Stock,E021,Closed,100,0,1997.97,27955.21
WO-70135,A-20031,A,25,2025-12-27,2026-01-17,SO-26334,E057,Closed,25,2,128.84,8886.18
WO-70136,A-20003,C,100,2025-11-30,2025-12-28,SO-26098,E008,Closed,100,0,2450.66,21547.9
WO-70137,A-20025,C,10,2025-06-13,2025-06-24,Stock,E046,Closed,10,0,703.54,2591.75
WO-70138,A-20107,A,100,2025-04-21,2025-05-06,SO-26289,E093,Closed,100,0,2631.9500000000003,51780.07
WO-70139,A-20087,A,50,2025-09-20,2025-10-04,SO-26180,E022,Closed,50,0,333.06,22959.29
WO-70140,A-20002,C,25,2025-04-10,2025-05-08,Stock,E036,Closed,25,2,1931.15,7846.76
WO-70141,A-20058,C,20,2025-06-09,2025-06-26,SO-26197,E070,Closed,20,1,254.75,70497.76
WO-70142,A-20010,A,20,2025-11-26,2025-12-22,Stock,E093,Closed,20,0,383.63,10608.84
WO-70143,A-20030,A,20,2025-11-18,2025-12-13,Stock,E042,Closed,20,0,176.98,13487.26
WO-70144,A-20034,B,50,2025-11-13,2025-11-26,Stock,E090,Closed,50,0,111.33,17356.4
WO-70145,A-20107,A,50,2025-12-02,2025-12-26,SO-26204,E084,Closed,50,0,2631.9500000000003,26920.99
WO-70146,A-20097,A,5,2025-07-18,2025-08-07,Stock,E052,Closed,5,0,246.81,6142.0
WO-70147,A-20058,C,25,2026-02-17,2026-02-28,SO-26170,E091,Closed,25,0,254.75,83804.32
WO-70148,A-20031,A,10,2025-07-17,2025-07-26,SO-26041,E036,Closed,10,0,128.84,3656.47
WO-70149,A-20030,A,25,2026-02-13,2026-03-11,Stock,E081,Closed,25,0,176.98,16356.83
WO-70150,A-20110,A,100,2025-11-14,2025-12-03,SO-26410,E101,Closed,100,0,2979.18,18976.07
WO-70151,A-20110,A,20,2025-07-25,2025-08-20,Stock,E089,In Process,16,0,2979.18,
WO-70152,A-20101,A,10,2025-08-12,2025-08-21,Stock,E020,Closed,10,0,2382.4,5464.2
WO-70153,A-20036,A,20,2025-04-19,2025-05-04,Stock,E044,Closed,20,0,2945.65,7460.99
WO-70154,A-20030,A,20,2025-05-07,2025-05-17,Stock,E078,Closed,20,2,176.98,13378.5
WO-70155,A-20039,B,100,2025-05-09,2025-06-02,SO-26161,E067,In Process,23,0,415.87,
WO-70156,A-20004,A,25,2025-09-17,2025-09-30,SO-26127,E045,Closed,25,1,796.34,9330.58
WO-70157,A-20077,A,10,2025-08-12,2025-09-03,SO-26241,E063,Closed,10,0,869.98,3530.05
WO-70158,A-20065,A,50,2025-10-24,2025-11-07,SO-26046,E098,Closed,50,0,798.0,5212.03
WO-70159,A-20070,A,20,2025-05-09,2025-06-06,SO-26294,E077,Closed,20,0,1739.22,6324.13
WO-70160,A-20078,B,25,2025-09-14,2025-10-04,SO-26302,E016,Closed,25,0,704.75,5013.52
WO-70161,A-20094,C,100,2025-10-14,2025-11-12,SO-26366,E080,Closed,100,0,501.40000000000003,52364.09
WO-70162,A-20036,A,5,2025-09-14,2025-10-10,Stock,E050,Closed,5,0,2945.65,2126.91
WO-70163,A-20053,A,25,2025-05-01,2025-05-22,SO-26114,E033,Closed,25,0,695.65,19608.4
WO-70164,A-20031,A,100,2026-02-08,2026-02-27,SO-26210,E047,Closed,100,2,128.84,37316.73
WO-70165,A-20072,A,50,2025-04-04,2025-05-02,SO-26281,E073,Closed,50,0,402.48,11708.74
WO-70166,A-20004,A,10,2025-12-14,2025-12-25,SO-26127,E068,Closed,10,0,796.34,3997.27
WO-70167,A-20043,C,5,2025-05-06,2025-05-27,SO-26324,E054,Closed,5,1,1336.88,1306.38
WO-70168,A-20097,A,50,2025-09-23,2025-10-23,Stock,E061,Closed,50,0,246.81,61789.43
WO-70169,A-20003,C,100,2025-11-16,2025-12-10,Stock,E080,Closed,100,0,2450.66,22741.04
WO-70170,A-20070,A,5,2025-07-26,2025-08-02,SO-26016,E081,Closed,5,0,1739.22,1792.57
WO-70171,A-20039,B,50,2026-03-02,2026-03-26,SO-26134,E105,Released,0,0,415.87,
WO-70172,A-20114,C,5,2025-06-20,2025-07-15,SO-26351,E055,Closed,5,0,244.69,3646.73
WO-70173,A-20036,A,25,2025-04-10,2025-05-07,SO-26076,E074,Closed,25,0,2945.65,9620.83
WO-70174,A-20110,A,25,2025-05-03,2025-05-28,Stock,E009,Closed,25,0,2979.18,5399.14
WO-70175,A-20030,A,10,2025-06-24,2025-07-13,SO-26155,E020,Closed,10,0,176.98,6776.46
WO-70176,A-20003,C,10,2025-05-27,2025-06-15,SO-26291,E103,Closed,10,0,2450.66,2580.4
WO-70177,A-20022,B,5,2025-05-06,2025-05-28,SO-26404,E043,Closed,5,0,155.41,3291.57
WO-70178,A-20033,C,100,2026-01-31,2026-02-07,Stock,E047,Closed,100,0,328.62,35405.44
WO-70179,A-20031,A,10,2025-10-03,2025-10-20,Stock,E021,Closed,10,0,128.84,3613.59
WO-70180,A-20090,C,25,2026-03-08,2026-04-01,Stock,E037,Released,0,0,821.3000000000001,
WO-70181,A-20107,A,25,2026-03-08,2026-03-16,Stock,E041,Closed,25,0,2631.9500000000003,13546.15
WO-70182,A-20022,B,10,2026-01-17,2026-01-28,SO-26121,E044,Closed,10,0,155.41,5382.76
WO-70183,A-20025,C,100,2025-08-01,2025-08-25,SO-26387,E030,Closed,100,3,703.54,24147.07
WO-70184,A-20043,C,10,2025-05-25,2025-06-19,Stock,E019,Closed,10,1,1336.88,2210.84
WO-70185,A-20058,C,10,2025-08-20,2025-09-01,SO-26312,E064,Closed,10,1,254.75,34526.24
WO-70186,A-20043,C,100,2025-07-14,2025-08-11,SO-26124,E001,Closed,100,0,1336.88,20622.61
WO-70187,A-20058,C,5,2025-05-28,2025-06-24,SO-26092,E028,Closed,5,0,254.75,17350.76
WO-70188,A-20101,A,5,2025-05-07,2025-06-03,Stock,E001,Released,0,0,2382.4,
WO-70189,A-20114,C,25,2026-02-12,2026-02-24,Stock,E026,Closed,25,0,244.69,16910.17
WO-70190,A-20031,A,100,2025-08-02,2025-08-17,Stock,E036,Closed,100,0,128.84,36075.94
WO-70191,A-20043,C,20,2025-12-20,2025-12-28,SO-26332,E033,Closed,20,0,1336.88,4289.19
WO-70192,A-20094,C,5,2025-10-13,2025-11-08,SO-26351,E075,Closed,5,0,501.40000000000003,3265.12
WO-70193,A-20107,A,5,2025-08-16,2025-09-05,Stock,E095,Closed,5,0,2631.9500000000003,3010.21
WO-70194,A-20092,A,50,2025-06-19,2025-07-15,SO-26215,E099,Closed,50,0,1915.78,19751.24
WO-70195,A-20072,A,10,2025-07-15,2025-08-09,Stock,E050,Closed,10,0,402.48,2570.28
WO-70196,A-20030,A,10,2025-07-14,2025-07-22,SO-26015,E014,Closed,10,0,176.98,6879.89
WO-70197,A-20065,A,25,2026-02-07,2026-02-14,Stock,E034,Closed,25,0,798.0,2882.09
WO-70198,A-20065,A,10,2025-07-27,2025-08-23,SO-26304,E038,Closed,10,0,798.0,1401.38
WO-70199,A-20076,B,25,2025-05-30,2025-06-25,SO-26341,E074,Closed,25,0,721.1800000000001,4279.69
WO-70200,A-20003,C,50,2026-02-17,2026-03-07,Stock,E044,Closed,50,3,2450.66,10437.41
WO-70201,A-20061,C,10,2025-05-14,2025-06-10,SO-26119,E010,Closed,10,0,175.52,3561.73
WO-70202,A-20002,C,20,2025-07-09,2025-07-29,SO-26055,E019,Closed,20,0,1931.15,7007.76
WO-70203,A-20025,C,50,2025-04-16,2025-04-28,SO-26244,E055,Closed,50,0,703.54,13306.31
WO-70204,A-20013,A,20,2025-08-18,2025-09-12,SO-26094,E083,Closed,20,0,162.20000000000002,39382.07
WO-70205,A-20076,B,25,2026-03-22,2026-04-14,SO-26040,E001,In Process,0,0,721.1800000000001,
WO-70206,A-20061,C,100,2025-07-07,2025-07-16,SO-26302,E086,Closed,100,0,175.52,32523.42
WO-70207,A-20061,C,50,2026-03-21,2026-04-09,Stock,E010,In Process,50,0,175.52,
WO-70208,A-20101,A,20,2025-07-16,2025-08-13,Stock,E038,Closed,20,0,2382.4,10669.94
WO-70209,A-20072,A,20,2025-07-24,2025-08-15,Stock,E036,Closed,20,0,402.48,4606.23
WO-70210,A-20110,A,50,2025-12-21,2026-01-17,Stock,E031,Closed,50,0,2979.18,10116.58
WO-70211,A-20043,C,100,2026-03-22,2026-04-04,Stock,E047,Released,0,0,1336.88,
WO-70212,A-20094,C,25,2025-10-09,2025-10-24,Stock,E033,Closed,25,0,501.40000000000003,12664.33
WO-70213,A-20030,A,50,2026-01-28,2026-02-04,SO-26346,E090,Closed,50,0,176.98,32455.25
WO-70214,A-20070,A,20,2025-05-28,2025-06-13,SO-26062,E057,Closed,20,0,1739.22,6276.58
WO-70215,A-20073,B,5,2025-12-20,2026-01-08,Stock,E012,Released,0,0,496.53000000000003,
WO-70216,A-20025,C,20,2025-05-11,2025-06-07,SO-26384,E056,Closed,20,0,703.54,5675.99
WO-70217,A-20097,A,100,2026-03-12,2026-03-24,SO-26098,E009,Closed,100,0,246.81,117213.83
WO-70218,A-20065,A,10,2025-12-30,2026-01-13,SO-26189,E027,Closed,10,0,798.0,1485.02
WO-70219,A-20030,A,100,2025-11-08,2025-11-15,SO-26347,E011,Closed,100,0,176.98,66664.93
WO-70220,A-20031,A,5,2026-03-02,2026-03-14,SO-26093,E006,Closed,5,0,128.84,2108.88
