completion_id,work_order_id,completion_date,item_id,completed_qty,to_location,std_cost,actual_cost,variance,received_by
CMP-00020,WO-70023,2025-10-05,A-20025,5,FG-STAGE,3517.7,1518.78,-1998.92,E104
CMP-00021,WO-70024,2025-08-22,A-20040,100,FG-STAGE,21093.0,32564.09,11471.09,E083
CMP-00022,WO-70025,2025-05-28,A-20090,20,FG-STAGE,16426.0,4769.76,-11656.24,E106
CMP-00023,WO-70026,2025-09-26,A-20070,50,FG-STAGE,86961.0,15447.85,-71513.15,E082
CMP-00024,WO-70028,2025-06-02,A-20030,25,FG-STAGE,4424.5,16000.05,11575.55,E076
CMP-00025,WO-70029,2025-07-21,A-20078,100,FG-STAGE,70475.0,22092.21,-48382.79,E099
CMP-00026,WO-70030,2025-11-14,A-20076,25,FG-STAGE,18029.5,4459.28,-13570.22,E079
CMP-00027,WO-70031,2026-03-11,A-20030,10,FG-STAGE,1769.8,6789.14,5019.34,E083
CMP-00028,WO-70032,2025-10-20,A-20107,100,FG-STAGE,263195.0,54122.21,-209072.79,E103
CMP-00029,WO-70037,2026-02-09,A-20040,25,FG-STAGE,5273.25,9229.5,3956.25,E099
CMP-00030,WO-70038,2025-10-09,A-20020,50,FG-STAGE,15831.0,18272.33,2441.33,E100
CMP-00031,WO-70039,2025-12-17,A-20114,100,FG-STAGE,24469.0,65957.74,41488.74,E105
CMP-00032,WO-70040,2025-09-05,A-20070,20,FG-STAGE,34784.4,5682.68,-29101.72,E079
CMP-00033,WO-70041,2026-03-18,A-20072,50,FG-STAGE,20124.0,11511.98,-8612.02,E080
CMP-00034,WO-70042,2025-11-14,A-20107,100,FG-STAGE,263195.0,52813.54,-210381.46,E081
CMP-00035,WO-70044,2025-10-31,A-20043,5,FG-STAGE,6684.4,1248.54,-5435.86,E100
CMP-00036,WO-70045,2026-02-25,A-20003,50,FG-STAGE,122533.0,10562.61,-111970.39,E106
CMP-00037,WO-70047,2025-09-18,A-20058,20,FG-STAGE,5095.0,68844.2,63749.2,E100
CMP-00038,WO-70048,2026-01-12,A-20087,25,FG-STAGE,8326.5,11479.85,3153.35,E103
CMP-00039,WO-70050,2025-12-12,A-20010,5,FG-STAGE,1918.15,2800.4,882.25,E082
CMP-00040,WO-70051,2025-12-12,A-20077,10,FG-STAGE,8699.8,3567.13,-5132.67,E106
CMP-00041,WO-70052,2025-07-01,A-20033,10,FG-STAGE,3286.2,3696.04,409.84,E079
CMP-00042,WO-70053,2025-09-08,A-20022,25,FG-STAGE,3885.25,13290.01,9404.76,E081
CMP-00043,WO-70054,2026-03-21,A-20093,100,FG-STAGE,201722.0,27101.47,-174620.53,E104
CMP-00044,WO-70055,2026-01-24,A-20043,10,FG-STAGE,13368.8,2455.05,-10913.75,E081
CMP-00045,WO-70056,2025-11-05,A-20070,50,FG-STAGE,86961.0,15697.78,-71263.22,E101
CMP-00046,WO-70057,2026-02-14,A-20025,50,FG-STAGE,35177.0,13289.6,-21887.4,E104
CMP-00047,WO-70058,2025-09-16,A-20031,50,FG-STAGE,6442.0,17586.33,11144.33,E099
CMP-00048,WO-70059,2025-06-05,A-20097,25,FG-STAGE,6170.25,29741.97,23571.72,E106
CMP-00049,WO-70061,2025-04-20,A-20070,100,FG-STAGE,173922.0,32713.99,-141208.01,E080
CMP-00050,WO-70063,2025-08-11,A-20078,100,FG-STAGE,70475.0,20149.53,-50325.47,E101
CMP-00051,WO-70064,2025-12-26,A-20093,25,FG-STAGE,50430.5,7014.69,-43415.81,E076
CMP-00052,WO-70065,2026-02-14,A-20063,25,FG-STAGE,34322.75,4401.19,-29921.56,E082
CMP-00053,WO-70066,2025-12-24,A-20082,100,FG-STAGE,84144.0,18947.21,-65196.79,E078
CMP-00054,WO-70067,2025-09-08,A-20033,5,FG-STAGE,1643.1,2210.2,567.1,E082
CMP-00055,WO-70069,2025-08-08,A-20114,50,FG-STAGE,12234.5,33657.48,21422.98,E083
CMP-00056,WO-70070,2026-03-19,A-20082,50,FG-STAGE,42072.0,9230.94,-32841.06,E083
CMP-00057,WO-70071,2025-12-29,A-20107,25,FG-STAGE,65798.75,13273.53,-52525.22,E100
CMP-00058,WO-70072,2025-08-02,A-20087,50,FG-STAGE,16653.0,24162.67,7509.67,E079
CMP-00059,WO-70074,2025-06-19,A-20097,5,FG-STAGE,1234.05,6414.48,5180.43,E076
CMP-00060,WO-70075,2025-09-21,A-20061,100,FG-STAGE,17552.0,34253.97,16701.97,E081
CMP-00061,WO-70076,2025-08-02,A-20061,50,FG-STAGE,8776.0,17290.25,8514.25,E103
CMP-00062,WO-70077,2025-06-03,A-20107,5,FG-STAGE,13159.75,3054.44,-10105.31,E081
CMP-00063,WO-70078,2025-09-26,A-20114,5,FG-STAGE,1223.45,3522.54,2299.09,E099
CMP-00064,WO-70079,2026-01-08,A-20022,5,FG-STAGE,777.05,3281.26,2504.21,E083
CMP-00065,WO-70080,2026-03-22,A-20039,100,FG-STAGE,41587.0,23221.17,-18365.83,E078
CMP-00066,WO-70081,2025-06-02,A-20039,25,FG-STAGE,10396.75,6556.24,-3840.51,E101
CMP-00067,WO-70082,2025-10-09,A-20031,5,FG-STAGE,644.2,2190.07,1545.87,E100
CMP-00068,WO-70083,2025-07-16,A-20110,10,FG-STAGE,29791.8,2467.73,-27324.07,E083
CMP-00069,WO-70084,2025-11-23,A-20031,25,FG-STAGE,3221.0,8876.86,5655.86,E106
CMP-00070,WO-70086,2025-08-24,A-20097,20,FG-STAGE,4936.2,24976.97,20040.77,E081
CMP-00071,WO-70087,2026-03-15,A-20063,10,FG-STAGE,13729.1,1883.16,-11845.94,E102
CMP-00072,WO-70088,2025-10-16,A-20078,10,FG-STAGE,7047.5,2249.72,-4797.78,E082
CMP-00073,WO-70089,2025-04-22,A-20053,25,FG-STAGE,17391.25,19871.61,2480.36,E078
CMP-00074,WO-70090,2026-02-15,A-20053,5,FG-STAGE,3478.25,4127.5,649.25,E080
CMP-00075,WO-70091,2025-09-27,A-20002,10,FG-STAGE,19311.5,3673.08,-15638.42,E106
CMP-00076,WO-70093,2026-03-18,A-20094,25,FG-STAGE,12535.0,13236.24,701.24,E100
CMP-00077,WO-70094,2025-05-27,A-20092,5,FG-STAGE,9578.9,2363.25,-7215.65,E079
CMP-00078,WO-70096,2025-10-07,A-20076,25,FG-STAGE,18029.5,4479.9,-13549.6,E078
CMP-00079,WO-70097,2025-09-25,A-20022,100,FG-STAGE,15541.0,51680.83,36139.83,E099
CMP-00080,WO-70098,2025-07-15,A-20070,25,FG-STAGE,43480.5,7590.25,-35890.25,E103
CMP-00081,WO-70099,2025-11-13,A-20110,50,FG-STAGE,148959.0,10543.75,-138415.25,E077
CMP-00082,WO-70100,2025-11-08,A-20097,50,FG-STAGE,12340.5,60870.53,48530.03,E077
CMP-00083,WO-70101,2025-07-07,A-20073,20,FG-STAGE,9930.6,8706.17,-1224.43,E078
CMP-00084,WO-70102,2025-11-24,A-20070,5,FG-STAGE,8696.1,1869.54,-6826.56,E079
CMP-00085,WO-70103,2026-01-01,A-20078,50,FG-STAGE,35237.5,10501.3,-24736.2,E078
CMP-00086,WO-70104,2025-05-31,A-20110,20,FG-STAGE,59583.6,4229.78,-55353.82,E082
CMP-00087,WO-70105,2025-05-01,A-20004,50,FG-STAGE,39817.0,20030.19,-19786.81,E076
CMP-00088,WO-70107,2025-07-01,A-20101,10,FG-STAGE,23824.0,5539.47,-18284.53,E102
CMP-00089,WO-70108,2025-06-16,A-20094,5,FG-STAGE,2507.0,2859.94,352.94,E102
CMP-00090,WO-70109,2025-10-03,A-20031,100,FG-STAGE,12884.0,32130.96,19246.96,E102
CMP-00091,WO-70110,2026-01-05,A-20043,100,FG-STAGE,133688.0,21315.94,-112372.06,E106
CMP-00092,WO-70112,2025-12-20,A-20022,100,FG-STAGE,15541.0,54041.38,38500.38,E100
CMP-00093,WO-70113,2025-12-21,A-20063,100,FG-STAGE,137291.0,16077.09,-121213.91,E082
CMP-00094,WO-70114,2026-03-16,A-20078,20,FG-STAGE,14095.0,4340.69,-9754.31,E103
CMP-00095,WO-70115,2025-11-20,A-20033,10,FG-STAGE,3286.2,3603.73,317.53,E106
CMP-00096,WO-70116,2026-01-20,A-20036,5,FG-STAGE,14728.25,2179.15,-12549.1,E079
CMP-00097,WO-70117,2025-07-11,A-20040,25,FG-STAGE,5273.25,8633.19,3359.94,E101
CMP-00098,WO-70118,2026-03-26,A-20078,100,FG-STAGE,70475.0,21173.67,-49301.33,E103
CMP-00099,WO-70119,2025-11-16,A-20031,10,FG-STAGE,1288.4,4051.77,2763.37,E104
CMP-00100,WO-70120,2025-07-16,A-20072,25,FG-STAGE,10062.0,5791.36,-4270.64,E076
CMP-00101,WO-70122,2025-07-22,A-20053,20,FG-STAGE,13913.0,15467.56,1554.56,E104
CMP-00102,WO-70123,2025-10-14,A-20036,5,FG-STAGE,14728.25,2143.15,-12585.1,E105
CMP-00103,WO-70124,2025-11-10,A-20072,10,FG-STAGE,4024.8,2562.83,-1461.97,E083
CMP-00104,WO-70125,2026-03-22,A-20038,50,FG-STAGE,99898.5,13197.18,-86701.32,E083
CMP-00105,WO-70126,2026-02-27,A-20039,5,FG-STAGE,2079.35,1650.24,-429.11,E077
CMP-00106,WO-70127,2025-12-30,A-20004,5,FG-STAGE,3981.7,2146.63,-1835.07,E080
CMP-00107,WO-70129,2025-11-16,A-20082,50,FG-STAGE,42072.0,8623.17,-33448.83,E083
CMP-00108,WO-70131,2025-07-05,A-20092,100,FG-STAGE,191578.0,38170.99,-153407.01,E105
CMP-00109,WO-70132,2026-01-27,A-20036,5,FG-STAGE,14728.25,2152.29,-12575.96,E105
CMP-00110,WO-70134,2025-09-13,A-20038,100,FG-STAGE,199797.0,27955.21,-171841.79,E105
CMP-00111,WO-70135,2026-01-16,A-20031,25,FG-STAGE,3221.0,8886.18,5665.18,E077
CMP-00112,WO-70136,2025-12-28,A-20003,100,FG-STAGE,245066.0,21547.9,-223518.1,E106
CMP-00113,WO-70137,2025-06-28,A-20025,10,FG-STAGE,7035.4,2591.75,-4443.65,E101
CMP-00114,WO-70138,2025-05-10,A-20107,100,FG-STAGE,263195.0,51780.07,-211414.93,E076
CMP-00115,WO-70139,2025-10-08,A-20087,50,FG-STAGE,16653.0,22959.29,6306.29,E102
CMP-00116,WO-70140,2025-05-10,A-20002,25,FG-STAGE,48278.75,7846.76,-40431.99,E102
CMP-00117,WO-70141,2025-06-23,A-20058,20,FG-STAGE,5095.0,70497.76,65402.76,E102
CMP-00118,WO-70142,2025-12-23,A-20010,20,FG-STAGE,7672.6,10608.84,2936.24,E103
CMP-00119,WO-70143,2025-12-11,A-20030,20,FG-STAGE,3539.6,13487.26,9947.66,E078
CMP-00120,WO-70144,2025-11-29,A-20034,50,FG-STAGE,5566.5,17356.4,11789.9,E102
CMP-00121,WO-70145,2025-12-23,A-20107,50,FG-STAGE,131597.5,26920.99,-104676.51,E076
CMP-00122,WO-70146,2025-08-07,A-20097,5,FG-STAGE,1234.05,6142.0,4907.95,E100
CMP-00123,WO-70147,2026-03-04,A-20058,25,FG-STAGE,6368.75,83804.32,77435.57,E083
CMP-00124,WO-70148,2025-07-28,A-20031,10,FG-STAGE,1288.4,3656.47,2368.07,E079
CMP-00125,WO-70149,2026-03-11,A-20030,25,FG-STAGE,4424.5,16356.83,11932.33,E081
CMP-00126,WO-70150,2025-12-01,A-20110,100,FG-STAGE,297918.0,18976.07,-278941.93,E083
CMP-00127,WO-70152,2025-08-25,A-20101,10,FG-STAGE,23824.0,5464.2,-18359.8,E104
CMP-00128,WO-70153,2025-05-08,A-20036,20,FG-STAGE,58913.0,7460.99,-51452.01,E077
CMP-00129,WO-70154,2025-05-18,A-20030,20,FG-STAGE,3539.6,13378.5,9838.9,E101
CMP-00130,WO-70156,2025-10-05,A-20004,25,FG-STAGE,19908.5,9330.58,-10577.92,E101
CMP-00131,WO-70157,2025-09-04,A-20077,10,FG-STAGE,8699.8,3530.05,-5169.75,E077
CMP-00132,WO-70158,2025-11-09,A-20065,50,FG-STAGE,39900.0,5212.03,-34687.97,E083
CMP-00133,WO-70159,2025-06-04,A-20070,20,FG-STAGE,34784.4,6324.13,-28460.27,E080
CMP-00134,WO-70160,2025-10-04,A-20078,25,FG-STAGE,17618.75,5013.52,-12605.23,E106
CMP-00135,WO-70161,2025-11-10,A-20094,100,FG-STAGE,50140.0,52364.09,2224.09,E101
CMP-00136,WO-70162,2025-10-10,A-20036,5,FG-STAGE,14728.25,2126.91,-12601.34,E106
CMP-00137,WO-70163,2025-05-26,A-20053,25,FG-STAGE,17391.25,19608.4,2217.15,E103
CMP-00138,WO-70164,2026-02-28,A-20031,100,FG-STAGE,12884.0,37316.73,24432.73,E080
CMP-00139,WO-70165,2025-05-07,A-20072,50,FG-STAGE,20124.0,11708.74,-8415.26,E106
CMP-00140,WO-70166,2025-12-23,A-20004,10,FG-STAGE,7963.4,3997.27,-3966.13,E101
CMP-00141,WO-70167,2025-05-27,A-20043,5,FG-STAGE,6684.4,1306.38,-5378.02,E079
CMP-00142,WO-70168,2025-10-22,A-20097,50,FG-STAGE,12340.5,61789.43,49448.93,E104
CMP-00143,WO-70169,2025-12-16,A-20003,100,FG-STAGE,245066.0,22741.04,-222324.96,E076
CMP-00144,WO-70170,2025-08-03,A-20070,5,FG-STAGE,8696.1,1792.57,-6903.53,E082
CMP-00145,WO-70172,2025-07-19,A-20114,5,FG-STAGE,1223.45,3646.73,2423.28,E077
CMP-00146,WO-70173,2025-05-05,A-20036,25,FG-STAGE,73641.25,9620.83,-64020.42,E083
CMP-00147,WO-70174,2025-05-28,A-20110,25,FG-STAGE,74479.5,5399.14,-69080.36,E080
CMP-00148,WO-70175,2025-07-10,A-20030,10,FG-STAGE,1769.8,6776.46,5006.66,E078
CMP-00149,WO-70176,2025-06-16,A-20003,10,FG-STAGE,24506.6,2580.4,-21926.2,E106
CMP-00150,WO-70177,2025-05-28,A-20022,5,FG-STAGE,777.05,3291.57,2514.52,E078
CMP-00151,WO-70178,2026-02-09,A-20033,100,FG-STAGE,32862.0,35405.44,2543.44,E102
CMP-00152,WO-70179,2025-10-21,A-20031,10,FG-STAGE,1288.4,3613.59,2325.19,E083
CMP-00153,WO-70181,2026-03-15,A-20107,25,FG-STAGE,65798.75,13546.15,-52252.6,E102
CMP-00154,WO-70182,2026-02-02,A-20022,10,FG-STAGE,1554.1,5382.76,3828.66,E081
CMP-00155,WO-70183,2025-08-30,A-20025,100,FG-STAGE,70354.0,24147.07,-46206.93,E082
CMP-00156,WO-70184,2025-06-24,A-20043,10,FG-STAGE,13368.8,2210.84,-11157.96,E078
CMP-00157,WO-70185,2025-09-04,A-20058,10,FG-STAGE,2547.5,34526.24,31978.74,E079
CMP-00158,WO-70186,2025-08-10,A-20043,100,FG-STAGE,133688.0,20622.61,-113065.39,E078
CMP-00159,WO-70187,2025-06-28,A-20058,5,FG-STAGE,1273.75,17350.76,16077.01,E081
CMP-00160,WO-70189,2026-02-23,A-20114,25,FG-STAGE,6117.25,16910.17,10792.92,E102
CMP-00161,WO-70190,2025-08-22,A-20031,100,FG-STAGE,12884.0,36075.94,23191.94,E100
CMP-00162,WO-70191,2025-12-26,A-20043,20,FG-STAGE,26737.6,4289.19,-22448.41,E106
CMP-00163,WO-70192,2025-11-14,A-20094,5,FG-STAGE,2507.0,3265.12,758.12,E101
CMP-00164,WO-70193,2025-09-09,A-20107,5,FG-STAGE,13159.75,3010.21,-10149.54,E082
CMP-00165,WO-70194,2025-07-16,A-20092,50,FG-STAGE,95789.0,19751.24,-76037.76,E080
CMP-00166,WO-70195,2025-08-14,A-20072,10,FG-STAGE,4024.8,2570.28,-1454.52,E100
CMP-00167,WO-70196,2025-07-27,A-20030,10,FG-STAGE,1769.8,6879.89,5110.09,E106
CMP-00168,WO-70197,2026-02-16,A-20065,25,FG-STAGE,19950.0,2882.09,-17067.91,E104
CMP-00169,WO-70198,2025-08-26,A-20065,10,FG-STAGE,7980.0,1401.38,-6578.62,E081
CMP-00170,WO-70199,2025-06-28,A-20076,25,FG-STAGE,18029.5,4279.69,-13749.81,E078
CMP-00171,WO-70200,2026-03-11,A-20003,50,FG-STAGE,122533.0,10437.41,-112095.59,E078
CMP-00172,WO-70201,2025-06-14,A-20061,10,FG-STAGE,1755.2,3561.73,1806.53,E076
CMP-00173,WO-70202,2025-07-26,A-20002,20,FG-STAGE,38623.0,7007.76,-31615.24,E105
CMP-00174,WO-70203,2025-04-28,A-20025,50,FG-STAGE,35177.0,13306.31,-21870.69,E105
CMP-00175,WO-70204,2025-09-18,A-20013,20,FG-STAGE,3244.0,39382.07,36138.07,E078
CMP-00176,WO-70206,2025-07-19,A-20061,100,FG-STAGE,17552.0,32523.42,14971.42,E102
CMP-00177,WO-70208,2025-08-13,A-20101,20,FG-STAGE,47648.0,10669.94,-36978.06,E080
CMP-00178,WO-70209,2025-08-16,A-20072,20,FG-STAGE,8049.6,4606.23,-3443.37,E101
CMP-00179,WO-70210,2026-01-21,A-20110,50,FG-STAGE,148959.0,10116.58,-138842.42,E101
CMP-00180,WO-70212,2025-10-23,A-20094,25,FG-STAGE,12535.0,12664.33,129.33,E106
CMP-00181,WO-70213,2026-02-08,A-20030,50,FG-STAGE,8849.0,32455.25,23606.25,E078
CMP-00182,WO-70214,2025-06-14,A-20070,20,FG-STAGE,34784.4,6276.58,-28507.82,E080
CMP-00183,WO-70216,2025-06-07,A-20025,20,FG-STAGE,14070.8,5675.99,-8394.81,E099
CMP-00184,WO-70217,2026-03-26,A-20097,100,FG-STAGE,24681.0,117213.83,92532.83,E076
CMP-00185,WO-70218,2026-01-10,A-20065,10,FG-STAGE,7980.0,1485.02,-6494.98,E103
CMP-00186,WO-70219,2025-11-20,A-20030,100,FG-STAGE,17698.0,66664.93,48966.93,E077
CMP-00187,WO-70220,2026-03-17,A-20031,5,FG-STAGE,644.2,2108.88,1464.68,E100
