labor_txn_id,work_order_id,operation,employee_id,clock_in,hours,labor_type,work_center_id
LT-000167,WO-70018,10,E011,2025-11-16T12:00:00,7.29,Run,WC-SAW
LT-000168,WO-70018,10,E034,2025-11-17T10:00:00,7.29,Run,WC-SAW
LT-000169,WO-70018,10,E010,2025-11-15T06:15:00,3.65,Run,WC-SAW
LT-000170,WO-70018,20,E048,2025-11-12T10:30:00,0.98,Run,WC-CNC2
LT-000171,WO-70018,20,E048,2025-11-10T10:00:00,0.98,Run,WC-CNC2
LT-000172,WO-70018,30,E046,2025-11-13T07:15:00,0.98,Run,WC-INSP
LT-000173,WO-70018,30,E051,2025-11-09T11:00:00,2.95,Run,WC-INSP
LT-000174,WO-70018,30,E015,2025-11-11T08:15:00,2.95,Run,WC-INSP
LT-000175,WO-70018,40,E017,2025-11-09T14:15:00,10.33,Setup,WC-PACK
LT-000176,WO-70019,10,E038,2025-12-07T14:00:00,97.44,Run,WC-DEBUR
LT-000177,WO-70019,10,E020,2025-12-07T08:15:00,32.48,Run,WC-DEBUR
LT-000178,WO-70019,10,E095,2025-11-30T13:15:00,32.48,Setup,WC-DEBUR
LT-000179,WO-70019,20,E009,2025-12-06T13:45:00,15.51,Run,WC-SAW
LT-000180,WO-70019,20,E035,2025-11-29T12:15:00,5.17,Run,WC-SAW
LT-000181,WO-70019,20,E045,2025-11-29T06:15:00,15.51,Setup,WC-SAW
LT-000182,WO-70019,30,E022,2025-12-04T14:00:00,13.67,Run,WC-INSP
LT-000183,WO-70019,40,E011,2025-12-01T10:45:00,46.14,Setup,WC-PACK
LT-000184,WO-70020,10,E026,2025-05-01T10:00:00,1.13,Setup,WC-CNC1
LT-000185,WO-70020,10,E009,2025-05-02T07:00:00,0.75,Run,WC-CNC1
LT-000186,WO-70020,20,E051,2025-04-30T09:15:00,1.67,Run,WC-ASSY
LT-000187,WO-70020,20,E049,2025-04-30T07:30:00,1.67,Setup,WC-ASSY
LT-000188,WO-70020,30,E045,2025-05-07T14:45:00,7.12,Run,WC-INSP
LT-000189,WO-70020,40,E028,2025-05-01T06:15:00,2.68,Setup,WC-PACK
LT-000190,WO-70021,10,E016,2025-08-13T08:00:00,23.17,Setup,WC-DEBUR
LT-000191,WO-70021,40,E019,2025-08-12T10:30:00,4.6,Setup,WC-CNC1
LT-000192,WO-70021,40,E033,2025-08-16T09:30:00,6.89,Setup,WC-CNC1
LT-000193,WO-70021,40,E036,2025-08-07T11:00:00,13.79,Run,WC-CNC1
LT-000194,WO-70021,50,E011,2025-08-07T07:45:00,2.24,Run,WC-INSP
LT-000195,WO-70021,60,E040,2025-08-15T09:30:00,2.81,Run,WC-PACK
LT-000196,WO-70021,60,E014,2025-08-14T09:15:00,1.41,Run,WC-PACK
LT-000197,WO-70022,10,E041,2025-11-25T09:45:00,5.22,Run,WC-ASSY
LT-000198,WO-70022,10,E026,2025-11-27T09:15:00,10.45,Run,WC-ASSY
LT-000199,WO-70022,20,E047,2025-11-26T09:00:00,5.98,Setup,WC-SAW
LT-000200,WO-70022,20,E038,2025-11-26T14:30:00,5.98,Run,WC-SAW
LT-000201,WO-70022,30,E039,2025-11-22T09:00:00,1.2,Run,WC-DEBUR
LT-000202,WO-70022,30,E009,2025-12-01T08:45:00,1.8,Run,WC-DEBUR
LT-000203,WO-70022,40,E045,2025-11-27T12:45:00,6.12,Run,WC-INSP
LT-000204,WO-70022,40,E045,2025-11-23T09:45:00,6.12,Run,WC-INSP
LT-000205,WO-70022,40,E020,2025-11-27T08:15:00,12.23,Run,WC-INSP
LT-000206,WO-70022,50,E017,2025-11-26T08:15:00,6.18,Run,WC-PACK
LT-000207,WO-70022,50,E046,2025-11-29T14:30:00,12.36,Run,WC-PACK
LT-000208,WO-70022,50,E009,2025-11-23T12:30:00,6.18,Run,WC-PACK
LT-000209,WO-70023,10,E024,2025-09-20T10:45:00,4.96,Run,WC-ASSY
LT-000210,WO-70023,20,E042,2025-09-22T12:15:00,3.3,Run,WC-CNC1
LT-000211,WO-70023,30,E040,2025-09-19T10:00:00,3.21,Run,WC-INSP
LT-000212,WO-70023,40,E048,2025-09-20T11:15:00,3.79,Run,WC-PACK
LT-000213,WO-70023,40,E030,2025-09-24T06:15:00,7.58,Setup,WC-PACK
LT-000214,WO-70023,40,E025,2025-09-22T06:30:00,3.79,Setup,WC-PACK
LT-000215,WO-70024,10,E051,2025-07-21T07:15:00,52.02,Run,WC-SAW
LT-000216,WO-70024,20,E034,2025-07-22T14:30:00,21.58,Run,WC-CNC2
LT-000217,WO-70024,30,E041,2025-07-22T12:15:00,60.25,Setup,WC-CNC1
LT-000218,WO-70024,30,E039,2025-07-25T12:00:00,60.25,Run,WC-CNC1
LT-000219,WO-70024,40,E052,2025-07-26T11:15:00,30.55,Run,WC-ASSY
LT-000220,WO-70024,40,E034,2025-07-27T06:15:00,30.55,Run,WC-ASSY
LT-000221,WO-70024,40,E016,2025-07-30T09:30:00,45.82,Run,WC-ASSY
LT-000222,WO-70024,50,E014,2025-07-26T10:30:00,55.16,Run,WC-INSP
LT-000223,WO-70024,50,E037,2025-07-27T11:45:00,36.77,Setup,WC-INSP
LT-000224,WO-70024,60,E044,2025-07-21T11:00:00,35.48,Run,WC-PACK
LT-000225,WO-70025,10,E036,2025-05-22T13:00:00,8.76,Run,WC-SAW
LT-000226,WO-70025,10,E048,2025-05-19T13:45:00,4.38,Run,WC-SAW
LT-000227,WO-70025,10,E011,2025-05-21T07:45:00,8.76,Run,WC-SAW
LT-000228,WO-70025,20,E032,2025-05-24T13:00:00,8.73,Run,WC-CNC1
LT-000229,WO-70025,30,E022,2025-05-16T06:15:00,7.75,Setup,WC-DEBUR
LT-000230,WO-70025,30,E009,2025-05-22T10:30:00,7.75,Run,WC-DEBUR
LT-000231,WO-70025,30,E047,2025-05-22T14:30:00,7.75,Run,WC-DEBUR
LT-000232,WO-70025,40,E020,2025-05-26T12:30:00,4.82,Setup,WC-CNC2
LT-000233,WO-70025,40,E047,2025-05-26T13:15:00,7.23,Setup,WC-CNC2
LT-000234,WO-70025,50,E049,2025-05-20T07:00:00,3.57,Run,WC-INSP
LT-000235,WO-70025,60,E043,2025-05-16T07:30:00,4.51,Run,WC-PACK
LT-000236,WO-70025,60,E011,2025-05-20T10:30:00,1.5,Run,WC-PACK
LT-000237,WO-70026,10,E016,2025-08-26T07:15:00,10.54,Run,WC-ASSY
LT-000238,WO-70026,20,E039,2025-09-05T11:30:00,16.65,Setup,WC-SAW
LT-000239,WO-70026,20,E043,2025-08-30T09:30:00,33.3,Run,WC-SAW
LT-000240,WO-70026,30,E019,2025-09-02T12:45:00,29.94,Run,WC-CNC2
LT-000241,WO-70026,30,E010,2025-09-02T13:45:00,29.94,Run,WC-CNC2
LT-000242,WO-70026,40,E022,2025-09-02T10:30:00,17.21,Run,WC-DEBUR
LT-000243,WO-70026,40,E040,2025-08-26T09:00:00,51.62,Setup,WC-DEBUR
LT-000244,WO-70026,40,E019,2025-08-29T10:15:00,51.62,Run,WC-DEBUR
LT-000245,WO-70026,50,E030,2025-09-01T09:45:00,6.08,Run,WC-INSP
LT-000246,WO-70026,50,E034,2025-09-02T12:15:00,18.23,Run,WC-INSP
LT-000247,WO-70026,60,E014,2025-08-28T14:00:00,27.88,Run,WC-PACK
LT-000248,WO-70026,60,E048,2025-09-05T11:00:00,27.88,Run,WC-PACK
LT-000249,WO-70027,20,E052,2025-04-12T11:30:00,4.19,Run,WC-SAW
LT-000250,WO-70027,40,E054,2025-04-15T06:00:00,5.39,Setup,WC-PACK
LT-000251,WO-70027,40,E042,2025-04-15T11:30:00,10.79,Run,WC-PACK
LT-000252,WO-70028,10,E030,2025-05-25T06:00:00,1.91,Setup,WC-SAW
LT-000253,WO-70028,10,E054,2025-05-19T07:45:00,2.86,Run,WC-SAW
LT-000254,WO-70028,20,E048,2025-05-17T07:45:00,3.82,Run,WC-CNC1
LT-000255,WO-70028,20,E095,2025-05-19T08:45:00,3.82,Run,WC-CNC1
LT-000256,WO-70028,30,E048,2025-05-24T10:15:00,6.75,Run,WC-ASSY
LT-000257,WO-70028,30,E034,2025-05-27T12:30:00,4.5,Run,WC-ASSY
LT-000258,WO-70028,30,E032,2025-05-17T10:45:00,6.75,Run,WC-ASSY
LT-000259,WO-70028,40,E042,2025-05-22T06:00:00,6.13,Run,WC-DEBUR
LT-000260,WO-70028,50,E052,2025-05-23T12:30:00,5.54,Run,WC-INSP
LT-000261,WO-70028,60,E044,2025-05-19T14:45:00,2.58,Run,WC-PACK
LT-000262,WO-70029,10,E042,2025-07-17T12:00:00,69.47,Run,WC-DEBUR
LT-000263,WO-70029,10,E010,2025-07-18T11:00:00,69.47,Run,WC-DEBUR
LT-000264,WO-70029,20,E052,2025-07-17T10:45:00,48.92,Setup,WC-SAW
LT-000265,WO-70029,30,E011,2025-07-14T09:15:00,84.12,Run,WC-INSP
LT-000266,WO-70029,30,E029,2025-07-10T14:00:00,84.12,Setup,WC-INSP
LT-000267,WO-70029,40,E019,2025-07-19T06:30:00,22.06,Setup,WC-PACK
LT-000268,WO-70030,10,E027,2025-10-13T12:15:00,5.33,Run,WC-CNC2
LT-000269,WO-70030,10,E044,2025-10-22T10:30:00,16.0,Run,WC-CNC2
LT-000270,WO-70030,20,E026,2025-10-19T08:45:00,4.41,Setup,WC-ASSY
LT-000271,WO-70030,30,E021,2025-10-19T10:15:00,2.04,Run,WC-DEBUR
LT-000272,WO-70030,30,E049,2025-10-17T11:00:00,1.36,Setup,WC-DEBUR
LT-000273,WO-70030,30,E021,2025-10-15T07:00:00,2.04,Run,WC-DEBUR
LT-000274,WO-70030,40,E019,2025-10-23T10:30:00,2.49,Run,WC-INSP
LT-000275,WO-70030,40,E018,2025-10-18T10:45:00,1.66,Setup,WC-INSP
LT-000276,WO-70030,50,E048,2025-10-20T10:30:00,23.61,Run,WC-PACK
LT-000277,WO-70030,50,E024,2025-10-18T14:45:00,7.87,Run,WC-PACK
LT-000278,WO-70030,50,E023,2025-10-14T12:45:00,11.8,Setup,WC-PACK
LT-000279,WO-70031,10,E033,2026-02-25T09:45:00,3.24,Run,WC-SAW
LT-000280,WO-70031,10,E047,2026-02-20T11:15:00,1.08,Setup,WC-SAW
LT-000281,WO-70031,20,E049,2026-02-25T11:00:00,4.26,Setup,WC-CNC1
LT-000282,WO-70031,20,E035,2026-02-21T11:15:00,2.13,Run,WC-CNC1
LT-000283,WO-70031,20,E011,2026-02-23T13:45:00,4.26,Setup,WC-CNC1
LT-000284,WO-70031,30,E031,2026-02-24T10:00:00,6.24,Run,WC-ASSY
LT-000285,WO-70031,30,E017,2026-02-16T08:45:00,6.24,Run,WC-ASSY
LT-000286,WO-70031,30,E046,2026-02-20T11:30:00,3.12,Run,WC-ASSY
LT-000287,WO-70031,40,E027,2026-02-16T08:00:00,4.01,Run,WC-DEBUR
LT-000288,WO-70031,40,E033,2026-02-24T12:00:00,4.01,Setup,WC-DEBUR
LT-000289,WO-70031,50,E038,2026-02-20T10:00:00,2.7,Run,WC-INSP
LT-000290,WO-70031,60,E025,2026-02-23T06:00:00,1.47,Setup,WC-PACK
LT-000291,WO-70031,60,E012,2026-02-17T14:15:00,2.2,Setup,WC-PACK
LT-000292,WO-70031,60,E039,2026-02-26T06:15:00,4.41,Setup,WC-PACK
LT-000293,WO-70032,10,E010,2025-10-10T08:45:00,11.94,Run,WC-CNC1
LT-000294,WO-70032,10,E032,2025-10-10T10:15:00,7.96,Setup,WC-CNC1
LT-000295,WO-70032,10,E050,2025-10-05T07:15:00,23.89,Run,WC-CNC1
LT-000296,WO-70032,20,E036,2025-10-05T12:45:00,29.46,Run,WC-ASSY
LT-000297,WO-70032,20,E038,2025-10-11T06:15:00,29.46,Setup,WC-ASSY
LT-000298,WO-70032,20,E036,2025-10-02T13:45:00,19.64,Run,WC-ASSY
LT-000299,WO-70032,30,E029,2025-10-04T06:15:00,22.53,Run,WC-INSP
LT-000300,WO-70032,30,E023,2025-10-04T11:15:00,45.06,Run,WC-INSP
LT-000301,WO-70032,30,E017,2025-10-02T11:15:00,15.02,Setup,WC-INSP
LT-000302,WO-70032,40,E049,2025-10-03T11:15:00,48.58,Setup,WC-PACK
LT-000303,WO-70033,10,E034,2025-04-12T09:00:00,6.15,Setup,WC-CNC2
LT-000304,WO-70033,10,E009,2025-04-16T10:15:00,4.1,Run,WC-CNC2
LT-000305,WO-70033,10,E029,2025-04-06T10:30:00,12.3,Run,WC-CNC2
LT-000306,WO-70033,20,E036,2025-04-09T09:45:00,6.96,Run,WC-ASSY
LT-000307,WO-70033,30,E052,2025-04-07T10:15:00,11.47,Setup,WC-DEBUR
LT-000308,WO-70033,40,E014,2025-04-08T09:00:00,1.89,Setup,WC-CNC1
LT-000309,WO-70033,40,E014,2025-04-09T06:00:00,5.67,Run,WC-CNC1
