Payment Id,Customer Id,Payment Date,Method,Reference,Amount,Applied To Invoice,Unapplied,Remittance Source
KBD-CR00060,KBD-CUST0011,2025-12-18,ACH,582187,34199.41,INV-60073,0.0,Email remittance
KBD-CR00061,KBD-CUST0010,2025-12-08,Card,652778,49735.9,INV-60074,0.0,Lockbox
KBD-CR00062,KBD-CUST0015,"Jan 30, 2026",ACH,205761,118.28,INV-60075,0.0,Bank feed
KBD-CR00063,KBD-CUST0015,2026-02-24,Card,511742,28177.18,INV-60076,0.0,Bank feed
KBD-CR00064 ,KBD-CUST0016,2025-10-29,Wire,301009,10941.05,INV-60077,0.0,Bank feed
KBD-CR00065,KBD-CUST0011,2026-01-25,ACH,510080,939.51,INV-60078,0.0,Email remittance
KBD-CR00066 ,KBD-CUST0001,2026-01-01 ,ACH,862689,15111.15,INV-60079,0.0,Email remittance
KBD-CR00067,KBD-CUST0013,"Jun 02, 2025",Card,250591,14253.3,INV-60080,0.0,Email remittance
KBD-CR00068,KBD-CUST0017,2025-08-17,ACH,386441,25947.61,INV-60081,0.0,Bank feed
KBD-CR00069,KBD-CUST0023,2026-02-01,ACH,467983,89139.72,INV-60082,0.0,Bank feed
KBD-CR00070,KBD-CUST0011,01/25/26,Check,698344,16946.89,INV-60083,0.0,Lockbox
KBD-CR00071,KBD-CUST0021,2025-06-07,Wire,989568,315.73,INV-60084,0.0,Bank feed
KBD-CR00072,KBD-CUST0028,2025-08-09,Wire,967537,26774.32,INV-60085,0.0,Lockbox
KBD-CR00073,KBD-CUST0019,2025-07-24,ACH,900557,18565.33,INV-60086,0.0,Bank feed
KBD-CR00074,KBD-CUST0006,2025-10-17 ,Check,875502,27191.82,INV-60087,0.0,Portal
KBD-CR00075,KBD-CUST0013,2025-12-20,ACH,535498,32111.26,INV-60088,0.0,Portal
KBD-CR00076,KBD-CUST0015,2025-11-01,ACH,798349,321.8,INV-60090,0.0,Lockbox
KBD-CR00077,KBD-CUST0026,2025-06-29,Check,491711,460.0,INV-60091,0.0,Bank feed
KBD-CR00078,KBD-CUST0018,2026-03-02,ACH,669269,26258.02,INV-60092 ,0.0,Email remittance
KBD-CR00079,KBD-CUST0022,2026-03-05,Card,621794,38635.53,INV-60093,0.0,Portal
KBD-CR00080,KBD-CUST0016,2026-02-16,ACH,213537,20662.57,INV-60094,0.0,Lockbox
KBD-CR00081,KBD-CUST0012,03/02/26,ACH,508572,8353.02,INV-60095,0.0,Email remittance
KBD-CR00082,KBD-CUST0032,09/05/2025,Card,493587,40817.73,INV-60096,0.0,Email remittance
KBD-CR00083,KBD-CUST0023,2025-09-25,ACH,122885,17494.92,INV-60098,0.0,Portal
KBD-CR00084,KBD-CUST0019,2025-08-30,ACH,896935,47797.01,INV-60099,0.0,Lockbox
KBD-CR00085,KBD-CUST0030,2025-12-03,Check,462141,1257.75,INV-60100,0.0,Lockbox
KBD-CR00086,KBD-CUST0015,2025-09-17,Check,566333,630.63,INV-60101,0.0,Lockbox
KBD-CR00087,KBD-CUST0018,2025-10-11,ACH,777479,8721.59,INV-60102,0.0,Lockbox
KBD-CR00088,KBD-CUST0017,2025-08-20,Card,543334,38548.94,INV-60103,0.0,Lockbox
KBD-CR00089,KBD-CUST0006,2026-03-04,Card,649291,20490.77,INV-60104,0.0,Bank feed
KBD-CR00090,KBD-CUST0015,2025-09-02,Card,509565,35134.07,INV-60105,0.0,Bank feed
KBD-CR00091,KBD-CUST0023,2025-10-20,Check,286412,2562.45,INV-60106,0.0,Bank feed
KBD-CR00092,KBD-CUST0007,2025-08-30,Wire,577767,18.92,INV-60107,0.0,Portal
KBD-CR00093,KBD-CUST0016,2025-07-23,Card,253829,11354.74,INV-60108,0.0,Lockbox
KBD-CR00094,KBD-CUST0005,2025-05-18,ACH,455602,3786.94,INV-60109,0.0,Lockbox
KBD-CR00095,KBD-CUST0020,2025-12-02,ACH,383470,7868.31,INV-60110,0.0,Lockbox
KBD-CR00096,KBD-CUST0007,2026-03-10 ,Check,399142,22919.19,INV-60111,0.0,Bank feed
KBD-CR00097,KBD-CUST0028,2025-12-22,ACH,945142,7020.4,INV-60112,0.0,Email remittance
KBD-CR00098,KBD-CUST0012,2026-03-31,Check,629277,153.96,INV-60113,0.0,Lockbox
KBD-CR00099,KBD-CUST0006,2026-02-15,Check,339881,2723.2,INV-60115,0.0,Bank feed
KBD-CR00100,KBD-CUST0032,11-Sep-2025,ACH,928202,16165.74,INV-60116,0.0,Portal
KBD-CR00101,KBD-CUST0016,2025-11-05,ACH,389595,24793.6,INV-60117,0.0,Email remittance
KBD-CR00102,KBD-CUST0025,2026-02-26,Wire,772642,23485.49,INV-60119,0.0,Bank feed
KBD-CR00103,KBD-CUST0014,2025-11-23,Check,794969,26768.44,INV-60121,0.0,Bank feed
KBD-CR00104,KBD-CUST0026,06-Feb-2026,ACH,628992,17638.94,INV-60123,0.0,Portal
KBD-CR00105,KBD-CUST0021,2025-06-17,ACH,222158,1908.51,INV-60124,0.0,Email remittance
KBD-CR00106,KBD-CUST0030,2026-03-10,Card,655946,2004.0,INV-60125,0.0,Lockbox
KBD-CR00107,KBD-CUST0032,2026-01-28,Card,605317 ,16826.2,INV-60126,0.0,Bank feed
KBD-CR00108,KBD-CUST0008,2025-08-15,ACH,499104,3320.24,INV-60127,0.0,Email remittance
KBD-CR00109,KBD-CUST0022,2025-12-14,Card,182375,7718.71,INV-60129,0.0,Lockbox
KBD-CR00110,KBD-CUST0032,2026-02-06,Wire,883197,4676.01,INV-60130,0.0,Portal
KBD-CR00111 ,KBD-CUST0017,2025-12-21,Check,217845,48967.05,INV-60132,0.0,Email remittance
KBD-CR00112,KBD-CUST0019,2026-03-31,Card,899927,13728.82,INV-60133,0.0,Email remittance
KBD-CR00113,KBD-CUST0021,2025-05-26,ACH,652035,1482.1,INV-60135,0.0,Email remittance
KBD-CR00114,KBD-CUST0017,2026-01-04,ACH,882626,6868.88,INV-60136,0.0,Lockbox
KBD-CR00115,KBD-CUST0031,2025-10-06,ACH,212123,61718.86,INV-60137,0.0,Lockbox
KBD-CR00116,KBD-CUST0016,2025-10-22,Check,156418,2498.99,INV-60138,0.0,Portal 
KBD-CR00117,KBD-CUST0031,2025-07-24,ACH,195490 ,7275.87,INV-60139 ,0.0,Email remittance
KBD-CR00118,KBD-CUST0007,2025-08-29,ACH,975758,17717.14,INV-60140,0.0,Portal
KBD-CR00119,KBD-CUST0031,2025-08-22,ACH,815184,1890.98,INV-60142,0.0,Email remittance
KBD-CR00120,KBD-CUST0018,09/05/25,ACH,252671,37939.69,INV-60143,0.0,Lockbox
KBD-CR00121,KBD-CUST0029,09-Sep-2025,Check,136665,29253.75,INV-60144,0.0,Bank feed
KBD-CR00122,KBD-CUST0025,2026-03-12,Wire,856379,16370.7,INV-60145,0.0,Portal
KBD-CR00123,KBD-CUST0012,2025-10-13,ACH,624530,7269.33,INV-60146,0.0,Lockbox
KBD-CR00124 ,KBD-CUST0030,2025-11-29,Card,793530,27073.01,INV-60147,0.0,Email remittance
KBD-CR00125,KBD-CUST0022,2026-02-20,ACH,983458,655.63,INV-60148,0.0,Lockbox
KBD-CR00126,KBD-CUST0029,09/14/2025,Card,767700,17507.23,INV-60149,0.0,Portal
KBD-CR00127 ,KBD-CUST0013,2025-09-03,Check,285122,29812.94,INV-60150,0.0,Email remittance
KBD-CR00128,KBD-CUST0031,02/03/26,Check,343897,3166.41,INV-60151,0.0,Email remittance
KBD-CR00129,KBD-CUST0031,2026-01-29,Wire,841779,10873.87,INV-60152,0.0,Lockbox
KBD-CR00130,KBD-CUST0012 ,2025-12-19,ACH,132010,229.17,INV-60153,0.0,Lockbox
KBD-CR00131,KBD-CUST0012,2026-02-28,Check,404996,5969.59,INV-60154,0.0,Portal
KBD-CR00132,KBD-CUST0005,2025-08-10,Card,727633,17953.13,INV-60155,0.0,Portal
KBD-CR00133 ,KBD-CUST0031,2025-08-15,Card,377618,2827.71,INV-60159,0.0,Bank feed
KBD-CR00134,KBD-CUST0004,2026-01-23,Card,978178,6742.64,INV-60160,0.0,Bank feed
KBD-CR00135,KBD-CUST0020,01/20/26,Wire,363441,13327.05,INV-60161,0.0,Email remittance
KBD-CR00136,KBD-CUST0024,2025-07-26,ACH,957595,43238.44,INV-60162,0.0,Lockbox
KBD-CR00137,KBD-CUST0031,2026-02-17,Card,596889,7992.69,INV-60163,0.0,Email remittance
KBD-CR00138,KBD-CUST0030 ,2026-01-14,Card,525240,41313.47,INV-60164,0.0,Lockbox
KBD-CR00139,KBD-CUST0021,2026-03-04,Wire,489923,933.85,INV-60165,0.0,Bank feed
KBD-CR00140 ,KBD-CUST0010,2025-08-12,Card,401090,13752.0,INV-60166,0.0,Lockbox
KBD-CR00141,KBD-CUST0015,"Jan 14, 2026",ACH,116742,15009.83,INV-60168,0.0,Lockbox
KBD-CR00142,KBD-CUST0008,2025-06-24,ACH,434991,7834.0,INV-60169 ,0.0,Email remittance
KBD-CR00143,KBD-CUST0008,2026-01-18,ACH,491972,20082.32,INV-60170,0.0,Portal
KBD-CR00144,KBD-CUST0023,2026-02-15,ACH,762634,37295.06,INV-60172,0.0,Bank feed
KBD-CR00145,KBD-CUST0024,2026-01-03,Wire,962256,5267.84,INV-60173,0.0,Lockbox
KBD-CR00146,KBD-CUST0027,2025-07-28,ACH,780558,5853.61,INV-60174,0.0,Email remittance
KBD-CR00147,KBD-CUST0019,2025-11-17,ACH,262941,217.28,INV-60175,0.0,Bank feed
KBD-CR00148,KBD-CUST0025,2025-12-25,Wire,749598,25400.12,INV-60176,0.0,Portal
KBD-CR00149,KBD-CUST0014,2025-07-22,Wire,286796,2805.37,INV-60177,0.0,Lockbox
KBD-CR00150,KBD-CUST0017,2025-07-14,ACH,146283,8972.79,INV-60178,0.0,Email remittance
KBD-CR00151,KBD-CUST0021,2025-07-17,Wire,218214,8804.5,INV-60181,0.0,Bank feed
KBD-CR00152,KBD-CUST0013,2025-12-06,ACH,693324,21541.02,INV-60182,0.0,Portal
KBD-CR00153,KBD-CUST0032,2025-06-16,Card,484296,27239.42,INV-60183,0.0,Email remittance
KBD-CR00154,KBD-CUST0010,06/17/2025,ACH,355972,227.16,INV-60184,0.0,Email remittance
KBD-CR00155 ,KBD-CUST0017,2025-12-16,Check,888606,193.59,INV-60187,0.0,Lockbox
KBD-CR00156,KBD-CUST0005,03/31/2026,ACH,433671,274.97,INV-60188,0.0,Portal
KBD-CR00157,KBD-CUST0028,2026-02-15,Wire,340986,15883.88,INV-60189,0.0,Portal
KBD-CR00158,KBD-CUST0025,2025-12-07,Wire,645785,19006.26,INV-60190,0.0,Email remittance
KBD-CR00159,KBD-CUST0018,2025-11-27,Check,634980 ,2410.26,INV-60192,0.0,Email remittance
KBD-CR00160,KBD-CUST0028,2025-07-24,Wire,939400,2014.21,INV-60193,0.0,Portal
KBD-CR00161,KBD-CUST0011,2025-09-22,Wire,723737,4599.31,INV-60194,0.0,Lockbox
KBD-CR00162,KBD-CUST0027,2025-08-12,ACH,215292,41953.91,INV-60196,0.0,Email remittance
KBD-CR00163,KBD-CUST0007,2026-03-02,ACH,211772,3843.03,INV-60197,0.0,Portal
KBD-CR00164,KBD-CUST0019,2025-10-08,Wire,926630,62580.33,INV-60198,0.0,Bank feed
KBD-CR00165,KBD-CUST0003,2025-06-19,Card,160584,9081.25,INV-60199,0.0,Email remittance
KBD-CR00166,KBD-CUST0032,12/25/2025,Card,995014,25266.77,INV-60200,0.0,Bank feed
KBD-CR00167,KBD-CUST0014,2025-07-19,Card,400398,8642.4,INV-60201,0.0,Email remittance
KBD-CR00168,KBD-CUST0020,2025-08-31,Wire,286750,15790.26,INV-60202,0.0,Portal
KBD-CR00169,KBD-CUST0006,2025-08-22,Check,772864,2804.15,INV-60203,0.0,Lockbox
KBD-CR00170,KBD-CUST0029,2026-01-14,ACH,935309,19278.56,INV-60204,0.0,Email remittance
KBD-CR00171,KBD-CUST0029,2025-08-07,Card,789499 ,46657.11,INV-60205,0.0,Lockbox
KBD-CR00172,KBD-CUST0016,2026-01-30,Wire,816862,19858.86,INV-60206,0.0,Bank feed
KBD-CR00173,KBD-CUST0032,2025-11-24,ACH,641501,5421.31,INV-60208,0.0,Lockbox
KBD-CR00174,KBD-CUST0013,2026-02-22,Wire,503080,2297.75,INV-60211,0.0,Email remittance
KBD-CR00175,KBD-CUST0032,2026-02-02,ACH,142002,844.09,INV-60212,0.0,Email remittance
KBD-CR00176,KBD-CUST0023,2026-03-31,Check,780524,12904.06,INV-60213,0.0,Email remittance
KBD-CR00177,KBD-CUST0001,2025-09-25,Check,404165,13750.66,INV-60214,0.0,Email remittance
KBD-CR00178,KBD-CUST0004,2026-01-18,ACH,463563,3274.05,INV-60216,0.0,Email remittance
KBD-CR00179,KBD-CUST0001,2025-06-21,ACH,850696,16287.18,INV-60217,0.0,Portal
KBD-CR00180,KBD-CUST0024,2026-01-30,ACH,893085,37589.03,INV-60219,0.0,Email remittance
KBD-CR00181,KBD-CUST0003,2025-09-27,ACH,523364,7345.59,INV-60220,0.0,Portal
KBD-CR00182,KBD-CUST0026,2025-05-21,Check,965199,10045.98,INV-60221,0.0,Email remittance
KBD-CR00183,KBD-CUST0032,2025-06-23,ACH,799475,193.55,INV-60222,0.0,Bank feed
KBD-CR00184,KBD-CUST0018,2026-03-20,Card,290982,15971.48,INV-60223,0.0,Email remittance
KBD-CR00185,KBD-CUST0019,2025-08-07,ACH,934208,2207.2,INV-60224,0.0,Lockbox
KBD-CR00186,KBD-CUST0007,2025-09-24,ACH,675064,5505.66,INV-60226,0.0,Bank feed
KBD-CR00187,KBD-CUST0010,2026-02-17,Check,891984,2099.18,INV-60227,0.0,Email remittance 
KBD-CR00188,KBD-CUST0008,2026-03-08,Card,587765,13486.87,INV-60228,0.0,Email remittance
KBD-CR00189,KBD-CUST0018,2026-02-21,Wire ,383512,12975.4,INV-60229,0.0,Lockbox
KBD-CR00190,KBD-CUST0028,2025-12-29,ACH,411110,956.5,INV-60230,0.0,Lockbox
KBD-CR00191,KBD-CUST0023,2025-11-22,Wire,296853,1870.5,INV-60231,0.0,Portal
KBD-CR00192,KBD-CUST0017,2025-09-21,Card,955444,5428.33,INV-60232,0.0,Portal
KBD-CR00193,KBD-CUST0028,2025-07-07,Wire,683695,813.88,INV-60233,0.0,Email remittance
KBD-CR00194,KBD-CUST0015,2026-03-31,Card,560605,537.2,INV-60234,0.0,Email remittance
KBD-CR00195,KBD-CUST0025,2026-02-27,ACH,567287,5347.91,INV-60235,0.0,Bank feed
KBD-CR00196,KBD-CUST0026,2025-09-25,Wire,842034,7802.7,INV-60237,0.0,Portal
KBD-CR00197,KBD-CUST0025,2025-07-14,ACH,639272,9836.8,INV-60238,0.0,Portal
KBD-CR00198,KBD-CUST0023,2025-08-17,ACH,239579,37982.78,INV-60239,0.0,Email remittance
KBD-CR00199,KBD-CUST0016,2025-12-22,Card,727676,11849.5,INV-60241,0.0,Email remittance
KBD-CR00200,KBD-CUST0023,2026-01-23,ACH,193699,12056.48,INV-60242,0.0,Portal
KBD-CR00201,KBD-CUST0008,2025-11-30,Card,917841 ,25178.32,INV-60243,0.0,Email remittance
KBD-CR00202,KBD-CUST0004,2025-11-19,ACH,526597,14298.03,INV-60244,0.0,Portal
KBD-CR00203,KBD-CUST0010,2025-07-07,Wire,958640,19014.65,INV-60245,0.0,Email remittance
KBD-CR00204,KBD-CUST0001,2026-02-17,Wire,478882,44434.1,INV-60246,0.0,Lockbox
KBD-CR00205,KBD-CUST0032,2025-11-19,Check,513889,9182.35,INV-60247,0.0,Email remittance
KBD-CR00206,KBD-CUST0014,2026-02-09,ACH,860952,10411.58,INV-60248,0.0,Bank feed
KBD-CR00207,KBD-CUST0007,"Jan 31, 2026",Card,496458,28543.11,INV-60249,0.0,Email remittance
KBD-CR00208,KBD-CUST0024,2026-02-17,Card,127212 ,24825.28,INV-60250,0.0,Portal
KBD-CR00209,KBD-CUST0006,12/30/25,Wire,289082,20179.28,INV-60251,0.0,Lockbox
KBD-CR00210,KBD-CUST0028,2025-12-24,Wire,723963,40113.93,INV-60252,0.0,Bank feed
KBD-CR00211,KBD-CUST0014,2025-09-12,ACH,350114,277.46,INV-60253,0.0,Lockbox
KBD-CR00212,KBD-CUST0003,2025-06-04,ACH,658807,14647.55,INV-60255,0.0,Lockbox
KBD-CR00213,KBD-CUST0013,2025-09-26,Check,790025 ,1624.84,INV-60256,0.0,Bank feed
KBD-CR00214,KBD-CUST0001,2025-07-21,Card,496066,6261.67,INV-60258,0.0,Bank feed
KBD-CR00215,KBD-CUST0006,2025-12-31,Check,456211,32891.07,INV-60259 ,0.0,Email remittance
KBD-CR00216,KBD-CUST0027,2025-12-02,Wire,630931,22895.34,INV-60260,0.0,Email remittance
KBD-CR00217,KBD-CUST0025,2025-08-24,Check,794685,36801.61,INV-60261,0.0,Portal
KBD-CR00218,KBD-CUST0015,2025-10-06,Check,342901,62421.75,INV-60262,0.0,Bank feed
KBD-CR00219,KBD-CUST0020,2026-02-20,ACH,724811,5805.27,INV-60263,0.0,Bank feed
KBD-CR00220,KBD-CUST0030,2026-02-25,ACH,215661,2100.92,INV-60264,0.0,Email remittance
KBD-CR00221,KBD-CUST0013,2026-02-17,Card,104811,39742.88,INV-60265,0.0,Email remittance
KBD-CR00222,KBD-CUST0027,2025-08-27,ACH,591562,4366.77,INV-60266,0.0,Lockbox
KBD-CR00223,KBD-CUST0008,2025-10-27,ACH,400524,4920.6,INV-60267,0.0,Portal
KBD-CR00224,KBD-CUST0008,2025-11-13,Wire,436553,30649.16,INV-60268,0.0,Bank feed
KBD-CR00225,KBD-CUST0005,2025-10-28,Check,163917,34200.53,INV-60271,0.0,Lockbox
KBD-CR00226,KBD-CUST0026,2025-10-04,ACH,248964,347.46,INV-60275,0.0,Bank feed
KBD-CR00227,KBD-CUST0007,2026-02-01,ACH,692300,3293.75,INV-60276,0.0,Email remittance
KBD-CR00228,KBD-CUST0024,2026-02-05,ACH,116594,24426.24,INV-60279,0.0,Email remittance
KBD-CR00229,KBD-CUST0031,2025-11-15,Check,121530,47336.21,INV-60280,0.0,Bank feed
KBD-CR00230,KBD-CUST0003,2025-10-29,ACH,312060,12372.74,INV-60281,0.0,Email remittance
KBD-CR00231,KBD-CUST0025,2025-08-07,ACH,714581,20076.77,INV-60282,0.0,Bank feed
KBD-CR00232,KBD-CUST0004,2025-07-23,Card,156025,4846.0,INV-60283,0.0,Bank feed
KBD-CR00233,KBD-CUST0028,2025-07-09,Wire,787863,35030.82,INV-60284,0.0,Email remittance
KBD-CR00234,KBD-CUST0006,2025-09-10,ACH,997783,24602.71,INV-60285,0.0,Bank feed
KBD-CR00235,KBD-CUST0011,29-Dec-2025,Check,403714,5855.44,INV-60286,0.0,Bank feed
KBD-CR00236 ,KBD-CUST0023,2025-11-28,ACH,527213,50132.23,INV-60287,0.0,Email remittance
KBD-CR00237,KBD-CUST0028,2025-08-26,ACH,905609,2263.23,INV-60289,0.0,Bank feed
KBD-CR00238,KBD-CUST0015,2025-09-01,Card,993910,5837.57,INV-60290,0.0,Lockbox
KBD-CR00239,KBD-CUST0023,2025-12-19,Wire,985747,27044.82,INV-60293,0.0,Bank feed
KBD-CR00240,KBD-CUST0032,2025-06-18,ACH,120600,25991.29,INV-60295,0.0,Bank feed
KBD-CR00241,KBD-CUST0011,2025-07-20,Card,441336,631.19,INV-60296,0.0,Lockbox
KBD-CR00242,KBD-CUST0005 ,2025-09-03,Check,194022,29864.91,INV-60297,0.0,Bank feed
KBD-CR00243,KBD-CUST0025,2026-03-31,ACH,193158,39082.63,INV-60298,0.0,Email remittance
KBD-CR00244,KBD-CUST0031,2025-09-06,Card,877720,32301.97,INV-60299,0.0,Portal
KBD-CR00245,KBD-CUST0006,2026-03-31,Card,712407,5097.1,INV-60300,0.0,Bank feed
KBD-CR00246,KBD-CUST0016,2026-03-13,ACH,923305,21382.48,INV-60301,0.0,Email remittance
KBD-CR00247,KBD-CUST0006,2026-01-29,Check,830397,2295.27,INV-60302,0.0,Portal
KBD-CR00248,KBD-CUST0016,2025-12-21,Wire,894913,2466.23,INV-60303,0.0,Lockbox
KBD-CR00249,KBD-CUST0016,2025-07-21,ACH,139807,6947.56,INV-60305,0.0,Bank feed
KBD-CR00250,KBD-CUST0011,2025-11-30,Check,526035,27994.6,INV-60306,0.0,Lockbox
KBD-CR00251,KBD-CUST0017,2025-12-19,Check,137975,19623.34,INV-60307,0.0,Portal
KBD-CR00252,KBD-CUST0003,2025-09-24,Card,176712,9873.85,INV-60308,0.0,Portal
KBD-CR00253,KBD-CUST0005,08/29/25,Card,167329,3326.5,INV-60309,0.0,Bank feed
KBD-CR00254,KBD-CUST0028,2026-03-19,Wire,284135,30448.3,INV-60310,0.0,Portal
KBD-CR00255,KBD-CUST0021,2026-03-28,Check,371013,196.8,INV-60311,0.0,Bank feed
KBD-CR00256,KBD-CUST0008 ,2026-03-31,ACH,807103,56822.08,INV-60312,0.0,Lockbox
KBD-CR00257,KBD-CUST0006,2025-09-25 ,Card,947660,1604.76,INV-60313,0.0,Email remittance
KBD-CR00258,KBD-CUST0030,2025-08-09,Card,694816,1132.32,INV-60316,0.0,Lockbox
KBD-CR00259,KBD-CUST0008,2026-03-22,Card,311706 ,4176.95,INV-60317,0.0,Email remittance
