Invoice Number,Customer Id,So Number,Shipment Id,Customer Po Number,Invoice Date,Due Date,Payment Terms,Merchandise Total,Freight,Sales Tax,Invoice Total,Amount Paid,Balance,Status,Delivery Method,Gl Revenue Account
INV-60091,KBD-CUST0026,SO-26095,SH-50092,P891823,2025-06-08,2025-06-08,COD,460.0,0.0,0.0,460.0,460.0,0.0,Paid,EDI 810,4010
INV-60092,KBD-CUST0018,SO-26096,SH-50093,4500175004,2025-12-28,11-Feb-2026,Net 45,26258.02,0.0,0.0,26258.02,26258.02,0.0,Paid,Portal upload,4010
INV-60093,KBD-CUST0022,SO-26097,SH-50094,P281524,2026-01-04,2026-03-05,Net 60,30154.07,8481.46,0.0,38635.53,38635.53,0.0,Paid,EDI 810,4010
INV-60094,KBD-CUST0016,SO-26098,SH-50095,4500884186,2026-01-12,2026-02-11,Net 30,13116.04,7710.37,0.0,20826.41,20662.57,163.84,Short Paid,Portal upload,4010
INV-60095,KBD-CUST0012,SO-26099,SH-50096,4500301446,2026-01-11,2026-03-12,Net 60 ,5141.75,3211.27,0.0,8353.02,8353.02,0.0,Paid,Portal upload,4010
INV-60096,KBD-CUST0032,SO-26100,SH-50097,PUR-822431,2025-08-05,2025-09-04,Net 30,26828.06,13989.67,0.0,40817.73,40817.73,0.0,Paid,EDI 810,4010
INV-60097,KBD-CUST0007,SO-26101,SH-50098,P102929,2026-01-31,2026-03-02,Net 30,192.46,0.0,0.0,192.46,0.0,192.46,Past Due,EDI 810,4010
INV-60098,KBD-CUST0023,SO-26102,SH-50099,4500446021,2025-07-28,2025-09-26,Net 60,17312.05,182.87,0.0,17494.92,17494.92,0.0,Paid,Email PDF,4010
INV-60099,KBD-CUST0019,SO-26103,SH-50100,P366446,2025-07-07,08/21/25,Net 45,43949.88,660.76,3186.37,47797.01,47797.01,0.0,Paid,Email PDF,4010
INV-60100,KBD-CUST0030,SO-26104 ,SH-50101,P532497,2025-10-15,2025-11-14,Net 30,1257.75,0.0,0.0,1257.75,1257.75,0.0,Paid,Portal upload,4010
INV-60101,KBD-CUST0015,SO-26105,SH-50102,4500753725,2025-08-18,2025-09-17,Net 30,630.63,0.0,0.0,630.63,630.63,0.0,Paid,Portal upload,4010
INV-60102,KBD-CUST0018,SO-26106,SH-50103,4500680149,2025-08-23,2025-10-07,Net 45,5760.36,2961.23,0.0,8721.59,8721.59,0.0,Paid,Email PDF,4010 
INV-60103,KBD-CUST0017,SO-26108,SH-50104,PO598278,06/21/2025,2025-08-05,Net 45,38548.94,0.0,0.0,38548.94,38548.94,0.0,Paid,EDI 810,4010
INV-60104,KBD-CUST0006,SO-26109,SH-50105 ,PO897572,2025-12-19,2026-02-17,Net 60,19105.61,0.0,1385.16,20490.77,20490.77,0.0,Paid,Portal upload,4010
INV-60105,KBD-CUST0015,SO-26111,SH-50106,4500877128,2025-07-26,2025-08-25,Net 30,23258.64,11875.43,0.0,35134.07,35134.07,0.0,Paid,EDI 810,4010
INV-60106,KBD-CUST0023,SO-26112,SH-50107,PUR-510466,2025-08-29,28-Oct-2025,Net 60,2540.65,21.8,0.0,2562.45,2562.45,0.0,Paid,Email PDF,4010 
INV-60107,KBD-CUST0007,SO-26113,SH-50108,PUR-321928,08/07/25,2025-09-06,Net 30,18.92,0.0,0.0,18.92,18.92,0.0,Paid,Email PDF,4010
INV-60108,KBD-CUST0016,SO-26114,SH-50109,P611884,2025-06-18,18-Jul-2025,Net 30,11354.74,0.0,0.0,11354.74,11354.74,0.0,Paid,Portal upload,4010
INV-60109,KBD-CUST0005,SO-26115,SH-50110,PO834205,2025-04-23,2025-05-23,Net 30,3147.0,639.94,0.0,3786.94,3786.94,0.0,Paid,Mail,4010
INV-60110,KBD-CUST0020,SO-26116,SH-50111,4500282108 ,2025-10-12,2025-11-26,Net 45,7868.31,0.0,0.0,7868.31,7868.31,0.0,Paid,Portal upload,4010
INV-60111,KBD-CUST0007,SO-26117,SH-50112,4500913048,2026-01-18,2026-02-17,Net 30,22919.19,0.0,0.0,22919.19,22919.19,0.0,Paid,EDI 810,4010
INV-60112,KBD-CUST0028,SO-26118,SH-50113,PUR-673907,2025-11-17,2026-01-01,Net 45,6995.03,25.37,0.0,7020.4,7020.4,0.0,Paid,EDI 810,4010
INV-60113,KBD-CUST0012,SO-26119,SH-50114,4500598427 ,2026-01-16,2026-03-17,Net 60,153.96,0.0,0.0,153.96,153.96,0.0,Paid,EDI 810,4010
INV-60114,KBD-CUST0018,SO-26120,SH-50115,PO509328,2026-03-25,2026-05-09,Net 45,11319.3,0.0,0.0,11319.3,0.0,11319.3,Open,Email PDF,4010
INV-60115,KBD-CUST0006,SO-26121,SH-50116,P956250,2025-12-11,02/09/2026,Net 60,2539.11,0.0,184.09,2723.2,2723.2,0.0,Paid,Email PDF,4010
INV-60116,KBD-CUST0032,SO-26122,SH-50117,PUR-482170,2025-07-28,2025-08-27,Net 30,14927.8,1237.94,0.0,16165.74,16165.74,0.0,Paid,EDI 810,4010
INV-60117,KBD-CUST0016,SO-26123,SH-50118,PO339425,2025-09-11,2025-10-11,Net 30,23598.45,1195.15,0.0,24793.6,24793.6,0.0,Paid,Email PDF,4010
INV-60118,KBD-CUST0010,SO-26124,SH-50119,P133764,2026-03-27,26-Apr-2026,Net 30,6894.01,2009.39,499.82,9403.22,0.0,9403.22,Open,Email PDF,4010
INV-60119,KBD-CUST0025,SO-26126,SH-50120,PUR-996245,2025-12-31,2026-02-14,Net 45,15885.56,6448.23,1151.7,23485.49,23485.49,0.0,Paid,Portal upload,4010
INV-60120,KBD-CUST0011,SO-26127,SH-50121,P574541,2026-03-07,04/06/2026,Net 30,1027.44,108.33,74.49,1210.26,0.0,1210.26,Open,Email PDF,4010
INV-60121,KBD-CUST0014,SO-26128,SH-50122,P951834,2025-10-20,2025-11-19,2% 10 Net 30,26458.83,309.61,0.0,26768.44,26768.44,0.0,Paid,Portal upload,4010
INV-60122,KBD-CUST0015,SO-26129,SH-50123,P781646,21-Mar-2026,2026-04-20,Net 30,16041.14,9769.09,0.0,25810.23,0.0,25810.23,Open,Email PDF,4010
INV-60123,KBD-CUST0026,SO-26130,SH-50124,4500599646,2026-02-01,2026-02-01,COD,9634.04,8004.9,0.0,17638.94,17638.94,0.0,Paid,Email PDF,4010
INV-60124,KBD-CUST0021,SO-26131,SH-50125,P574828,2025-05-17,2025-06-16,2% 10 Net 30,1083.51,746.45,78.55,1908.51,1908.51,0.0,Paid,Mail,4010
INV-60125,KBD-CUST0030,SO-26132,SH-50126,P500732,01/23/2026,2026-02-22,Net 30,2004.0,0.0,0.0,2004.0,2004.0,0.0,Paid,Mail,4010
INV-60126,KBD-CUST0032,SO-26133,SH-50127,4500503558 ,03-Jan-2026,2026-02-02,Net 30,16826.2,0.0,0.0,16826.2,16826.2,0.0,Paid,Mail,4010
INV-60127,KBD-CUST0008,SO-26134,SH-50128,P298660,2025-05-23,2025-07-22,Net 60,3320.24,0.0,0.0,3320.24,3320.24,0.0,Paid,Email PDF,4010
INV-60128,KBD-CUST0023,SO-26135,SH-50129,PO644379,03/23/2026,2026-05-22,Net 60,7450.8,2109.99,0.0,9560.79,0.0,9560.79,Open,Email PDF,4010
INV-60129,KBD-CUST0022,SO-26136,SH-50130,4500161547,2025-10-02,2025-12-01,Net 60,7718.71,0.0,0.0,7718.71,7718.71,0.0,Paid,EDI 810,4010
INV-60130,KBD-CUST0032,SO-26137,SH-50131,P366204,2025-12-19,2026-01-18,Net 30,5034.04,0.0,0.0,5034.04,4676.01,358.03,Short Paid,EDI 810,4010
INV-60131,KBD-CUST0013,SO-26138,SH-50132,P370264 ,2026-03-17,2026-04-16,Net 30,13513.59,0.0,0.0,13513.59,0.0,13513.59,Open,EDI 810,4010
INV-60132,KBD-CUST0017,SO-26139,SH-50133,PO981461,2025-10-29,2025-12-13,Net 45,41647.45,7319.6,0.0,48967.05,48967.05,0.0,Paid,Email PDF,4010
INV-60133,KBD-CUST0019,SO-26140,SH-50134,PUR-688192,2026-01-30,2026-03-16,Net 45,12604.41,210.59,913.82,13728.82,13728.82,0.0,Paid,Email PDF,4010
INV-60134,KBD-CUST0004,SO-26141,SH-50135,P498695,2026-03-01,2026-04-30,Net 60,11720.11,387.31,0.0,12107.42,0.0,12107.42,Open,EDI 810,4010
INV-60135,KBD-CUST0021,SO-26142,SH-50136,4500138407,2025-05-04,2025-06-03,2% 10 Net 30,1381.91,0.0,100.19,1482.1,1482.1,0.0,Paid,EDI 810,4010
INV-60136,KBD-CUST0017,SO-26144,SH-50137,P316394,2025-11-03,2025-12-18,Net 45,6572.96,295.92,0.0,6868.88,6868.88,0.0,Paid,Portal upload,4010
INV-60137,KBD-CUST0031,SO-26145,SH-50138,4500939199,2025-08-11,2025-09-25,Net 45,49094.13,9065.41,3559.32,61718.86,61718.86,0.0,Paid,Email PDF,4010
INV-60138,KBD-CUST0016,SO-26147,SH-50139,PO969940,2025-09-25,2025-10-25,Net 30,2792.05,0.0,0.0,2792.05,2498.99,293.06,Short Paid,EDI 810,4010
INV-60139,KBD-CUST0031,SO-26148,SH-50140,P532563,2025-06-01,"Jul 16, 2025",Net 45,6784.03,0.0,491.84,7275.87,7275.87,0.0,Paid,Mail,4010
INV-60140,KBD-CUST0007,SO-26149,SH-50141,4500681993 ,2025-07-10,2025-08-09,Net 30,17717.14,0.0,0.0,17717.14,17717.14,0.0,Paid,Mail,4010
INV-60141,KBD-CUST0013,SO-26150,SH-50142,P499731,2026-01-24,2026-02-23,Net 30,286.91,109.58,0.0,396.49,0.0,396.49,Past Due,Email PDF,4010
INV-60142,KBD-CUST0031,SO-26151,SH-50143,PO112251,2025-06-21,2025-08-05,Net 45,1763.15,0.0,127.83,1890.98,1890.98,0.0,Paid,Mail,4010
INV-60143,KBD-CUST0018,SO-26152,SH-50144,P609469,2025-06-30,2025-08-14,Net 45,32077.07,5862.62,0.0,37939.69,37939.69,0.0,Paid,EDI 810,4010
INV-60144,KBD-CUST0029,SO-26153,SH-50145,PO831040,2025-08-15,2025-09-14,Net 30,29253.75,0.0,0.0,29253.75,29253.75,0.0,Paid,Mail,4010
INV-60145,KBD-CUST0025,SO-26154,SH-50146,P311631,2026-01-09,2026-02-23,Net 45,15264.06,0.0,1106.64,16370.7,16370.7,0.0,Paid,Email PDF,4010
INV-60146,KBD-CUST0012,SO-26155,SH-50147,P756316,2025-08-18,2025-10-17,Net 60,6645.18,955.35,0.0,7600.53,7269.33,331.2,Short Paid,Mail,4010
INV-60147,KBD-CUST0030,SO-26156,SH-50148,PUR-638128,2025-10-22,2025-11-21,Net 30,19568.9,7504.11,0.0,27073.01,27073.01,0.0,Paid,Email PDF,4010
INV-60148,KBD-CUST0022,SO-26157,SH-50149,PO142053,2025-12-31,2026-03-01,Net 60,427.25,228.38,0.0,655.63,655.63,0.0,Paid,Mail,4010
INV-60149,KBD-CUST0029,SO-26158,SH-50150,4500400829,08/07/2025,2025-09-06,Net 30,17609.04,0.0,0.0,17609.04,17507.23,101.81,Short Paid,Mail,4010
