Invoice Number,Line,Item Id,Qty,Unit Price,Extended,Unit Cost,Margin
INV-60015,4,CONV-1051,1,5033.5,5033.5,4147.58,885.92
INV-60015,5,ROLL-1012,200,51.05,10210.0,47.52,706.0
INV-60016,1,CONV-1013,1,4194.61,4194.61,2336.18,1858.43
INV-60016,3,ROLL-1044,3,241.9,725.7,140.68,303.66
INV-60016,4,MOUN-1034,1,42.77,42.77,23.82,18.95
INV-60017,1,GEAR-1073,5,2781.13,13905.65,1938.75,4211.9
INV-60017,3,SPRO-1027,2,97.04,194.08,77.98,38.12
INV-60018,1,CONV-1043,3,2484.13,7452.39,1971.53,1537.8
INV-60018,2,SHEA-1049,1,249.88,249.88,153.4,96.48
INV-60018,3,ROLL-1053,2,104.07,208.14,86.10000000000001,35.94
INV-60018,4,MOUN-1008,2,109.84,219.68,71.79,76.1
INV-60018,5,SPRO-1076,1,17.16,17.16,13.24,3.92
INV-60019,1,SPRO-1070,4,36.16,144.64,22.96,52.8
INV-60019,2,GAT-B62,200,17.6,3520.0,12.7,980.0
INV-60020,1,SHEA-1003,3,313.25,939.75,235.72,232.59
INV-60020,2,SPRO-1041,100,64.34,6434.0,35.35,2899.0
INV-60020,3,SHEA-1007 ,3,211.8,635.4,129.94,245.58
INV-60020,4,SHEA-1003 ,1,322.94,322.94,235.72,87.22
INV-60021,2,SHEA-1037,100,162.8,16280.0,99.06,6374.0
INV-60021,3,TIMI-1056 ,100,26.49,2649.0,17.21,928.0
INV-60021 ,4,GEAR-1010,1,4602.2,4602.2,2784.15,1818.05
INV-60022,2,AC-1057,1,963.43,963.43,687.08,276.35
INV-60022,3,CONV-1043,2,2263.31,4526.62,1971.53,583.56
INV-60022,4,SHEA-1049,3,227.67,683.01,153.4,222.81
INV-60023,1,SPRO-1070,12,38.17,458.04,22.96,182.52
INV-60023,2,TIMI-1000,200,59.14,11828.0,43.53,3122.0
INV-60023,3,CONV-1052,1,3843.03,3843.03,2311.6,1531.43
INV-60023,4,AC-1063,3,2135.12,6405.36,1677.24,1373.64
INV-60024,1,DOD-TXT315,2,1476.18,2952.36,1180.0,592.36
INV-60025,1,AC-1057,3,1174.91,3524.73,687.08,1463.49
INV-60025,2,MOUN-1034,1,45.02,45.02,23.82,21.2
INV-60025,3,SHEA-1068,3,305.52,916.56,180.78,374.22
INV-60025,4,TIMI-1058,1,134.28,134.28,84.45,49.83
INV-60026,1,TIMI-1030,6,105.56,633.36,66.14,236.52
INV-60026,2,ROLL-1079,5,160.9,804.5,102.65,291.25
INV-60026,3,AC-1085,1,507.31,507.31,365.76,141.55
INV-60026,4,MOUN-1008,10,115.94,1159.4,71.79,441.5
INV-60027,1,SPRO-1015,6,104.41,626.46,74.58,178.98
INV-60028,1,SPRO-1087,200,61.79,12358.0,44.550000000000004,3448.0
INV-60028,2,CONV-1052,2,3843.03,7686.06,2311.6,3062.86
INV-60028,3,MOUN-1083,200,131.75,26350.0,87.77,8796.0
INV-60029,1,GEAR-1084,1,5318.78,5318.78,3456.0,1862.78
INV-60030,1,AC-1040,5,800.8,4004.0,609.44,956.8
INV-60031,1,SPRO-1070,10,38.17,381.7,22.96,152.1
INV-60031,2,SHEA-1028,2,500.18,1000.36,284.6,431.16
INV-60032,1,SKF-6205-2RS1,10,5.11,51.1,3.55,15.6
INV-60033,1,TIMI-1058,6,110.11,660.66,84.45,153.96
INV-60034,1,TIMI-1058 ,4,120.85,483.4,84.45,145.6
INV-60034,2,GEAR-1010,1,4359.98,4359.98,2784.15,1575.83
INV-60035,1,TIMI-1000,100,53.53,5353.0,43.53,1000.0
INV-60035,2,SHEA-1007,2,211.8,423.6,129.94,163.72
INV-60036,3,TIMI-1000,25,62.25,1556.25,43.53,468.0
INV-60037,1,AC-1054,1,2553.61,2553.61,1828.58,725.03
INV-60037,2,AC-1040,5,845.29,4226.45,609.44,1179.25
INV-60038,1,SPRO-1027,50,83.76,4188.0,77.98,289.0
INV-60038,2,ROLL-1021,4,126.68,506.72,81.74,179.76
INV-60038,3,CONV-1046,3,8454.0,25362.0,7311.89,3426.33
INV-60038,4,CONV-1059,3,4543.16,13629.48,3693.63,2548.59
INV-60038,5,AC-1033,1,1183.36,1183.36,1093.27,90.09
INV-60039,1,BRI-HHCS-0500-13-200-G8,12,56.79,681.48,44.75,144.48
INV-60039,2,AC-1048,5,2277.84,11389.2,1745.47,2661.85
INV-60039,3,SHEA-1064,3,205.2,615.6,139.88,195.96
INV-60039,4,ROLL-1044,1,229.17,229.17,140.68,88.49
INV-60039,5,MOUN-1029,50,129.68,6484.0,86.28,2170.0
INV-60040,1,SHEA-1038,2,416.46,832.92,295.28000000000003,242.36
INV-60040,2,ROLL-1044,2,208.8,417.6,140.68,136.24
INV-60040,3,AC-1006,1,3039.82,3039.82,2130.52,909.3
INV-60041,1,CONV-1022,1,2234.05,2234.05,2154.05,80.0
INV-60041,2,SHEA-1082,1,260.14,260.14,186.61,73.53
INV-60041,3,SKF-6308-2Z,6,9.6,57.6,10.25,-3.9
INV-60041,4,DOD-TXT315,1,1344.96,1344.96,1180.0,164.96
INV-60042,1,MOUN-1029,200,114.12,22824.0,86.28,5568.0
INV-60043 ,1,CONV-1046,1,9794.27,9794.27,7311.89,2482.38
INV-60043,2,CONV-1051,2,5831.5,11663.0,4147.58,3367.84
INV-60043,3,SHEA-1088,5,269.48,1347.4,189.79,398.45
INV-60043,5,AC-1085,3,507.31,1521.93,365.76,424.65
INV-60044,1,SHEA-1038,5,482.49,2412.45,295.28000000000003,936.05
INV-60044,2,CONV-1022,5,2783.03,13915.15,2154.05,3144.9
INV-60044,3,SHEA-1007,1,201.21,201.21,129.94,71.27
INV-60044,4,SHEA-1082,2,301.38,602.76,186.61,229.54
INV-60045,1,GEAR-1084,5,4846.0,24230.0,3456.0,6950.0
INV-60045,2,SPRO-1009,12,35.01,420.12,24.54,125.64
INV-60046,1,CONV-1051,1,4972.12,4972.12,4147.58,824.54
INV-60046,2,SHEA-1019,6,157.35,944.1,94.5,377.1
INV-60046,3,TIMI-1032,25,48.69,1217.25,32.99,392.5
INV-60047,1,CONV-1039,2,7795.61,15591.22,7046.72,1497.78
INV-60047,2,CONV-1043,1,2622.13,2622.13,1971.53,650.6
INV-60048,1,CONV-1052,2,3843.03,7686.06,2311.6,3062.86
INV-60048,2,CONV-1052,1,3843.03,3843.03,2311.6,1531.43
INV-60048,3,TIMI-1030,12,105.56,1266.72,66.14,473.04
INV-60048,4,SPRO-1015,200,99.19,19838.0,74.58,4922.0
INV-60048,5,SPRO-1002,1,90.07,90.07,65.84,24.23
INV-60049,1,MOUN-1081,50,83.29,4164.5,61.24,1102.5
INV-60049,2,SPRO-1069,1,202.59,202.59,115.11,87.48
INV-60049,3,MOUN-1083,50,138.68,6934.0,87.77,2545.5
INV-60050,1,CONV-1013,1,3417.5,3417.5,2336.18,1081.32
INV-60050,2,AC-1086,3,3341.93,10025.79,2390.86,2853.21
INV-60050,3,GEAR-1060,5,4439.57,22197.85,3102.4300000000003,6685.7
INV-60050,4,CONV-1022,1,2636.56,2636.56,2154.05,482.51
INV-60051,1,CONV-1089,2,7019.91,14039.82,5864.59,2310.64
INV-60051,3,CONV-1023,1,5850.75,5850.75,3652.15,2198.6
INV-60052,1,TIM-LM11949-LM11910,10,9.46,94.6,7.6,18.6
INV-60052,2,CONV-1059,1,5263.42,5263.42,3693.63,1569.79
INV-60052,3,TIMI-1020,6,73.15,438.9,52.03,126.72
INV-60052,4,ROLL-1012,100,59.14,5914.0,47.52,1162.0
INV-60053,1,SHEA-1038,1,457.09,457.09,295.28000000000003,161.81
INV-60053,3,TIMI-1071,12,96.4,1156.8,74.85000000000001,258.6
INV-60054,1,SPRO-1002,25,90.07,2251.75,65.84,605.75
INV-60054,2,ROLL-1044,3,241.9,725.7,140.68,303.66
INV-60054,3,TIMI-1030,10,105.56,1055.6,66.14,394.2
INV-60054,4,GAT-B62,25,18.58,464.5,12.7,147.0
INV-60054,5,MOUN-1062,3,210.21,630.63,135.75,223.38
INV-60055,2,MOUN-1062,2,210.21,420.42,135.75,148.92
INV-60056,1,SHEA-1077,2,114.3,228.6,67.98,92.64
INV-60057,1,GEAR-1084,3,5318.78,15956.34,3456.0,5588.34
INV-60057,2,MOUN-1008,10,103.25,1032.5,71.79,314.6
INV-60057,3,SHEA-1028,1,473.86,473.86,284.6,189.26
INV-60057 ,4,MOUN-1081,2,74.96,149.92,61.24,27.44
INV-60058,1,CONV-1023,2,5330.68,10661.36,3652.15,3357.06
INV-60059,1,SPRO-1061,4,115.25,461.0,87.28,111.88
INV-60059,2,SPRO-1087,1,61.79,61.79,44.550000000000004,17.24
INV-60060,1,AC-1054,3,2419.21,7257.63,1828.58,1771.89
INV-60060,2,SPRO-1041,6,57.91,347.46,35.35,135.36
INV-60060,3,AC-1086,1,3593.47,3593.47,2390.86,1202.61
INV-60061,1,TIMI-1032,2,54.1,108.2,32.99,42.22
INV-60061,2,SHEA-1007,1,211.8,211.8,129.94,81.86
INV-60062,1,ROLL-1026,3,225.86,677.58,129.92000000000002,287.82
INV-60062,2,SPRO-1047,50,22.37,1118.5,13.77,430.0
INV-60063,1,SPRO-1087,10,53.33,533.3,44.550000000000004,87.8
INV-60063,2,MOUN-1083,2,113.72,227.44,87.77,51.9
INV-60063,3,TIMI-1014,10,68.98,689.8,49.480000000000004,195.0
INV-60063,4,GEAR-1060,1,4044.95,4044.95,3102.4300000000003,942.52
INV-60063,5,SPRO-1070,6,32.95,197.7,22.96,59.94
INV-60064,1,AC-1086,5,3793.1,18965.5,2390.86,7011.2
INV-60064,2,SHEA-1028,1,500.18,500.18,284.6,215.58
INV-60064,3,CONV-1046,5,9794.27,48971.35,7311.89,12411.9
INV-60064,4,MOUN-1031,100,55.63,5563.0,38.78,1685.0
INV-60064,5,GEAR-1016,2,2725.51,5451.02,2265.26,920.5
INV-60065,1,SPRO-1050,1,17.99,17.99,12.85,5.14
INV-60065,2,ROLL-1044,5,241.9,1209.5,140.68,506.1
INV-60065,3,AC-1074,1,2567.55,2567.55,1663.14,904.41
INV-60065,4,GEAR-1073,2,2927.51,5855.02,1938.75,1977.52
INV-60065,5,ROLL-1021,4,131.32,525.28,81.74,198.32
INV-60066,1,SHEA-1045,50,64.37,3218.5,47.68,834.5
INV-60066,2,TIMI-1056,10,25.09,250.9,17.21,78.8
INV-60066,3,TIM-LM11949-LM11910,4,8.96,35.84,7.6,5.44
INV-60066,4,CONV-1043,2,2484.13,4968.26,1971.53,1025.2
INV-60066,5,AC-1074,1,2385.34,2385.34,1663.14,722.2
INV-60067,1,SHEA-1082,1,285.52,285.52,186.61,98.91
INV-60068,1,GEAR-1016,3,3375.24,10125.72,2265.26,3329.94
INV-60068,2,SHEA-1019,12,174.83,2097.96,94.5,963.96
INV-60069,1,SHEA-1088,5,289.7,1448.5,189.79,499.55
INV-60069,2,SHEA-1007,3,211.8,635.4,129.94,245.58
INV-60070,1,AC-1057,3,1057.42,3172.26,687.08,1111.02
INV-60070,2,ROLL-1012,10,56.02,560.2,47.52,85.0
INV-60070,3,TIMI-1032,6,48.69,292.14,32.99,94.2
INV-60070,4,SPRO-1087,25,58.54,1463.5,44.550000000000004,349.75
INV-60070,5,SPRO-1069,2,182.33,364.66,115.11,134.44
INV-60071,1,MOUN-1083,12,131.75,1581.0,87.77,527.76
INV-60071,2,SHEA-1035,1,197.53,197.53,148.52,49.01
INV-60072,2,CONV-1039,3,7916.29,23748.87,7046.72,2608.71
INV-60072,3,SHEA-1003,3,264.81,794.43,235.72,87.27
INV-60073,1,ROLL-1012,25,51.05,1276.25,47.52,88.25
INV-60073,2,GEAR-1066,3,1447.57,4342.71,1270.02,532.65
INV-60073,3,TIMI-1058,10,110.11,1101.1,84.45,256.6
INV-60073,4,CONV-1051,5,5033.5,25167.5,4147.58,4429.6
INV-60074,1,SPRO-1055,200,39.06,7812.0,26.94,2424.0
INV-60074,3,CONV-1023,3,5980.76,17942.28,3652.15,6985.83
INV-60074,4,CONV-1046,2,10309.76,20619.52,7311.89,5995.74
INV-60075,1,ROLL-1012,2,59.14,118.28,47.52,23.24
INV-60076,1,MOUN-1083,2,131.75,263.5,87.77,87.96
INV-60076,2,CONV-1046,3,9304.56,27913.68,7311.89,5978.01
INV-60077,1,SPRO-1076,25,17.16,429.0,13.24,98.0
INV-60077,2,SPRO-1041,1,57.91,57.91,35.35,22.56
INV-60077,3,MOUN-1062,1,199.14,199.14,135.75,63.39
INV-60077,4,SPRO-1076,50,17.16,858.0,13.24,196.0
INV-60077,5,SPRO-1015,100,93.97,9397.0,74.58,1939.0
INV-60078,1,SPRO-1070,10,32.95,329.5,22.96,99.9
INV-60078,2,SKF-6308-2Z,50,10.93,546.5,10.25,34.0
INV-60079,1,ROLL-1053,100,102.63,10263.0,86.10000000000001,1653.0
INV-60079,2,GEAR-1066,3,1271.04,3813.12,1270.02,3.06
INV-60080,1,ROLL-1053,4,111.42,445.68,86.10000000000001,101.28
INV-60080,2,SPRO-1009,1,38.43,38.43,24.54,13.89
INV-60080,4,SHEA-1045,200,64.37,12874.0,47.68,3338.0
INV-60081,1,CONV-1042,3,7636.18,22908.54,5159.58,7429.8
INV-60081,2,TIMI-1000,2,62.25,124.5,43.53,37.44
INV-60081,3,SPRO-1069,1,202.59,202.59,115.11,87.48
INV-60081,4,AC-1063,1,2247.5,2247.5,1677.24,570.26
INV-60081,5,GAT-B62,10,19.56,195.6,12.7,68.6
INV-60082,1,CONV-1089,5,7409.9,37049.5,5864.59,7726.55
INV-60082,2,SHEA-1068,1,290.24,290.24,180.78,109.46
INV-60082,3,SPRO-1015,200,99.19,19838.0,74.58,4922.0
INV-60082,4,TIMI-1014,6,79.91,479.46,49.480000000000004,182.58
INV-60082,5,CONV-1046,3,9794.27,29382.81,7311.89,7447.14
INV-60083,1,SPRO-1087,12,53.33,639.96,44.550000000000004,105.36
INV-60083,2,SPRO-1041,50,52.76,2638.0,35.35,870.5
INV-60083,3,CONV-1042,2,6261.67,12523.34,5159.58,2204.18
INV-60084,1,MOUN-1034,4,42.77,171.08,23.82,75.8
INV-60084,2,MOUN-1062,1,203.9,203.9,135.75,68.15
INV-60085,1,MOUN-1029,4,129.68,518.72,86.28,173.6
INV-60085,2,AC-1086,5,3593.47,17967.35,2390.86,6013.05
INV-60085,3,GEAR-1067,1,632.08,632.08,498.09000000000003,133.99
INV-60085,4,AC-1054,3,2419.21,7257.63,1828.58,1771.89
INV-60086,1,CONV-1051,3,5770.11,17310.33,4147.58,4867.59
INV-60087,1,SPRO-1087,2,61.79,123.58,44.550000000000004,34.48
INV-60087,2,AC-1006,3,3521.74,10565.22,2130.52,4173.66
INV-60087,3,CONV-1042,2,7036.74,14073.48,5159.58,3754.32
INV-60087,4,TIMI-1000,10,59.14,591.4,43.53,156.1
INV-60088,1,CONV-1046,3,9278.78,27836.34,7311.89,5900.67
INV-60088,2,TIMI-1056,12,25.09,301.08,17.21,94.56
INV-60088,3,CONV-1013,1,3973.84,3973.84,2336.18,1637.66
INV-60089,1,AC-1085,5,480.61,2403.05,365.76,574.25
INV-60089,4,MOUN-1083,6,124.81,748.86,87.77,222.24
INV-60090,1,ROLL-1079,2,160.9,321.8,102.65,116.5
INV-60091,1,SKF-6205-2RS1,100,4.6,460.0,3.55,105.0
INV-60092,1,CONV-1089,1,6395.92,6395.92,5864.59,531.33
INV-60092,2,GEAR-1010,5,3972.42,19862.1,2784.15,5941.35
INV-60093,1,SPRO-1002,1,90.07,90.07,65.84,24.23
INV-60093,2,SPRO-1004 ,50,53.72,2686.0,42.84,544.0
INV-60093,3,MOUN-1029,200,136.89,27378.0,86.28,10122.0
INV-60094,1,SPRO-1002,100,85.33,8533.0,65.84,1949.0
INV-60094,2,AC-1057 ,3,951.68,2855.04,687.08,793.8
INV-60094,3,SKF-6308-2Z,1,12.0,12.0,10.25,1.75
INV-60094,4,SPRO-1076,100,17.16,1716.0,13.24,392.0
INV-60095 ,1,SHEA-1077,25,108.29,2707.25,67.98,1007.75
INV-60095,2,TIMI-1032,50,48.69,2434.5,32.99,785.0
INV-60096 ,1,ROLL-1012,10,59.14,591.4,47.52,116.2
INV-60096,2,ROLL-1012,200,59.14,11828.0,47.52,2324.0
INV-60096,3,SHEA-1035,1,197.53,197.53,148.52,49.01
INV-60096,4,SHEA-1077,100,114.3,11430.0,67.98,4632.0
INV-60096,5,GEAR-1073,1,2781.13,2781.13,1938.75,842.38
INV-60097,1,SPRO-1069,1,192.46,192.46,115.11,77.35
INV-60098,2,CONV-1059,3,5263.42,15790.26,3693.63,4709.37
INV-60098,3,SHEA-1038,3,482.49,1447.47,295.28000000000003,561.63
INV-60098,4,GAT-B62,4,18.58,74.32,12.7,23.52
INV-60099,1,SPRO-1078,12,112.8,1353.6,69.25,522.6
INV-60099,2,CONV-1042,5,7636.18,38180.9,5159.58,12383.0
INV-60099,3,CONV-1013,1,4415.38,4415.38,2336.18,2079.2
INV-60100,1,SHEA-1025,5,251.55,1257.75,153.95000000000002,488.0
INV-60101,1,MOUN-1062,3,210.21,630.63,135.75,223.38
INV-60102,1,SPRO-1055,12,32.03,384.36,26.94,61.08
INV-60102,2,MOUN-1029,50,107.52,5376.0,86.28,1062.0
INV-60103,1,SKF-6308-2Z,25,13.33,333.25,10.25,77.0
INV-60103,2,CONV-1013,3,4415.38,13246.14,2336.18,6237.6
INV-60103,3,SPRO-1002 ,1,94.81,94.81,65.84,28.97
INV-60103,4,SPRO-1015,200,104.41,20882.0,74.58,5966.0
INV-60103,5,AC-1086,1,3992.74,3992.74,2390.86,1601.88
INV-60104,1,SPRO-1050,6,15.04,90.24,12.85,13.14
INV-60104,2,SHEA-1035,3,197.53,592.59,148.52,147.03
INV-60104,3,AC-1086,3,3793.1,11379.3,2390.86,4206.72
INV-60104,4,AC-1006,2,3521.74,7043.48,2130.52,2782.44
INV-60105,1,SHEA-1049,1,250.58,250.58,153.4,97.18
INV-60105,2,CONV-1022,3,2783.03,8349.09,2154.05,1886.94
INV-60105,3,SPRO-1055,200,37.11,7422.0,26.94,2034.0
INV-60105,4,MOUN-1008,25,102.03,2550.75,71.79,756.0
INV-60105,5,GEAR-1060,1,4686.22,4686.22,3102.4300000000003,1583.79
INV-60106 ,1,SPRO-1061,1,115.25,115.25,87.28,27.97
INV-60106,2,GEAR-1080,1,2425.4,2425.4,1484.33,941.07
INV-60107,1,TIM-LM11949-LM11910,2,9.46,18.92,7.6,3.72
INV-60108,1,CONV-1013,1,3973.84,3973.84,2336.18,1637.66
INV-60108,2,DOD-TXT315,5,1476.18,7380.9,1180.0,1480.9
INV-60109,1,SPRO-1002 ,1,85.33,85.33,65.84,19.49
INV-60109,2,SPRO-1009,10,38.43,384.3,24.54,138.9
INV-60109,3,SHEA-1068,1,274.97,274.97,180.78,94.19
INV-60109,4,AC-1040,3,800.8,2402.4,609.44,574.08
INV-60110,1,AC-1074,3,2622.77,7868.31,1663.14,2878.89
INV-60111,1,ROLL-1079,2,160.9,321.8,102.65,116.5
INV-60111,2,GEAR-1073 ,3,2781.13,8343.39,1938.75,2527.14
INV-60111,3,TIMI-1017,200,71.27,14254.0,50.69,4116.0
INV-60112,1,GEAR-1080,3,2297.75,6893.25,1484.33,2440.26
INV-60112,2,SPRO-1004,2,50.89,101.78,42.84,16.1
INV-60113,2,MOUN-1034,4,38.49,153.96,23.82,58.68
INV-60114,1,AC-1074,5,2263.86,11319.3,1663.14,3003.6
INV-60115,1,AC-1057,2,1116.16,2232.32,687.08,858.16
INV-60115,2,SHEA-1003,1,306.79,306.79,235.72,71.07
INV-60116,1,SPRO-1041,2,61.12,122.24,35.35,51.54
INV-60116,2,SPRO-1070,25,38.17,954.25,22.96,380.25
INV-60116,4,AC-1074,1,2622.77,2622.77,1663.14,959.63
INV-60116,5,GEAR-1084,2,5614.27,11228.54,3456.0,4316.54
INV-60117,1,SPRO-1041,50,57.91,2895.5,35.35,1128.0
INV-60117,2,SHEA-1045,200,64.37,12874.0,47.68,3338.0
INV-60117,3,GEAR-1080,3,2297.75,6893.25,1484.33,2440.26
INV-60117,4,SHEA-1035,5,187.14,935.7,148.52,193.1
INV-60118,1,TIMI-1014,50,84.12,4206.0,49.480000000000004,1732.0
INV-60118,2,AC-1054,1,2688.01,2688.01,1828.58,859.43
INV-60119,1,SPRO-1061,4,109.19,436.76,87.28,87.64
INV-60119,2,GEAR-1066 ,1,1588.8,1588.8,1270.02,318.78
INV-60119,3,TIMI-1020,200,69.3,13860.0,52.03,3454.0
INV-60120,1,SPRO-1015,12,85.62,1027.44,74.58,132.48
INV-60121,1,CONV-1051,5,5033.5,25167.5,4147.58,4429.6
INV-60121,2,ROLL-1079,1,120.25,120.25,102.65,17.6
INV-60121,4,TIMI-1071,12,97.59,1171.08,74.85000000000001,272.88
INV-60122,2,TIMI-1014,200,79.91,15982.0,49.480000000000004,6086.0
INV-60122,5,ROLL-1012,1,59.14,59.14,47.52,11.62
INV-60123,1,AC-1085,2,422.94,845.88,365.76,114.36
INV-60123,2,MOUN-1029,12,129.68,1556.16,86.28,520.8
INV-60123,3,SPRO-1070,200,36.16,7232.0,22.96,2640.0
INV-60124,1,SPRO-1055,12,37.11,445.32,26.94,122.04
INV-60124,2,SPRO-1011,3,212.73,638.19,118.48,282.75
INV-60125,1,SPRO-1002,25,80.16,2004.0,65.84,358.0
INV-60126,1,SPRO-1041,200,61.12,12224.0,35.35,5154.0
INV-60126,2,GEAR-1010,1,4602.2,4602.2,2784.15,1818.05
INV-60127,1,TIM-LM11949-LM11910,4,9.96,39.84,7.6,9.44
INV-60127,2,DOD-TXT315,2,1640.2,3280.4,1180.0,920.4
INV-60128,1,TIMI-1017,2,71.27,142.54,50.69,41.16
INV-60128,2,MOUN-1008,4,115.94,463.76,71.79,176.6
INV-60128 ,3,MOUN-1029,50,136.89,6844.5,86.28,2530.5
INV-60129,1,SHEA-1028,1,500.18,500.18,284.6,215.58
INV-60129,2,AC-1074,2,2491.63,4983.26,1663.14,1656.98
INV-60129,3,MOUN-1029,12,136.89,1642.68,86.28,607.32
INV-60129,4,SHEA-1035,3,197.53,592.59,148.52,147.03
INV-60130,1,ROLL-1012,4,59.14,236.56,47.52,46.48
INV-60130,2,MOUN-1031,2,55.63,111.26,38.78,33.7
INV-60130,3,GEAR-1060,1,4686.22,4686.22,3102.4300000000003,1583.79
INV-60131,1,BRI-HHCS-0500-13-200-G8,6,51.11,306.66,44.75,38.16
INV-60131,2,CONV-1065,3,4311.78,12935.34,2903.56,4224.66
INV-60131,3,SHEA-1088,1,271.59,271.59,189.79,81.8
INV-60132,1,SKF-6205-2RS1,4,4.55,18.2,3.55,4.0
INV-60132,2,SPRO-1050,10,17.99,179.9,12.85,51.4
INV-60132,3,MOUN-1083,200,138.68,27736.0,87.77,10182.0
INV-60132,4,SPRO-1002,10,94.81,948.1,65.84,289.7
INV-60132,5,GEAR-1080,5,2553.05,12765.25,1484.33,5343.6
INV-60133,1,AC-1057,1,1174.91,1174.91,687.08,487.83
INV-60133,2,SHEA-1003,3,322.94,968.82,235.72,261.66
INV-60133,3,AC-1033,3,1443.12,4329.36,1093.27,1049.55
INV-60133,4,CONV-1043,2,2760.14,5520.28,1971.53,1577.22
INV-60133,5,SHEA-1068,2,305.52,611.04,180.78,249.48
INV-60134 ,1,AC-1033,5,1183.36,5916.8,1093.27,450.45
INV-60134,2,CONV-1022,1,2402.2,2402.2,2154.05,248.15
INV-60134,3,SPRO-1050,6,14.75,88.5,12.85,11.4
INV-60134,4,AC-1048,1,2075.36,2075.36,1745.47,329.89
INV-60134,5,SHEA-1088,5,247.45,1237.25,189.79,288.3
INV-60135,1,GAT-B62,2,18.58,37.16,12.7,11.76
INV-60135,2,SPRO-1041,25,53.79,1344.75,35.35,461.0
INV-60136,1,GEAR-1060,1,4932.86,4932.86,3102.4300000000003,1830.43
INV-60136,2,SHEA-1049,1,277.65,277.65,153.4,124.25
INV-60136,3,SHEA-1049,3,260.99,782.97,153.4,322.77
INV-60136,4,MOUN-1018,3,193.16,579.48,109.13,252.09
INV-60137,1,CONV-1052,1,3640.77,3640.77,2311.6,1329.17
INV-60137,2,MOUN-1081,10,74.96,749.6,61.24,137.2
INV-60137,3,ROLL-1053,4,122.44,489.76,86.10000000000001,145.36
INV-60137,4,MOUN-1083,200,124.81,24962.0,87.77,7408.0
INV-60137,5,TIMI-1075,200,96.26,19252.0,72.76,4700.0
INV-60138,1,SHEA-1038,1,457.09,457.09,295.28000000000003,161.81
INV-60138,2,TIMI-1032,10,48.69,486.9,32.99,157.0
INV-60138,3,SHEA-1088,1,271.59,271.59,189.79,81.8
