vehicle_id,policy_id,client_id,unit_number,year,make,model,vin,vehicle_type,gvw,garaging_city,garaging_state,stated_value,radius,comp_ded,coll_ded
MER-P00034-V05,MER-P00034,MER-C0010,5,2015,International,LT625,FFC0EDYKA9FUGGFFC,Heavy Truck,80000,Albany,NY,22000,Local (<50mi),1000,2500
MER-P00034-V06,MER-P00034,MER-C0010,6,2014,Isuzu,NPR-HD,J19RGK2BTKTLETMGL,Light Truck/Van,8500,Albany,NY,25000,Local (<50mi),500,1000
MER-P00034-V07,MER-P00034,MER-C0010,7,2018,Chevrolet,Silverado 2500,1WDYH4AAVWR7RV8CZ,Light Truck/Van,8500,Albany,NY,116000,Long Haul (>200mi),500,2500
MER-P00034-V08,MER-P00034,MER-C0010,8,2016,Freightliner,Cascadia,M4JHVDS1LXZB18EW9,Heavy Truck,80000,Albany,NY,35000,Long Haul (>200mi),1000,2500
MER-P00034-V09,MER-P00034,MER-C0010,9,2012,Isuzu,NPR-HD,DVF5XKMYFTZ58CFUM,Light Truck/Van,10000,Albany,NY,20000,Long Haul (>200mi),2500,5000
MER-P00034-V10,MER-P00034,MER-C0010,10,2020,Isuzu,NPR-HD,T87LM4K7DPPGEE8CB,Light Truck/Van,14000,Albany,NY,154000,Intermediate (50-200mi),2500,5000
MER-P00050-V01,MER-P00050,MER-C0014,1,2023,Freightliner,Cascadia,FP0W26DNJ17V1ZN37,Heavy Truck,80000,Providence,RI,33000,Long Haul (>200mi),1000,5000
MER-P00050-V02,MER-P00050,MER-C0014,2,2025,Freightliner,Cascadia,7H4VUXLP0CRB3SD65,Heavy Truck,80000,Providence,RI,51000,Local (<50mi),500,2500
MER-P00050-V03,MER-P00050,MER-C0014,3,2017,Peterbilt,579,ZGV5JELA7DC3SA0DS,Heavy Truck,80000,Providence,RI,62000,Local (<50mi),500,5000
MER-P00050-V04,MER-P00050,MER-C0014,4,2017,International,LT625,W439X045GG0FT1YJ3,Heavy Truck,80000,Providence,RI,95000,Intermediate (50-200mi),1000,2500
MER-P00050-V05,MER-P00050,MER-C0014,5,2022,Isuzu,NPR-HD,38H53KR1Z7EJVE2B8,Light Truck/Van,8500,Providence,RI,144000,Long Haul (>200mi),500,1000
MER-P00050-V06,MER-P00050,MER-C0014,6,2025,RAM,ProMaster 2500,FAHFFJ4YRYFN3JJW8,Light Truck/Van,10000,Providence,RI,118000,Intermediate (50-200mi),2500,2500
MER-P00050-V07,MER-P00050,MER-C0014,7,2021,International,LT625,HB90531BFK9LPWG6J,Heavy Truck,80000,Providence,RI,38000,Intermediate (50-200mi),500,2500
MER-P00050-V08,MER-P00050,MER-C0014,8,2019,RAM,ProMaster 2500,DMZSTTT4E78HE3V8T,Light Truck/Van,14000,Providence,RI,133000,Intermediate (50-200mi),500,5000
MER-P00050-V09,MER-P00050,MER-C0014,9,2020,Ford,F-250,VZRWD9SVGGUNT6LHC,Light Truck/Van,8500,Providence,RI,34000,Long Haul (>200mi),1000,2500
MER-P00050-V10,MER-P00050,MER-C0014,10,2016,Peterbilt,579,CDSB8U2YN0G6GJ584,Heavy Truck,80000,Providence,RI,30000,Intermediate (50-200mi),1000,1000
MER-P00050-V11,MER-P00050,MER-C0014,11,2024,Ford,F-250,YJ6TGBVT0060LSZTZ,Light Truck/Van,14000,Providence,RI,138000,Local (<50mi),500,1000
MER-P00054-V01,MER-P00054,MER-C0015,1,2020,Chevrolet,Silverado 2500,D5GKTU9R5DY31ZT9L,Light Truck/Van,14000,Albany,NY,100000,Intermediate (50-200mi),1000,2500
MER-P00054-V02,MER-P00054,MER-C0015,2,2018,Chevrolet,Silverado 2500,LNAL3MERX97DVC9N8,Light Truck/Van,8500,Albany,NY,69000,Local (<50mi),500,1000
MER-P00054-V03,MER-P00054,MER-C0015,3,2015,RAM,ProMaster 2500,KJ18RKVBS5ZSYM9R1,Light Truck/Van,14000,Albany,NY,54000,Local (<50mi),1000,5000
MER-P00069-V01,MER-P00069,MER-C0020,1,2023,Freightliner,Cascadia,80WG8MHG64CYSLD0N,Heavy Truck,80000,Providence,RI,99000,Local (<50mi),2500,1000
MER-P00069-V02,MER-P00069,MER-C0020,2,2020,Freightliner,Cascadia,UJ2AA4RRMFBGVP8BU,Heavy Truck,80000,Providence,RI,57000,Long Haul (>200mi),500,2500
MER-P00069-V03,MER-P00069,MER-C0020,3,2021,Ford,F-250,8MVXYJNNP52NC6439,Light Truck/Van,14000,Providence,RI,76000,Local (<50mi),1000,2500
MER-P00069-V04,MER-P00069,MER-C0020,4,2019,Ford,F-250,ECBFCCPJ0536VWNBU,Light Truck/Van,8500,Providence,RI,82000,Local (<50mi),2500,1000
MER-P00069-V05,MER-P00069,MER-C0020,5,2023,RAM,ProMaster 2500,Y12151HJAHXHPSDU4,Light Truck/Van,14000,Providence,RI,72000,Local (<50mi),500,1000
MER-P00069-V06,MER-P00069,MER-C0020,6,2017,Freightliner,Cascadia,N17VR52E3UWUFZ6DG,Heavy Truck,80000,Providence,RI,101000,Local (<50mi),2500,1000
MER-P00069-V07,MER-P00069,MER-C0020,7,2025,International,LT625,PWNDY34HN23HSMXLA,Heavy Truck,80000,Providence,RI,96000,Intermediate (50-200mi),2500,1000
MER-P00069-V08,MER-P00069,MER-C0020,8,2025,Freightliner,Cascadia,MLSG0SRYEN272D813,Heavy Truck,80000,Providence,RI,133000,Intermediate (50-200mi),1000,2500
MER-P00069-V09,MER-P00069,MER-C0020,9,2025,RAM,ProMaster 2500,0N5URC99NC3NYGU9W,Light Truck/Van,8500,Providence,RI,76000,Long Haul (>200mi),500,1000
MER-P00069-V10,MER-P00069,MER-C0020,10,2013,Freightliner,Cascadia,9GN52CF1BFU676EJ3,Heavy Truck,80000,Providence,RI,97000,Local (<50mi),1000,2500
MER-P00069-V11,MER-P00069,MER-C0020,11,2020,Freightliner,Cascadia,ZG2JGLZVZEEMPRP58,Heavy Truck,80000,Providence,RI,86000,Long Haul (>200mi),1000,2500
MER-P00069-V12,MER-P00069,MER-C0020,12,2016,Ford,F-250,8FL44Y8PKL4T3V5JM,Light Truck/Van,14000,Providence,RI,119000,Intermediate (50-200mi),2500,2500
MER-P00088-V01,MER-P00088,MER-C0027,1,2018,Isuzu,NPR-HD,GRY26HE3U3UD165N4,Light Truck/Van,14000,Worcester,MA,88000,Intermediate (50-200mi),2500,1000
MER-P00088-V02,MER-P00088,MER-C0027,2,2015,Chevrolet,Silverado 2500,RTV3UWYXN7E26EAU5,Light Truck/Van,10000,Worcester,MA,46000,Intermediate (50-200mi),500,5000
MER-P00088-V03,MER-P00088,MER-C0027,3,2021,RAM,ProMaster 2500,GFXVUZN46F1DEH3H7,Light Truck/Van,8500,Worcester,MA,29000,Intermediate (50-200mi),500,5000
MER-P00088-V04,MER-P00088,MER-C0027,4,2024,Freightliner,Cascadia,GEX967VCAF0793JKK,Heavy Truck,80000,Worcester,MA,59000,Local (<50mi),500,1000
MER-P00088-V05,MER-P00088,MER-C0027,5,2025,Ford,F-250,DJ77XRLEV6F5DXK9B,Light Truck/Van,14000,Worcester,MA,138000,Long Haul (>200mi),500,5000
MER-P00088-V06,MER-P00088,MER-C0027,6,2020,Freightliner,Cascadia,65MG1BHHR5N0GWD74,Heavy Truck,80000,Worcester,MA,90000,Intermediate (50-200mi),2500,1000
MER-P00088-V07,MER-P00088,MER-C0027,7,2013,Freightliner,Cascadia,0R8S6P1YMJXTL3WKS,Heavy Truck,80000,Worcester,MA,141000,Local (<50mi),2500,5000
MER-P00088-V08,MER-P00088,MER-C0027,8,2024,Freightliner,Cascadia,T62EE8BPKD2R9U8XU,Heavy Truck,80000,Worcester,MA,23000,Local (<50mi),1000,1000
MER-P00091-V01,MER-P00091,MER-C0028,1,2024,Chevrolet,Silverado 2500,D1LHN1KE1YAGG1U3J,Light Truck/Van,10000,Albany,NY,65000,Local (<50mi),500,5000
MER-P00091-V02,MER-P00091,MER-C0028,2,2015,International,LT625,MTYZC38F0WB95L0SX,Heavy Truck,80000,Albany,NY,118000,Local (<50mi),2500,2500
MER-P00091-V03,MER-P00091,MER-C0028,3,2016,Freightliner,Cascadia,LPDDY4J25AVMV11AJ,Heavy Truck,80000,Albany,NY,32000,Intermediate (50-200mi),500,1000
MER-P00091-V04,MER-P00091,MER-C0028,4,2024,Peterbilt,579,T801CBV3H4FJTTJU7,Heavy Truck,80000,Albany,NY,60000,Intermediate (50-200mi),500,5000
MER-P00091-V05,MER-P00091,MER-C0028,5,2015,Freightliner,Cascadia,UC805P748E00EEY7H,Heavy Truck,80000,Albany,NY,123000,Long Haul (>200mi),2500,5000
MER-P00091-V06,MER-P00091,MER-C0028,6,2020,Chevrolet,Silverado 2500,Y8XBAC4VK3ZA8T0CH,Light Truck/Van,8500,Albany,NY,50000,Long Haul (>200mi),1000,2500
MER-P00091-V07,MER-P00091,MER-C0028,7,2020,Chevrolet,Silverado 2500,GZ256T972Z54L12XB,Light Truck/Van,8500,Albany,NY,59000,Local (<50mi),500,2500
MER-P00091-V08,MER-P00091,MER-C0028,8,2023,Chevrolet,Silverado 2500,A7SFKMJ8ABKBUZ8JZ,Light Truck/Van,8500,Albany,NY,132000,Intermediate (50-200mi),1000,5000
MER-P00091-V09,MER-P00091,MER-C0028,9,2023,Isuzu,NPR-HD,G2BU0JUVXFSFC0EGV,Light Truck/Van,14000,Albany,NY,144000,Long Haul (>200mi),2500,1000
MER-P00091-V10,MER-P00091,MER-C0028,10,2023,Freightliner,Cascadia,XNR7LUDTJKV93GUER,Heavy Truck,80000,Albany,NY,117000,Intermediate (50-200mi),500,1000
MER-P00091-V11,MER-P00091,MER-C0028,11,2015,Freightliner,Cascadia,3SU18PY7HC391U82S,Heavy Truck,80000,Albany,NY,24000,Long Haul (>200mi),1000,5000
MER-P00091-V12,MER-P00091,MER-C0028,12,2022,Chevrolet,Silverado 2500,RC6FE9YB07GZ58W44,Light Truck/Van,8500,Albany,NY,79000,Intermediate (50-200mi),2500,5000
MER-P00091-V13,MER-P00091,MER-C0028,13,2019,Isuzu,NPR-HD,9DR83W9L04ZSW935P,Light Truck/Van,14000,Albany,NY,84000,Local (<50mi),1000,2500
MER-P00091-V14,MER-P00091,MER-C0028,14,2021,Ford,F-250,CNT6ENDRZLUELEKP2,Light Truck/Van,10000,Albany,NY,113000,Long Haul (>200mi),2500,1000
MER-P00095-V01,MER-P00095,MER-C0029,1,2016,RAM,ProMaster 2500,F6CTN9E2VTPMB7R4R,Light Truck/Van,10000,Albany,NY,18000,Intermediate (50-200mi),500,5000
MER-P00095-V02,MER-P00095,MER-C0029,2,2024,RAM,ProMaster 2500,TEXSGEK7C30NVBJ2W,Light Truck/Van,14000,Albany,NY,122000,Local (<50mi),1000,2500
MER-P00095-V03,MER-P00095,MER-C0029,3,2013,RAM,ProMaster 2500,Z85ZCD6LBBSDNDL10,Light Truck/Van,8500,Albany,NY,91000,Long Haul (>200mi),500,5000
MER-P00095-V04,MER-P00095,MER-C0029,4,2015,Ford,F-250,U5X1NMB5SN2FYZA3X,Light Truck/Van,14000,Albany,NY,110000,Local (<50mi),1000,2500
MER-P00095-V05,MER-P00095,MER-C0029,5,2020,Chevrolet,Silverado 2500,HTEW2CWK8C3KYR4PD,Light Truck/Van,8500,Albany,NY,123000,Local (<50mi),500,5000
MER-P00095-V06,MER-P00095,MER-C0029,6,2025,RAM,ProMaster 2500,S384YFM35ZFUGM53Z,Light Truck/Van,10000,Albany,NY,89000,Local (<50mi),2500,1000
MER-P00095-V07,MER-P00095,MER-C0029,7,2012,Isuzu,NPR-HD,R9JYB9S32JUBKKN6A,Light Truck/Van,8500,Albany,NY,104000,Intermediate (50-200mi),500,2500
MER-P00095-V08,MER-P00095,MER-C0029,8,2019,Freightliner,Cascadia,UFXZEY0G4PDDFLRWS,Heavy Truck,80000,Albany,NY,156000,Long Haul (>200mi),500,2500
MER-P00095-V09,MER-P00095,MER-C0029,9,2015,RAM,ProMaster 2500,712Y165A10PTEE2P6,Light Truck/Van,10000,Albany,NY,59000,Local (<50mi),1000,1000
MER-P00095-V10,MER-P00095,MER-C0029,10,2018,Peterbilt,579,7YHHG6G9E6R8BL7JU,Heavy Truck,80000,Albany,NY,141000,Local (<50mi),1000,5000
MER-P00095-V11,MER-P00095,MER-C0029,11,2024,Ford,F-250,HV3AEBF99CZ8G7ZS8,Light Truck/Van,10000,Albany,NY,33000,Intermediate (50-200mi),500,1000
MER-P00095-V12,MER-P00095,MER-C0029,12,2015,Isuzu,NPR-HD,7GT6MBEX7FUW2KE6K,Light Truck/Van,14000,Albany,NY,160000,Long Haul (>200mi),2500,2500
MER-P00119-V01,MER-P00119,MER-C0037,1,2023,RAM,ProMaster 2500,USEULBV3WBCB5YXY6,Light Truck/Van,14000,Albany,NY,39000,Local (<50mi),1000,5000
MER-P00119-V02,MER-P00119,MER-C0037,2,2019,International,LT625,F4VDCBA6YUH7UDKTU,Heavy Truck,80000,Albany,NY,64000,Long Haul (>200mi),1000,2500
MER-P00119-V03,MER-P00119,MER-C0037,3,2018,Freightliner,Cascadia,RGCEM6DEU53ULR53B,Heavy Truck,80000,Albany,NY,98000,Local (<50mi),2500,1000
MER-P00119-V04,MER-P00119,MER-C0037,4,2012,Ford,Transit 250,X7EVXMP6SGVL0VUTT,Light Truck/Van,8500,Albany,NY,156000,Local (<50mi),1000,5000
MER-P00119-V05,MER-P00119,MER-C0037,5,2022,Freightliner,Cascadia,4S73L27HDPV4WYFVV,Heavy Truck,80000,Albany,NY,163000,Intermediate (50-200mi),1000,1000
MER-P00119-V06,MER-P00119,MER-C0037,6,2025,Freightliner,Cascadia,BKH05W3XUUGCR7RCD,Heavy Truck,80000,Albany,NY,34000,Local (<50mi),500,1000
MER-P00119-V07,MER-P00119,MER-C0037,7,2019,Volvo,VNL 760,LTPVRV02VZJB2MPEL,Heavy Truck,80000,Albany,NY,154000,Long Haul (>200mi),1000,5000
MER-P00119-V08,MER-P00119,MER-C0037,8,2023,Utility,3000R Reefer Trailer,4TD143Y0YSNGLD2NG,Trailer,8500,Albany,NY,96000,Intermediate (50-200mi),500,2500
MER-P00119-V09,MER-P00119,MER-C0037,9,2019,Volvo,VNL 760,Z04EK6SUAUSEG1P1Y,Heavy Truck,80000,Albany,NY,35000,Intermediate (50-200mi),1000,5000
MER-P00119-V10,MER-P00119,MER-C0037,10,2020,Kenworth,T680,G48G1G9RYZV07U0JF,Heavy Truck,80000,Albany,NY,163000,Intermediate (50-200mi),1000,5000
MER-P00119-V11,MER-P00119,MER-C0037,11,2016,Utility,3000R Reefer Trailer,BXK8W6N83CMVV7B5U,Trailer,10000,Albany,NY,38000,Local (<50mi),500,2500
MER-P00119-V12,MER-P00119,MER-C0037,12,2021,Kenworth,T680,CK9G5DMSLVS52HW8Y,Heavy Truck,80000,Albany,NY,151000,Long Haul (>200mi),2500,2500
MER-P00119-V13,MER-P00119,MER-C0037,13,2013,Great Dane,53' Dry Van Trailer,LLZG89MAD8ZNX2RGP,Trailer,10000,Albany,NY,83000,Intermediate (50-200mi),2500,1000
MER-P00119-V14,MER-P00119,MER-C0037,14,2015,Freightliner,Cascadia,EGPGT5Z3EJ4847KYJ,Heavy Truck,80000,Albany,NY,50000,Intermediate (50-200mi),2500,1000
MER-P00119-V15,MER-P00119,MER-C0037,15,2013,Utility,3000R Reefer Trailer,HC8GD3MWWF1YBADCJ,Trailer,14000,Albany,NY,19000,Intermediate (50-200mi),1000,5000
MER-P00119-V16,MER-P00119,MER-C0037,16,2019,Freightliner,Cascadia,2HDDGUL4VAK54M91M,Heavy Truck,80000,Albany,NY,80000,Local (<50mi),500,2500
MER-P00119-V17,MER-P00119,MER-C0037,17,2012,Kenworth,T680,MKT7DJTFSF6W6LR5A,Heavy Truck,80000,Albany,NY,160000,Intermediate (50-200mi),500,2500
MER-P00119-V18,MER-P00119,MER-C0037,18,2024,Peterbilt,579,94ZA95C1W93K6G140,Heavy Truck,80000,Albany,NY,117000,Local (<50mi),500,5000
MER-P00119-V19,MER-P00119,MER-C0037,19,2021,Volvo,VNL 760,0HJSXGBJWUA5XF2Y7,Heavy Truck,80000,Albany,NY,83000,Long Haul (>200mi),2500,2500
MER-P00119-V20,MER-P00119,MER-C0037,20,2018,Kenworth,T680,S48KB7WKGFZ9FJEEJ,Heavy Truck,80000,Albany,NY,96000,Long Haul (>200mi),1000,1000
MER-P00119-V21,MER-P00119,MER-C0037,21,2021,Peterbilt,579,NLX52DBAYDLBEV7KS,Heavy Truck,80000,Albany,NY,96000,Intermediate (50-200mi),2500,1000
MER-P00119-V22,MER-P00119,MER-C0037,22,2015,Kenworth,T680,7D3Y0J1YLTVX0346T,Heavy Truck,80000,Albany,NY,63000,Long Haul (>200mi),1000,2500
MER-P00119-V23,MER-P00119,MER-C0037,23,2019,Ford,F-250,2VLXWMA2HPC4480TE,Light Truck/Van,8500,Albany,NY,37000,Local (<50mi),2500,5000
MER-P00119-V24,MER-P00119,MER-C0037,24,2015,Peterbilt,579,VJ9AAMEZ9VXXEU9BX,Heavy Truck,80000,Albany,NY,109000,Intermediate (50-200mi),1000,5000
MER-P00119-V25,MER-P00119,MER-C0037,25,2022,Utility,3000R Reefer Trailer,P5FUR5JTPZUBMB213,Trailer,14000,Albany,NY,138000,Local (<50mi),500,5000
MER-P00119-V26,MER-P00119,MER-C0037,26,2022,RAM,ProMaster 2500,T59JAZH9VH5V1E4XF,Light Truck/Van,8500,Albany,NY,50000,Intermediate (50-200mi),1000,5000
MER-P00119-V27,MER-P00119,MER-C0037,27,2015,RAM,ProMaster 2500,EF0SGB4B0LG2C3A1W,Light Truck/Van,8500,Albany,NY,98000,Local (<50mi),2500,2500
MER-P00119-V28,MER-P00119,MER-C0037,28,2014,Great Dane,53' Dry Van Trailer,1VS5T1AS0D80FF1F9,Trailer,14000,Albany,NY,113000,Intermediate (50-200mi),500,2500
MER-P00119-V29,MER-P00119,MER-C0037,29,2025,International,LT625,23Z505MZTXEMD3JAU,Heavy Truck,80000,Albany,NY,134000,Local (<50mi),1000,5000
MER-P00119-V30,MER-P00119,MER-C0037,30,2019,Great Dane,53' Dry Van Trailer,VZRY865FNGECWH630,Trailer,8500,Albany,NY,143000,Local (<50mi),1000,5000
MER-P00119-V31,MER-P00119,MER-C0037,31,2018,Utility,3000R Reefer Trailer,M0LXHRU6XP6EJCDTA,Trailer,14000,Albany,NY,126000,Long Haul (>200mi),500,5000
MER-P00119-V32,MER-P00119,MER-C0037,32,2022,Utility,3000R Reefer Trailer,ZRJ4HCMWKKKDCNU50,Trailer,10000,Albany,NY,57000,Long Haul (>200mi),2500,1000
MER-P00119-V33,MER-P00119,MER-C0037,33,2019,Utility,3000R Reefer Trailer,FELE1NPESRAJSLY1N,Trailer,8500,Albany,NY,42000,Long Haul (>200mi),500,2500
MER-P00119-V34,MER-P00119,MER-C0037,34,2018,Freightliner,Cascadia,TAX771GGYYDCTVC4L,Heavy Truck,80000,Albany,NY,71000,Long Haul (>200mi),1000,5000
MER-P00119-V35,MER-P00119,MER-C0037,35,2024,Great Dane,53' Dry Van Trailer,23N3KE1DV73DRTHEU,Trailer,8500,Albany,NY,81000,Long Haul (>200mi),2500,2500
MER-P00119-V36,MER-P00119,MER-C0037,36,2020,Utility,3000R Reefer Trailer,CGT63B5H5A1ANW5XH,Trailer,8500,Albany,NY,98000,Local (<50mi),500,1000
MER-P00119-V37,MER-P00119,MER-C0037,37,2019,Freightliner,Cascadia,9PVHZBX2WSLGCT49P,Heavy Truck,80000,Albany,NY,20000,Local (<50mi),500,1000
MER-P00119-V38,MER-P00119,MER-C0037,38,2022,Peterbilt,579,8JLN852PAN70UXLPG,Heavy Truck,80000,Albany,NY,84000,Intermediate (50-200mi),1000,2500
MER-P00119-V39,MER-P00119,MER-C0037,39,2016,Volvo,VNL 760,MDJEGWXV6XNVWCVUL,Heavy Truck,80000,Albany,NY,90000,Long Haul (>200mi),2500,5000
MER-P00119-V40,MER-P00119,MER-C0037,40,2022,Volvo,VNL 760,WHM4G6E9MRZRPZAE8,Heavy Truck,80000,Albany,NY,39000,Intermediate (50-200mi),2500,1000
MER-P00119-V41,MER-P00119,MER-C0037,41,2013,Freightliner,Cascadia,K0ATLJFXZPJWPHGST,Heavy Truck,80000,Albany,NY,159000,Long Haul (>200mi),1000,5000
MER-P00119-V42,MER-P00119,MER-C0037,42,2017,Volvo,VNL 760,AF351VSG2HB1L60DD,Heavy Truck,80000,Albany,NY,95000,Long Haul (>200mi),1000,2500
MER-P00119-V43,MER-P00119,MER-C0037,43,2013,Utility,3000R Reefer Trailer,R4SJCT6KVPJYC6LWT,Trailer,14000,Albany,NY,99000,Intermediate (50-200mi),1000,2500
MER-P00119-V44,MER-P00119,MER-C0037,44,2014,RAM,ProMaster 2500,NDRSKTTHYHHZBTKLD,Light Truck/Van,14000,Albany,NY,73000,Local (<50mi),2500,5000
