policy_id,coverage,limit,deductible,form,retro_date
MER-P00029,General Aggregate,2000000,0,,
MER-P00029,Products-Completed Ops Aggregate,2000000,0,,
MER-P00029,Personal & Advertising Injury,1000000,0,,
MER-P00029,Damage to Rented Premises,100000,0,,
MER-P00029,Medical Expense,5000,0,,
MER-P00030,Combined Single Limit,1000000,0,Symbol 1 (Any Auto),
MER-P00030,Comprehensive,ACV,1000,,
MER-P00030,Collision,ACV,1000,,
MER-P00031,Employers Liability Each Accident,1000000,0,,
MER-P00031,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00032,Each Occurrence,1000000,2500,Occurrence,
MER-P00032,General Aggregate,2000000,0,,
MER-P00032,Products-Completed Ops Aggregate,2000000,0,,
MER-P00032,Personal & Advertising Injury,1000000,0,,
MER-P00032,Damage to Rented Premises,100000,0,,
MER-P00032,Medical Expense,5000,0,,
MER-P00033,Employers Liability Each Accident,1000000,0,,
MER-P00033,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00034,Combined Single Limit,1000000,0,"Symbols 7,8,9",
MER-P00034,Comprehensive,ACV,500,,
MER-P00034,Collision,ACV,2500,,
MER-P00035,Umbrella Each Occurrence,10000000,10000,Follow Form,
MER-P00035,Umbrella Aggregate,10000000,0,,
MER-P00036,Cyber Liability Each Claim,1000000,5000,Claims-Made,2024-05-17
MER-P00036,Cyber Liability Aggregate,1000000,0,,
MER-P00037,Professional Liability / E&O Each Claim,1000000,10000,Claims-Made,2020-01-02
MER-P00037,Professional Liability / E&O Aggregate,1000000,0,,
MER-P00038,Each Occurrence,1000000,2500,Occurrence,
MER-P00038,General Aggregate,2000000,0,,
MER-P00038,Products-Completed Ops Aggregate,2000000,0,,
MER-P00038,Personal & Advertising Injury,1000000,0,,
MER-P00038,Damage to Rented Premises,100000,0,,
MER-P00038,Medical Expense,5000,0,,
MER-P00039,Directors & Officers Each Claim,1000000,25000,Claims-Made,2023-02-20
MER-P00039,Directors & Officers Aggregate,1000000,0,,
MER-P00040,Each Occurrence,1000000,1000,Occurrence,
MER-P00040,General Aggregate,2000000,0,,
MER-P00040,Products-Completed Ops Aggregate,2000000,0,,
MER-P00040,Personal & Advertising Injury,1000000,0,,
MER-P00040,Damage to Rented Premises,100000,0,,
MER-P00040,Medical Expense,5000,0,,
MER-P00041,Building - Loc 1,4100000,25000,Special (Replacement Cost),
MER-P00041,Business Personal Property - Loc 1,75000,5000,Special,
MER-P00041,Building - Loc 2,650000,10000,Special (Replacement Cost),
MER-P00041,Business Personal Property - Loc 2,400000,2500,Special,
MER-P00042,Employers Liability Each Accident,1000000,0,,
MER-P00042,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00043,Professional Liability / E&O Each Claim,5000000,50000,Claims-Made,2017-03-18
MER-P00043,Professional Liability / E&O Aggregate,5000000,0,,
MER-P00044,Each Occurrence,1000000,2500,Occurrence,
MER-P00044,General Aggregate,2000000,0,,
MER-P00044,Products-Completed Ops Aggregate,2000000,0,,
MER-P00044,Personal & Advertising Injury,1000000,0,,
MER-P00044,Damage to Rented Premises,100000,0,,
MER-P00044,Medical Expense,5000,0,,
MER-P00045,Building - Loc 1,4750000,5000,Special (Replacement Cost),
MER-P00045,Business Personal Property - Loc 1,775000,2500,Special,
MER-P00045,Building - Loc 2,4300000,2500,Special (Replacement Cost),
MER-P00045,Business Personal Property - Loc 2,125000,5000,Special,
MER-P00045,Building - Loc 3,3000000,10000,Special (Replacement Cost),
MER-P00045,Business Personal Property - Loc 3,250000,5000,Special,
MER-P00046,Cyber Liability Each Claim,3000000,5000,Claims-Made,2021-08-15
MER-P00046,Cyber Liability Aggregate,3000000,0,,
MER-P00047,Employers Liability Each Accident,1000000,0,,
MER-P00047,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00048,Building - Loc 1,5950000,25000,Special (Replacement Cost),
MER-P00048,Business Personal Property - Loc 1,925000,2500,Special,
MER-P00049,Each Occurrence,1000000,2500,Occurrence,
MER-P00049,General Aggregate,2000000,0,,
MER-P00049,Products-Completed Ops Aggregate,2000000,0,,
MER-P00049,Personal & Advertising Injury,1000000,0,,
MER-P00049,Damage to Rented Premises,100000,0,,
MER-P00049,Medical Expense,5000,0,,
MER-P00050,Combined Single Limit,1000000,0,"Symbols 7,8,9",
MER-P00050,Comprehensive,ACV,500,,
MER-P00050,Collision,ACV,2500,,
MER-P00051,Employers Liability Each Accident,1000000,0,,
MER-P00051,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00052,Each Occurrence,1000000,1000,Occurrence,
MER-P00052,General Aggregate,2000000,0,,
MER-P00052,Products-Completed Ops Aggregate,2000000,0,,
MER-P00052,Personal & Advertising Injury,1000000,0,,
MER-P00052,Damage to Rented Premises,100000,0,,
MER-P00052,Medical Expense,5000,0,,
MER-P00053,Employers Liability Each Accident,1000000,0,,
MER-P00053,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00054,Combined Single Limit,1000000,0,Symbol 1 (Any Auto),
MER-P00054,Comprehensive,ACV,500,,
MER-P00054,Collision,ACV,1000,,
MER-P00055,Umbrella Each Occurrence,10000000,10000,Follow Form,
MER-P00055,Umbrella Aggregate,10000000,0,,
MER-P00056,Liability Each Occurrence,1000000,0,Occurrence,
MER-P00056,Business Personal Property,75000,1000,Special,
MER-P00057,Employers Liability Each Accident,1000000,0,,
MER-P00057,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00058,Professional Liability / E&O Each Claim,3000000,50000,Claims-Made,2020-02-22
MER-P00058,Professional Liability / E&O Aggregate,3000000,0,,
MER-P00059,Cyber Liability Each Claim,1000000,10000,Claims-Made,2017-07-19
MER-P00059,Cyber Liability Aggregate,1000000,0,,
MER-P00060,Each Occurrence,1000000,0,Occurrence,
MER-P00060,General Aggregate,2000000,0,,
MER-P00060,Products-Completed Ops Aggregate,2000000,0,,
MER-P00060,Personal & Advertising Injury,1000000,0,,
MER-P00060,Damage to Rented Premises,100000,0,,
MER-P00060,Medical Expense,5000,0,,
MER-P00061,Employers Liability Each Accident,1000000,0,,
MER-P00061,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00062,Umbrella Each Occurrence,2000000,10000,Follow Form,
MER-P00062,Umbrella Aggregate,2000000,0,,
MER-P00063,Professional Liability / E&O Each Claim,5000000,10000,Claims-Made,2014-08-05
MER-P00063,Professional Liability / E&O Aggregate,5000000,0,,
MER-P00064,Each Occurrence,1000000,2500,Claims-Made,
MER-P00064,General Aggregate,2000000,0,,
MER-P00064,Products-Completed Ops Aggregate,2000000,0,,
MER-P00064,Personal & Advertising Injury,1000000,0,,
MER-P00064,Damage to Rented Premises,100000,0,,
MER-P00064,Medical Expense,5000,0,,
MER-P00065,Cyber Liability Each Claim,2000000,10000,Claims-Made,2024-11-27
MER-P00065,Cyber Liability Aggregate,2000000,0,,
MER-P00066,Each Occurrence,1000000,0,Claims-Made,
MER-P00066,General Aggregate,2000000,0,,
MER-P00066,Products-Completed Ops Aggregate,2000000,0,,
MER-P00066,Personal & Advertising Injury,1000000,0,,
MER-P00066,Damage to Rented Premises,100000,0,,
MER-P00066,Medical Expense,5000,0,,
MER-P00067,Building - Loc 1,1850000,25000,Special (Replacement Cost),
MER-P00067,Business Personal Property - Loc 1,425000,5000,Special,
MER-P00067,Building - Loc 2,4300000,10000,Special (Replacement Cost),
MER-P00067,Business Personal Property - Loc 2,650000,5000,Special,
MER-P00067,Building - Loc 3,1300000,5000,Special (Replacement Cost),
MER-P00067,Business Personal Property - Loc 3,600000,2500,Special,
MER-P00068,Employers Liability Each Accident,1000000,0,,
MER-P00068,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00069,Combined Single Limit,1000000,0,"Symbols 7,8,9",
MER-P00069,Comprehensive,ACV,2500,,
MER-P00069,Collision,ACV,1000,,
MER-P00070,Each Occurrence,1000000,0,Occurrence,
MER-P00070,General Aggregate,2000000,0,,
MER-P00070,Products-Completed Ops Aggregate,2000000,0,,
MER-P00070,Personal & Advertising Injury,1000000,0,,
MER-P00070,Damage to Rented Premises,100000,0,,
MER-P00070,Medical Expense,5000,0,,
MER-P00071,Employers Liability Each Accident,1000000,0,,
MER-P00071,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00072,Building - Loc 1,1400000,25000,Special (Replacement Cost),
MER-P00072,Business Personal Property - Loc 1,225000,2500,Special,
MER-P00072,Building - Loc 2,1650000,10000,Special (Replacement Cost),
MER-P00072,Business Personal Property - Loc 2,550000,5000,Special,
MER-P00072,Building - Loc 3,4800000,5000,Special (Replacement Cost),
MER-P00072,Business Personal Property - Loc 3,675000,2500,Special,
MER-P00072,Building - Loc 4,700000,2500,Special (Replacement Cost),
MER-P00072,Business Personal Property - Loc 4,925000,2500,Special,
MER-P00073,Each Occurrence,1000000,0,Claims-Made,
MER-P00073,General Aggregate,2000000,0,,
MER-P00073,Products-Completed Ops Aggregate,2000000,0,,
MER-P00073,Personal & Advertising Injury,1000000,0,,
MER-P00073,Damage to Rented Premises,100000,0,,
MER-P00073,Medical Expense,5000,0,,
MER-P00074,Employers Liability Each Accident,1000000,0,,
MER-P00074,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00075,Building - Loc 1,3650000,25000,Special (Replacement Cost),
MER-P00075,Business Personal Property - Loc 1,625000,5000,Special,
MER-P00075,Building - Loc 2,1700000,5000,Special (Replacement Cost),
MER-P00075,Business Personal Property - Loc 2,600000,2500,Special,
MER-P00075,Building - Loc 3,4700000,2500,Special (Replacement Cost),
MER-P00075,Business Personal Property - Loc 3,450000,2500,Special,
MER-P00076,Each Occurrence,1000000,1000,Claims-Made,
MER-P00076,General Aggregate,2000000,0,,
MER-P00076,Products-Completed Ops Aggregate,2000000,0,,
MER-P00076,Personal & Advertising Injury,1000000,0,,
MER-P00076,Damage to Rented Premises,100000,0,,
MER-P00076,Medical Expense,5000,0,,
MER-P00077,Umbrella Each Occurrence,3000000,10000,Follow Form,
MER-P00077,Umbrella Aggregate,3000000,0,,
MER-P00078,Building - Loc 1,4700000,2500,Special (Replacement Cost),
MER-P00078,Business Personal Property - Loc 1,575000,5000,Special,
MER-P00079,Each Occurrence,1000000,0,Occurrence,
MER-P00079,General Aggregate,2000000,0,,
MER-P00079,Products-Completed Ops Aggregate,2000000,0,,
MER-P00079,Personal & Advertising Injury,1000000,0,,
MER-P00079,Damage to Rented Premises,100000,0,,
MER-P00079,Medical Expense,5000,0,,
MER-P00080,Employers Liability Each Accident,1000000,0,,
MER-P00080,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00081,Employers Liability Each Accident,1000000,0,,
MER-P00081,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00082,Umbrella Each Occurrence,1000000,10000,Follow Form,
MER-P00082,Umbrella Aggregate,1000000,0,,
MER-P00083,Cyber Liability Each Claim,3000000,5000,Claims-Made,2022-06-17
MER-P00083,Cyber Liability Aggregate,3000000,0,,
MER-P00084,Professional Liability / E&O Each Claim,5000000,50000,Claims-Made,2016-03-01
MER-P00084,Professional Liability / E&O Aggregate,5000000,0,,
MER-P00085,Directors & Officers Each Claim,3000000,5000,Claims-Made,2017-08-29
MER-P00085,Directors & Officers Aggregate,3000000,0,,
MER-P00086,Building - Loc 1,2050000,2500,Special (Replacement Cost),
MER-P00086,Business Personal Property - Loc 1,675000,2500,Special,
MER-P00086,Building - Loc 2,2900000,5000,Special (Replacement Cost),
MER-P00086,Business Personal Property - Loc 2,900000,2500,Special,
MER-P00086,Building - Loc 3,4750000,25000,Special (Replacement Cost),
MER-P00086,Business Personal Property - Loc 3,250000,5000,Special,
MER-P00087,Employers Liability Each Accident,1000000,0,,
MER-P00087,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00088,Combined Single Limit,1000000,0,Symbol 1 (Any Auto),
MER-P00088,Comprehensive,ACV,2500,,
MER-P00088,Collision,ACV,5000,,
MER-P00089,Each Occurrence,1000000,2500,Occurrence,
MER-P00089,General Aggregate,2000000,0,,
MER-P00089,Products-Completed Ops Aggregate,2000000,0,,
MER-P00089,Personal & Advertising Injury,1000000,0,,
MER-P00089,Damage to Rented Premises,100000,0,,
MER-P00089,Medical Expense,5000,0,,
MER-P00090,Employers Liability Each Accident,1000000,0,,
MER-P00090,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00091,Combined Single Limit,1000000,0,Symbol 1 (Any Auto),
MER-P00091,Comprehensive,ACV,2500,,
MER-P00091,Collision,ACV,5000,,
MER-P00092,Umbrella Each Occurrence,10000000,10000,Follow Form,
MER-P00092,Umbrella Aggregate,10000000,0,,
MER-P00093,Building - Loc 1,3150000,10000,Special (Replacement Cost),
MER-P00093,Business Personal Property - Loc 1,625000,2500,Special,
MER-P00093,Building - Loc 2,3400000,10000,Special (Replacement Cost),
MER-P00093,Business Personal Property - Loc 2,25000,5000,Special,
MER-P00094,Each Occurrence,1000000,0,Claims-Made,
MER-P00094,General Aggregate,2000000,0,,
MER-P00094,Products-Completed Ops Aggregate,2000000,0,,
MER-P00094,Personal & Advertising Injury,1000000,0,,
MER-P00094,Damage to Rented Premises,100000,0,,
MER-P00094,Medical Expense,5000,0,,
MER-P00095,Combined Single Limit,1000000,0,Symbol 1 (Any Auto),
MER-P00095,Comprehensive,ACV,2500,,
MER-P00095,Collision,ACV,1000,,
MER-P00096,Liability Each Occurrence,1000000,0,Occurrence,
MER-P00096,Business Personal Property,150000,1000,Special,
MER-P00097,Employers Liability Each Accident,1000000,0,,
MER-P00097,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00098,Cyber Liability Each Claim,1000000,10000,Claims-Made,2013-09-11
MER-P00098,Cyber Liability Aggregate,1000000,0,,
MER-P00099,Professional Liability / E&O Each Claim,2000000,25000,Claims-Made,2021-07-08
MER-P00099,Professional Liability / E&O Aggregate,2000000,0,,
MER-P00100,Each Occurrence,1000000,0,Occurrence,
MER-P00100,General Aggregate,2000000,0,,
MER-P00100,Products-Completed Ops Aggregate,2000000,0,,
MER-P00100,Personal & Advertising Injury,1000000,0,,
MER-P00100,Damage to Rented Premises,100000,0,,
MER-P00100,Medical Expense,5000,0,,
MER-P00101,Directors & Officers Each Claim,5000000,25000,Claims-Made,2012-03-26
MER-P00101,Directors & Officers Aggregate,5000000,0,,
MER-P00102,Professional Liability / E&O Each Claim,3000000,25000,Claims-Made,2024-10-26
MER-P00102,Professional Liability / E&O Aggregate,3000000,0,,
MER-P00103,Building - Loc 1,1650000,5000,Special (Replacement Cost),
MER-P00103,Business Personal Property - Loc 1,75000,2500,Special,
MER-P00103,Building - Loc 2,4400000,2500,Special (Replacement Cost),
MER-P00103,Business Personal Property - Loc 2,225000,2500,Special,
MER-P00103,Building - Loc 3,2150000,10000,Special (Replacement Cost),
MER-P00103,Business Personal Property - Loc 3,725000,2500,Special,
MER-P00104,Cyber Liability Each Claim,3000000,5000,Claims-Made,2019-11-21
MER-P00104,Cyber Liability Aggregate,3000000,0,,
MER-P00105,Employers Liability Each Accident,1000000,0,,
MER-P00105,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00106,Professional Liability / E&O Each Claim,1000000,5000,Claims-Made,2013-12-05
MER-P00106,Professional Liability / E&O Aggregate,1000000,0,,
MER-P00107,Cyber Liability Each Claim,5000000,5000,Claims-Made,2013-06-28
MER-P00107,Cyber Liability Aggregate,5000000,0,,
MER-P00108,Employers Liability Each Accident,1000000,0,,
MER-P00108,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00109,Professional Liability / E&O Each Claim,2000000,5000,Claims-Made,2021-02-15
MER-P00109,Professional Liability / E&O Aggregate,2000000,0,,
MER-P00110,Each Occurrence,1000000,1000,Claims-Made,
MER-P00110,General Aggregate,2000000,0,,
MER-P00110,Products-Completed Ops Aggregate,2000000,0,,
MER-P00110,Personal & Advertising Injury,1000000,0,,
MER-P00110,Damage to Rented Premises,100000,0,,
MER-P00110,Medical Expense,5000,0,,
MER-P00111,Building - Loc 1,2800000,25000,Special (Replacement Cost),
MER-P00111,Business Personal Property - Loc 1,725000,2500,Special,
MER-P00112,Cyber Liability Each Claim,5000000,10000,Claims-Made,2016-04-14
MER-P00112,Cyber Liability Aggregate,5000000,0,,
MER-P00113,Employers Liability Each Accident,1000000,0,,
MER-P00113,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00114,Professional Liability / E&O Each Claim,3000000,5000,Claims-Made,2023-08-11
MER-P00114,Professional Liability / E&O Aggregate,3000000,0,,
MER-P00115,Each Occurrence,1000000,2500,Occurrence,
MER-P00115,General Aggregate,2000000,0,,
MER-P00115,Products-Completed Ops Aggregate,2000000,0,,
MER-P00115,Personal & Advertising Injury,1000000,0,,
MER-P00115,Damage to Rented Premises,100000,0,,
MER-P00115,Medical Expense,5000,0,,
MER-P00116,Building - Loc 1,5750000,10000,Special (Replacement Cost),
MER-P00116,Business Personal Property - Loc 1,250000,2500,Special,
MER-P00116,Building - Loc 2,5450000,25000,Special (Replacement Cost),
MER-P00116,Business Personal Property - Loc 2,700000,5000,Special,
MER-P00117,Cyber Liability Each Claim,3000000,5000,Claims-Made,2017-05-25
MER-P00117,Cyber Liability Aggregate,3000000,0,,
MER-P00118,Employers Liability Each Accident,1000000,0,,
MER-P00118,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00119,Combined Single Limit,1000000,0,Symbol 1 (Any Auto),
MER-P00119,Comprehensive,ACV,1000,,
MER-P00119,Collision,ACV,5000,,
MER-P00120,Employers Liability Each Accident,1000000,0,,
MER-P00120,Employers Liability Disease - Policy Limit,1000000,0,,
MER-P00121,Liability Each Occurrence,1000000,0,Occurrence,
MER-P00121,Business Personal Property,175000,1000,Special,
MER-P00122,Employers Liability Each Accident,1000000,0,,
MER-P00122,Employers Liability Disease - Policy Limit,1000000,0,,
