policy_id,client_id,client_name,policy_number,line_of_business,line_description,carrier_code,carrier_name,effective_date,expiration_date,term_months,annual_premium,commission_pct,expected_commission,billing_type,policy_status,producer_id,account_manager_id,surplus_lines,new_or_renewal,policy_checked,experience_mod,umbrella_limit
MER-P00015,MER-C0005,Blue Ridge Manufacturing Inc.,CHB-PROP-3823676,PROP,Commercial Property,CHB,Chubb (Federal Insurance Company),2026-02-10,2027-02-10,12,54490,15.0,8173.5,Agency Bill,In Force,E008,E013,N,Renewal,Y,,
MER-P00016,MER-C0005,Blue Ridge Manufacturing Inc.,TRV-GL-6046938,GL,General Liability,TRV,Travelers Indemnity Company,2025-06-12,2026-06-12,12,35193,15.0,5278.95,Direct Bill,In Force,E008,E013,N,New,Y,,
MER-P00017,MER-C0005,Blue Ridge Manufacturing Inc.,AMT-WC-2820114,WC,Workers Compensation,AMT,AmTrust Financial,2026-03-20,2027-03-20,12,61054,10.0,6105.4,Direct Bill,In Force,E008,E013,N,New,Y,1.15,
MER-P00018,MER-C0006,Summit Associates Corp.,MKL-PL-8392796,PL,Professional Liability / E&O,MKL,Markel Specialty (Evanston Insurance Co.),2025-08-30,2026-08-30,12,12242,12.0,1469.04,Agency Bill,In Force,E007,E014,Y,Renewal,Y,,
MER-P00019,MER-C0006,Summit Associates Corp.,BEZ-CYB-6863791,CYB,Cyber Liability,BEZ,Beazley (Lloyd's Syndicate 2623),2025-08-17,2026-08-17,12,22115,15.0,3317.25,Direct Bill,In Force,E007,E014,Y,Renewal,N,,
MER-P00020,MER-C0006,Summit Associates Corp.,AMT-BOP-8586621,BOP,Business Owners Policy,AMT,AmTrust Financial,2026-03-08,2027-03-08,12,5434,10.0,543.4,Direct Bill,In Force,E007,E014,N,New,Y,,
MER-P00021,MER-C0007,Ironclad Supply LP,CHB-PROP-4812910,PROP,Commercial Property,CHB,Chubb (Federal Insurance Company),2025-06-03,2026-06-03,12,10990,15.0,1648.5,Agency Bill,In Force,E008,E016,N,New,Y,,
MER-P00022,MER-C0007,Ironclad Supply LP,MKL-GL-9433463,GL,General Liability,MKL,Markel Specialty (Evanston Insurance Co.),2026-03-17,2027-03-17,12,33794,12.0,4055.28,Direct Bill,In Force,E008,E016,Y,Renewal,Y,,
MER-P00023,MER-C0007,Ironclad Supply LP,LIB-AUTO-6966262,AUTO,Commercial Auto,LIB,Liberty Mutual Insurance,2025-05-08,2026-05-08,12,29647,12.0,3557.64,Direct Bill,In Force,E008,E016,N,Renewal,Y,,
MER-P00024,MER-C0007,Ironclad Supply LP,AMT-WC-9085023,WC,Workers Compensation,AMT,AmTrust Financial,2025-06-17,2026-06-17,12,95996,10.0,9599.6,Direct Bill,In Force,E008,E016,N,New,Y,1.21,
MER-P00025,MER-C0008,Sterling Automotive Inc.,TRV-GL-1144524,GL,General Liability,TRV,Travelers Indemnity Company,2025-04-12,2026-04-12,12,43055,15.0,6458.25,Direct Bill,In Force,E002,E016,N,Renewal,N,,
MER-P00026,MER-C0008,Sterling Automotive Inc.,LIB-PROP-9155931,PROP,Commercial Property,LIB,Liberty Mutual Insurance,2025-11-25,2026-11-25,12,39808,12.0,4776.96,Direct Bill,In Force,E002,E016,N,New,Y,,
MER-P00027,MER-C0008,Sterling Automotive Inc.,HIG-WC-8757868,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2026-01-03,2027-01-03,12,36295,14.0,5081.3,Direct Bill,In Force,E002,E016,N,Renewal,Y,0.8,
MER-P00028,MER-C0009,Pioneer Supply LLC,CNA-PROP-5475715,PROP,Commercial Property,CNA,CNA Insurance,2026-03-02,2027-03-02,12,25050,15.0,3757.5,Agency Bill,In Force,E007,E020,N,Renewal,Y,,
MER-P00029,MER-C0009,Pioneer Supply LLC,TRV-GL-7968846,GL,General Liability,TRV,Travelers Indemnity Company,2025-12-12,2026-12-12,12,23764,15.0,3564.6,Direct Bill,In Force,E007,E020,N,Renewal,Y,,
MER-P00030,MER-C0009,Pioneer Supply LLC,LIB-AUTO-5622571,AUTO,Commercial Auto,LIB,Liberty Mutual Insurance,2026-03-20,2027-03-20,12,119316,12.0,14317.92,Direct Bill,In Force,E007,E020,N,New,Y,,
MER-P00031,MER-C0009,Pioneer Supply LLC,TRV-WC-7156640,WC,Workers Compensation,TRV,Travelers Indemnity Company,2025-07-18,2026-07-18,12,162253,15.0,24337.95,Direct Bill,In Force,E007,E020,N,Renewal,Y,1.28,
MER-P00032,MER-C0010,Valley Electric Corp.,TRV-GL-5328352,GL,General Liability,TRV,Travelers Indemnity Company,2026-03-28,2027-03-28,12,8195,15.0,1229.25,Direct Bill,In Force,E008,E018,N,Renewal,N,,
MER-P00033,MER-C0010,Valley Electric Corp.,LIB-WC-4008578,WC,Workers Compensation,LIB,Liberty Mutual Insurance,2026-01-07,2027-01-07,12,27452,12.0,3294.24,Direct Bill,In Force,E008,E018,N,New,Y,1.2,
MER-P00034,MER-C0010,Valley Electric Corp.,LIB-AUTO-8870950,AUTO,Commercial Auto,LIB,Liberty Mutual Insurance,2026-03-16,2027-03-16,12,16410,12.0,1969.2,Direct Bill,In Force,E008,E018,N,Renewal,Y,,
MER-P00035,MER-C0010,Valley Electric Corp.,LIB-UMB-1629394,UMB,Umbrella / Excess Liability,LIB,Liberty Mutual Insurance,2025-09-29,2026-09-29,12,15532,12.0,1863.84,Direct Bill,In Force,E008,E018,N,Renewal,Y,,10000000
MER-P00036,MER-C0011,Metro Software LLC,BEZ-CYB-8023139,CYB,Cyber Liability,BEZ,Beazley (Lloyd's Syndicate 2623),2025-04-25,2026-04-25,12,14783,15.0,2217.45,Agency Bill,In Force,E002,E014,Y,Renewal,Y,,
MER-P00037,MER-C0011,Metro Software LLC,CNA-PL-3454217,PL,Professional Liability / E&O,CNA,CNA Insurance,2026-01-26,2027-01-26,12,31639,15.0,4745.85,Agency Bill,In Force,E002,E014,N,Renewal,Y,,
MER-P00038,MER-C0011,Metro Software LLC,CHB-GL-4780971,GL,General Liability,CHB,Chubb (Federal Insurance Company),2025-09-19,2026-09-19,12,31052,15.0,4657.8,Agency Bill,In Force,E002,E014,N,New,Y,,
MER-P00039,MER-C0011,Metro Software LLC,CHB-DO-3542095,DO,Directors & Officers,CHB,Chubb (Federal Insurance Company),2025-08-28,2026-08-28,12,20735,15.0,3110.25,Direct Bill,In Force,E002,E014,N,Renewal,Y,,
MER-P00040,MER-C0012,Bayside Automotive Corp.,CNA-GL-9198228,GL,General Liability,CNA,CNA Insurance,2026-02-22,2027-02-22,12,54073,15.0,8110.95,Direct Bill,In Force,E002,E015,N,Renewal,Y,,
MER-P00041,MER-C0012,Bayside Automotive Corp.,HIG-PROP-3707721,PROP,Commercial Property,HIG,The Hartford Fire Insurance Company,2026-03-23,2027-03-23,12,50170,14.0,7023.8,Agency Bill,In Force,E002,E015,N,Renewal,Y,,
MER-P00042,MER-C0012,Bayside Automotive Corp.,HIG-WC-9720344,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2025-11-15,2026-11-15,12,130227,14.0,18231.78,Direct Bill,In Force,E002,E015,N,Renewal,Y,1.16,
MER-P00043,MER-C0013,Coastal Medical Group Co.,MKL-PL-9547589,PL,Professional Liability / E&O,MKL,Markel Specialty (Evanston Insurance Co.),2025-08-28,2026-08-28,12,35623,12.0,4274.76,Agency Bill,In Force,E002,E014,Y,New,Y,,
MER-P00044,MER-C0013,Coastal Medical Group Co.,CNA-GL-2113318,GL,General Liability,CNA,CNA Insurance,2025-12-15,2026-12-15,12,50175,15.0,7526.25,Agency Bill,In Force,E002,E014,N,Renewal,Y,,
MER-P00045,MER-C0013,Coastal Medical Group Co.,TRV-PROP-1059147,PROP,Commercial Property,TRV,Travelers Indemnity Company,2025-12-20,2026-12-20,12,62510,15.0,9376.5,Direct Bill,In Force,E002,E014,N,New,Y,,
MER-P00046,MER-C0013,Coastal Medical Group Co.,CHB-CYB-7316127,CYB,Cyber Liability,CHB,Chubb (Federal Insurance Company),2025-07-20,2026-07-20,12,9680,15.0,1452.0,Agency Bill,In Force,E002,E014,N,Renewal,Y,,
MER-P00047,MER-C0013,Coastal Medical Group Co.,AMT-WC-8201490,WC,Workers Compensation,AMT,AmTrust Financial,2025-08-23,2026-08-23,12,80141,10.0,8014.1,Direct Bill,In Force,E002,E014,N,Renewal,N,0.82,
MER-P00048,MER-C0014,Summit Supply Inc.,CNA-PROP-6988417,PROP,Commercial Property,CNA,CNA Insurance,2025-05-27,2026-05-27,12,47600,15.0,7140.0,Agency Bill,In Force,E006,E009,N,Renewal,Y,,
MER-P00049,MER-C0014,Summit Supply Inc.,MKL-GL-4669323,GL,General Liability,MKL,Markel Specialty (Evanston Insurance Co.),2025-11-22,2026-11-22,12,13925,12.0,1671.0,Direct Bill,In Force,E006,E009,Y,Renewal,Y,,
MER-P00050,MER-C0014,Summit Supply Inc.,TRV-AUTO-7190961,AUTO,Commercial Auto,TRV,Travelers Indemnity Company,2025-07-25,2026-07-25,12,68025,15.0,10203.75,Direct Bill,In Force,E006,E009,N,Renewal,Y,,
MER-P00051,MER-C0014,Summit Supply Inc.,LIB-WC-8213452,WC,Workers Compensation,LIB,Liberty Mutual Insurance,2025-09-16,2026-09-16,12,120814,12.0,14497.68,Direct Bill,In Force,E006,E009,N,Renewal,Y,1.05,
MER-P00052,MER-C0015,Ironclad Electric LLC,LIB-GL-9817327,GL,General Liability,LIB,Liberty Mutual Insurance,2026-01-25,2027-01-25,12,45237,12.0,5428.44,Agency Bill,In Force,E008,E019,N,New,Y,,
MER-P00053,MER-C0015,Ironclad Electric LLC,LIB-WC-6458590,WC,Workers Compensation,LIB,Liberty Mutual Insurance,2025-08-12,2026-08-12,12,40891,12.0,4906.92,Direct Bill,In Force,E008,E019,N,New,Y,1.24,
MER-P00054,MER-C0015,Ironclad Electric LLC,LIB-AUTO-4090414,AUTO,Commercial Auto,LIB,Liberty Mutual Insurance,2025-11-30,2026-11-30,12,28781,12.0,3453.72,Direct Bill,In Force,E008,E019,N,Renewal,Y,,
MER-P00055,MER-C0015,Ironclad Electric LLC,MKL-UMB-7935042,UMB,Umbrella / Excess Liability,MKL,Markel Specialty (Evanston Insurance Co.),2025-05-20,2026-05-20,12,5005,12.0,600.6,Direct Bill,In Force,E008,E019,Y,Renewal,Y,,10000000
MER-P00056,MER-C0016,Summit Hospitality Group Inc.,HIG-BOP-8177157,BOP,Business Owners Policy,HIG,The Hartford Fire Insurance Company,2025-05-25,2026-05-25,12,8130,14.0,1138.2,Direct Bill,In Force,E001,E012,N,Renewal,Y,,
MER-P00057,MER-C0016,Summit Hospitality Group Inc.,HIG-WC-3086050,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2025-10-27,2026-10-27,12,131436,14.0,18401.04,Direct Bill,In Force,E001,E012,N,Renewal,N,1.32,
MER-P00058,MER-C0017,Evergreen Associates LP,CNA-PL-7293906,PL,Professional Liability / E&O,CNA,CNA Insurance,2025-05-03,2026-05-03,12,5328,15.0,799.2,Agency Bill,In Force,E006,E012,N,Renewal,Y,,
MER-P00059,MER-C0017,Evergreen Associates LP,CHB-CYB-2468186,CYB,Cyber Liability,CHB,Chubb (Federal Insurance Company),2025-07-28,2026-07-28,12,21436,15.0,3215.4,Agency Bill,In Force,E006,E012,N,New,Y,,
MER-P00060,MER-C0018,Blue Ridge Transport Co.,MKL-GL-1076329,GL,General Liability,MKL,Markel Specialty (Evanston Insurance Co.),2026-03-22,2027-03-22,12,18170,12.0,2180.4,Agency Bill,In Force,E004,E013,Y,Renewal,Y,,
MER-P00061,MER-C0018,Blue Ridge Transport Co.,TRV-WC-9582732,WC,Workers Compensation,TRV,Travelers Indemnity Company,2025-11-21,2026-11-21,12,49184,15.0,7377.6,Direct Bill,In Force,E004,E013,N,Renewal,Y,0.94,
MER-P00062,MER-C0018,Blue Ridge Transport Co.,MKL-UMB-7337932,UMB,Umbrella / Excess Liability,MKL,Markel Specialty (Evanston Insurance Co.),2025-09-13,2026-09-13,12,16747,12.0,2009.64,Agency Bill,In Force,E004,E013,Y,Renewal,Y,,2000000
MER-P00063,MER-C0019,Metro Associates LP,CNA-PL-2784355,PL,Professional Liability / E&O,CNA,CNA Insurance,2025-08-09,2026-08-09,12,14419,15.0,2162.85,Direct Bill,In Force,E004,E011,N,Renewal,Y,,
MER-P00064,MER-C0019,Metro Associates LP,LIB-GL-3321649,GL,General Liability,LIB,Liberty Mutual Insurance,2025-08-07,2026-08-07,12,59497,12.0,7139.64,Agency Bill,In Force,E004,E011,N,Renewal,Y,,
MER-P00065,MER-C0019,Metro Associates LP,CHB-CYB-1466267,CYB,Cyber Liability,CHB,Chubb (Federal Insurance Company),2025-09-23,2026-09-23,12,17540,15.0,2631.0,Agency Bill,In Force,E004,E011,N,New,Y,,
MER-P00066,MER-C0020,Keystone State Marine Co.,LIB-GL-7256933,GL,General Liability,LIB,Liberty Mutual Insurance,2025-06-01,2026-06-01,12,64192,12.0,7703.04,Agency Bill,In Force,E002,E018,N,Renewal,Y,,
MER-P00067,MER-C0020,Keystone State Marine Co.,TRV-PROP-4796934,PROP,Commercial Property,TRV,Travelers Indemnity Company,2025-07-20,2026-07-20,12,4354,15.0,653.1,Direct Bill,In Force,E002,E018,N,New,Y,,
MER-P00068,MER-C0020,Keystone State Marine Co.,LIB-WC-9081789,WC,Workers Compensation,LIB,Liberty Mutual Insurance,2025-05-18,2026-05-18,12,113538,12.0,13624.56,Direct Bill,In Force,E002,E018,N,New,Y,1.0,
MER-P00069,MER-C0020,Keystone State Marine Co.,TRV-AUTO-8838534,AUTO,Commercial Auto,TRV,Travelers Indemnity Company,2025-05-20,2026-05-20,12,64702,15.0,9705.3,Direct Bill,In Force,E002,E018,N,New,Y,,
MER-P00070,MER-C0021,Keystone State Transport Inc.,TRV-GL-3042199,GL,General Liability,TRV,Travelers Indemnity Company,2025-05-22,2026-05-22,12,34386,15.0,5157.9,Agency Bill,In Force,E002,E015,N,New,Y,,
MER-P00071,MER-C0021,Keystone State Transport Inc.,HIG-WC-4543115,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2025-05-14,2026-05-14,12,25853,14.0,3619.42,Direct Bill,In Force,E002,E015,N,Renewal,Y,1.04,
MER-P00072,MER-C0022,Summit Hotels LP,HIG-PROP-6569719,PROP,Commercial Property,HIG,The Hartford Fire Insurance Company,2025-08-09,2026-08-09,12,69693,14.0,9757.02,Agency Bill,In Force,E005,E021,N,New,Y,,
MER-P00073,MER-C0022,Summit Hotels LP,MKL-GL-9145128,GL,General Liability,MKL,Markel Specialty (Evanston Insurance Co.),2025-12-08,2026-12-08,12,17575,12.0,2109.0,Direct Bill,In Force,E005,E021,Y,Renewal,Y,,
MER-P00074,MER-C0022,Summit Hotels LP,HIG-WC-8434419,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2025-07-17,2026-07-17,12,115148,14.0,16120.72,Direct Bill,In Force,E005,E021,N,New,Y,1.05,
MER-P00075,MER-C0023,Ironclad Properties Inc.,HIG-PROP-5866094,PROP,Commercial Property,HIG,The Hartford Fire Insurance Company,2025-08-14,2026-08-14,12,21432,14.0,3000.48,Direct Bill,In Force,E001,E021,N,Renewal,Y,,
MER-P00076,MER-C0023,Ironclad Properties Inc.,CHB-GL-5415328,GL,General Liability,CHB,Chubb (Federal Insurance Company),2025-08-04,2026-08-04,12,19163,15.0,2874.45,Agency Bill,In Force,E001,E021,N,Renewal,Y,,
MER-P00077,MER-C0023,Ironclad Properties Inc.,TRV-UMB-1855834,UMB,Umbrella / Excess Liability,TRV,Travelers Indemnity Company,2025-10-25,2026-10-25,12,8199,15.0,1229.85,Agency Bill,In Force,E001,E021,N,New,Y,,3000000
MER-P00078,MER-C0024,Northgate Manufacturing Inc.,CNA-PROP-7416790,PROP,Commercial Property,CNA,CNA Insurance,2025-10-13,2026-10-13,12,66842,15.0,10026.3,Agency Bill,In Force,E001,E016,N,Renewal,Y,,
MER-P00079,MER-C0024,Northgate Manufacturing Inc.,CNA-GL-9821366,GL,General Liability,CNA,CNA Insurance,2025-06-07,2026-06-07,12,61333,15.0,9199.95,Direct Bill,In Force,E001,E016,N,Renewal,Y,,
MER-P00080,MER-C0024,Northgate Manufacturing Inc.,TRV-WC-1793950,WC,Workers Compensation,TRV,Travelers Indemnity Company,2026-03-07,2027-03-07,12,116861,15.0,17529.15,Direct Bill,In Force,E001,E016,N,New,Y,1.08,
MER-P00081,MER-C0025,Riverside Electric LLC,LIB-WC-7424407,WC,Workers Compensation,LIB,Liberty Mutual Insurance,2025-08-19,2026-08-19,12,46839,12.0,5620.68,Direct Bill,In Force,E006,E019,N,Renewal,Y,1.1,
MER-P00082,MER-C0025,Riverside Electric LLC,LIB-UMB-8296691,UMB,Umbrella / Excess Liability,LIB,Liberty Mutual Insurance,2025-11-19,2026-11-19,12,22454,12.0,2694.48,Agency Bill,In Force,E006,E019,N,Renewal,Y,,1000000
MER-P00083,MER-C0026,Summit Software Inc.,CNA-CYB-7743987,CYB,Cyber Liability,CNA,CNA Insurance,2026-03-25,2027-03-25,12,9272,15.0,1390.8,Direct Bill,In Force,E002,E013,N,Renewal,N,,
MER-P00084,MER-C0026,Summit Software Inc.,MKL-PL-4465866,PL,Professional Liability / E&O,MKL,Markel Specialty (Evanston Insurance Co.),2026-03-18,2027-03-18,12,24785,12.0,2974.2,Agency Bill,In Force,E002,E013,Y,Renewal,Y,,
MER-P00085,MER-C0026,Summit Software Inc.,CHB-DO-2603921,DO,Directors & Officers,CHB,Chubb (Federal Insurance Company),2025-10-30,2026-10-30,12,14852,15.0,2227.8,Direct Bill,In Force,E002,E013,N,New,Y,,
MER-P00086,MER-C0027,Valley Marine Co.,HIG-PROP-7330756,PROP,Commercial Property,HIG,The Hartford Fire Insurance Company,2025-08-23,2026-08-23,12,16406,14.0,2296.84,Direct Bill,In Force,E003,E011,N,New,Y,,
MER-P00087,MER-C0027,Valley Marine Co.,TRV-WC-8922335,WC,Workers Compensation,TRV,Travelers Indemnity Company,2025-05-30,2026-05-30,12,142814,15.0,21422.1,Direct Bill,In Force,E003,E011,N,New,Y,0.91,
MER-P00088,MER-C0027,Valley Marine Co.,TRV-AUTO-5864908,AUTO,Commercial Auto,TRV,Travelers Indemnity Company,2025-12-23,2026-12-23,12,29761,15.0,4464.15,Direct Bill,In Force,E003,E011,N,Renewal,Y,,
MER-P00089,MER-C0028,Cornerstone Electric LLC,CNA-GL-9800363,GL,General Liability,CNA,CNA Insurance,2025-04-03,2026-04-03,12,55435,15.0,8315.25,Direct Bill,In Force,E003,E021,N,Renewal,Y,,
MER-P00090,MER-C0028,Cornerstone Electric LLC,LIB-WC-9634126,WC,Workers Compensation,LIB,Liberty Mutual Insurance,2025-07-22,2026-07-22,12,9276,12.0,1113.12,Direct Bill,In Force,E003,E021,N,Renewal,Y,0.86,
MER-P00091,MER-C0028,Cornerstone Electric LLC,LIB-AUTO-3288560,AUTO,Commercial Auto,LIB,Liberty Mutual Insurance,2026-02-14,2027-02-14,12,79224,12.0,9506.88,Direct Bill,In Force,E003,E021,N,Renewal,N,,
MER-P00092,MER-C0028,Cornerstone Electric LLC,LIB-UMB-2806129,UMB,Umbrella / Excess Liability,LIB,Liberty Mutual Insurance,2025-04-26,2026-04-26,12,7418,12.0,890.16,Agency Bill,In Force,E003,E021,N,Renewal,Y,,10000000
MER-P00093,MER-C0029,Beacon Supply LP,CNA-PROP-9308427,PROP,Commercial Property,CNA,CNA Insurance,2025-06-05,2026-06-05,12,54862,15.0,8229.3,Agency Bill,In Force,E005,E020,N,Renewal,N,,
MER-P00094,MER-C0029,Beacon Supply LP,HIG-GL-4066488,GL,General Liability,HIG,The Hartford Fire Insurance Company,2025-07-10,2026-07-10,12,41228,14.0,5771.92,Agency Bill,In Force,E005,E020,N,New,Y,,
MER-P00095,MER-C0029,Beacon Supply LP,TRV-AUTO-7819839,AUTO,Commercial Auto,TRV,Travelers Indemnity Company,2025-11-28,2026-11-28,12,76902,15.0,11535.3,Direct Bill,In Force,E005,E020,N,Renewal,N,,
MER-P00096,MER-C0030,Lakeshore Hardware LLC,AMT-BOP-8476717,BOP,Business Owners Policy,AMT,AmTrust Financial,2025-08-08,2026-08-08,12,5761,10.0,576.1,Direct Bill,In Force,E006,E011,N,Renewal,Y,,
MER-P00097,MER-C0030,Lakeshore Hardware LLC,HIG-WC-6336845,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2025-04-14,2026-04-14,12,87336,14.0,12227.04,Direct Bill,In Force,E006,E011,N,Renewal,Y,0.87,
MER-P00098,MER-C0031,Keystone State Software LLC,BEZ-CYB-2961265,CYB,Cyber Liability,BEZ,Beazley (Lloyd's Syndicate 2623),2025-05-18,2026-05-18,12,6878,15.0,1031.7,Direct Bill,In Force,E006,E013,Y,New,Y,,
MER-P00099,MER-C0031,Keystone State Software LLC,BEZ-PL-5681569,PL,Professional Liability / E&O,BEZ,Beazley (Lloyd's Syndicate 2623),2025-04-17,2026-04-17,12,11209,15.0,1681.35,Direct Bill,In Force,E006,E013,Y,Renewal,Y,,
MER-P00100,MER-C0031,Keystone State Software LLC,CNA-GL-9757826,GL,General Liability,CNA,CNA Insurance,2026-01-15,2027-01-15,12,34490,15.0,5173.5,Agency Bill,In Force,E006,E013,N,Renewal,Y,,
MER-P00101,MER-C0031,Keystone State Software LLC,CHB-DO-6404495,DO,Directors & Officers,CHB,Chubb (Federal Insurance Company),2025-10-26,2026-10-26,12,44322,15.0,6648.3,Agency Bill,In Force,E006,E013,N,Renewal,Y,,
MER-P00102,MER-C0032,Patriot Medical Group Corp.,BEZ-PL-9123541,PL,Professional Liability / E&O,BEZ,Beazley (Lloyd's Syndicate 2623),2025-12-13,2026-12-13,12,27837,15.0,4175.55,Agency Bill,In Force,E006,E018,Y,Renewal,N,,
MER-P00103,MER-C0032,Patriot Medical Group Corp.,CHB-PROP-6548701,PROP,Commercial Property,CHB,Chubb (Federal Insurance Company),2025-05-14,2026-05-14,12,79449,15.0,11917.35,Agency Bill,In Force,E006,E018,N,Renewal,Y,,
MER-P00104,MER-C0032,Patriot Medical Group Corp.,CNA-CYB-9793167,CYB,Cyber Liability,CNA,CNA Insurance,2025-11-19,2026-11-19,12,24651,15.0,3697.65,Direct Bill,In Force,E006,E018,N,Renewal,Y,,
MER-P00105,MER-C0032,Patriot Medical Group Corp.,TRV-WC-3722068,WC,Workers Compensation,TRV,Travelers Indemnity Company,2025-07-25,2026-07-25,12,114982,15.0,17247.3,Direct Bill,In Force,E006,E018,N,Renewal,Y,1.14,
MER-P00106,MER-C0033,Bayside Associates Co.,MKL-PL-1155624,PL,Professional Liability / E&O,MKL,Markel Specialty (Evanston Insurance Co.),2025-12-04,2026-12-04,12,37114,12.0,4453.68,Direct Bill,In Force,E006,E020,Y,Renewal,Y,,
MER-P00107,MER-C0033,Bayside Associates Co.,BEZ-CYB-4049132,CYB,Cyber Liability,BEZ,Beazley (Lloyd's Syndicate 2623),2025-12-16,2026-12-16,12,10609,15.0,1591.35,Direct Bill,In Force,E006,E020,Y,Renewal,Y,,
MER-P00108,MER-C0034,Patriot Hardware LLC,AMT-WC-2916243,WC,Workers Compensation,AMT,AmTrust Financial,2026-03-27,2027-03-27,12,15927,10.0,1592.7,Direct Bill,In Force,E008,E012,N,New,Y,0.93,
MER-P00109,MER-C0035,Patriot Medical Group LLC,CNA-PL-9132884,PL,Professional Liability / E&O,CNA,CNA Insurance,2025-08-24,2026-08-24,12,34462,15.0,5169.3,Direct Bill,In Force,E008,E020,N,New,Y,,
MER-P00110,MER-C0035,Patriot Medical Group LLC,CNA-GL-8031863,GL,General Liability,CNA,CNA Insurance,2025-09-17,2026-09-17,12,50547,15.0,7582.05,Agency Bill,In Force,E008,E020,N,Renewal,Y,,
MER-P00111,MER-C0035,Patriot Medical Group LLC,CNA-PROP-4203613,PROP,Commercial Property,CNA,CNA Insurance,2025-04-19,2026-04-19,12,50265,15.0,7539.75,Agency Bill,In Force,E008,E020,N,New,Y,,
