ITEM,DESCRIPTION,TYPE,COST,PRICE,SALES TAX CODE,QUANTITY ON HAND,PREFERRED VENDOR,REORDER PT (MIN),MAX,MPN,U/M
DRI2000-004,Drill Bit Cobalt 1/4-20 x 4in,Inventory Part,45.12,74.45,Non,30,Alro Steel,26,127,G38757,EA
ANCsize6-005,Anchor Wedge size 4 x 4in,Inventory Part,115.33,193.75,Non,17,Applied Industrial Technologies,55,52,A11203,EA
HEXsize8-000,HEX BOLT GR 5 ZINC M8 X 2IN,Inventory Part,25.3,,Non,34,McMaster-Carr,49,13,E67737,BX
HOS1213-006,Hose Clamp SS 1.000 x 5in,Inventory Part,37.01,55.52,Non,379,Brighton-Best International,8,184,B91880,EA
CABsize4-007,Cable Tie UV Black size 6 x 4in,Inventory Part,27.94,51.41,Non,88,Brighton-Best International,43,47,R53843,EA
CAB1250-008,Cable Tie UV Black size 4 x 5in,Inventory Part,27.86,43.18,Non,188,MSC Industrial Supply,32,,G13886,EA
FLA1375-009,Flat Washer SAE 1/2-13 x 3in,,6.7,12.06,Non,359,Alro Steel,52,132,A77006,BX
ABR50-010,Abrasive Flap Disc M8 x 6in,Inventory Part,26.37,36.39,Tax,23,Ryerson,49,14,M66820,BX
SOC1250-011,Socket Head Cap Screw Alloy 3/4-10 x 2in,Inventory Part,59.42,98.04,Non,320,Fastenal,38,194,H83145,EA
HEXsize8-000,HEX BOLT GR 5 ZINC M8 X 2IN,Inventory Part,25.3,,Non,34,McMaster-Carr,49,13,E67737,BX
ABRsize6-012,Abrasive Flap Disc size 8 x 6in,Inventory Part,57.08,79.34,Non,346,Motion Industries,46,150,C71369,BX 
FLAM12-013,Flat Washer SAE 1.250 x 1in,Inventory Part,5.5,7.65,Tax,400,PARKER HANNIFIN,47,175,F95935,EA
HEX1420-014,Hex Bolt Gr 5 Zinc M10 x 5in,Inventory Part,22.13,29.21,NON,72,Alro Steel,60,60,L31181,EA
CUT80-015,Cutting Wheel 4.5in 2.000 x 3in,Inventory Part,43.1,74.13,Non ,27,Uline,54,16,N63731,C
DRI1500-016,Drill Bit Cobalt M8 x 1in,Inventory Part,22.87,34.99,Non,104,MSC Industrial Supply,12,35,B37911,EA
DRIsize4-017,Drill Bit Cobalt 1/2-13 x 6in,Inventory Part,63.95,101.04,Non,185,Fastenal,45,192,L20102,C
,Abrasive Flap Disc size 6 x 1in,Inventory Part,32.56,50.47,Non,,Alro Steel,60,51,T62811,BX
ANC51618-019,Anchor Wedge #80 x 4in,Inventory Part,53.06,90.2,NON,162,Motion Industries,11,103,H3062,BX
ANC51618-020,Anchor Wedge M12 x 3in,Inventory Part,111.15,161.17,Non,1,MSC Industrial Supply,49,188,T6970,EA
SOCM10-021,SOCKET HEAD CAP SCREW ALLOY 1.500 X 4IN,,52.31,70.1,Non,34,APPLIED INDUSTRIAL TECHNOLOGIES,18,62,T58133,BX
ABR3816-022,Abrasive Flap Disc #50 x 3in,Inventory Part,60.42,103.92,Tax,,Apex Fastener Corp,32,190,M60109,EA
CUT2000-023,Cutting Wheel 4.5in #50 x 1in,Inventory Part,58.75,99.88,Non,47,Baldor-Reliance (ABB),44,91,N53555,BX
CUT1213-024,Cutting Wheel 4.5in 1/2-13 x 4in ,Inventory Part ,32.87,58.18,Tax,200,Uline,14,160,E48026,BX
SOC2000-025,Socket Head Cap Screw Alloy M8 x 6in,Inventory Part,15.39,,NON,155,Haas Automation,58,112,D32040,EA
FLA1213-026,Flat Washer SAE 5/16-18 x 3in,Inventory Part,13.17,20.94,Tax,110,Parker Hannifin,24,71,D58027,EA
ANCM12-027,Anchor Wedge size 6 x 5in,INVENTORY PART,51.49,68.48,Non,73,Apex Fastener Corp,34,105,D59511,C
FLAM10-028,Flat Washer SAE M12 x 5in,Inventory Part,9.75,16.87,Non,450,MSC Industrial Supply,20,163,B36616,EA
FLAsize8-029,Flat Washer SAE M8 x 5in,Inventory Part,11.17,18.1,Non,351,Kaman Industrial Technologies,10,135,F57285,BX
HEX1420-030,Hex Bolt Gr 5 Zinc #50 x 3in,Inventory Part,18.92,30.08,Tax,83,Motion Industries,20,46,H32025,C
FLAM6-031,Flat Washer SAE 3/4-10 x 5in,Inventory Part,7.36,10.16,Non,184,FASTENAL,20,115,H89437,EA
ABRsize8-032,ABRASIVE FLAP DISC #50 X 1IN,Inventory Part,28.88,42.16,Non,58,Brighton-Best International,18,129,R9418,EA
HEX80-033,Hex Bolt Gr 5 Zinc M8 x 3in,Inventory Part,47.230000000000004,71.32,,50,Garlock Sealing Technologies,30,70,C47866,BX
ANC3410-034,Anchor Wedge M8 x 3in,Inventory Part,115.2,196.99,Tax,34,Parker Hannifin,12,30,R61114,C
HOSsize8-035,Hose Clamp SS 1/4-20 x 2in,Inventory Part,28.310000000000002,44.45,Non,,APPLIED INDUSTRIAL TECHNOLOGIES,14,151,H48524,EA
NITM12-036,Nitrile Gloves 1.500 x 4in,Inventory Part,12.01,19.58,Non,52,Baldor-Reliance (ABB),30,39,G15628,EA
CUT3410-037,Cutting Wheel 4.5in 1.500 x 5in,Inventory Part,21.6,36.5,Non,4,Kaman Industrial Technologies,41,75,L35945,C
FLA1250-038,Flat Washer SAE #60 x 1in,INVENTORY PART,17.080000000000002,26.82,Non,,Ryerson ,11,171,C56580,EA
ANC3816-039,Anchor Wedge M6 x 4in,Inventory Part,62.910000000000004,100.03,Non,414,Kaman Industrial Technologies,25,186,C93219,EA
ANCM8-040,Anchor Wedge M6 x 5in,,29.41,39.41,Non,486,Regal Rexnord,53,170,C69080,BX
CUTM6-041,Cutting Wheel 4.5in 2.000 x 4in,Inventory Part,51.28,72.3,Non,61,Apex Fastener Corp,47,160,R69769,BX
HEX3410-042 ,Hex Bolt Gr 5 Zinc #80 x 3in,Inventory Part,44.58,80.69,Non,314,Ryerson,46,147,K66362 ,EA
ANCM6-043,Anchor Wedge 1/2-13 x 1in,Inventory Part,66.43,119.57,Non ,15,Haas Automation,13,26,P45602,EA
DRI3816-044,DRILL BIT COBALT 1.000 X 6IN,Inventory Part,51.33,80.59,Non,66,MSC Industrial Supply,42,26,M5899 ,C
FLAsize8-045,Flat Washer SAE size 8 x 5in,Inventory Part,13.89,23.2,Non,394,Applied Industrial Technologies,12,193,G32186,EA
ABRM12-046,Abrasive Flap Disc 5/8-11 x 1in,Inventory Part,57.07,104.44,Non,208,Uline,6,97,B1743,EA
CUTM6-047,Cutting Wheel 4.5in M10 x 6in ,Inventory Part,41.800000000000004,73.15,Non,284,Fastenal,15,123,K34829,C
DRI2000-048,Drill Bit Cobalt #80 x 6in,Inventory Part,43.46,68.23,Non,133,Parker Hannifin,4,89,A42194,EA
CUT1420-049,Cutting Wheel 4.5in size 6 x 5in,Inventory Part ,26.61,48.7,Non,54,BALDOR-RELIANCE (ABB),5,25,H29953,EA 
ANCM10-050,Anchor Wedge 5/8-11 x 4in,Inventory Part,18.82,29.74,Non,14,McMaster-Carr,13,10,T65552,EA
ABRM8-051,Abrasive Flap Disc M12 x 2in,Inventory Part,28.330000000000002,47.31,Tax,,MSC Industrial Supply,13,60,K9894,
DRIM6-052,Drill Bit Cobalt 5/16-18 x 3in,Inventory Part,56.9,104.7,Non,,Applied Industrial Technologies,57,37,H61527,C
LOCM6-053,Lock Nut Nylon Insert size 4 x 6in,Inventory Part,24.1,45.79,Non,15,Uline,38,18,,EA
CUTM12-054,Cutting Wheel 4.5in 1.375 x 5in,Inventory Part,,70.23,Non,213,Sandvik Coromant,23,148,A99918,EA
HEX60-055,Hex Bolt Gr 5 Zinc 1.250 x 4in,Inventory Part ,19.51,27.31,Non,537,Regal Rexnord,46,180,S82918,EA
HEXM12-056,Hex Bolt Gr 5 Zinc 2.000 x 3in,Inventory Part,27.04,47.86,,253,Uline,2,125,D55843 ,EA
SOC51618-057,Socket Head Cap Screw Alloy 1/2-13 x 2in,Inventory Part,52.870000000000005,69.26,Non,108,Sandvik Coromant,13,90,H30403,EA
CUT3816-058,Cutting Wheel 4.5in M10 x 6in,Inventory Part,34.730000000000004,53.48,Non,183,Motion Industries,36,171,L95410,C
ABR1500-059 ,Abrasive Flap Disc #50 x 2in,Inventory Part,44.44,72.88,Non,92,Haas Automation,58,39,K13618,EA
LOC60-060,Lock Nut Nylon Insert M10 x 3in,Inventory Part,3.18,6.01,Tax,377,Haas Automation,6,141,A81269,EA
CUTM6-061 ,Cutting Wheel 4.5in M6 x 5in,Inventory Part,32.44,43.47,Non,279,McMaster-Carr,41,101,P7065,EA 
ANC80-062,Anchor Wedge 3/8-16 x 1in,Inventory Part,118.25,193.93,Non,323,Kaman Industrial Technologies,21,186,F33694,C
SOCsize6-063,Socket Head Cap Screw Alloy 5/8-11 x 6in,Inventory Part,46.81,78.17,Tax,7,Sandvik Coromant,44,84,B82976,BX
ANC2000-064,Anchor Wedge 1/2-13 x 5in,Inventory Part,70.11,128.3,,,Haas Automation,9,30,B17841,BX
FLA50-065,Flat Washer SAE 2.000 x 6in,Inventory Part,,16.51,Non,221,Motion Industries,8,105,A96076,EA
CUT5811-066,Cutting Wheel 4.5in 1/4-20 x 1in,Inventory Part,38.77,62.81,Tax,233,Apex Fastener Corp,8,99,A67159,EA
CUT50-067,Cutting Wheel 4.5in size 4 x 3in,,42.5,69.28,Non,33,McMaster-Carr,54,42,P29549,C
DRI3410-068,Drill Bit Cobalt M6 x 5in,Inventory Part,27.16,42.1,Tax,77,Apex Fastener Corp,29,27,K77110,EA
,Lock Nut Nylon Insert 5/16-18 x 3in ,Inventory Part,21.71,34.3,Tax,365,Ryerson,54,156,M59680,BX
HOSM10-070,Hose Clamp SS M10 x 3in,Inventory Part,11.82,19.03,Non,21,Sandvik Coromant,59,50,D51563,EA
SOC2000-071 ,Socket Head Cap Screw Alloy M8 x 3in,Inventory Part,15.49,27.57,Non,371,Alro Steel,,170,R75876,BX
DRIM10-072,Drill Bit Cobalt 1/4-20 x 1in,Inventory Part,33.72,58.34,Non,47,Uline,33,104,C79108,BX
LOCM6-079,Lock Nut Nylon Insert 5/16-18 x 6in,Inventory Part,16.39,27.7,Non,,Regal Rexnord,2,113,E68682,EA
ANCM6-073,Anchor Wedge 5/16-18 x 4in,Inventory Part,82.4,141.73,Non,254,Brighton-Best International,13,159,P48905,C
ANC3410-074,Anchor Wedge M6 x 1in,Inventory Part,118.92,217.62,Non,40,Garlock Sealing Technologies,47,15,G24072,EA
CABsize4-075,Cable Tie UV Black 5/8-11 x 1in,Inventory Part,5.12,9.06,Non,38,Baldor-Reliance (ABB),27,158,G87665,EA
LOC60-076,Lock Nut Nylon Insert size 8 x 6in,Inventory Part,17.87,27.88,Non,78,Regal Rexnord,59,40,G45868,EA
DRIsize4-077,Drill Bit Cobalt 1.500 x 1in,Inventory Part,20.09,32.55,Non,89,Motion Industries,17,117,N50482,C 
CUTsize8-078,Cutting Wheel 4.5in #60 x 5in,Inventory Part,55.26,102.23,Non,238,Ryerson,43,121,E23486,EA
LOCM6-079,Lock Nut Nylon Insert 5/16-18 x 6in,Inventory Part,16.39,27.7,Non,,Regal Rexnord,2,113,E68682,EA
HEX60-080,Hex Bolt Gr 5 Zinc 1/4-20 x 2in,Inventory Part,22.36,41.59,Non ,114,Uline,18,50,L81530,EA
LOCsize4-081,Lock Nut Nylon Insert M10 x 2in,Inventory Part,9.5,17.96,,6,Brighton-Best International,28,44,F51303,BX
FLA1250-082,Flat Washer SAE size 8 x 6in,Inventory Part,9.64,12.53,Non,,Garlock Sealing Technologies,2,20,P9141,EA
DRIM12-083,Drill Bit Cobalt 3/8-16 x 6in,Inventory Part,64.39,116.55,Non,321,Motion Industries,52,158,S87252,EA
HOSsize6-084,Hose Clamp SS M12 x 3in,Inventory Part,11.21,16.25,Non,464,Baldor-Reliance (ABB),38,189,S18719,EA 
LOCM10-085,Lock Nut Nylon Insert 1.000 x 4in,Inventory Part,9.35,13.74,Non,137,Baldor-Reliance (ABB),13,67,H32258,EA
HOS1000-086,Hose Clamp SS size 4 x 2in,Inventory Part,7.96,12.9,Non,526,Apex Fastener Corp,29,188,L89373,BX
LOC1420-087,Lock Nut Nylon Insert 1.500 x 5in,Inventory Part,22.41,,Non,25,Kaman Industrial Technologies,23,18,A83578,C
NIT1000-088 ,Nitrile Gloves #60 x 3in,Inventory Part,12.59,22.03,Non,21,Alro Steel,11,18,S54793,EA
CUT1500-089,Cutting Wheel 4.5in #50 x 3in,Inventory Part,52.43,73.4,Non,180,RYERSON,8,125,E32613,EA
FLA1420-090,FLAT WASHER SAE 5/8-11 X 6IN,Inventory Part,2.17,3.88,Non,168,RYERSON,52,123,E65833,BX
ABR51618-091,Abrasive Flap Disc #60 x 1in,Inventory Part,38.15,54.94,Non,,Uline,51,57,N24665,C
LOC3410-092,Lock Nut Nylon Insert size 4 x 3in,Inventory Part,29.560000000000002,39.61,Non,104,Baldor-Reliance (ABB),2,60,E63830,EA
HEX2000-093,Hex Bolt Gr 5 Zinc size 8 x 6in,Inventory Part,15.71,29.06,Non,22,Apex Fastener Corp,36,97,M14132,EA 
HEXM8-094,Hex Bolt Gr 5 Zinc 1.000 x 1in,Inventory Part,51.42,91.53,Non,202,Garlock Sealing Technologies,19,137,N79982,EA
ABRM12-095,Abrasive Flap Disc #60 x 4in,Inventory Part,26.150000000000002,35.3,Non,30,Baldor-Reliance (ABB),58,132,S32647,BX
LOC3410-096,Lock Nut Nylon Insert #80 x 6in,Inventory Part,27.93,39.1,Non,315,Fastenal,39,127,B94113,EA
SOC1500-097,Socket Head Cap Screw Alloy size 4 x 5in,Inventory Part,77.74,138.38,NON,14,McMaster-Carr,58,12,E52550,EA
SOCsize6-098,Socket Head Cap Screw Alloy #50 x 4in,,69.54,117.52,Non,108,Ryerson,3,186,G86463,EA
LOC5811-099,Lock Nut Nylon Insert #80 x 6in,Inventory Part,13.36,23.91,Non,16,Garlock Sealing Technologies,59,97,D56746,EA
DRI2000-100,Drill Bit Cobalt 1/4-20 x 6in,Inventory Part,59.0,77.29,Non ,,Haas Automation,3,122,R84081,C
HEXsize8-101,Hex Bolt Gr 5 Zinc M10 x 6in,Inventory Part,52.13,82.89,Non,28,Haas Automation,34,40,D16718,C
,Lock Nut Nylon Insert #80 x 2in,Inventory Part,21.95,34.02,Non,3,Motion Industries,52,109,M86428,EA
HOSsize6-103,Hose Clamp SS #50 x 5in,Inventory Part,10.450000000000001,15.99,Non,386,Baldor-Reliance (ABB),41,198,G17876,EA
HOSM12-104,HOSE CLAMP SS 1.250 X 4IN,Inventory Part,28.71,44.5,Non,98,Haas Automation,18,155,T97642,EA
DRIsize6-105,Drill Bit Cobalt 3/8-16 x 6in,Inventory Part,10.34,19.13,Non,35,Garlock Sealing Technologies,,,P11285,EA
NIT1375-106,Nitrile Gloves 1/4-20 x 3in,Inventory Part,11.97,18.19,Non,97,Brighton-Best International,15,35,S75615,EA
CAB1420-107,Cable Tie UV Black 5/16-18 x 1in,Inventory Part,28.41,42.62,Non,54,Applied Industrial Technologies,43,22,G26116,EA
LOCM8-108 ,Lock Nut Nylon Insert #50 x 6in,Inventory Part,7.98,14.6,Tax,225,Apex Fastener Corp,60,168,P21913,EA
ABRM12-109,Abrasive Flap Disc 2.000 x 2in,Inventory Part,72.03,133.26,Non,134,Kaman Industrial Technologies,15,69,T29571,EA
DRIsize6-110,Drill Bit Cobalt #50 x 3in,Inventory Part,45.25,66.06,Non,200,Fastenal,60,127,F39279,C
CABsize8-111,Cable Tie UV Black 1.500 x 3in,Inventory Part,13.25,21.6,Non,238,McMaster-Carr,10,109,K62833,EA
FLA3410-112,FLAT WASHER SAE 1.000 X 1IN,Inventory Part,10.58,16.72,Non,18,Motion Industries,31,88,S46007,EA
SOC1375-113,Socket Head Cap Screw Alloy #80 x 6in,Inventory Part,22.75,42.77,Non,119,Fastenal,48,60,M19705,C
HOSsize8-114,Hose Clamp SS 1.000 x 5in,Inventory Part,37.17,48.32,Non,170,Uline,31,94,L6357,C
LOC2000-115,Lock Nut Nylon Insert 3/8-16 x 6in,Inventory Part,8.31,11.22,Non,30,Fastenal,41,124,B79589,EA
HEXM10-116,Hex Bolt Gr 5 Zinc #50 x 3in,Inventory Part,38.02,69.96,Tax,212,Regal Rexnord,,147,G89816,EA
NIT1250-117,Nitrile Gloves 1.375 x 2in,Inventory Part,8.74,15.99,,39,McMaster-Carr ,39,48,B26565,EA
FLAsize6-118,Flat Washer SAE 1.000 x 1in,Inventory Part,6.0,9.66,Non,345,Ryerson,27,175,T74600,EA
CUT60-119,Cutting Wheel 4.5in 1/2-13 x 6in,Inventory Part,25.84,41.09,Non,38,Applied Industrial Technologies,37,23,P27097,EA
,Lock Nut Nylon Insert 1.250 x 5in,Inventory Part,26.7,42.19,Non,285,Motion Industries,8,138,E30677,EA
DRIsize4-121,,Inventory Part,57.33,82.56,Tax,,Haas Automation,60,88,H65729,BX
FLA60-122,Flat Washer SAE #60 x 3in,Inventory Part,18.44,26.0,Non,43,Apex Fastener Corp ,44,27,E24117,C
SOC1250-123,Socket Head Cap Screw Alloy M6 x 3in,Inventory Part,69.72,115.74,Non,6,Sandvik Coromant,11,89,L30756,C
HEX1250-124,,Inventory Part,7.96,13.77,,103,Uline,50,36,A15028,C
CAB1420-125,Cable Tie UV Black 1.000 x 6in,Inventory Part,5.46,9.72,Non,249,Sandvik Coromant,54,108,N15564 ,EA
HEXM6-126,Hex Bolt Gr 5 Zinc M8 x 1in,Inventory Part,,70.86,Non,,McMaster-Carr,27,67,H65583,EA
CAB50-127,Cable Tie UV Black 1.000 x 1in,INVENTORY PART,12.31,18.34,Tax,80,,5,151,H56442,C
HOSsize8-128,Hose Clamp SS #50 x 2in,Inventory Part,23.89,45.39,,230,Ryerson ,20,99,H62495,EA
SOC51618-129,Socket Head Cap Screw Alloy size 6 x 5in,Inventory Part,82.77,118.36,Non,257,Parker Hannifin,24,103,L68728,C
LOCM6-130,Lock Nut Nylon Insert 1.000 x 5in ,Inventory Part,16.43,25.96,Non,154,Kaman Industrial Technologies,60,78,N16545,EA
HEXM10-131,Hex Bolt Gr 5 Zinc #50 x 3in,Inventory Part ,54.6,90.09,Non,223,Applied Industrial Technologies,37,165,A68753,EA
NIT80-132,Nitrile Gloves 1/4-20 x 2in,Inventory Part,13.63,25.22,Non,128,Kaman Industrial Technologies,44,113,T80370,BX
HOS1250-133,Hose Clamp SS 5/16-18 x 4in,Inventory Part,14.61,26.88,Non,,Uline,52,139,A27771,EA
FLAsize6-134,Flat Washer SAE size 8 x 3in,Inventory Part,2.8000000000000003,5.04,Non,169,Fastenal,19,77,E61704,BX
LOC60-135,Lock Nut Nylon Insert size 8 x 2in,Inventory Part,29.62,50.95,Non,142,GARLOCK SEALING TECHNOLOGIES,18,176,D94500,EA
SOCM6-136,Socket Head Cap Screw Alloy 1/4-20 x 1in,Inventory Part,27.72,44.63,Non,,Sandvik Coromant ,32,178,E86018,BX
CAB5811-137,Cable Tie UV Black size 6 x 2in,Inventory Part ,15.32,26.96,Non,238,Applied Industrial Technologies,20,102,C31101,C
DRISIZE8-138,Drill Bit Cobalt size 8 x 3in,Inventory Part,53.24,70.28,Non,86,Fastenal,3,73,,C
SOCsize6-098,Socket Head Cap Screw Alloy #50 x 4in,,69.54,117.52,Non,108,Ryerson,3,186,G86463,EA
CAB80-139,Cable Tie UV Black 1.375 x 1in,Inventory Part,7.26,9.66,NON,360,Kaman Industrial Technologies,35,124,F37911,BX
