bom_id,parent_item_id,parent_revision,line,component_item_id,component_revision,qty_per,uom,scrap_pct,effective_date,status
BOM-A-20078,A-20078,B,40,P-20069,,2.5,EA,3,2025-01-01,Released
BOM-A-20082,A-20082,B,10,P-20049,,1,EA,2,2025-01-01,Released
BOM-A-20082,A-20082,B,20,P-20008,,4,EA,0,2025-01-01,Released
BOM-A-20082,A-20082,B,30,P-20054,,2,EA,0,2025-01-01,Released
BOM-A-20087,A-20087,A,10,P-20118,,4,EA,5,2025-01-01,Released
BOM-A-20087,A-20087,A,20,P-20008,,0.75,EA,0,2025-01-01,Released
BOM-A-20087,A-20087,A,30,P-20023,,2,EA,5,2025-01-01,Released
BOM-A-20090,A-20090,C,10,P-20044,,1,EA,0,2025-01-01,Released
BOM-A-20090,A-20090,C,20,P-20006,,2,EA,2,2025-01-01,Released
BOM-A-20090,A-20090,C,30,P-20099,,1,EA,3,2025-01-01,Released
BOM-A-20092,A-20092,A,10,P-20046,,2,EA,3,2025-01-01,Released
BOM-A-20092,A-20092,A,20,P-20050,,0.75,EA,2,2025-01-01,Released
BOM-A-20092,A-20092,A,30,P-20032,,2,EA,2,2025-01-01,Released
BOM-A-20092,A-20092,A,40,P-20081,,2.5,EA,3,2025-01-01,Released
BOM-A-20093,A-20093,C,10,P-20028,,0.75,EA,2,2025-01-01,Released
BOM-A-20093,A-20093,C,20,P-20095,,2,EA,5,2025-01-01,Released
BOM-A-20093,A-20093,C,30,P-20050,,1,EA,2,2025-01-01,Released
BOM-A-20093,A-20093,C,40,P-20006,,4,EA,0,2025-01-01,Released
BOM-A-20093,A-20093,C,50,P-20044,,1,EA,3,2025-01-01,Released
BOM-A-20093,A-20093,C,60,P-10000,,2.5,EA,2,2025-01-01,Released
BOM-A-20094,A-20094,C,10,P-20042,,1,EA,0,2025-01-01,Released
BOM-A-20094,A-20094,C,20,P-20100,,0.75,EA,0,2025-01-01,Released
BOM-A-20094,A-20094,C,30,P-20109,,1,EA,0,2025-01-01,Released
BOM-A-20094,A-20094,C,40,P-10098,,18.7,LB,3,2025-01-01,Released
BOM-A-20094,A-20094,C,50,P-20011,,1,EA,2,2025-01-01,Released
BOM-A-20097,A-20097,A,10,P-10028,,0.75,EA,2,2025-01-01,Released
BOM-A-20097,A-20097,A,20,P-20059,,4,EA,5,2025-01-01,Released
BOM-A-20097,A-20097,A,30,P-20012,,1,EA,5,2025-01-01,Released
BOM-A-20097,A-20097,A,40,P-20046,,1,EA,3,2025-01-01,Released
BOM-A-20101,A-20101,A,10,P-20000,,2.5,EA,0,2025-01-01,Released
BOM-A-20101,A-20101,A,20,P-20027,,2,EA,3,2025-01-01,Released
BOM-A-20101,A-20101,A,30,P-20059,,1,EA,2,2025-01-01,Released
BOM-A-20101,A-20101,A,40,P-20028,,1,EA,5,2025-01-01,Released
BOM-A-20101,A-20101,A,50,P-20068,,0.75,EA,0,2025-01-01,Released
BOM-A-20107,A-20107,A,10,P-20064,,0.75,EA,5,2025-01-01,Released
BOM-A-20107,A-20107,A,20,P-20028,,4,EA,0,2025-01-01,Released
BOM-A-20107,A-20107,A,30,P-20016,,2,EA,0,2025-01-01,Released
BOM-A-20107,A-20107,A,40,P-20085,,2.5,EA,0,2025-01-01,Released
BOM-A-20107,A-20107,A,50,P-20000,,4,EA,3,2025-01-01,Released
BOM-A-20107,A-20107,A,60,P-20069,,1,EA,0,2025-01-01,Released
BOM-A-20110,A-20110,A,10,P-20024,,0.75,EA,5,2025-01-01,Released
BOM-A-20110,A-20110,A,20,P-20079,,2.5,EA,3,2025-01-01,Released
BOM-A-20110,A-20110,A,30,P-20060,,1,EA,5,2025-01-01,Released
BOM-A-20110,A-20110,A,40,P-20032,,0.75,EA,0,2025-01-01,Released
BOM-A-20114,A-20114,C,10,P-20012,,2,EA,5,2025-01-01,Released
BOM-A-20114,A-20114,C,20,P-20104,,4,EA,5,2025-01-01,Released
BOM-A-20114,A-20114,C,30,P-20106,,4,EA,0,2025-01-01,Released
BOM-A-20114,A-20114,C,40,P-20088,,0.75,EA,2,2025-01-01,Released
