customer_id,customer_name,segment,naics_prefix,bill_to_street,bill_to_city,bill_to_state,bill_to_zip,payment_terms,credit_limit,credit_hold,tax_exempt,resale_cert_on_file,sales_rep_id,price_level,customer_since,preferred_carrier,status
NIC-CUST0029,Great Lakes Lumber LLC,Lumber / Wood Products,321,7669 Oak Ave,Fort Wayne,IN,46833,Net 30,25000,N,Y,Y,E064,B,2018-02-06,Customer Pickup,Active
NIC-CUST0030,Rock River Steel Inc.,Steel Processing,331,3350 Union St,Milwaukee,WI,53283,Net 45,25000,N,Y,Y,E069,C,1990-06-15,LTL - Estes,Active
NIC-CUST0031,Midwest Climate Corp.,HVAC Equipment OEM,333,7181 Washington St,Fort Wayne,IN,46865,2% 10 Net 30,75000,N,Y,Y,E070,C,2017-09-04,LTL - XPO,Active
NIC-CUST0032,Rock River Foods Co.,Food & Beverage Processing,311,6962 Front St,Peoria,IL,61676,Net 60,250000,N,Y,Y,E070,B,1984-07-28,Customer Pickup,Inactive
NIC-CUST0033,Midwest Ag Equipment LP,Agricultural Equipment,333,8902 River Rd,Peoria,IL,61664,Net 30,75000,N,Y,Y,E071,A,2024-08-07,LTL - XPO,Active
NIC-CUST0034,Cardinal Poultry Inc.,Poultry Processing,311,1651 Market St,Peoria,IL,61646,Net 45,100000,N,N,Y,E072,C,1984-01-22,Customer Pickup,Active
NIC-CUST0035,Keystone Chemical Corp.,Chemical Blending,325,1813 Park Pl,Fort Wayne,IN,46864,Net 30,250000,N,Y,N,E070,B,2012-08-03,Customer Pickup,Active
NIC-CUST0036,Cardinal Lumber LP,Lumber / Wood Products,321,47 Union St,Fort Wayne,IN,46863,Net 45,100000,N,Y,Y,E071,D,2004-03-02,UPS Ground,Active
NIC-CUST0037,Allegheny Climate Inc.,HVAC Equipment OEM,333,7723 Harbor Dr,Peoria,IL,61643,Net 60,250000,N,Y,N,E066,D,2021-12-27,LTL - XPO,Active
NIC-CUST0038,Appalachian Lumber Corp.,Lumber / Wood Products,321,1516 Lincoln Ave,Milwaukee,WI,53277,Net 45,250000,N,N,Y,E064,B,2009-07-31,UPS Ground,Active
NIC-CUST0039,Summit Conveyor LLC,Conveyor / Material Handling OEM,333,5670 Elm St,Milwaukee,WI,53276,Net 30,250000,N,Y,Y,E072,A,2005-01-08,Company Truck,Active
NIC-CUST0040,Allegheny Paper LP,Pulp & Paper,322,8300 Union St,Fort Wayne,IN,46895,Net 30,50000,N,Y,N,E064,D,1992-01-31,FedEx Ground,Active
