price_list_id,price_level,item_id,unit_price,currency,effective_date,expiration_date
PL-C,C,A-20039,617.57,USD,2025-01-01,2026-12-31
PL-D,D,A-20039,562.68,USD,2025-01-01,2026-12-31
PL-A,A,A-20040,314.29,USD,2025-01-01,2026-12-31
PL-B,B,A-20040,298.58,USD,2025-01-01,2026-12-31
PL-C,C,A-20040,282.86,USD,2025-01-01,2026-12-31
PL-D,D,A-20040,257.72,USD,2025-01-01,2026-12-31
PL-A,A,A-20043,2312.8,USD,2025-01-01,2026-12-31
PL-B,B,A-20043,2197.16,USD,2025-01-01,2026-12-31
PL-C,C,A-20043,2081.52,USD,2025-01-01,2026-12-31
PL-D,D,A-20043,1896.5,USD,2025-01-01,2026-12-31
PL-A,A,A-20053,932.17,USD,2025-01-01,2026-12-31
PL-B,B,A-20053,885.56,USD,2025-01-01,2026-12-31
PL-C,C,A-20053,838.95,USD,2025-01-01,2026-12-31
PL-D,D,A-20053,764.38,USD,2025-01-01,2026-12-31
PL-A,A,A-20058,430.53,USD,2025-01-01,2026-12-31
PL-B,B,A-20058,409.0,USD,2025-01-01,2026-12-31
PL-C,C,A-20058,387.48,USD,2025-01-01,2026-12-31
PL-D,D,A-20058,353.03,USD,2025-01-01,2026-12-31
PL-A,A,A-20061,265.04,USD,2025-01-01,2026-12-31
PL-B,B,A-20061,251.79,USD,2025-01-01,2026-12-31
PL-C,C,A-20061,238.54,USD,2025-01-01,2026-12-31
PL-D,D,A-20061,217.33,USD,2025-01-01,2026-12-31
PL-A,A,A-20063,1990.72,USD,2025-01-01,2026-12-31
PL-B,B,A-20063,1891.18,USD,2025-01-01,2026-12-31
PL-C,C,A-20063,1791.65,USD,2025-01-01,2026-12-31
PL-D,D,A-20063,1632.39,USD,2025-01-01,2026-12-31
PL-A,A,A-20065,1133.16,USD,2025-01-01,2026-12-31
PL-B,B,A-20065,1076.5,USD,2025-01-01,2026-12-31
PL-C,C,A-20065,1019.84,USD,2025-01-01,2026-12-31
PL-D,D,A-20065,929.19,USD,2025-01-01,2026-12-31
PL-A,A,A-20070,3217.56,USD,2025-01-01,2026-12-31
PL-B,B,A-20070,3056.68,USD,2025-01-01,2026-12-31
PL-C,C,A-20070,2895.8,USD,2025-01-01,2026-12-31
PL-D,D,A-20070,2638.4,USD,2025-01-01,2026-12-31
PL-A,A,A-20072,539.32,USD,2025-01-01,2026-12-31
PL-B,B,A-20072,512.35,USD,2025-01-01,2026-12-31
PL-C,C,A-20072,485.39,USD,2025-01-01,2026-12-31
PL-D,D,A-20072,442.24,USD,2025-01-01,2026-12-31
PL-A,A,A-20073,819.27,USD,2025-01-01,2026-12-31
PL-B,B,A-20073,778.31,USD,2025-01-01,2026-12-31
PL-C,C,A-20073,737.34,USD,2025-01-01,2026-12-31
PL-D,D,A-20073,671.8,USD,2025-01-01,2026-12-31
PL-A,A,A-20076,1334.18,USD,2025-01-01,2026-12-31
PL-B,B,A-20076,1267.47,USD,2025-01-01,2026-12-31
PL-C,C,A-20076,1200.76,USD,2025-01-01,2026-12-31
PL-D,D,A-20076,1094.03,USD,2025-01-01,2026-12-31
PL-A,A,A-20077,1296.27,USD,2025-01-01,2026-12-31
PL-B,B,A-20077,1231.46,USD,2025-01-01,2026-12-31
PL-C,C,A-20077,1166.64,USD,2025-01-01,2026-12-31
PL-D,D,A-20077,1062.94,USD,2025-01-01,2026-12-31
PL-A,A,A-20078,1275.6,USD,2025-01-01,2026-12-31
PL-B,B,A-20078,1211.82,USD,2025-01-01,2026-12-31
PL-C,C,A-20078,1148.04,USD,2025-01-01,2026-12-31
PL-D,D,A-20078,1045.99,USD,2025-01-01,2026-12-31
PL-A,A,A-20082,1472.52,USD,2025-01-01,2026-12-31
PL-B,B,A-20082,1398.89,USD,2025-01-01,2026-12-31
PL-C,C,A-20082,1325.27,USD,2025-01-01,2026-12-31
PL-D,D,A-20082,1207.47,USD,2025-01-01,2026-12-31
PL-A,A,A-20087,619.49,USD,2025-01-01,2026-12-31
PL-B,B,A-20087,588.52,USD,2025-01-01,2026-12-31
PL-C,C,A-20087,557.54,USD,2025-01-01,2026-12-31
PL-D,D,A-20087,507.98,USD,2025-01-01,2026-12-31
PL-A,A,A-20090,1346.93,USD,2025-01-01,2026-12-31
PL-B,B,A-20090,1279.58,USD,2025-01-01,2026-12-31
PL-C,C,A-20090,1212.24,USD,2025-01-01,2026-12-31
PL-D,D,A-20090,1104.48,USD,2025-01-01,2026-12-31
PL-A,A,A-20092,2586.3,USD,2025-01-01,2026-12-31
PL-B,B,A-20092,2456.99,USD,2025-01-01,2026-12-31
PL-C,C,A-20092,2327.67,USD,2025-01-01,2026-12-31
PL-D,D,A-20092,2120.77,USD,2025-01-01,2026-12-31
PL-A,A,A-20093,3550.31,USD,2025-01-01,2026-12-31
PL-B,B,A-20093,3372.79,USD,2025-01-01,2026-12-31
PL-C,C,A-20093,3195.28,USD,2025-01-01,2026-12-31
PL-D,D,A-20093,2911.25,USD,2025-01-01,2026-12-31
PL-A,A,A-20097,417.11,USD,2025-01-01,2026-12-31
PL-B,B,A-20097,396.25,USD,2025-01-01,2026-12-31
PL-C,C,A-20097,375.4,USD,2025-01-01,2026-12-31
PL-D,D,A-20097,342.03,USD,2025-01-01,2026-12-31
PL-A,A,A-20101,3597.42,USD,2025-01-01,2026-12-31
PL-B,B,A-20101,3417.55,USD,2025-01-01,2026-12-31
PL-C,C,A-20101,3237.68,USD,2025-01-01,2026-12-31
PL-D,D,A-20101,2949.88,USD,2025-01-01,2026-12-31
PL-A,A,A-20107,3711.05,USD,2025-01-01,2026-12-31
PL-B,B,A-20107,3525.5,USD,2025-01-01,2026-12-31
PL-C,C,A-20107,3339.95,USD,2025-01-01,2026-12-31
PL-D,D,A-20107,3043.06,USD,2025-01-01,2026-12-31
PL-A,A,A-20110,4945.44,USD,2025-01-01,2026-12-31
PL-B,B,A-20110,4698.17,USD,2025-01-01,2026-12-31
PL-C,C,A-20110,4450.9,USD,2025-01-01,2026-12-31
PL-D,D,A-20110,4055.26,USD,2025-01-01,2026-12-31
PL-A,A,A-20114,442.89,USD,2025-01-01,2026-12-31
PL-B,B,A-20114,420.75,USD,2025-01-01,2026-12-31
PL-C,C,A-20114,398.6,USD,2025-01-01,2026-12-31
PL-D,D,A-20114,363.17,USD,2025-01-01,2026-12-31
