routing_id,item_id,operation,work_center_id,description,setup_hours,run_hours_per_unit,queue_days
RTG-A-20034,A-20034,40,WC-SAW,Bar Saw,1.5,0.31,2
RTG-A-20034,A-20034,50,WC-INSP,Final Inspection,0.25,1.18,2
RTG-A-20034,A-20034,60,WC-PACK,Packaging,1.0,0.88,2
RTG-A-20036,A-20036,10,WC-ASSY,Assembly,2.0,0.2,2
RTG-A-20036,A-20036,20,WC-CNC1,CNC Lathe Cell 1,0.5,0.73,0
RTG-A-20036,A-20036,30,WC-INSP,Final Inspection,1.75,0.43,1
RTG-A-20036,A-20036,40,WC-PACK,Packaging,1.5,0.57,0
RTG-A-20038,A-20038,10,WC-ASSY,Assembly,0.5,0.46,0
RTG-A-20038,A-20038,20,WC-DEBUR,Deburr / Finish,0.5,1.07,2
RTG-A-20038,A-20038,30,WC-INSP,Final Inspection,1.0,0.34,2
RTG-A-20038,A-20038,40,WC-PACK,Packaging,1.5,0.75,1
RTG-A-20039,A-20039,10,WC-DEBUR,Deburr / Finish,1.5,0.19,2
RTG-A-20039,A-20039,20,WC-CNC1,CNC Lathe Cell 1,0.75,0.37,0
RTG-A-20039,A-20039,30,WC-SAW,Bar Saw,0.75,0.48,2
RTG-A-20039,A-20039,40,WC-ASSY,Assembly,1.75,0.75,0
RTG-A-20039,A-20039,50,WC-INSP,Final Inspection,1.25,1.04,1
RTG-A-20039,A-20039,60,WC-PACK,Packaging,0.5,0.46,0
RTG-A-20040,A-20040,10,WC-SAW,Bar Saw,1.25,0.47,0
RTG-A-20040,A-20040,20,WC-CNC2,CNC Mill Cell 2,1.75,0.5,0
RTG-A-20040,A-20040,30,WC-CNC1,CNC Lathe Cell 1,1.5,0.53,0
RTG-A-20040,A-20040,40,WC-ASSY,Assembly,2.0,0.75,1
RTG-A-20040,A-20040,50,WC-INSP,Final Inspection,1.0,1.16,1
RTG-A-20040,A-20040,60,WC-PACK,Packaging,2.0,0.54,1
RTG-A-20043,A-20043,10,WC-ASSY,Assembly,1.75,0.88,2
RTG-A-20043,A-20043,20,WC-SAW,Bar Saw,1.75,0.11,0
RTG-A-20043,A-20043,30,WC-INSP,Final Inspection,1.0,0.79,1
RTG-A-20043,A-20043,40,WC-PACK,Packaging,0.25,0.4,2
RTG-A-20053,A-20053,10,WC-CNC2,CNC Mill Cell 2,0.5,0.69,1
RTG-A-20053,A-20053,20,WC-ASSY,Assembly,1.5,1.08,1
RTG-A-20053,A-20053,30,WC-DEBUR,Deburr / Finish,0.75,0.58,2
RTG-A-20053,A-20053,40,WC-CNC1,CNC Lathe Cell 1,1.0,0.41,1
RTG-A-20053,A-20053,50,WC-INSP,Final Inspection,0.5,1.15,1
RTG-A-20053,A-20053,60,WC-PACK,Packaging,1.75,0.07,0
RTG-A-20058,A-20058,10,WC-CNC1,CNC Lathe Cell 1,1.25,0.2,2
RTG-A-20058,A-20058,20,WC-ASSY,Assembly,1.0,0.13,2
RTG-A-20058,A-20058,30,WC-INSP,Final Inspection,2.0,1.13,1
RTG-A-20058,A-20058,40,WC-PACK,Packaging,0.75,0.28,0
RTG-A-20061,A-20061,10,WC-SAW,Bar Saw,1.0,0.46,1
RTG-A-20061,A-20061,20,WC-CNC2,CNC Mill Cell 2,1.5,0.07,2
RTG-A-20061,A-20061,30,WC-INSP,Final Inspection,0.5,0.28,0
RTG-A-20061,A-20061,40,WC-PACK,Packaging,0.75,1.07,1
RTG-A-20063,A-20063,10,WC-CNC2,CNC Mill Cell 2,0.75,0.08,1
RTG-A-20063,A-20063,20,WC-DEBUR,Deburr / Finish,0.5,0.66,2
RTG-A-20063,A-20063,30,WC-INSP,Final Inspection,1.75,0.33,0
RTG-A-20063,A-20063,40,WC-PACK,Packaging,0.25,0.07,2
RTG-A-20065,A-20065,10,WC-CNC2,CNC Mill Cell 2,1.75,0.09,2
RTG-A-20065,A-20065,20,WC-ASSY,Assembly,0.75,0.12,0
RTG-A-20065,A-20065,30,WC-SAW,Bar Saw,0.5,0.26,0
RTG-A-20065,A-20065,40,WC-DEBUR,Deburr / Finish,1.5,0.49,1
RTG-A-20065,A-20065,50,WC-INSP,Final Inspection,0.25,0.19,1
RTG-A-20065,A-20065,60,WC-PACK,Packaging,1.75,0.35,1
RTG-A-20070,A-20070,10,WC-ASSY,Assembly,1.75,0.35,2
RTG-A-20070,A-20070,20,WC-SAW,Bar Saw,1.0,0.69,1
RTG-A-20070,A-20070,30,WC-CNC2,CNC Mill Cell 2,0.25,0.91,2
RTG-A-20070,A-20070,40,WC-DEBUR,Deburr / Finish,0.5,0.8,2
RTG-A-20070,A-20070,50,WC-INSP,Final Inspection,0.5,0.37,2
RTG-A-20070,A-20070,60,WC-PACK,Packaging,0.25,1.18,0
RTG-A-20072,A-20072,10,WC-SAW,Bar Saw,1.5,0.35,1
RTG-A-20072,A-20072,20,WC-CNC2,CNC Mill Cell 2,1.25,0.77,1
RTG-A-20072,A-20072,30,WC-INSP,Final Inspection,2.0,0.35,1
RTG-A-20072,A-20072,40,WC-PACK,Packaging,0.5,1.16,1
RTG-A-20073,A-20073,10,WC-DEBUR,Deburr / Finish,1.0,1.08,2
RTG-A-20073,A-20073,20,WC-ASSY,Assembly,0.25,0.1,2
RTG-A-20073,A-20073,30,WC-INSP,Final Inspection,1.5,0.13,2
RTG-A-20073,A-20073,40,WC-PACK,Packaging,1.0,0.12,1
RTG-A-20076,A-20076,10,WC-CNC2,CNC Mill Cell 2,1.75,0.51,2
RTG-A-20076,A-20076,20,WC-ASSY,Assembly,0.75,0.26,0
RTG-A-20076,A-20076,30,WC-DEBUR,Deburr / Finish,0.5,0.11,1
RTG-A-20076,A-20076,40,WC-INSP,Final Inspection,1.0,0.15,2
RTG-A-20076,A-20076,50,WC-PACK,Packaging,0.25,0.89,0
RTG-A-20077,A-20077,10,WC-DEBUR,Deburr / Finish,0.75,0.5,1
RTG-A-20077,A-20077,20,WC-ASSY,Assembly,1.5,0.49,2
RTG-A-20077,A-20077,30,WC-SAW,Bar Saw,0.75,0.2,0
RTG-A-20077,A-20077,40,WC-CNC2,CNC Mill Cell 2,1.5,0.97,2
RTG-A-20077,A-20077,50,WC-INSP,Final Inspection,1.5,1.18,1
RTG-A-20077,A-20077,60,WC-PACK,Packaging,1.75,0.71,2
RTG-A-20078,A-20078,10,WC-DEBUR,Deburr / Finish,0.5,0.71,0
RTG-A-20078,A-20078,20,WC-SAW,Bar Saw,1.25,0.84,1
RTG-A-20078,A-20078,30,WC-INSP,Final Inspection,1.0,0.66,2
RTG-A-20078,A-20078,40,WC-PACK,Packaging,1.5,0.49,0
RTG-A-20082,A-20082,10,WC-CNC1,CNC Lathe Cell 1,0.5,0.51,2
RTG-A-20082,A-20082,20,WC-CNC2,CNC Mill Cell 2,1.75,0.07,2
RTG-A-20082,A-20082,30,WC-ASSY,Assembly,0.5,0.09,0
RTG-A-20082,A-20082,40,WC-SAW,Bar Saw,0.25,1.06,2
RTG-A-20082,A-20082,50,WC-INSP,Final Inspection,2.0,0.4,0
RTG-A-20082,A-20082,60,WC-PACK,Packaging,1.0,0.56,0
RTG-A-20087,A-20087,10,WC-SAW,Bar Saw,0.5,0.78,0
RTG-A-20087,A-20087,20,WC-CNC2,CNC Mill Cell 2,0.5,1.14,1
RTG-A-20087,A-20087,30,WC-CNC1,CNC Lathe Cell 1,0.75,0.31,0
RTG-A-20087,A-20087,40,WC-ASSY,Assembly,0.75,0.38,0
RTG-A-20087,A-20087,50,WC-INSP,Final Inspection,2.0,1.02,0
RTG-A-20087,A-20087,60,WC-PACK,Packaging,0.5,0.73,2
RTG-A-20090,A-20090,10,WC-SAW,Bar Saw,0.5,0.36,2
RTG-A-20090,A-20090,20,WC-CNC1,CNC Lathe Cell 1,1.75,0.32,1
RTG-A-20090,A-20090,30,WC-DEBUR,Deburr / Finish,0.5,0.87,1
RTG-A-20090,A-20090,40,WC-CNC2,CNC Mill Cell 2,1.5,0.71,2
RTG-A-20090,A-20090,50,WC-INSP,Final Inspection,0.5,0.46,1
RTG-A-20090,A-20090,60,WC-PACK,Packaging,1.25,0.13,2
RTG-A-20092,A-20092,10,WC-DEBUR,Deburr / Finish,0.5,1.03,2
RTG-A-20092,A-20092,20,WC-CNC1,CNC Lathe Cell 1,1.75,0.38,0
RTG-A-20092,A-20092,30,WC-ASSY,Assembly,1.0,0.76,2
RTG-A-20092,A-20092,40,WC-SAW,Bar Saw,0.75,0.33,1
RTG-A-20092,A-20092,50,WC-INSP,Final Inspection,1.0,0.69,1
RTG-A-20092,A-20092,60,WC-PACK,Packaging,0.5,0.17,2
RTG-A-20093,A-20093,10,WC-CNC2,CNC Mill Cell 2,0.5,0.63,2
RTG-A-20093,A-20093,20,WC-CNC1,CNC Lathe Cell 1,1.0,0.14,2
RTG-A-20093,A-20093,30,WC-ASSY,Assembly,1.75,0.14,0
RTG-A-20093,A-20093,40,WC-INSP,Final Inspection,1.5,0.14,2
RTG-A-20093,A-20093,50,WC-PACK,Packaging,0.5,0.57,1
RTG-A-20094,A-20094,10,WC-CNC2,CNC Mill Cell 2,0.25,1.09,0
RTG-A-20094,A-20094,20,WC-ASSY,Assembly,1.0,1.16,1
RTG-A-20094,A-20094,30,WC-DEBUR,Deburr / Finish,1.5,1.05,0
RTG-A-20094,A-20094,40,WC-CNC1,CNC Lathe Cell 1,1.25,0.45,1
RTG-A-20094,A-20094,50,WC-INSP,Final Inspection,1.25,1.02,1
RTG-A-20094,A-20094,60,WC-PACK,Packaging,0.25,1.09,2
RTG-A-20097,A-20097,10,WC-CNC2,CNC Mill Cell 2,1.5,0.83,1
RTG-A-20097,A-20097,20,WC-DEBUR,Deburr / Finish,0.25,0.7,1
RTG-A-20097,A-20097,30,WC-INSP,Final Inspection,1.25,0.1,0
RTG-A-20097,A-20097,40,WC-PACK,Packaging,1.25,0.41,1
RTG-A-20101,A-20101,10,WC-DEBUR,Deburr / Finish,0.5,1.13,0
RTG-A-20101,A-20101,20,WC-SAW,Bar Saw,1.75,0.38,0
RTG-A-20101,A-20101,30,WC-CNC2,CNC Mill Cell 2,1.25,0.97,0
RTG-A-20101,A-20101,40,WC-ASSY,Assembly,1.75,1.09,0
RTG-A-20101,A-20101,50,WC-INSP,Final Inspection,1.75,0.07,0
RTG-A-20101,A-20101,60,WC-PACK,Packaging,1.25,0.56,0
RTG-A-20107,A-20107,10,WC-CNC1,CNC Lathe Cell 1,0.75,0.24,2
RTG-A-20107,A-20107,20,WC-ASSY,Assembly,0.75,0.58,0
RTG-A-20107,A-20107,30,WC-INSP,Final Inspection,2.0,0.36,0
RTG-A-20107,A-20107,40,WC-PACK,Packaging,1.5,0.71,0
RTG-A-20110,A-20110,10,WC-CNC1,CNC Lathe Cell 1,2.0,0.19,0
RTG-A-20110,A-20110,20,WC-SAW,Bar Saw,1.5,0.09,2
RTG-A-20110,A-20110,30,WC-INSP,Final Inspection,1.75,0.92,0
RTG-A-20110,A-20110,40,WC-PACK,Packaging,1.75,1.06,2
RTG-A-20114,A-20114,10,WC-DEBUR,Deburr / Finish,1.0,1.01,0
RTG-A-20114,A-20114,20,WC-CNC2,CNC Mill Cell 2,1.75,0.54,1
RTG-A-20114,A-20114,30,WC-INSP,Final Inspection,0.5,0.82,1
RTG-A-20114,A-20114,40,WC-PACK,Packaging,0.5,1.19,0
