employee_id,as_of_date,pto_accrued_hours,pto_used_hours,sick_accrued_hours,sick_used_hours,carryover_hours
E075,2026-03-31,155.5,30.0,40.0,11.5,4.5
E076,2026-03-31,54.0,62.0,40.0,11.0,10.0
E077,2026-03-31,101.5,88.0,40.0,27.5,13.5
E078,2026-03-31,66.5,86.5,40.0,14.0,20.0
E079,2026-03-31,77.5,64.0,40.0,13.5,31.0
E080,2026-03-31,121.0,22.5,40.0,4.0,26.0
E081,2026-03-31,115.5,64.0,40.0,27.0,21.5
E082,2026-03-31,68.0,40.0,40.0,7.5,10.0
E083,2026-03-31,45.0,99.5,40.0,16.0,26.5
E084,2026-03-31,117.5,74.0,40.0,10.5,30.0
E085,2026-03-31,150.5,46.5,40.0,27.5,37.0
E087,2026-03-31,48.0,4.5,40.0,30.0,11.5
E088,2026-03-31,128.5,28.5,40.0,27.0,21.5
E089,2026-03-31,78.0,6.0,40.0,39.5,0.5
E090,2026-03-31,47.0,86.5,40.0,6.0,18.0
E091,2026-03-31,52.5,59.0,40.0,37.5,22.0
E092,2026-03-31,67.0,29.0,40.0,1.0,25.5
E093,2026-03-31,66.0,86.5,40.0,36.5,18.0
E094,2026-03-31,79.5,63.0,40.0,16.5,10.0
E095,2026-03-31,150.5,92.5,40.0,32.5,16.0
E096,2026-03-31,147.5,10.0,40.0,30.0,34.0
E097,2026-03-31,124.5,6.0,40.0,9.5,8.0
E098,2026-03-31,91.0,96.5,40.0,8.0,5.5
E099,2026-03-31,110.5,68.5,40.0,23.0,24.5
E100,2026-03-31,82.5,45.0,40.0,8.5,25.5
E102,2026-03-31,42.5,86.0,40.0,33.0,37.0
E103,2026-03-31,156.5,44.5,40.0,18.0,33.0
E104,2026-03-31,42.0,72.5,40.0,35.0,15.0
E105,2026-03-31,47.0,36.5,40.0,16.0,2.0
E106,2026-03-31,153.5,11.5,40.0,37.5,29.5
