employee_id,course,completed_date,expiration_date,provider,status,certificate_file
E054,Hazard Communication,2024-12-23,2026-12-23,Internal,Current,E054_hazard.pdf
E054,First Aid/CPR,2025-07-11,2027-07-11,ASQ,Current,
E054,GD&T Fundamentals,2025-09-26,2027-09-26,Red Cross,Current,E054_gd&t.pdf
E055,Lockout/Tagout,2026-01-24,2028-01-24,Internal,Current,
E056,Lockout/Tagout,2025-06-14,2027-06-14,OSHA Outreach,Current,E056_lockout/tagout.pdf
E056,GD&T Fundamentals,2025-10-25,2027-10-25,ASQ,Current,E056_gd&t.pdf
E056,Fall Protection,2023-01-18,2025-01-17,OSHA Outreach,Expired,E056_fall.pdf
E056,ISO 9001 Internal Auditor,2024-11-18,2026-11-18,Red Cross,Current,E056_iso.pdf
E057,Forklift Certification,2023-08-08,2026-08-07,ASQ,Current,E057_forklift.pdf
E057,Lockout/Tagout,2023-12-18,2025-12-17,Internal,Expired,E057_lockout/tagout.pdf
E057,Fall Protection,2025-12-11,2027-12-11,Toyota Material Handling,Current,E057_fall.pdf
E057,Crane & Rigging,2024-03-04,2026-03-04,OSHA Outreach,Expired,E057_crane.pdf
E058,GD&T Fundamentals,2025-10-17,2027-10-17,Toyota Material Handling,Current,E058_gd&t.pdf
E058,Hearing Conservation,2023-03-08,2025-03-07,Internal,Expired,E058_hearing.pdf
E058,Crane & Rigging,2025-09-10,2027-09-10,OSHA Outreach,Current,E058_crane.pdf
E058,Forklift Certification,2025-05-27,2028-05-26,Red Cross,Current,
E059,ISO 9001 Internal Auditor,2024-11-12,2026-11-12,Red Cross,Current,E059_iso.pdf
E059,Fall Protection,2025-06-03,2027-06-03,Red Cross,Current,E059_fall.pdf
E060,Lockout/Tagout,2025-06-27,2027-06-27,ASQ,Current,E060_lockout/tagout.pdf
E060,Hazard Communication,2023-06-01,2025-05-31,Internal,Expired,E060_hazard.pdf
E060,Fall Protection,2024-05-05,2026-05-05,ASQ,Current,E060_fall.pdf
E060,DOT Medical Card,2025-05-04,2027-05-04,OSHA Outreach,Current,E060_dot.pdf
E061,DOT Medical Card,2023-02-23,2025-02-22,Toyota Material Handling,Expired,E061_dot.pdf
E061,Fall Protection,2023-06-12,2025-06-11,Toyota Material Handling,Expired,E061_fall.pdf
E061,First Aid/CPR,2024-02-04,2026-02-03,OSHA Outreach,Expired,E061_first.pdf
E062,First Aid/CPR,2025-03-22,2027-03-22,Red Cross,Current,
E063,DOT Medical Card,2025-11-07,2027-11-07,Toyota Material Handling,Current,E063_dot.pdf
E064,Crane & Rigging,2026-03-29,2028-03-28,Toyota Material Handling,Current,E064_crane.pdf
E064,Hazard Communication,2025-04-17,2027-04-17,OSHA Outreach,Current,E064_hazard.pdf
E064,Fall Protection,2025-10-27,2027-10-27,Toyota Material Handling,Current,E064_fall.pdf
E064,First Aid/CPR,2025-01-14,2027-01-14,Red Cross,Current,E064_first.pdf
E065,Forklift Certification,2025-11-06,2028-11-05,Red Cross,Current,
E065,Fall Protection,2024-08-02,2026-08-02,Internal,Current,
E065,ISO 9001 Internal Auditor,2023-05-30,2025-05-29,Red Cross,Expired,
E066,Forklift Certification,2024-04-26,2027-04-26,Internal,Current,
E066,First Aid/CPR,2025-07-23,2027-07-23,Toyota Material Handling,Current,
E067,Forklift Certification,2024-03-22,2027-03-22,Internal,Current,
E067,ISO 9001 Internal Auditor,2023-08-10,2025-08-09,OSHA Outreach,Expired,E067_iso.pdf
E068,Crane & Rigging,2025-06-22,2027-06-22,ASQ,Current,
E068,First Aid/CPR,2023-07-21,2025-07-20,Red Cross,Expired,
E069,Lockout/Tagout,2023-02-03,2025-02-02,Internal,Expired,E069_lockout/tagout.pdf
E069,DOT Medical Card,2025-03-28,2027-03-28,Internal,Current,E069_dot.pdf
E069,Fall Protection,2023-12-24,2025-12-23,Red Cross,Expired,E069_fall.pdf
E069,Forklift Certification,2025-02-24,2028-02-24,Toyota Material Handling,Current,E069_forklift.pdf
E070,GD&T Fundamentals,2025-08-04,2027-08-04,OSHA Outreach,Current,E070_gd&t.pdf
E070,Hazard Communication,2024-06-16,2026-06-16,OSHA Outreach,Current,E070_hazard.pdf
E071,ISO 9001 Internal Auditor,2025-06-09,2027-06-09,OSHA Outreach,Current,
E071,Lockout/Tagout,2023-03-20,2025-03-19,Red Cross,Expired,E071_lockout/tagout.pdf
E072,Forklift Certification,2025-03-27,2028-03-26,Toyota Material Handling,Current,
E072,DOT Medical Card,2025-06-08,2027-06-08,Red Cross,Current,
E072,Crane & Rigging,2024-01-08,2026-01-07,Internal,Expired,E072_crane.pdf
E072,First Aid/CPR,2024-10-13,2026-10-13,OSHA Outreach,Current,E072_first.pdf
E073,Hazard Communication,2023-07-06,2025-07-05,Toyota Material Handling,Expired,E073_hazard.pdf
E073,First Aid/CPR,2023-11-10,2025-11-09,OSHA Outreach,Expired,
E073,DOT Medical Card,2023-10-08,2025-10-07,Internal,Expired,E073_dot.pdf
E073,GD&T Fundamentals,2026-02-28,2028-02-28,Toyota Material Handling,Current,E073_gd&t.pdf
E074,ISO 9001 Internal Auditor,2025-02-16,2027-02-16,Toyota Material Handling,Current,E074_iso.pdf
E074,Fall Protection,2024-06-30,2026-06-30,Internal,Current,E074_fall.pdf
E075,DOT Medical Card,2025-08-18,2027-08-18,Internal,Current,E075_dot.pdf
E075,ISO 9001 Internal Auditor,2023-02-18,2025-02-17,Red Cross,Expired,E075_iso.pdf
E075,Hazard Communication,2026-02-02,2028-02-02,ASQ,Current,
E075,Lockout/Tagout,2023-07-26,2025-07-25,ASQ,Expired,
E076,DOT Medical Card,2023-02-07,2025-02-06,ASQ,Expired,
E076,First Aid/CPR,2024-01-06,2026-01-05,Red Cross,Expired,
E077,ISO 9001 Internal Auditor,2023-07-29,2025-07-28,Red Cross,Expired,
E077,GD&T Fundamentals,2024-08-05,2026-08-05,ASQ,Current,E077_gd&t.pdf
E077,Crane & Rigging,2023-02-14,2025-02-13,Internal,Expired,E077_crane.pdf
E077,DOT Medical Card,2023-03-09,2025-03-08,OSHA Outreach,Expired,E077_dot.pdf
E078,Hearing Conservation,2024-12-09,2026-12-09,Red Cross,Current,
E079,First Aid/CPR,2023-10-10,2025-10-09,Toyota Material Handling,Expired,
E079,Crane & Rigging,2023-06-19,2025-06-18,OSHA Outreach,Expired,E079_crane.pdf
E079,Hearing Conservation,2023-01-09,2025-01-08,ASQ,Expired,E079_hearing.pdf
E080,GD&T Fundamentals,2023-01-11,2025-01-10,Internal,Expired,E080_gd&t.pdf
E080,Crane & Rigging,2023-06-12,2025-06-11,Internal,Expired,E080_crane.pdf
E081,Fall Protection,2023-02-10,2025-02-09,OSHA Outreach,Expired,E081_fall.pdf
E081,Crane & Rigging,2023-02-04,2025-02-03,Red Cross,Expired,E081_crane.pdf
E081,GD&T Fundamentals,2024-12-01,2026-12-01,Red Cross,Current,E081_gd&t.pdf
E081,Lockout/Tagout,2024-12-15,2026-12-15,Internal,Current,E081_lockout/tagout.pdf
E082,ISO 9001 Internal Auditor,2023-12-25,2025-12-24,Toyota Material Handling,Expired,E082_iso.pdf
E082,Hazard Communication,2025-12-19,2027-12-19,Toyota Material Handling,Current,
E082,Fall Protection,2024-09-28,2026-09-28,Red Cross,Current,E082_fall.pdf
E083,GD&T Fundamentals,2023-01-21,2025-01-20,Internal,Expired,E083_gd&t.pdf
E083,DOT Medical Card,2024-03-08,2026-03-08,Internal,Expired,E083_dot.pdf
E083,Crane & Rigging,2026-01-16,2028-01-16,OSHA Outreach,Current,E083_crane.pdf
E083,ISO 9001 Internal Auditor,2023-03-02,2025-03-01,Internal,Expired,E083_iso.pdf
E084,Lockout/Tagout,2025-09-16,2027-09-16,Red Cross,Current,E084_lockout/tagout.pdf
E084,Crane & Rigging,2025-09-12,2027-09-12,Red Cross,Current,E084_crane.pdf
E084,Hearing Conservation,2023-12-21,2025-12-20,Red Cross,Expired,E084_hearing.pdf
E085,First Aid/CPR,2025-07-27,2027-07-27,Internal,Current,E085_first.pdf
E086,ISO 9001 Internal Auditor,2024-11-20,2026-11-20,OSHA Outreach,Current,E086_iso.pdf
E086,Lockout/Tagout,2023-05-02,2025-05-01,OSHA Outreach,Expired,
E087,Lockout/Tagout,2023-01-04,2025-01-03,Red Cross,Expired,E087_lockout/tagout.pdf
E087,Crane & Rigging,2023-03-30,2025-03-29,Red Cross,Expired,E087_crane.pdf
E088,Lockout/Tagout,2023-01-19,2025-01-18,Internal,Expired,E088_lockout/tagout.pdf
E089,Lockout/Tagout,2024-12-06,2026-12-06,Toyota Material Handling,Current,E089_lockout/tagout.pdf
E089,ISO 9001 Internal Auditor,2025-05-23,2027-05-23,Red Cross,Current,E089_iso.pdf
E090,Lockout/Tagout,2024-02-09,2026-02-08,ASQ,Expired,E090_lockout/tagout.pdf
E090,Forklift Certification,2025-02-25,2028-02-25,Red Cross,Current,E090_forklift.pdf
E090,DOT Medical Card,2025-08-07,2027-08-07,ASQ,Current,
E091,Hazard Communication,2023-03-08,2025-03-07,OSHA Outreach,Expired,E091_hazard.pdf
E092,Fall Protection,2024-04-01,2026-04-01,OSHA Outreach,Current,
E092,Hearing Conservation,2025-07-27,2027-07-27,Internal,Current,E092_hearing.pdf
E092,GD&T Fundamentals,2025-01-29,2027-01-29,ASQ,Current,
E092,Hazard Communication,2023-02-13,2025-02-12,ASQ,Expired,
E093,ISO 9001 Internal Auditor,2023-04-17,2025-04-16,ASQ,Expired,E093_iso.pdf
E094,Fall Protection,2024-12-18,2026-12-18,Internal,Current,E094_fall.pdf
E094,Lockout/Tagout,2024-02-01,2026-01-31,OSHA Outreach,Expired,E094_lockout/tagout.pdf
E094,Forklift Certification,2023-03-04,2026-03-03,Red Cross,Expired,
E095,Hearing Conservation,2025-09-04,2027-09-04,Toyota Material Handling,Current,E095_hearing.pdf
E095,First Aid/CPR,2024-03-09,2026-03-09,Internal,Expired,E095_first.pdf
E096,ISO 9001 Internal Auditor,2023-12-07,2025-12-06,ASQ,Expired,
E097,Hearing Conservation,2026-01-22,2028-01-22,Internal,Current,E097_hearing.pdf
E098,ISO 9001 Internal Auditor,2024-01-28,2026-01-27,Toyota Material Handling,Expired,
E099,DOT Medical Card,2023-03-14,2025-03-13,Internal,Expired,E099_dot.pdf
E099,ISO 9001 Internal Auditor,2024-02-06,2026-02-05,Toyota Material Handling,Expired,E099_iso.pdf
E099,First Aid/CPR,2025-11-30,2027-11-30,OSHA Outreach,Current,E099_first.pdf
E100,Hearing Conservation,2023-01-04,2025-01-03,Red Cross,Expired,E100_hearing.pdf
E100,Fall Protection,2023-04-16,2025-04-15,Internal,Expired,E100_fall.pdf
E101,GD&T Fundamentals,2024-03-29,2026-03-29,OSHA Outreach,Expired,E101_gd&t.pdf
E101,Fall Protection,2025-11-30,2027-11-30,Toyota Material Handling,Current,E101_fall.pdf
E101,Lockout/Tagout,2023-06-02,2025-06-01,Internal,Expired,E101_lockout/tagout.pdf
E101,DOT Medical Card,2024-08-26,2026-08-26,ASQ,Current,E101_dot.pdf
E102,Fall Protection,2025-08-28,2027-08-28,Toyota Material Handling,Current,E102_fall.pdf
E102,First Aid/CPR,2026-02-16,2028-02-16,ASQ,Current,E102_first.pdf
E102,GD&T Fundamentals,2025-03-06,2027-03-06,Toyota Material Handling,Current,E102_gd&t.pdf
E102,ISO 9001 Internal Auditor,2025-08-12,2027-08-12,OSHA Outreach,Current,E102_iso.pdf
E103,Forklift Certification,2023-02-26,2026-02-25,Internal,Expired,E103_forklift.pdf
E103,Lockout/Tagout,2025-08-20,2027-08-20,ASQ,Current,E103_lockout/tagout.pdf
E103,Hearing Conservation,2026-01-24,2028-01-24,Internal,Current,E103_hearing.pdf
E103,Crane & Rigging,2025-11-13,2027-11-13,Toyota Material Handling,Current,E103_crane.pdf
E104,Forklift Certification,2026-03-05,2029-03-04,Internal,Current,E104_forklift.pdf
E104,Fall Protection,2024-09-02,2026-09-02,OSHA Outreach,Current,E104_fall.pdf
E104,DOT Medical Card,2023-10-29,2025-10-28,ASQ,Expired,E104_dot.pdf
E104,Crane & Rigging,2025-08-17,2027-08-17,Toyota Material Handling,Current,E104_crane.pdf
E105,Forklift Certification,2023-06-05,2026-06-04,Toyota Material Handling,Current,E105_forklift.pdf
E105,GD&T Fundamentals,2024-07-24,2026-07-24,OSHA Outreach,Current,
E106,Forklift Certification,2025-08-13,2028-08-12,OSHA Outreach,Current,E106_forklift.pdf
E106,Crane & Rigging,2023-10-02,2025-10-01,Internal,Expired,E106_crane.pdf
E106,Lockout/Tagout,2025-11-13,2027-11-13,ASQ,Current,
