Po Number,Ack Date,Confirmed Total,Confirmed Ship Date,Method
PO-31215,2025-08-01,11505.22,2025-08-31,EDI 855
PO-31216,2026-02-25,303277.66,2026-03-19,Email
PO-31217,2025-06-09,510129.83,2025-06-17,Portal
PO-31218,2025-09-22,10196.0,2025-10-05,Email
PO-31219,2025-11-12,7382.0,12/04/2025,Portal
PO-31220,2026-01-01,9061.18,2026-01-09,Email
PO-31223,2026-01-13,551590.99,2026-02-07,Portal
PO-31224,2025-12-05,10586.8,2025-12-18,EDI 855
PO-31225,2026-03-09,898.7,2026-03-24,Email
PO-31227,2025-11-28,155939.17,2025-12-17,Portal
PO-31228,2026-01-06,428671.78,2026-01-09,Email
PO-31229,2025-07-23,126436.23,2025-08-11,Portal
PO-31230,2025-06-13,9075.52,2025-06-20,Portal
PO-31231,01/20/26,366546.84,2026-02-09,Portal
PO-31232,2025-07-13,85827.54,2025-07-16,Portal
PO-31233,2025-08-09,289772.96,2025-08-15,Email
PO-31234,2025-04-01,263195.8,2025-04-16,EDI 855
PO-31235,2025-05-25,306521.64,2025-06-11,EDI 855
PO-31237,2026-01-13,40252.69,2026-01-22,Email
PO-31238,2026-03-21,9351.72,2026-04-03,Email
PO-31239,2025-08-03,16850.0,2025-08-07,EDI 855
PO-31240,2026-02-20,249990.0,2026-02-28,Portal
PO-31241,2026-02-13,31541.23,2026-02-21,Email
PO-31242,2026-01-01,1585697.12,01/18/2026,Portal
PO-31243,2026-01-03,665.7,2026-01-08,Portal
PO-31244,2025-08-12,34147.26,2025-09-03,EDI 855
PO-31246,2025-09-30,8728.0,2025-10-21,EDI 855
PO-31247,"Sep 19, 2025",2230.74,2025-10-11,EDI 855
PO-31248,2026-01-03,21298.38,2026-01-07,Portal
PO-31249,2025-07-21,51259.1,2025-07-28,Portal
PO-31250,2025-12-24,4854.64,01/04/26,EDI 855
PO-31251,2025-08-10,158172.5,2025-08-20,Email
PO-31257,2025-08-22,397459.64,2025-09-18 ,Email
PO-31259,2025-12-30,276449.39,2026-01-06 ,Portal
PO-31260,2025-09-30,37883.92,2025-10-03,Email
PO-31261,2026-01-25,1270.0,2026-02-08,EDI 855
PO-31262,2025-09-03 ,11932.8,2025-09-12,Email
PO-31263,2026-03-23,15585.5,2026-03-27,EDI 855
PO-31264,2025-09-19,418237.5,04-Oct-2025,EDI 855
PO-31265,07/07/2025,168094.34,2025-07-13,Email
PO-31266,2025-06-28,3203.4,2025-07-22,Email
PO-31269,2025-08-07,23679.32,2025-09-05,EDI 855
PO-31270,2026-01-19,46237.9,2026-01-25,Portal
PO-31272,"Nov 04, 2025",12877.8,2025-11-25,Email
PO-31273,2026-02-08,3733.08,2026-02-17,Email
PO-31274,"Apr 04, 2025",6444.0,"Apr 06, 2025",Email
PO-31275,2025-05-26,348972.75,2025-06-04,Portal
PO-31276,"Feb 21, 2026",11096.37,2026-02-23,EDI 855
PO-31279,12/13/25 ,703241.44,2026-01-08,EDI 855
PO-31282,2025-09-10,130835.78,2025-09-12,Email
PO-31283,2026-04-01,3752.1,2026-04-02 ,Email
PO-31285,2025-11-16,283817.43,2025-11-21,Portal
PO-31288,2026-01-12,28055.16,2026-01-24,Email
PO-31289,2025-05-14,365473.43,2025-05-29,EDI 855
PO-31290,2025-11-19,32485.0,2025-12-08,EDI 855
PO-31293,2025-07-18,7487.99,2025-07-19,Portal
PO-31294,2025-07-15,290886.06,2025-08-02,Portal
PO-31296,2025-10-16,21923.91,2025-10-21,Email
PO-31298,2025-09-20,8886.84,2025-10-15,EDI 855
PO-31300,2026-01-12,12647.62,2026-01-31,EDI 855
