Po Number,Line,Item Id,Description,Manufacturer Part Number,Ordered Qty,Uom,Price,Extended Cost,Need By Date,Promised Date,Received Qty,Line Status,Gl Account
PO-31014,4,AC-1033,AC Motor TEFC 3/4-10,L32810,142,EA,1093.27,155244.34,03/17/2026,2026-03-17,142,Received,1230
PO-31015,1,MOUN-1018,Mounted Ball Bearing Unit M8,C66831,95,EA,109.13,10367.35,2025-11-21,2025-11-21,95,Received ,1230
PO-31015,2,MOUN-1018,Mounted Ball Bearing Unit M8,C66831,95,EA,109.13,10367.35,2025-11-21,2025-11-21,95,Received,1230
PO-31016,1,ROLL-1026,Roller Chain ANSI #50,F48926,50,EA,129.92000000000002,6496.0,2025-10-21,2025-10-21,50,Received,1230
PO-31016,2,TIMI-1000,Timing Belt 1.500,H44428,10,EA,43.53,435.3,2025-10-18,2025-10-18,10,Received,1230
PO-31016 ,3,MOUN-1083,Mounted Ball Bearing Unit size 8,C68772,138,EA,87.77,12112.26,2025-10-12,2025-10-12,138,Received,1230
PO-31016,4,SPRO-1087,Sprocket 1/2-13,N14465,167,EA,44.550000000000004,7439.85,2025-10-13,2025-10-13,167,Received,1230
PO-31017,1,SPRO-1011,Sprocket #60,B43448,148,EA,118.48,17535.04,2025-05-07,2025-05-09,148,Received,1230
PO-31017,2,BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",HHCS-0500-13-200-G8,79,BX,46.54,3676.66,2025-05-02,2025-05-02,79,Received,1230
PO-31017,3,SPRO-1069,Sprocket #50,C66132,141,EA,113.96,16068.36,2025-05-26,2025-05-28,70,Partial,1230
PO-31018,1,SHEA-1037,Sheave / Pulley 1.375,R78752,130,EA,99.06,12877.8,2025-05-06,05/08/2025,130,Received,1230
PO-31019,1,ROLL-1021,Roller Chain ANSI 5/16-18,H58619,101,EA,81.74,8255.74,2026-01-05,2026-01-05,101,Received,1230
PO-31019,2,GAT-B62,Hi-Power II V-belt B62,B62,50,EA,12.7,635.0,2025-12-20,2025-12-20,50,Received,1230
PO-31020,1,SHEA-1045,Sheave / Pulley M10,L49521,169,EA,47.68,8057.92,01/02/2026,2026-01-02,169,Received,1230
PO-31020,2,SHEA-1003,Sheave / Pulley #50,B62693,10,EA,235.72,2357.2,2025-12-08,2025-12-08,10,Received,1230
PO-31020,3,AC-1048,AC Motor TEFC M6,F82120,24,EA,1745.47,41891.28,2026-01-12,2026-01-14,24,Received,1230
PO-31021,1,SHEA-1038,Sheave / Pulley 2.000,K77998,10,EA,295.28000000000003,2952.8,2025-07-04,2025-07-06,10,Received,1230
PO-31021,2,AC-1048,AC Motor TEFC M6,F82120,100,EA,1745.47,174547.0,"Jul 13, 2025",2025-07-18,100,Received,1230
PO-31021,3,GEAR-1073,Gear Reducer 5/16-18,P40743,500,EA,1996.91,998455.0,2025-06-21,2025-06-26,500,Received,1230
PO-31021,4,AC-1063,AC Motor TEFC 3/4-10,G44462,25,EA,1677.24,41931.0,2025-06-24,2025-06-26,25,Received,1230
PO-31022,1,AC-1033,AC Motor TEFC 3/4-10,L32810,250,EA,1093.27,273317.5,2025-11-15,2025-11-20,250,Received,1230
PO-31022 ,2,AC-1033,AC Motor TEFC 3/4-10,L32810,142,EA,1093.27,155244.34,2025-11-15,2025-11-15,71,Partial,1230
PO-31022,3,AC-1033,AC Motor TEFC 3/4-10,L32810,142,EA,1093.27,155244.34,2025-11-15,2025-11-20,142,Received,1230
PO-31022,4,SPRO-1050,Sprocket 5/16-18,K95916,53,EA,12.85,681.05,29-Oct-2025,2025-10-29,53,Received,1230
PO-31023,1,MOUN-1029,Mounted Ball Bearing Unit 1.500,R78423,103,EA,86.28,8886.84,2026-02-16,2026-02-18,103,Received,1230
PO-31023,2,ROLL-1044,Roller Chain ANSI #80,A27272,136,EA,140.68,19132.48,2026-03-02,2026-03-02,136,Received,1230
PO-31024,1,SHEA-1064 ,Sheave / Pulley M12,P15027,23,EA,138.48,3185.04,2025-09-26,2025-09-26,23,Received ,1230
PO-31024,2,MOUN-1008,Mounted Ball Bearing Unit #60,D34695,52,EA,71.79,3733.08,2025-10-16,2025-10-16,52,Received,1230
PO-31025,1,SHEA-1049,Sheave / Pulley size 4,G91354,100,EA,153.4,15340.0,2025-07-10,2025-07-10,100,Received,1230
PO-31025,2,SHEA-1049,Sheave / Pulley size 4,G91354,191,EA,153.4,29299.4,2025-07-10,2025-07-10,191,Received,1230
PO-31025,3,SHEA-1068,Sheave / Pulley 1/4-20,E90491 ,105,EA,180.78,18981.9,2025-07-30,2025-07-30,105,Received,1230
PO-31025,4,MOUN-1081,Mounted Ball Bearing Unit 5/8-11,E43749,500,EA,61.24,30620.0,2025-08-07,2025-08-07,500,Received,1230
PO-31026,1,SPRO-1015,Sprocket 3/8-16 ,C11163,160,EA,74.58,11932.8,2025-11-15,2025-11-17,160,Received,1230
PO-31027,1,SHEA-1068,Sheave / Pulley 1/4-20,E90491,105,EA,180.78,18981.9,2026-01-11,2026-01-11,105,Received,1230
PO-31027,2,SHEA-1068,Sheave / Pulley 1/4-20,E90491,105,EA,180.78,18981.9,2026-01-11,2026-01-13,0,Open,1230
PO-31027,3,SHEA-1068,Sheave / Pulley 1/4-20,E90491,105,EA,180.78,18981.9,2026-01-11,01/11/2026,105,Received,1230
PO-31027,4,SHEA-1049,Sheave / Pulley size 4,G91354,500,EA,153.4,76700.0,2025-12-22,12/22/2025,500,Received,1230
PO-31028,1,SPRO-1078,Sprocket M6,B96961,50,EA,69.25,3462.5,2026-03-18,2026-03-18,50,Received,1230
PO-31028,2,AC-1086,AC Motor TEFC 5/16-18,F31580,10,EA,2390.86,23908.6,2026-03-07,2026-03-12,10,Received,1230
PO-31028,3,SIG-SF18-80,Machine stretch wrap 18in x 1500ft 80ga,SF18-80,131,RL,24.6,3222.6,2026-03-04,2026-03-04,131,Received,1200
PO-31028,4,SPRO-1041,Sprocket M6,R97964,500,EA,35.35,17675.0,03-Apr-2026,2026-04-03,0,Open,1230
PO-31029,1,ROLL-1021,Roller Chain ANSI 5/16-18,H58619,101,EA,81.74,8255.74,2026-02-20,2026-02-22,101,Received,1230
PO-31030,1,SHEA-1088,Sheave / Pulley 1/4-20,L25703,100,EA,189.79,18979.0,2025-05-10,2025-05-15,100,Received ,1230
PO-31030,2,SPRO-1027,Sprocket 1/4-20,K15825,100,EA,77.98,7798.0,2025-04-27,2025-05-02,100,Received,1230
PO-31030,3,SHEA-1088,Sheave / Pulley 1/4-20,L25703,91,EA,189.79,17270.89,2025-05-10,2025-05-10,91,Received,1230
PO-31030,4,SHEA-1088 ,Sheave / Pulley 1/4-20,L25703,91,EA ,189.79,17270.89,2025-05-10,2025-05-12,45,Partial,1230
PO-31031,1,SHEA-1025,Sheave / Pulley size 4,B27918,500,EA,153.95000000000002,76975.0,2026-03-18,2026-03-20,500,Received,1230
PO-31031,2,MOUN-1083,Mounted Ball Bearing Unit size 8,C68772,50,EA,87.77,4388.5,2026-03-25,2026-03-30,50,Received,1230
PO-31032,1,GEAR-1073,Gear Reducer 5/16-18,P40743,77,EA,1938.75,149283.75,2025-06-28,2025-07-03,77,Received,1230
PO-31032,2,SHEA-1038,Sheave / Pulley 2.000,K77998,50,EA,295.28000000000003,14764.0,2025-07-11,2025-07-11,50,Received,1230
PO-31032,3,GEAR-1073,Gear Reducer 5/16-18,P40743,77,EA,1938.75,149283.75,2025-06-28,2025-06-28,77,Received,1230
PO-31032,4,AC-1048,AC Motor TEFC M6,F82120,24,EA,1745.47,41891.28,2025-07-20,2025-07-20,0,Open,1230
PO-31033,1,SHEA-1037,Sheave / Pulley 1.375,R78752,50,EA,99.06,4953.0,2026-02-09,2026-02-09,25,Partial,1230
PO-31033,2,SHEA-1037,Sheave / Pulley 1.375,R78752,130,EA,99.06,12877.8,2026-02-09,2026-02-14,65,Partial,1230
PO-31033,3,SPRO-1027,Sprocket 1/4-20,K15825,183,EA,77.98,14270.34,2026-01-31,05-Feb-2026,183,Received,1230
PO-31034,1,SHEA-1003,Sheave / Pulley #50,B62693,50,EA,235.72,11786.0,2026-01-11,2026-01-16,50,Received,1230
PO-31034,2,SHEA-1038,Sheave / Pulley 2.000,K77998,101,EA,295.28000000000003,29823.28,2026-02-06,2026-02-11,101,Received,1230
PO-31034,3,SHEA-1045,Sheave / Pulley M10,L49521,25,EA,47.68,1192.0,2026-02-05,2026-02-05,25,Received,1230
PO-31035,1,TIMI-1058,Timing Belt M6,A87444,166,EA,86.14,14299.24,2026-04-13,2026-04-13,0,Open,1230
PO-31035,2,TIMI-1058,Timing Belt M6,A87444,50,EA,85.29,4264.5,2026-04-13,2026-04-13,25,Partial,1230
PO-31036,1,SPRO-1055,Sprocket #50,P93505,38,EA,26.94,1023.72,2026-04-01 ,2026-04-01,0,Open,1230
PO-31036,2,SPRO-1055,Sprocket #50,P93505,38,EA,26.94,1023.72,2026-04-01,2026-04-01,19,Partial,1230
PO-31036,3,SPRO-1047,Sprocket #80,M59631,250,EA,13.77,3442.5,2026-04-23,2026-04-28,0,Open ,1230
PO-31036,4,SPRO-1070,Sprocket M12,L78251,144,EA,22.96,3306.24,2026-04-23,04/23/26,0,Open ,1230
PO-31037,1,SPRO-1004,Sprocket 3/8-16,P89761,177,EA,42.84,7582.68,2025-07-05,2025-07-10,177,Received,1230
PO-31038,1,AC-1040,AC Motor TEFC #50,L98065,250,EA,609.44,152360.0,2026-03-22,03/22/2026,250,Received,1230
PO-31038,2,SHEA-1028,Sheave / Pulley #80,H32923,44,EA,284.6,12522.4,2026-03-31,2026-03-31,0,Open,1230
PO-31038,3,TIMI-1071,Timing Belt 5/8-11,P52377,136,EA,74.85000000000001,10179.6,2026-03-09,2026-03-11,136,Received,1230 
PO-31039,1,HEN-243,"Threadlocker 243 medium strength blue, 50 mL",243,240,EA,22.54,5409.6,2026-02-21,2026-02-26,0,Open,6700
PO-31040,1,SHEA-1064,Sheave / Pulley M12,P15027,500,EA ,139.88,69940.0,2025-07-12,2025-07-14,500,Received,1230
PO-31040,2,SHEA-1064,Sheave / Pulley M12,P15027,23,EA,137.08,3152.84,2025-07-12,12-Jul-2025,23,Received,1230
PO-31040,3,SHEA-1072,Sheave / Pulley 3/8-16,N55674,11,EA,101.96000000000001,1121.56,2025-07-26,2025-07-28,11,Received,1230
PO-31041,1,SKF-6205-2RS1,"Deep groove ball bearing 25x52x15, sealed",6205-2RS1,88,EA,3.55,312.4,2025-05-28,2025-05-30,88,Received,1230
PO-31041,2,SPRO-1076,Sprocket 5/16-18,N9963,141,EA,13.24,1866.84,2025-06-21,2025-06-23,141,Received,1230
PO-31041,3,SKF-6308-2Z,"Deep groove ball bearing 40x90x23, shielded",6308-2Z,192,EA,10.25,1968.0,2025-05-27,2025-05-27,192,Received,1230
PO-31042,1,SPRO-1050,Sprocket 5/16-18,K95916,250,EA,12.85,3212.5,2025-12-19,2025-12-21,250,Received,1230
PO-31042,2,SPRO-1050,Sprocket 5/16-18,K95916,53,EA,13.36,708.08,2025-12-19,2025-12-19,53,Received,1230
PO-31042,3,SPRO-1050,Sprocket 5/16-18,K95916,50,EA,12.85,642.5,2025-12-19,2025-12-21,50,Received,1230
PO-31042,4,SPRO-1050,Sprocket 5/16-18 ,K95916,25,EA,12.85,321.25,2025-12-19,12/19/25,25,Received,1230
PO-31043,1,ULI-S-4123,"Corrugated box 12x12x12, 25/bd",S-4123,170,BD,31.62,5375.4,2025-12-05,2025-12-05,170,Received,1200
PO-31043,2,AC-1086,AC Motor TEFC 5/16-18,F31580,10,EA,2510.4,25104.0,11/28/25,2025-11-28,10,Received,1230
PO-31043,3,SPRO-1078,Sprocket M6,B96961,50,EA,69.25,3462.5,2025-12-09,2025-12-14,50,Received,1230
PO-31044,1,GEAR-1010,Gear Reducer 1.375,A41776,100,EA,2784.15,278415.0,12/19/25,2025-12-21,100,Received,1230
PO-31045,1,SHEA-1072,Sheave / Pulley 3/8-16,N55674,11,EA,101.96000000000001,1121.56,"Aug 23, 2025",2025-08-25,11,Received,1230
PO-31045,2,SHEA-1072,Sheave / Pulley 3/8-16,N55674,250,EA,101.96000000000001,25490.0,2025-08-23,2025-08-28,250,Received,1230
PO-31045,3,MOUN-1008,Mounted Ball Bearing Unit #60,D34695,52,EA,71.79,3733.08,2025-08-29,2025-08-29,52,Received,1230
PO-31046,1,ROLL-1021,Roller Chain ANSI 5/16-18,H58619,101,EA,81.74,8255.74,2026-02-23,02/25/2026,101,Received,1230
PO-31046,2,SHEA-1035,Sheave / Pulley 1.000,D8005,25,EA,152.98,3824.5,2026-03-18,2026-03-18,25,Received,1230
PO-31047,1,SKF-6205-2RS1,"Deep groove ball bearing 25x52x15, sealed",6205-2RS1,25,EA,3.55,88.75,2026-01-18,2026-01-20,25,Received,1230
PO-31047,2,DOD-TXT315,Torque-Arm II shaft-mount reducer 15:1,TXT315,215,EA,1180.0,253700.0,01/17/2026,2026-01-17,215,Received,1230
PO-31047,3,DOD-TXT315,Torque-Arm II shaft-mount reducer 15:1,TXT315,500,EA,1180.0,590000.0,2026-01-17,2026-01-22,500,Received,1230
PO-31048,1,SPRO-1009,Sprocket size 8,A23051,25,EA,24.54,613.5,2025-11-25,2025-11-27,25,Received,1230
PO-31048,2,MOUN-1008,Mounted Ball Bearing Unit #60,D34695,250,EA,71.79,17947.5,2025-11-19,2025-11-19,250,Received,1230
PO-31048,3,SHEA-1072,Sheave / Pulley 3/8-16 ,N55674,11,EA,105.02,1155.22,2025-11-13,2025-11-13,11,Received,1230
PO-31048,4,SHEA-1064,Sheave / Pulley M12,P15027,100,EA,138.48,13848.0,2025-10-30,2025-10-30,100,Received,1230
PO-31049,1,TIMI-1071,Timing Belt 5/8-11,P52377,136,EA,74.85000000000001,10179.6,2026-01-06,2026-01-06,136,Received,1230
PO-31049,2,TIMI-1071,Timing Belt 5/8-11,P52377,136,EA,74.85000000000001,10179.6,2026-01-06,2026-01-06,136,Received,1230
PO-31049,3,SHEA-1028,Sheave / Pulley #80,H32923,44,EA,284.6,12522.4,2026-01-28,2026-02-02,22,Partial,1230
PO-31050,1,SHEA-1088,Sheave / Pulley 1/4-20,L25703,91,EA,189.79,17270.89,2025-11-29,"Nov 29, 2025",91,Received,1230
PO-31050,2,SHEA-1088,Sheave / Pulley 1/4-20,L25703,91,EA,189.79,17270.89,2025-11-29,2025-11-29,91,Received,1230
PO-31050,3,SHEA-1088,Sheave / Pulley 1/4-20,L25703 ,500,EA,189.79,94895.0,2025-11-29,2025-11-29,500,Received,1230
PO-31051,1,TIMI-1017,Timing Belt size 6,E16570,500,EA,50.69,25345.0,2025-10-12,2025-10-12,500,Received ,1230
PO-31052,1,KIM-G10,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,281,BX,11.4,3203.4,2025-06-27,2025-07-02,281,Received,6700
PO-31053,1,TIMI-1058,Timing Belt M6,A87444,166,EA,84.45,14018.7,19-Nov-2025,2025-11-19,166,Received,1230
PO-31053,2,TIMI-1058,Timing Belt M6,A87444,166,EA,84.45,14018.7,2025-11-19,2025-11-19,166,Received,1230
PO-31053,3,TIMI-1014,Timing Belt 1.000,R36113,500,EA,49.480000000000004,24740.0,2025-11-16,2025-11-16,500,Received,1230
PO-31053,4,TIMI-1058,Timing Belt M6,A87444,166,EA,83.61,13879.26,2025-11-19,"Nov 19, 2025",166,Received,1230
PO-31054,1,AC-1054,AC Motor TEFC 1.500,N27474,168,EA,1828.58,307201.44,2025-08-01,2025-08-03,168,Received,1230
PO-31055,1,3M-SF401AF,SecureFit 400 safety glasses clear anti-fog,SF401AF,25,EA,4.05,101.25,2025-08-31,2025-08-31 ,25,Received,6700
PO-31055,2,3M-SF401AF,SecureFit 400 safety glasses clear anti-fog,SF401AF,84,EA,4.05,340.2,2025-08-31,2025-08-31,84,Received,6700
PO-31056,1,SHEA-1088,Sheave / Pulley 1/4-20,L25703,91,EA,189.79,17270.89,2025-09-13,2025-09-13,91,Received,1230
PO-31056,2,SHEA-1088,Sheave / Pulley 1/4-20,L25703,91,EA,189.79,17270.89,2025-09-13,2025-09-13,91,Received,1230
PO-31056,3,SHEA-1088,Sheave / Pulley 1/4-20,L25703,91,EA,189.79,17270.89,2025-09-13,2025-09-13,91,Received,1230
PO-31056,4,SHEA-1088,Sheave / Pulley 1/4-20,L25703,91,EA,189.79,17270.89,2025-09-13,2025-09-15,91,Received,1230
PO-31057,1,SHEA-1045,Sheave / Pulley M10,L49521,50,EA,47.68,2384.0,2026-01-05,2026-01-10,50,Received,1230
PO-31057,2,GEAR-1073,Gear Reducer 5/16-18,P40743,77,EA,1899.97,146297.69,2025-12-24,2025-12-26,77,Received,1230
PO-31057,3,GEAR-1073,Gear Reducer 5/16-18,P40743,100,EA,1938.75,193875.0,2025-12-24,2025-12-29,100,Received,1230
PO-31057,4,AC-1048,AC Motor TEFC M6,F82120,24,EA,1745.47,41891.28,2026-01-15,2026-01-20,24,Received,1230
PO-31058,1,SPRO-1078,Sprocket M6,B96961,13,EA,69.25,900.25,2026-03-22,2026-03-24,0,Open,1230
PO-31059,1,SPRO-1041,Sprocket M6,R97964,135,EA,35.35,4772.25,2025-06-10,2025-06-10,135,Received,1230
PO-31059,2,SPRO-1078,Sprocket M6,B96961,13,EA,69.25,900.25,2025-05-25,2025-05-25,13,Received,1230
PO-31060,1,GEAR-1080,Gear Reducer #60,R61870,179,EA,1484.33,265695.07,2025-06-04,2025-06-09,179,Received,1230
PO-31060,2,GEAR-1080,Gear Reducer #60,R61870,250,EA,1558.55,389637.5,2025-06-04,2025-06-09,250,Received,1230
PO-31060,3,TIMI-1030,Timing Belt 1/2-13,K11331,137,EA,66.14,9061.18,2025-06-13,2025-06-18,137,Received,1230
PO-31061,1,MOUN-1034,Mounted Ball Bearing Unit M12,P68115,35,EA,23.82,833.7,2026-01-15,2026-01-15,0,Open,1230
PO-31061,2,MOUN-1034,Mounted Ball Bearing Unit M12,P68115,35,EA,24.53,858.55,2026-01-15,2026-01-17,35,Received,1230
PO-31061,3,AC-1057,AC Motor TEFC M10,C68489,81,EA,687.08,55653.48,2026-02-04,2026-02-09,81,Received,1230
PO-31062,1,ROLL-1053,Roller Chain ANSI #80,F87862,109,EA,86.10000000000001,9384.9,2026-03-29,2026-03-29,0,Open,1230
PO-31062 ,2,SIG-SF18-80,Machine stretch wrap 18in x 1500ft 80ga,SF18-80,131,RL,24.6,3222.6,2026-02-27,2026-02-27,131,Received,1200
PO-31062,3,SPRO-1002,Sprocket 1/4-20,F15706,25,EA,65.84,1646.0,2026-03-09,2026-03-09,25,Received,1230
PO-31063,1,SHEA-1064,Sheave / Pulley M12,P15027,23,EA,139.88,3217.24,2026-03-26,2026-03-26,23,Received,1230
PO-31064,1,SPRO-1002,Sprocket 1/4-20,F15706,25,EA,65.18,1629.5,2026-01-18,2026-01-18,25,Received,1230
PO-31064,2,SPRO-1078,Sprocket M6,B96961,13,EA,69.25,900.25,01/22/2026,2026-01-22,13,Received,1230
PO-31064,3,ROLL-1053,Roller Chain ANSI #80,F87862,109,EA,86.10000000000001,9384.9,2026-02-07,2026-02-07,109,Received,1230
PO-31064,4,SPRO-1078,Sprocket M6,B96961,50,EA,72.71,3635.5,2026-01-22,2026-01-22,50,Received,1230
PO-31065,1,SPRO-1050,Sprocket 5/16-18,K95916,53,EA,12.85,681.05,05/18/25,2025-05-23,53,Received,1230
PO-31065,2,AC-1033,AC Motor TEFC 3/4-10,L32810,142,EA,1126.07,159901.94,04-Jun-2025,2025-06-06,142,Received,1230
PO-31065,3,AC-1033,AC Motor TEFC 3/4-10,L32810,142,EA,1093.27,155244.34,06/04/25,2025-06-09,142,Received,1230 
PO-31066,1,3M-SF401AF ,SecureFit 400 safety glasses clear anti-fog,SF401AF,84,EA,4.05,340.2,2025-10-09,2025-10-09,84,Received,6700
PO-31066,2,3M-SF401AF,SecureFit 400 safety glasses clear anti-fog,SF401AF,84,EA,4.05,340.2,2025-10-09,2025-10-09,84,Received,6700
PO-31066,3,HEN-243,"Threadlocker 243 medium strength blue, 50 mL",243,240,EA,22.1,5304.0,2025-09-26,09/26/25,240,Received,6700
PO-31067,1,AC-1057,AC Motor TEFC M10,C68489,10,EA,687.08,6870.8,2025-07-13,2025-07-13,10,Received,1230
PO-31067,2,MOUN-1034,Mounted Ball Bearing Unit M12,P68115,500,EA,23.82,11910.0,"Jun 23, 2025",2025-06-28,500,Received,1230
PO-31067,3,TIMI-1056,Timing Belt 5/16-18,M71128,100,EA,17.21,1721.0,2025-06-10,2025-06-10,100,Received,1230
PO-31068,1,SHEA-1038,Sheave / Pulley 2.000,K77998,101,EA,295.28000000000003,29823.28,2025-10-01,10/06/25,101,Received,1230
PO-31068,2,SHEA-1003,Sheave / Pulley #50,B62693,25,EA,240.43,6010.75,2025-09-05,2025-09-07,25,Received,1230
PO-31068,3,GEAR-1073,Gear Reducer 5/16-18,P40743,77,EA,1938.75,149283.75,2025-09-18,2025-09-18,77,Received,1230
PO-31069,1,ROLL-1053,Roller Chain ANSI #80,F87862,109,EA,86.10000000000001,9384.9,2025-10-13,2025-10-18,109,Received,1230
PO-31070,1,SPRO-1002,Sprocket 1/4-20,F15706,132,EA,65.84,8690.88,2025-06-01,2025-06-01,132,Received,1230
PO-31070,2,SPRO-1078,Sprocket M6 ,B96961,13,EA,67.86,882.18,2025-06-05,2025-06-10,13,Received,1230
PO-31070,3,SPRO-1078,Sprocket M6,B96961,500,EA,69.25,34625.0,2025-06-05,2025-06-05,500,Received,1230
PO-31071,1,SPRO-1061,Sprocket #50,R9463,163,EA,87.28,14226.64,2025-11-21 ,2025-11-21,163,Received,1230
PO-31071,2,MOUN-1034,Mounted Ball Bearing Unit M12,P68115,50,EA,23.82,1191.0,2025-11-19,2025-11-19,50,Received,1230
PO-31071,3,SPRO-1061,Sprocket #50,R9463,500,EA,87.28,43640.0,2025-11-21,21-Nov-2025,500,Received,1230
PO-31072,1,MOUN-1029,Mounted Ball Bearing Unit 1.500,R78423,103,EA,86.28,8886.84,2026-03-10,2026-03-10,103,Received,1230
PO-31072,2,GEAR-1010,Gear Reducer 1.375,A41776,85,EA,2784.15,236652.75,2026-03-19,2026-03-19,0,Open,1230
PO-31073,1,SHEA-1072,Sheave / Pulley 3/8-16,N55674 ,11,EA,105.02,1155.22,2025-10-07,2025-10-09,11,Received,1230
PO-31073,2,MOUN-1008,Mounted Ball Bearing Unit #60,D34695,52,EA,71.79,3733.08,2025-10-13,2025-10-13,52,Received,1230
